start	end	text
0	29800	Today, let's talk about the weather.
30120	34960	Now, often when people talk about the weather, it's sort of just filler conversation.
34960	36760	When you talk to somebody, you say, how's the family?
36760	38480	Hey, did you catch the game last night?
38480	40600	Oh, is it hot enough for you?
40600	47160	So weather sort of acts as this universal touchstone, this common bond between people.
47160	51560	Mark Twain is often quoted as saying that everybody talks about the weather, but nobody
51560	53200	does anything about it.
53200	54920	Unfortunately, that's a misquote.
54920	56280	Mark Twain never said that.
56280	59200	It's actually from Charles Dudley Warner.
59200	62600	But it indicates that most of the time, when people are talking about the weather, they're
62600	64280	really complaining about it.
64280	65520	It's too hot.
65520	66520	It's too cold.
66520	67520	There's too much rain.
67520	68920	There's not enough rain.
68920	72760	And when the weather is good, it's sort of taken for granted.
72760	77800	Now, I lived in the San Francisco Bay Area, and it was generally pleasant all year round.
77800	83720	I guess the worst thing was the afternoon fog in July when the fog rolls into San Francisco.
83720	88920	It could go from very balmy day to a chilly day very fast.
88920	91880	You learn that you always carry a sweater in July.
91880	94840	This leads to another Mark Twain misquote.
94840	100640	He's quoted often as saying that the coldest winter I ever spent was a summer in San Francisco.
100640	103640	And actually, again, he never said that.
103640	107600	It's actually been attributed to H. L. Menken and Will Rogers.
107600	111240	But when I looked up, I couldn't actually find out who really said it.
111240	115760	See, California, the nice weather is sort of taken for granted.
115760	120480	When you think of going outdoors to do something, if you don't do it today, we can do it tomorrow.
120480	122160	It'll be nice tomorrow.
122160	126600	And I think that's really the source of the laid back California attitude.
126600	130920	When we got rainstorms and there was thunder and lightning, it was like, ooh, we're having
130920	132080	weather.
132080	136600	This was a strong contrast to my East Coast upbringing, because it would be hazy, hot
136600	138200	and humid in the summer.
138200	142720	And then we'd have blizzards and 12-foot snowdrifts in New England in the winter.
142720	147000	So when I was growing up, you learned to make hay while the sun shines.
147000	150440	Well, I usually enjoy a change in the weather.
150440	153000	I like to see the variety in nature.
153000	156640	And really, we have nothing to complain about.
156640	163400	When we look at it from a solar system perspective, this is nothing, because things really can
163400	165760	get much worse.
165760	172440	In this lecture, we're going to examine the worst weather known to science.
172640	174240	Let's start with temperatures.
174240	178040	On Earth, the temperature is proportional to the amount of sunlight.
178040	181640	There's more sunlight at the equator, so you expect higher temperatures.
181640	185840	There's less sunlight at the poles, so you expect lower temperatures.
185840	190200	The seasons on Earth, from summer to winter, are caused by the tilt of Earth's rotation
190200	191280	axis.
191280	196560	Earth is tilted 23 and a half degrees relative to the plane of its orbit.
196560	202000	And that tilt rotation axis stays fixed in space.
202000	207200	This is why you see these globes, generally, tilted at 23 and a half degrees.
207200	212200	So if this is Earth and this is the sun over here, when it's tilted toward the sun, the
212200	216800	northern hemisphere is getting more light, and the northern hemisphere is in summer.
216800	220920	When halfway around its orbit, when it's over here and it's tilted away from the sun, the
220920	225720	southern hemisphere is getting more light, so the southern hemisphere is in summer.
225720	233600	I do this simply to make a major point that it is not the distance from the sun that determines
233600	235640	whether it's summer or winter.
235640	240360	The Earth is actually closest to the sun, a point called perihelion, in January.
240360	244720	And it's furthest from the sun, a point we call apheleon, in July.
244720	249720	And so for the northern hemisphere, it's closest in winter and it's furthest in the summer.
249720	253320	Of course, that's just reversed for the southern hemisphere, where it actually is closest in
253320	256000	summer and furthest in winter.
256000	261800	The variation in the distance is only about 2%, and the energy received will go as the
261800	267320	square of the distance from the sun, so the variation in energy is about 7% from perihelion
267320	268320	to apheleon.
268320	274600	Now this is significant and it adds to a modulation of the seasons, but it's not really the cause.
274600	280480	Furthermore, as we talked about for Mercury, there is a procession of the perihelion of
280480	281480	Earth's orbit.
281480	288280	This whole orbit precesses around at 11.5 arc seconds per year, at a very slow rate,
