start	end	text
0	21760	In the previous lecture, we started the discussion of extrasolar planets.
21760	27800	We discussed the techniques for finding planets around other stars, and I also gave you some
27800	28960	examples.
28960	33880	We found that there were hot Jupiters, these giant planets with orbits that are smaller
33880	35940	than the orbit of Mercury.
35940	41360	We also discovered that they had many elliptical orbits, planets that were in orbit stretched
41360	46200	out that they looked like comet orbits in our solar system.
46200	51160	In this lecture, we're going to discuss the characteristics of the planetary systems we've
51160	53000	so far discovered.
53000	57520	And there's so much to discuss, we're just going to jump right in.
57520	62080	Now to establish a broader overview of the whole population, we're going to begin with
62080	64440	some statistics.
64440	70920	Here is a plot of the number of planets versus their semi-major axis.
70920	74220	And so these are the distances from the Sun.
74220	77840	And over here on the left hand side of the plot, you can see that there are many planets
77840	79080	in close.
79080	81920	These are mainly your hot Jupiters.
81920	84480	And these were the unexpected ones.
84760	90840	As you look further away from the stars, you see more planets, and it starts to rise up
90840	95840	around 1 AU, the distance of Earth from our Sun.
95840	102080	This was what we expected, because as you go further out in the nebula, you are expecting
102080	104640	to see Jupiter-sized orbits.
104640	109520	You're expecting to see Jupiter-sized planets in Jupiter-sized orbits, and Jupiter orbits
109520	112480	actually are out towards the edge of this plot.
112480	115920	And that's where you start to see a drop-off, but that's not real.
115920	121840	That's just a selection effect, because Doppler spectroscopy needs many years in order to
121840	124160	see these very long orbits.
124160	132960	Remember that Jupiter orbits our Sun in about 11 years, Saturn orbits in 30 years.
132960	138480	Most searches that have been using this technique have only been looking for a decade or so.
138480	143600	So that means we would not have seen those very long orbits yet.
143600	148680	It also means that we're sort of getting to the end of the low-hanging fruit.
148680	155320	If you have to wait two more decades in order to see a Saturn, then perhaps we might want
155320	160520	to start moving to a new technique, because in 20 years we can develop a lot of technology
160520	163360	to see a lot of planets.
163360	169280	Now there's an interesting effect noticed for these hot Jupiters.
169280	173800	Here we have the number of planets plotted against their orbital period.
173800	178720	And you notice a very interesting effect in that there is a pile-up of planets around
178720	181440	a three-day orbit.
181440	185600	Now there's no bias in the observations that would produce this effect.
185600	190560	There's no reason why we would favor seeing planets in three-day orbits, versus five
190560	193200	or ten or fifteen-day orbits.
193200	198000	So there must be some dynamical effect that favors this orbit.
198000	203040	Perhaps it's the tidal effects of gravity from the star onto the planet.
203040	205600	We're not sure.
205600	213720	If we look at the mass distribution of extrasolar planets, we see that there are many more at
213720	220600	low mass, and the falloff going towards high mass falls off as what we call a power law.
220600	226920	And again, this is the trend we expect, because it's easier to make smaller things, and so
226920	232400	you expect in a planetary system that you would get few bigger things.
232400	239120	The slope of the power law will be studied and debated, and the falloff is probably stronger
239120	247000	than shown, because the larger objects are easier to find.
247000	254080	So the low mass peak is likely to be even larger than is shown in this diagram.
254080	261600	Now even though this low mass distribution is not yet well known, we do have one intriguing
261600	263680	observation.
263680	269320	This is a plot of 30 planets that have their minimum mass, the M-sine I, less than a hundred
269320	271360	earth masses.
271640	277680	What you see here is a strong peak just below 20 earth masses.
277680	281080	We call this a Neptune mass peak.
281080	287000	One third of the objects when this plot was made are of Neptune mass.
287000	289640	This might indicate a characteristic mass.
289640	292480	Again the data here is incomplete.
292480	299080	Is there a class of hot neptunes, as well as a class of hot Jupiters?
299080	306640	You can see these classes in a plot of mass versus semi-major axis.
306640	309440	Here is one Jupiter mass on the y-axis.
309440	314880	The y-axis is in Jupiter masses, so here's one Jupiter mass, and so these objects over
314880	319560	here on the left would be the hot Jupiters.
319560	328240	These objects down here would be the hot neptunes, the ones that are, oh, maybe one-tenth, one-twentieth
328320	334000	the size of Jupiter, and these would be the more normal Jupiter mass planets, the ones
334000	336360	out here at a few AU.
336360	340400	So the ones that are interior would be the hot ones, the ones that are out at a few AU
340400	345200	would be what we would consider more normal Jupiter mass planets.
345200	350760	The diagonal lines drawn on this plot show the rough selection effects of finding these
350760	356400	planets, and the green dots are the solar system planets.
356400	361800	All of these green dots are below the line, except for Jupiter.
361800	367800	You can see the lower masses, but only in very small orbits.
367800	373800	You would not be able to discover a neptune in a neptune size orbit just yet.
373800	381800	If we take a look at the orbit shape, this is a plot of eccentricity on the y-axis versus
381800	385320	semi-major axis on the x-axis.
385320	389120	The close-in objects have lower eccentricity.
389120	395880	You don't see any objects less than, say, 0.1 of an AU having very high eccentricity.
395880	400520	So the hot Jupiters have more circular orbits.
400520	404520	But further out, all of the orbit shapes are seen.
404520	409860	They go from zero all the way up through 0.9, etc.
409860	416500	This is definitely not typical of what we see in our solar system, because the green
416500	422420	dots again represent our solar system objects, and here are all of these objects way down
422420	423420	here.
423420	428180	The one that comes up here is Mercury, and that's only at about 0.2.
428180	436780	The average eccentricity of the extrasolar planet population is about 0.25 or 0.3.
436780	443820	Solar planets tend to have much more elliptical orbits than what we see in our solar system.
443820	449320	If we plot the same eccentricity versus the mass of the planet, we get another scatter
449320	450820	plot.
450820	457040	Now you might expect for the larger objects that it would be harder to alter their orbit.
457040	462420	How do you get a really massive planet to go into this really elliptical orbit?
462420	467180	When you scatter things, it's usually the big mass guy scattering the small things, and
467180	471380	so you can get the smaller things into elliptical orbits, but how do you get the big mass guys
471380	473720	into these elliptical orbits?
473720	478460	What we see here is that there are elliptical orbits for all of the masses of these extrasolar
478460	480460	planets.
480460	486980	Now I will say that the circular orbits, the ones that would be further away like Jupiter
486980	493460	is now, will take longer to find because those circular orbits don't come in close to their
493460	494460	star.
494460	498780	When you've got an elliptical orbit and it comes in close, you get a strong velocity
498780	500740	kick on the star, and you can see the wobble.
500740	505340	If you're out in nice big circular orbit, they're a little harder to find, so this finding that
505340	509340	we see here might change in the future.
509340	515100	The last statistic I have to show you today is not about the planets, but about the stars
515100	516860	they orbit.
516860	523060	This shows you the percentage of stars that have planets compared to the iron content
523060	525380	of their host stars.
525380	529980	What we do is we measure the strength of the iron lines in the star's spectrum and compare
529980	531740	that to the sun.
531740	539180	So one on the x-axis is having the same amount of iron as we see in our sun.
539180	546260	There is a very strong trend here that if the star has more iron in it, then it's more
546260	548980	likely to find planets around it.
548980	555180	There are none in the left bin, but you'll also note that there are about one tenth as
555180	558700	many stars surveyed in that left bin.
558700	561260	Now iron isn't the point here.
561260	565860	Iron is just being used as a proxy for all the heavy elements.
565860	569340	The universe started out with just hydrogen and helium.
569340	573100	After the Big Bang, all we had was hydrogen and helium.
