start	end	text
0	22640	Because I'm a professional astronomer today, some folks assumed that I always wanted to
22640	27680	be an astronomer, that I grew up with telescopes and studying the sky as a hobby.
28000	32240	Well, the truth is, I didn't think about being an astronomer when I was young.
33120	39440	My favorite thing was, and still is, solving puzzles. I was always good at math,
39440	46000	and I really enjoyed the word problems. In high school calculus, the best word problems came from
46000	52320	physics, so I majored in physics at college. As I progressed in physics, the most interesting
52720	57760	physics problems were in astronomy, and I did my graduate work in astronomy.
58640	66080	So it was a sideways route, from mathematics to physics to astronomy, and always with an
66080	72320	analytical bent. Those who grow up with telescopes tend to be what we call amateur astronomers.
72880	76640	Now, I don't want to use the term amateur to imply a lack of expertise,
77280	80560	it more implies that they don't get paid to do astronomy.
81600	86560	These folks tend to focus more on observing techniques and the qualitative aspects of astronomy.
87360	93040	To get your PhD in astronomy, you really have to delve deep into the mathematics behind
93040	98560	celestial objects. This is sort of the fundamental dichotomy between descriptive
98560	105040	and quantitative astronomy. Astrophysics research is concerned both with what is out there,
106000	111760	and with how it came to be that way. Today's lecture explores the latter half,
112400	119760	the formation of the solar system. The basic idea is called the nebular hypothesis,
120480	124800	and it's originally due not to an astronomer, but the philosopher Emmanuel Kant.
126080	132480	In 1755, he came up with this idea. In this drawing, you can see it starts with an immense
132480	140480	cloud of low density gas. Gravity causes this cloud to collapse, and as it collapses, rotation
141520	148080	naturally forms a disk. The planets form in circular orbits within this disk.
148960	152000	Eventually, you end up with a solar system as it appears today.
153120	159200	This is a nice descriptive story, and it sufficiently explains all the qualitative
159200	166240	aspects of our solar system. However, when you look in detail, you find that some parts
166240	174560	are not yet fully explained. Let's begin on a much larger scale. Let's look at the scale of galaxies.
175520	183120	This is a spiral galaxy, Messier 51, also called the Whirlpool Galaxy, and galaxies are composed
183120	189760	of stars, gas, and dust. And this image, which was taken with visible light, the stars are the
189760	196320	most prominent things you see. However, if you use the Spitzer Space Telescope and look in infrared
196320	204800	light, the infrared light reveals the warm dust. This is the dust inside the spiral disk of this
204800	210400	galaxy. And you can see how it's threaded throughout the galaxy. It's not just concentrated in the
210480	218000	spiral arms, it's all over, threaded in throughout the galaxy. These spiral galaxies have these flat
218000	224960	disks that are basically shaped like a pancake, and if you look at them edge on, here is a galaxy
224960	235840	named NGC 5861. Looking at it edge on, you can see dark dust lanes. These dark dust lanes show the
235840	245040	cold clouds in the galaxies, and these cold clouds are where stars form. Now, how big of a
245040	250800	cloud would you need to form a star? You can make a simple estimate by taking the mass of the sun
251360	259040	and divide it by the average density of the interstellar material. So, doing that calculation,
259040	265440	you find that you need about one light year cubed as the minimum size cloud necessary.
266080	273280	So, take one light year, one cubic light year of interstellar material, that will collapse down to
273280	279520	about one solar mass. But generally, you're not going to have a full efficiency. Not all of that
279520	285680	mass is going to go into the star, so you need about 10 times the mass of the star in a protosteller,
286320	295600	protosteller nebula. This image here is an image of an object called a bak globule. It's the big
295600	301040	dark splotch in the middle of the image. It's dark not because there are no stars there,
301040	307440	but because it's a dense dark cloud that's blocking out all the light of the stars behind it.
308400	315200	It's roughly one light year in size, and this is really not a full interstellar cloud,
315200	320720	it's just a small core of interstellar cloud within much, much larger interstellar clouds
320720	327200	that we call giant molecular cloud. These giant molecular clouds can contain as much as a million
327200	333680	solar masses, and so they're much, much bigger than these few solar mass bak globules. But still,
333680	339200	even these giant molecular clouds are small compared to the trillion solar masses. That's the
339200	348640	total mass within a galaxy like our own. To form a star, such a cloud undergoes gravitational collapse,
349360	355760	and gravity is a rich gets richer scenario. If you have just a little more mass here,
356560	363520	you also have a little more gravity, and that attracts more mass. Having that more mass
363520	368640	provides more gravity, which attracts more mass, which gives you more gravity, and so on.
369840	375760	Regions that are over dense that have a little bit more mass tend to grow and grow and grow.
377040	383680	This collapse, however, can be slowed or stopped by thermal pressure. Now, thermal pressure is the
383680	390480	idea that gas collides and heats up, and when you heat something up, an increase in temperature
391200	397200	also creates an increase in pressure. We call this thermal pressure, and this thermal pressure
397200	405600	can provide a force that pushes out that resists the collapse force of gravity. So in order to
405600	411440	remove this thermal pressure, you need to be able to radiate away this heat, radiate away that heat
411440	417440	energy, remove the thermal pressure, and the collapse can continue. Here are some inter-star
417440	425040	clouds seen using both infrared light and radio light. The warm clouds are seen in infrared,
425040	432160	and they're shown here in green. The cold clouds are seen in radio light, and they're shown here
432160	439600	in red. Now, if you look at a couple of these clouds closely, you can see that the cold regions,
439600	447200	the red regions, are shielded inside of green regions, the warm regions. These dark clouds,
447200	454960	the dark cold clouds, are inside the warmer clouds, and stars form in these dark clouds,
454960	461520	because that is where the gas can cool. They're shielded, they're inside, this is where you can
461520	469280	cool, and energy can be radiated away. If you want to put it another way, if you see a bright cloud,
469280	474400	that cloud has been heated up, and those are hot clouds, and that's not where you're going to get
474400	482640	a star forming. Now, once the cloud starts collapsing, the question is, will it have enough
482640	490880	rotation to form a disk? The concept involved here is one called angular momentum, and before we get
490880	497840	to angular momentum, let's first discuss normal momentum. Momentum is defined as being mass times
497840	504160	velocity, and to understand it, I tend to think of car crashes. If you take a Hummer,
504160	508640	big old heavy Hummer, and a small little Volkswagen, and you crash them together,
508640	515440	which one's going to win? Well, the Hummer does, because it's more massive, so mass is important.
516080	521840	But what if you take a Hummer moving at, say, 10 miles an hour, and another Hummer moving at 70
521840	528320	miles an hour? In a crash like that, the high speed Hummer is going to win, and that shows you
528320	535600	that velocity is also important. So mass and velocity are both important when considering motion.
536480	542160	Momentum is the combination of mass times velocity, and this is a conserved quantity
542160	548480	in elastic collisions. I will, of course, note that car crashes are definitely not elastic collisions.
548800	556160	Angular momentum is simply momentum, but for a circular motion. Its mass times velocity
556160	562400	also times the distance to a pivot point. You can think of this as sort of spinning
562400	570000	or orbiting momentum, and angular momentum is also conserved in a system. So we can check the spin
