start	end	text
0	16780	For all the preaching that chemistry professors do about lab safety, it's amazing how many
16780	21480	advances have been made by those who ignored or broke those rules.
21480	26360	As the powerful biological activity of certain small molecules has become more and more apparent,
26360	31880	one of the classic methods of analysis, tasting, has become an absolute taboo in the chemistry
31880	32880	lab.
32880	38300	Yet, some great discoveries have been made by those who broke this very simple rule.
38300	42580	Take the example of Ira Remsen, an American born researcher who had spent significant
42580	47800	time in Germany in the 1870s, studying some of the most advanced chemical techniques of
47800	48800	the day.
48800	54520	Now, we're talking about the late 1870s, the same time as the boom of standard oil and
54520	56360	petroleum processing.
56360	61320	So, when Remsen returned to America to found the chemistry department at Johns Hopkins
61320	66360	University, he chose to study products which could be extracted from coal tar, ostensibly
66360	71240	for use as fuels, building materials and other industrial applications.
71240	76440	But Remsen's fate and the taste buds of his collaborator, Konstantin Fahlberg, took him
76440	78960	down a different path.
78960	83440	One night, after a day in the lab, Fahlberg noticed that his hands were contaminated with
83440	85840	a sweet-tasting substance.
85840	90600	It seemed that Remsen's laboratory had produced something remarkably sweet-tasting.
90600	97120	A quick investigation revealed that the sweet substance is what we now call saccharin, the
97120	100480	age of the artificial sweetener had been born.
100480	105880	In the century and a half since Remsen's isolation of saccharin, artificial sweeteners
105880	108880	have proven to be a blessing and a curse to society.
108880	113200	They clearly offer benefits in the reduction of calories in sweet foods and drinks.
113200	117280	But at the same time, their overall effect on health is hotly debated and thoroughly
117280	120800	researched even today.
120800	124720	These health concerns, along with free market competition, have led to the discovery and
124720	129160	development of a broad range of such sweeteners over time.
129160	134200	And early versions of these products, like saccharin and aspartame, look downright foreign
134200	139280	next to a molecule of sucrose, the molecule which they're all meant to mimic.
139280	144600	But newer options are more closely structurally related to sugar itself, like a molecule of
144600	145600	sucralose.
145600	150880	Now, we're all familiar with the molecule sucrose, or at least what it does.
150880	152480	We use it as a sweetener.
152480	158560	Now, the artificial sweetener sucralose is actually synthesized directly from sucrose
158560	160760	as a starting material.
160760	168240	In order to do this, I have to convert these three OH groups, or hydroxyl groups, into chloride
168240	169760	groups.
169760	174360	Once this is done, I've constructed my sucralose and I'm ready to take it to market.
174360	179720	Now, sucralose costs a little bit more because it has to be synthesized in a lab from sucrose's
179720	180720	raw material.
180720	184300	So, it's going to be about 10 times as expensive to make.
184300	190800	But in addition to being non-caloric, it's also 600 times as sweet as sugar.
190800	195440	Now, I'm not John Rockefeller, but I think I sense a good business opportunity here.
196000	200640	So today, we're going to cross a very palpable threshold in the study of organic chemistry.
200640	206080	Today, we're going to begin considering the fundamental mechanisms by which one compound
206080	207600	can become another.
207600	212600	We'll take the first few steps in our journey to understand exactly how it is at some of
212600	218040	the simpler molecules we've seen so far, and even more complex molecules like sucrose,
218040	223520	can be altered in a meaningful, targeted fashion using the knowledge that we've acquired since
223520	225360	the days of Woller's great accident.
225360	229680	Remember, he's the one that produced urea from inorganic substances giving birth to
229680	231920	the field of organic chemistry.
231920	237920	Now, as complex and detailed as our understanding of the science of chemistry has become, it's
237920	242560	sometimes easy to forget that the vast majority of our understanding of the science is rooted
242560	248960	in just over 200 years of intense study by just a handful of highly influential thinkers.
249920	256400	In the days of Loisier, Woller, and even Markovnikov and Zetsev, organic chemistry consisted of
256400	262400	mainly blindly, albeit very hopefully, mixing reagents in an empirical search for order in
262400	265280	the products that resulted.
265280	269520	As we settled into the 1900s, however, things began to change.
269520	274400	That large body of observational knowledge accumulated over a century had reached a critical
274400	279480	tipping point, the point at which the sum of all former observations started to lead
279480	283120	us to predictive rules about reactions.
283120	288880	In short, observation had led to understanding, which in turn was slowly manifesting an ability
288880	294320	to predict and design reactions.
294320	299440	As we begin our investigation into some reaction pathways, we're going to revisit an old friend,
299440	304400	Christopher Kelk Engeld, who did so much more for the science than just participating
304400	309520	in developing the now familiar con Engeld-Prelog nomenclature convention.
309520	313760	It's also Engeld, who's often credited with first proposing some of the fundamental rules
313760	319520	governing organic reaction mechanisms, which are still in use today.
319520	326240	In 1933, Engeld and his collaborator, E. D. Hughes, wrote a letter to the vaunted scientific
326240	328160	journal Nature.
328240	332880	In this letter, they laid out their argument for a systematic and predictive approach to
332880	340960	understanding one of three basic reaction types in organic chemistry called substitution.
340960	346880	Shortly thereafter, Engeld made this sense of change very clear when in 1934 he wrote
346880	348960	the following of his own research.
348960	349960	Quote,
349960	355440	The new work made it inescapably clear that the old order in organic chemistry was changing.
355440	359360	The art of the subject was diminishing, its science increasing.
359360	364820	No longer could one just mix things, sophistication in physical chemistry was the base from which
364820	368920	all chemists, including the organic chemists, must start.
368920	369920	End quote.
369920	373040	Powerful words.
373040	376840	Over the next three lectures, we're going to investigate the three general reaction types
376840	379960	most often encountered in organic chemistry.
379960	385420	Those are substitution, in which one substituent or functional group is exchanged for another
385420	394460	elimination, in which substituents or functional groups are lost in favor of pi bond formation,
394460	399580	and addition, in which pi bonds are sacrificed to form sigma bonds to new substituents or
399580	402500	functional groups.
402500	407740	So let's begin with substitution reactions and see if we can better understand how sucrose
407740	409740	is turned into sucralose.
409740	414420	Now, before we go quite that far, let's take a look at a simpler reaction than one might
414420	417500	use to convert sucrose to sucralose.
417500	422940	Here I have a hydroxide ion reacting with a methyl chloride molecule.
422940	430300	Now the product of this reaction is a chloride ion and methyl alcohol, also known as methanol.
430300	434140	The reaction if I were to draw as line angle formula would look something like this, in
434140	440420	which the chlorine substituent from my methyl chloride has been replaced by the hydroxyl
440420	442540	from the hydroxide reagent.
442540	447540	So this is a classic example of a very simple substitution reaction.
447540	453660	You'll notice that in my starting materials I have two different species, and in my products
453660	456580	I also have two different species.
456580	460900	So a substitution reaction is what we would call entropically neutral.
460900	466100	It's not really driven or fought against by randomness, it's sort of on the fence on
466100	467100	that.
467100	471460	So what's going to determine whether these reactions occur or not is not the entropy,
471460	475580	but the enthalpy, the strength of the bonds that are breaking and forming.
475580	479060	Now any substitution reaction will have the same basic cast of characters.
479060	485300	A nucleophile, a substrate, an electrophile and a leaving group.
