start	end	text
0	3840	Let me pull out an old differential equations textbook that I learned from in college,
3840	9520	and let's turn to this funny little exercise in here that asks the reader to compute e to the power
9520	15600	at, where a, we're told, is going to be a matrix, and the insinuation seems to be that the results
15600	21120	will also be a matrix. It then offers several examples for what you might plug in for a.
22000	26560	Now, taking out a context, putting a matrix into an exponent like this probably seems like total
27440	31760	nonsense, but what it refers to is an extremely beautiful operation, and the reason it shows up
31760	36480	in this book is that it's useful. It's used to solve a very important class of differential
36480	41440	equations. In turn, given that the universe is often written in the language of differential
41440	46400	equations, you see this pop up in physics all the time too, especially in quantum mechanics,
46400	51120	where matrix exponents are littered throughout the place. They play a particularly prominent role.
51120	54720	This has a lot to do with Schrodinger's equation, which we'll touch on a bit later,
54720	59440	and it may also help in understanding your romantic relationships, but again, all in due time.
65520	69680	A big part of the reason I want to cover this topic is that there is an extremely nice way to
69680	74800	visualize what matrix exponents are actually doing using flow that not a lot of people seem to talk
74800	80240	about. But for the bulk of this chapter, let's start by laying out what exactly the operation is,
80240	83520	and see if we can get a feel for what kinds of problems it helps us to solve.
84240	88320	The first thing you should know is that this is not some bizarre way to multiply the constant
88320	94000	e by itself multiple times. You would be right to call that nonsense. The actual definition
94000	98320	is related to a certain infinite polynomial for describing real number powers of e,
98320	103200	what we call its Taylor series. For example, if I took the number two and plugged it into this
103200	109360	polynomial, then as you add more and more terms, each of which looks like some power of two divided
109360	121120	by some factorial. The sum approaches a number near 7.389, and this number is precisely e times e.
122000	127040	If you increment this input by one, then somewhat miraculously, no matter where you started from,
127040	131040	the effect on the output is always to multiply it by another factor of e.
132160	136080	For reasons that you're going to see in a bit, mathematicians became interested in plugging
136080	141040	all kinds of things into this polynomial, things like complex numbers, and for our purposes today,
141040	145680	matrices, even when those objects do not immediately make sense as exponents.
146480	151120	What some authors do is give this infinite polynomial the name exp when you plug in more
151120	156400	exotic inputs. It's a gentle nod to the connection that this has to exponential functions in the
156400	160240	case of real numbers, even though obviously these inputs don't make sense as exponents.
160800	166000	However, an equally common convention is to give a much less gentle nod to the connection and just
166080	170320	abbreviate the whole thing as e to the power of whatever object you're plugging in,
170320	174400	whether that's a complex number or a matrix, or all sorts of more exotic objects.
174960	180160	So while this equation is a theorem for real numbers, it's a definition for more exotic inputs.
180880	183840	Cynically, you could call this a blatant abuse of notation.
184560	188720	More charitably, you might view it as an example of the beautiful cycle between discovery and
188720	194080	invention in math. In either case, plugging in a matrix even to a polynomial might seem a little
194080	199440	strange, so let's be clear on what we mean here. The matrix has to have the same number of rows and
199440	205200	columns. That way, you can multiply it by itself according to the usual rules of matrix multiplication.
205200	210960	This is what we mean by squaring it. Similarly, if you were to take that result and then multiply
210960	215680	it by the original matrix again, this is what we mean by cubing the matrix.
217760	222320	If you carry on like this, you can take any whole number power of a matrix. It's perfectly
222320	227440	sensible. In this context, powers still mean exactly what you would expect, repeated multiplication.
234000	238240	Each term in this polynomial is scaled by one divided by some factorial,
238240	242240	and with matrices, all that means is that you multiply each component by that number.
243040	247360	Likewise, it always makes sense to add together two matrices. This is something that you again
247360	253280	do term by term. The astute among you might ask how sensible it is to take this out to infinity,
253280	257200	which would be a great question, one that I'm largely going to postpone the answer to,
257200	262720	but I can show you one pretty fun example here now. Take this 2 by 2 matrix that has negative
262720	268240	pi and pi sitting off its diagonal entries. Let's see what the sum gives. The first term
268240	272640	is the identity matrix. This is actually what we mean by definition when we raise a matrix to
272640	278720	the zeroth power. Then we add the matrix itself, which gives us the pi off the diagonal terms,
278720	283680	and then add half of the matrix squared. And continuing on, I'll have the computer keep
283680	288720	adding more and more terms, each of which requires taking one more matrix product to get the new power
288720	294480	and then adding it to a running tally. And as it keeps going, it seems to be approaching a stable
294480	300160	value, which is around negative one times the identity matrix. In this sense, we say the infinite
300160	305440	sum equals that negative identity. By the end of this video, my hope is that this particular
305440	310400	fact comes to make total sense to you. For any of you familiar with Euler's famous identity,
310400	315440	this is essentially the matrix version of that. It turns out that in general, no matter what
315440	321040	matrix you start with, as you add more and more terms, you eventually approach some stable value,
321040	323680	though sometimes it can take quite a while before you get there.
324160	332960	Just seeing the definition like this in isolation raises all kinds of questions. Most notably,
