start	end	text
0	6160	I have three goals for this video. First, I want to show you a way of using GPT-4 to get smarter
6160	13040	results. Second, I want to argue that the benchmark results we have for GPT-4 do not reflect its full
13040	18080	abilities. And third, I want to show you a system that I am developing, somewhat cheekily called
18080	24320	Smart GPT, that is already showing significant results on official benchmarks. It remains to
24320	30240	be fully optimized, which I think is exciting in itself. I have shown the system to people at Open
30240	34720	AI who have been quite impressed, and I'm going to end with some reflections on where that might
34720	41040	leave us for GPT-5. But before I get into how it works, I just want to show you one example of it
41040	46560	in action to whet your appetite. This example comes from a TED talk that was released this week.
46560	53760	So suppose I left five clothes to dry out in the sun, and it took them five hours to dry completely.
53760	61600	How long would it take to dry 30 clothes? GPT-4, the newest, greatest AI system says 30 hours. Not
61600	67520	good. On the left, you can see GPT-4's original answer, and it gives this answer pretty consistently
67520	72400	whenever you prompt it with the question provided. On the right, you can see the final answer from
72400	77280	the Smart GPT model, which is correct, and it consistently gives that answer. I really like
77280	82320	how it gives context as well, and it provides some of the assumptions that it had in giving this
82320	87120	correct answer. Now, don't you worry, there will be plenty more examples to go through in this video,
87120	91920	including another one from that TED talk. But first, I want to give you an overview of what is
91920	96560	this Smart GPT model, where did I get my inspiration for it from, and how does it work? I'm going to
96560	100480	keep it fairly simple because it's the beginning of the video, and I know a lot of people won't really
100480	106640	care about the inner details that will come later in the video. But the high-level overview is this.
106640	112320	There are at least three things that have been proven to improve the outputs of GPT-4.
112320	116400	What's called chain of thought prompting, sometimes called step-by-step prompting,
116400	121200	reflection, or finding its own errors, and I did an entire video on this called GPT-4
121200	126880	Can Self Improve, and dialoguing with itself, entering into a back and forth on its own
126880	131920	outputs and deciding which one is best. You can see the title of the papers, which contain much
131920	137040	more detailed results, of course, linked above. Now, the first paper only came out a few days ago,
137040	142240	midway through my testing, so my results don't even reflect the full capacity of the model.
142240	147920	And even if there's nothing else you take from this video, the results from this paper can instantly
147920	154480	improve the outputs you get from GPT-4. Many of you might remember that prompting GPT-4 with
154480	160240	let's think step-by-step improves its results. To give you a very quick reference point, just
160240	166720	asking a question to GPT-4 gives you 81% accuracy. With that prompt, let's think step-by-step,
166720	173520	it goes up to 86%. But algorithmically, the paper found an improved prompt that can give you even
173520	179920	better results, 89% accuracy. All we do, and this is the first part of smart GPT, is we add
179920	186160	answer, let's work this out in a step-by-step way to be sure we have the right answer. Now,
186160	191520	I have so much to say about why I think this works, but I know many of you won't be that
191520	195840	interested in my theories, so I'm going to save them to the end for those who are interested.
195840	200080	Some of you just want the results, so I'm going to get to those first. So far, you might be thinking,
200080	203760	well, thanks, Philip, that's a cool prompt. I'm going to use that. But what's this whole smart
203760	209920	GPT about? Is it just a single prompt? No, I believe with evidence, there are ways of leveraging
209920	215520	even better results than just using a great chain of thought prompt. So let's move on to the next
215520	220000	part of the system, these different outputs in the middle. For my tests, I typically did three
220000	224240	outputs, but of course, depending on the context window, it could be far more than that. And I'm
224240	229440	going to talk about ways I could further improve this model, or we could later on in the video.
229440	234640	Just to restate, these outputs are when you take the user input and add the word question at start,
234640	239040	and then at the end add answer, let's work this out in a step-by-step way to make sure we have
239040	243440	the right answer. And at this moment, many of you are thinking, what is the point of multiple
243440	247680	outputs? It's GPT-4, it's just going to give you the answer that thinks is best, and that's it.
247680	252160	Well, actually, it doesn't quite work like that. These models have a temperature between zero and
252160	258480	one. I believe the default for GPT-4 might be around 0.5. And simplifying massively, this determines
258480	264720	how creative or conservative the model is in giving its outputs. So given that GPT-4 tries to be
264720	270400	fairly creative, you don't get the same output every time. The output is randomly sampled according
270400	275520	to an internal probability distribution. So you can get situations, and I face this hundreds of
275520	281280	times, where some of the outputs are correct, and others are incorrect. And this is where reflection
281280	288320	comes in. Sometimes, definitely not always, but sometimes quite often, GPT-4 can detect the errors
288320	294000	in its own output. And many of you will notice at this point that the prompt that I used to elicit
294000	301520	GPT-4 to spot its own errors contains the same step-by-step prompt I used earlier that has been
301520	308720	shown to produce good results. So to summarize, sometimes at this stage, GPT-4 detects the errors
308720	313760	that some of its outputs have made. Definitely not always. There are certain questions, it just simply
313760	319600	can't spot the error. But sometimes it can. And then I get it to engage in a dialogue using a format
319600	324480	similar to one in this paper published last month. It's a short dialogue, and this is the
324480	330880	step I believe that can be most optimized. In the future, I envision an entire council of advisors
330880	337840	made up of GPT-4 imitating mathematicians, judges, etc. At the moment, it's just being a resolver
337840	342880	and printing a final improved output. Anyway, I'm going to get back to the theory later in the video
342880	346720	because I know some of you will be getting bored at this stage and want to see more practical
346720	353440	examples and the results from my benchmark tests. As I don't have the GPT-4 API key, yes, I had to
353440	359440	manually input each of these steps hundreds of times, waiting sometimes three hours between each
359440	364640	go because you can only do 25 messages every three hours. On the left, you can see the three
364640	370160	outputs when you ask it to think step by step. And then you have the researcher step in the middle
370160	374800	and at the top right. And finally, the resolver step. Notice here, I was using the original
374800	379680	let's think step by step because the paper hadn't yet been published on improving that prompt.
379680	384560	It's time for the second example from that TED Talk, and then I definitely will get on to the
384560	390960	benchmarks. A different one. I have 12 liter jug and 6 liter jug, and I want to measure 6 liters.
390960	398240	How do I do it? Just use the 6 liter jug, right? GPT-4 spits out some very elaborate nonsense.
400400	404560	Of course, I tested smart GPT with that question, and you can see the difference between
404560	410720	the original GPT-4, which gives this incredibly convoluted bad answer, and smart GPT, the final
410720	414560	answer output. Now, at this point, I know many of you will be impressed, but you'll be thinking,
414560	419920	I don't have time to input things five times. Well, I'm developing a model where it can all
419920	424720	be done automatically. Here is a preview of how it works. But of course, at the moment, it has to
424720	431280	use GPT 3.5 Turbo because I don't have the API key of GPT-4. But the epic thing is this, you just
431280	436320	ask a single question, I've written, ask smart GPT-A question. And of course, it does take a
436320	441440	little bit longer to respond because it's doing five or six calls via API, but it does output the
441440	447200	final answer from the resolver step. I will be honest and say that GPT 3.5 isn't as good at
447200	452720	reflecting or resolving. But this is an example of a question where the original chat GPT consistently
452720	459440	gets it wrong, and smart GPT 3.5 gets it right using this program. Remember, all you have to do as
459440	465200	a user is type in a question as normal, and it goes through this entire five or six step process
465200	470320	behind the scenes. By the way, this was a question from MMLU, which is a famous benchmark which I'll
470320	475200	get to in a second. Here's one last practical example before I get to that benchmark. I know many
475200	481200	teachers use chat GPT and GPT-4 to create quizzes for their classes. And here is the same question
481200	486720	put through GPT-4 and smart GPT. The question is, create a high school algebra quiz with five
486720	491440	questions and answers and explanations at the end. Now points for spotting the difference,
491440	496640	but if the teacher had handed out the original quiz, look at the answers for question five.
496640	502880	It says the answers are one and 1.5. But then in the explanation, it gives the final answers,
502880	508080	which are correct by the way, of three and zero point five. So that would really confuse some
508080	513760	students at the reflection stage smart GPT spotted that error and resolved it. And as you can see,
513760	518560	the answer for question five has the correct answers straight away. If at any point you're
518560	523680	wondering if I completed the open AI chat GPT prompt engineering course, the answer is yes,
523680	528160	but it didn't inform too much of my thinking. It was more for beginners and I had already
528160	533040	factored in things like giving the model time to think and writing clear instructions. The
533040	540240	benchmark that I chose to test smart GPT on was the famous MMLU, massive multitask language
540240	546880	understanding benchmark. As you can see, the state of the art is indeed GPT for with 86.4%
546880	551840	accuracy. And you know, open AI think it's a big deal because it's the benchmark mentioned on the
551840	556480	front page of their technical report without boring you too much. I extracted the questions
556480	563520	from the test set of the MMLU data file, and I didn't pick the topics at random. I went for
563520	569440	those that I thought GPT for would find the hardest delving into the original MMLU paper.
569520	577280	You can see that GPT three found for more logic the hardest scoring just over 25% which is random
577280	584080	chance. It's a four question multiple choice test. So around 25 or 30% is pretty bad. And notice
584080	590800	they helped out GPT three here. They did it few shot, meaning they gave it five successful examples
590800	595920	before asking it a new question. It's the same thing they did with GPT four. They did it five
595920	599760	shot. But just before I show you the results, there are three things I want to mention here.
599760	605840	First, I was curious how smart GPT would do without any help zero shot. Second, I wanted to do it
605840	612480	zero shot because people using GPT four don't typically give five successful examples before
