start	end	text
0	9540	Hello and welcome, everyone, to the Active Inference Institute.
9540	16640	This is Active Gueststream number 41.1 on April 25, 2023.
16640	20460	We're here with Elliot Murphy and Steven Piantadosi.
20460	22280	This is going to be quite a discussion.
22280	25640	We will begin with opening statements from Steven and Elliot.
25640	29880	Elliot will then lead with some questions and we'll have an open discussion at the
29880	30880	end.
30880	36080	So, Steven, please, thank you for joining and to your opening statement.
36080	37080	Cool.
37080	39360	Hi, so I'm Steve Piantadosi.
39360	45320	I'm a professor in psychology and neuroscience at UC Berkeley.
45320	50080	And I guess part of the reason that we're here is that I recently wrote a paper on large
50080	57080	language models in part trying to convey some enthusiasm about what they've kind of accomplished
57080	61000	in terms of learning syntax and semantics.
61000	65600	And in part pointing out, I think that these models really change how we should think about
65600	72240	language, how we should think about theories of linguistic representation and theories
72240	76360	of grammar and likely also theories of learning.
76360	77360	Yeah.
77360	78360	Awesome.
78360	79360	Yeah.
79360	81360	So, I'm Elliot Murphy.
81360	85680	I'm a postdoc in the Department of Neurosurgery at UC Health in Texas.
85680	89600	I read Steven's paper with great interest and there's a lot of people.
89600	93440	There were some areas of convergence, but the things I want to kind of focus on today
93440	98520	in responding to Steven and kind of probing how to do with areas of divergence maybe.
98520	104200	So, you know, Steven's paper is based on the idea that modern machine learning has subverted
104200	108800	and bypassed the entire theoretical framework of Chomsky's approach.
108800	111840	So I wanted to kind of respond to some of these main arguments and some other related
111840	116560	arguments in the literature that some folks listening might have some insight and thoughts
116560	117560	on.
117560	122000	So, it's a very common criticism to say that large language models just predict the next
122000	125800	token, which is obviously a bit of a cliche, right?
125800	127000	It's not quite true.
127000	132560	They don't just predict the next token, they also seem to confabulate, they seem to hallucinate,
132560	138000	they maybe lie, they randomly provide different answers to the same question, and they seem
138000	141120	to stochastically mimic language like structures.
141120	144160	They sometimes correct themselves sometimes when they shouldn't.
144160	147120	If you push them a little, they kind of change their mind sometimes.
147120	150400	In fact, if Fox News is currently looking for a replacement for Tucker Carlson, they
150400	151400	could do less.
151400	156400	They could definitely do worse than using ChachiBT if they're looking for a similar
156400	157400	caliber.
157400	161880	So, these models seem to do all sorts of like wild things, and over the past 10 years, there's
161880	166320	been a sequence of different, you know, systems developed like where to be, where to be, and
166320	169840	each of them is based on a different neural net approach, but ultimately they all seem
169840	174560	to take words and characterize them by lists of hundreds or thousands of numbers.
174560	181800	So the GTP3 network has 175 billion weights, 96 attention heads in its architecture, and
181800	184600	as far as what I know, maybe Stephen can correct me here.
184600	188360	We don't really have a great idea of what these different parts really mean.
188360	190080	It just seems to kind of work that way.
190080	195040	Like attention heads in GTP3 can pay attention to much earlier tokens in the string in order
195040	198840	to help them predict the next token, but the whole architecture from start to finish is
198840	204760	kind of engineering-based motivations, and I always kind of wonder what about all the
204760	209600	models that kind of failed from these LLMs, from the different tech companies.
209600	213360	It's like these companies often seem to, you know, make it seem like they have these models
213360	218840	that really work very well straight out the box, and they all seem to be named after some
218840	220840	kind of famous artists, right?
220840	223120	They have Dali after Salvador Dali.
223120	227240	They have Da Vinci, maybe pretty soon one of these companies will release a large language
227240	231520	model called Jesus or something, I don't know.
231520	234040	But they always say, here's our new foundation model.
234040	235040	It's called Picasso.
235040	236040	It's the first one we tried.
236040	237040	It works just great.
237040	240720	No problems straight out the box, but I always wonder what about all the other black boxes
240720	242960	that have kind of failed every time?
242960	247360	That doesn't seem to be a kind of a very open and clear structure to the kind of scientific
247360	252200	reasoning behind selecting, you know, one model or another, but again, I might be, I'm
252200	255120	open to be corrected about that.
255120	260520	So even basic language models do pretty well on basic word prediction.
260520	264160	So the issue is whether these tools provide any insights into traditional psycholinguistic
264160	266400	notions like grammar and parsing.
266400	270680	So this is really why I kind of prefer the term corpus model rather language model, suggested
270680	273240	by people like Sabra Varys.
273240	278040	So as we pointed out that no one really thinks LLMs tell us anything profound about Python
278040	282040	when they learn Python code just as well as natural language, but Python is a symbolic
282040	286840	language with a phrase structure grammar and nobody says LLMs are unveiling the secrets
286840	287840	of Python.
287840	288840	Right.
288840	292080	So just to quote Varys here, he says, if A and N models can be construed as explanatory
292080	296240	theories for natural language based on their successes on language tasks, then in the absence
296240	299520	of counter arguments, they should be good explanatory theories for computer language
299520	300520	as well.
300520	305400	Therefore, successful A and N models of natural language cannot be used as evidence against
305400	308120	generative phrase structure grammars in language.
308120	312160	So corpus model is really a more appropriate term for other reasons too.
312160	315880	People like Emily Bender and some others have shown that features of the training corpus,
315880	320200	in fact, I think Steven cites this, you cite this in your paper actually as a limitation.
320200	324160	They show that features of the training corpus can heavily influence the learning process.
324160	327400	So it's been shown that the performance of large language models on language tasks is
327400	331800	really heavily influenced by the diversity of the training corpus.
331800	334240	But natural language itself is not biased, right?
334240	336800	It's just the computational system.
336800	340160	Some beings can be biased in what they say and how they act.
340160	342520	But natural language itself isn't biased, right?
342520	347880	So large language models, therefore, it seems difficult for me to agree that they are being
347880	349400	subject to all sorts of biases.
349400	352920	They therefore can't really be models of language, they're models of something else.
352920	358840	So just to kind of wrap up this argument, even though LLMs are clearly exposed to vastly
358840	362560	more linguistic experience in children, again, this is something else that Steven concedes
362560	364500	and talks about in his paper.
364500	369020	And so their learning outcomes may still be relevant in addressing what grammatical generalizations
369020	370660	are learnable in principle.
370660	374220	So I do agree with this statement here, that in principle they can tell us something about
374220	378900	learnability rather than things like broad acquisitionist frameworks.
378900	382500	But that's about as much I think you can maybe say right now.
382500	387140	Showing that some inductive biases are not necessary for learning is not really the same
387140	389840	thing as showing that it isn't present in children.
389840	393620	So there's been a long debate about whether negative evidence and instruction and correction
393740	399300	and feedback during language learning are necessary or even useful for infants and children.
399300	403340	But right now I kind of agree more with Eugene Choi and Gary Marcus and others who have highlighted
403340	406820	how LLMs are currently very expensive to train.
406820	411740	They're clearly an example of concentrated private power in the hands of a few tech companies.
411740	417060	Their environment impact is massive and many of people have been less constrained and conservative
417060	421940	in their assessment here, which is much less so than Gary Marcus and Eugene.
421980	428820	So Bill Gates recently wrote that chatGPT is the biggest tech development since the
428820	430820	graphical user interface, the GUI.
430820	436100	And Henry Kissinger wrote in February in the Wall Street Journal that as chatGPTs capacities
436100	441620	become broader, they will redefine human knowledge, accelerate changes in the fabric of our reality
441620	444180	and reorganize politics and society.
444180	449180	Generative AI is poised to generate new forms of human consciousness, so very radical claims
449180	450180	happening at the moment.
450180	456100	I do wonder if sometimes all of the AI hype may have, you know, see it into certain portions
456100	459940	of academia potentially, a lot of ground claims being made.
459940	463220	But I think, you know, more concretely, just to put it back to Stephen here, I wanted to
463220	468820	maybe raise the issue of there's a critique by Roscoe and Beaumont that I think he's read
468820	471500	on Lingbos.
471500	476140	I think you saw on Twitter that you don't like the response they gave because the objection
476140	479620	that they made is that, you know, science is an example of deductible logic.
479620	483340	Your objection is that science isn't deductive, it's inductive, right?
483340	488380	But I think their general point might be more accurate, namely that you can't use the fact
488380	493620	that language models do well predicting some linguistic behavior in humans and some neuroimaging
493620	494860	responses.
494860	499580	You can't use that alone to claim that they can yield a theory of human language.
499580	503340	So in your paper, Stephen, you know that it seems that certain structures work better
503340	504340	than others.
504340	508460	The right attentional mechanism is important, prediction is important, semantic representations
508460	509460	are important.
509500	512620	And therefore, we can glean currently based on these models, right?
512620	515900	But so far, that's really all I've been able to glean in the literature.
515900	517940	I'm not sure if you have more insights here.
517940	523700	So Roscoe and Beaumont use the example of poor prediction, but strong explanation, right?
523700	527140	Explanatory power and not predictive accuracy forms the basis of modern science.
527140	530780	I don't want to explore this a little bit later, maybe, but modern language models can
530780	534540	accurately model parts of human language, but they can also perform very well on impossible
534540	539420	languages and unnatural structures that humans can't learn and have great difficulty
539500	540140	processing.
540140	542220	And I know you're familiar with these with these criticisms, right?
543180	544940	But you're definitely not alone here at the same time.
544940	552220	So Ilya Tskeva, the chief scientist at OpenAI, he said in an interview recently, what does
552220	554060	it mean to predict the next token well enough?
554460	559020	It means that you understand the underlying reality that led to the creation of that token,
560060	563420	which is quite divergent from a lot of more conservative claims in the literature here.
564620	568940	And also, you know, I would just say in response to that, that different components of science
569020	572220	can be either inductive or deductive, right?
572220	573340	It's not really an either-or.
573340	574700	You have an existing theory.
574700	576300	You formulate a hypothesis.
576300	580460	You collect data, you analyze it, and that's kind of a deductive process.
580460	583340	But there's also cases where you start with a specific observation.
583340	586460	You find some patterns and you induce general conclusions, right?
586460	593020	And then there's abduction, where you magically invent hypotheses and reduce the hypothesis space.
593020	598220	You wouldn't really say that deductive reasoning is unscientific or inductive reasoning is unscientific
598220	600540	or abductive reasoning is unscientific, right?
600540	602860	These are all just different ways of doing stuff.
602860	609260	I mean, in your paper, you give the examples of using models to predict hurricanes and pandemics
609260	612860	as being examples of stuff that is as rigorous as science gets.
612860	617180	And then you employ a reader to conclude that the situation is no different for language models.
618220	622380	But I guess for me, the issue is that models predicting hurricanes are not in the business
622380	625980	of answering the question, what is the hurricane, right?
626060	629420	Models accurately predicting the weather are very accurate, but they're not.
629420	633420	They're aligned with the meteorology department, but they're not a substitute for it.
634380	636140	So I guess I'll just hand it over to you.
637820	640220	Yeah. Okay. Well, there's a lot there.
641660	648860	I guess I could start just by saying that I agree with many of these criticisms, right,
648940	657900	about these models being controlled by one or two companies that being very, very problematic.
660300	664780	They have all kinds of biases that they've acquired because they're trained on text from the
664780	672940	internet. That's hugely problematic. I certainly agree that there's things at least at present
672940	680140	that the models don't do well, right? So I think it's easy to find examples of questions
680140	685900	and problems that will trip them up. I think why I've been excited about them, though,
686940	694060	is not necessarily in those terms, right, but in terms of performance on language,
694780	702140	specifically syntax and semantics. I think they're far beyond kind of any other theory
702140	709900	in any other domain, right? So there's no other theory out of linguistics or computer science
710620	717340	which can generate long, coherent grammatical passages of text.
718460	727260	And so kind of admitting all of their problems as tools or things which are deployed by companies,
728220	735100	there's still this question of, like, how are they at dealing with language? And I think this
735100	740140	is where a lot of the enthusiasm comes from, is there really hasn't been anything even remotely
740140	746220	like them in terms of linguistic ability. And that's the thing that I think is exciting. So,
746220	753100	yes, I agree with a bunch of these things you started with, but nonetheless, like I think in
753100	757980	terms of syntax and semantics, there's just no other theory which is comparable to them.
760220	766460	But so let me push that back then, right? So the main objection from a lot of people I've spoken
766460	771740	to in the departments of linguistics who are like a lot of the general first of your paper
772460	777900	is to really say, well, you're right, they do a wonderful job accurately modeling all aspects
777980	783260	of a lot of aspects of syntax and semantics. However, I don't know if any real just like,
783260	786860	you know, Chomsky talks about facts about language, which is an old fashioned notion.
787580	790780	But I really think that's kind of an important notion too, right? Like,
790780	798620	is there some discovery about language itself that LLMs can uniquely provide? So like, if LLMs
798620	804780	made some prediction about, let's say you have a sentence structure type X being more difficult
804860	809100	to process than sentence type Y. And this is a unique prediction that only they'd
809660	814060	generate it. And no human linguist, Chomsky, Honesty, and Adger, none of these people had
814060	817900	ever predicted that before. But it turns out to be true. You do eye tracking experiments,
817900	821020	you do all sorts of different behavioral experiments. And it turns out, oh, you know,
821020	825020	after all, it turns out to be true. This is the new insight about language processing,
825020	829580	it's a new insight about language, you know, behavior. I just wonder, I'm not saying that
829580	833660	this is not possible in principle, because it might happen in the near future. But that's,
833660	838140	I guess, for me, the crux of why a lot of linguists speaking up, speaking on behalf of
838780	843100	the entire linguistic community here. And, you know, I guess that would be one of the main
843100	851100	objections. Yeah, I mean, I don't know of, I guess, I think of the insights they've provided as
851100	858220	kind of general principles, right? So I think about these things like the power of memorizing
858220	863260	chunks of language, right? So like, they seem to be very good at constructions, for example.
863340	867500	And there's lots of linguistic theories, Chomsky's in particular, right, which are
868380	874140	about trying to find kind of minimal amounts of structure to memorize, right, trying to derive
874140	880780	as much as possible from some small set, some small collection of operations. And I think
880780	887020	that hasn't gone well for those theories, right? Whereas this goes really well, right? So if we
887020	890860	think about something which has the memorization abilities, if we think about theories of grammar,
890860	898460	for example, which build on, you know, humans like really remarkable ability to memorize different
