start	end	text
0	18840	Hello and welcome everyone. This is Active Inference Gas Stream 84.1 on July 22nd, 2024
18840	24800	on Anthropocentric Bias and the Possibility of Artificial Cognition with Rafael Maguerre
24800	32040	and Charles Rathkoff. So, Rafael and Charles, thank you very much, both for joining, to you
32040	35680	for introductions and to take us through the paper.
35680	36200	Oh, thank you.
36200	37200	And welcome everyone.
37200	45000	This is Active Inference Gas Stream 84.1 on July 22nd, 2024.
45000	45800	Thank you.
45800	49760	Okay, thank you guys. Go for it.
49760	51920	Hi, thanks for having us.
51920	60040	So, I'm Rafael. I'm an assistant professor at Macquarie University in Australia, Sydney, and Charles?
60040	76640	I'm Charles Rathkoff. I'm a prominent research associate at the Ulich Research Center in Ulich, Germany, in a big neuroscience institute.
76680	79840	So, should we go through the paper briefly?
79840	83880	So, yeah, we wrote this paper together.
83880	89920	Actually, we started by writing a general audience piece that was published in the box online.
89920	91680	Tell us when was that?
91680	93640	A few months ago, I guess.
93640	97520	Yeah, I think it was close to a year ago, maybe.
97520	102000	I don't think it was published a year ago. I think it was published in 2024.
102000	105240	But yeah, we worked on it for a while.
105240	113560	Yeah, so this piece was doing, I guess, two things, that piece that we published in the box.
113560	117640	It was pushing back against what we call the all-or-nothing principle,
117640	123200	which we defined as the idea that either something has a mind or it doesn't.
123200	131840	So, this kind of neat but overly simplistic, perhaps, partition of things into minded and non-minded things.
131880	136840	And we argued that this was not the best framing to think of,
136840	142960	especially, and family, our systems that seem to have sophisticated behavioral capacities,
142960	146280	like large language models or AIC systems in general,
146280	150400	where we don't want to take various cognitive capacities of the package
150400	154160	and package them into this idea of a mind, where either you have the mind or you have them,
154160	159920	then if you have the mind, you have all of these things as a package, consciousness, reasoning, etc.
159920	163840	planning, memory, theory of minds.
163840	169280	So, we thought, as a remedy to this kind of all-or-nothing approach,
169280	173840	we argued for what we call the divide and conquer strategy
173840	177040	when studying the cognitive capacities of these systems,
177040	182480	which involved looking at these capacities on a piecemeal basis, case-by-case,
182480	186080	with an open-minded empirical approach.
187040	193040	Yeah, Charles, I don't know if you have anything else that's down in the books, piece or the backgrounds.
193040	203760	Yeah, I mean, we made one point in there about why it is that people feel so torn about
203760	211600	reactions to large language models, and we said a little bit about the psychology of essentialism,
211680	218960	which is the idea that we naturally categorize especially living things
219920	226320	with respect to a presumed essence. So, we gave an example of an oak tree, I think,
227920	234880	and we said that what people tend to think as they grow up and learn about the natural world is that
235600	245280	an oak tree remains an oak tree regardless of changes to its observable properties,
246080	255200	and what makes an oak tree is this unobservable essence of oakness, or whatever it presumably has,
255200	260960	and there's some experimental psychology and developmental psychology showing that we
261920	271360	have a similar attitude towards mindedness or having a mind, and that is a somewhat speculative
271360	276640	explanation for why the literature on large language models is so torn, and some people
276640	285760	are quite dismissive, and other people think that it's a step away from AGI. It's that if you
286720	293840	feel like you've got to put large language models into one of two boxes,
294960	303600	the box that has the essence of mindedness for the box that lacks it, then you will be forced
303600	310240	either to say it doesn't have what it takes to do any of the things that we associate with
310240	318640	having a mind such as reasoning, or it has the essential characteristics of mindedness,
318640	323360	and therefore we should expect it to have all of the other properties we associate with
323360	329920	mindedness as well such as consciousness or understanding or whatever.
332480	339360	Right, I think it's worth emphasizing as you did that the background motivation for starting to
339360	346080	write on this general piece in the first place is indeed that the general discourse on AI systems
346080	354080	and LLMs in particular is extremely polarized in a way that is very dichotomous and stark, so
354080	360160	you have one ahead people and one ahead people arguing that these systems are no more than
361120	366640	so-called stochastic parrots that are haphazardly stitching together samples from the training data
366640	372880	and regurgitating them, or that they are no smarter than toaster or that they only do next
372880	380560	stochastic prediction on exploration and therefore it is a non-starter to ascribe to them any form
380560	385840	of cognitive capacity or maybe even a category mistake, and on the other end of the spectrum,
385840	390080	on the other end of the spectrum you have people arguing that the systems are haphazardly
390080	395120	jurors of superhuman intelligence, that they exhibit sparks of artificial general intelligence to
396160	402480	parrots, it's literally the title of a paper by Microsoft on 24,
404960	410800	and many people hyping up the capacity of the systems in a way that might seem very speculative
410800	416960	and untethered from actual empirical results, so there is this huge gap between these two positions
416960	422000	and there's going to be a very rich and complex and nuanced middle ground that is underexplored,
424080	430640	or perhaps I think we did make that point, if not explicitly in the published piece
430640	435920	and in some draft, that there's something reassuring about being able to make definitive
435920	442240	claims about what these systems are and what they do, so either they're re-unsophisticated or they're
442960	451760	very much like us and either of these claims kind of meet somewhere in an way in saying that we
451760	456960	have a clear idea of what the systems do and what they are, and I think it's a little more
456960	466320	epistemic and comfortable to say we have to study them empirically and find out what they
466320	472080	can or cannot do and why and what are the underlying mechanisms, and we simply don't know
472800	478800	a priori just by looking at the architecture, the learning objective, the training data,
479440	484480	these sources of evidence are insufficient to make the definitive claims about what these systems
484480	491280	are capable of, so I think that's part of the big part of the motivation and that fits into that
492080	500320	more academic paper as well. Yeah, one other small side note which we don't make
500320	506640	in the paper but I think might be relevant, especially for people working in philosophy,
508080	513760	LOMs are epistemically uncomfortable, I think that was the phrase you just used, Raph, which
513760	521840	is fitting, not only because they're so new and different but also because they are artifacts,
521840	526080	right, they're things that humans have constructed and engineered and
528880	534800	we don't have a thorough understanding of how they work, I mean mechanistic interpretability and
534800	543120	various behavioral research is helping us improve our understanding but on the whole
543120	546560	our understanding is not nearly as deep as hopefully it one day will be
548240	553520	and this is by itself a really strange situation to be in that we've constructed an artifact that
553520	564960	we only partially understand in the in the past artificial intelligence was seen as a way of
566800	570160	constructing something like an epistemic assistant, right, something that will
571120	577600	help us but not something that will kind of alienate us from the process of coming to know
577600	584400	about the world so I think there's an extra layer of discomfort built into thinking about
584400	594640	large language models and that may also play into the the divisiveness of debates about what they
594640	603200	can do and just to add to that I guess we should be clear that this does not entail in any way that
603200	610800	we think the systems are so completely alien and beyond the reach of our current understanding that
610800	617680	anything goes and that they could very well be you know have like human-like intelligence or
617680	621840	superhuman intelligence and we simply cannot say whether or not they do or because that's
621920	628080	sometimes what you see in some outfits where people frame these systems as noble alien forms of
628080	632960	intelligence that we have created but do not understand our control and that is you know
632960	638320	as a slippery slope that leads some people to then claim that they have all these quite magical
639040	643120	abilities and that's not all what we want to say here and in fact we want to resist
644080	648800	yeah yeah yeah so if we we think that that's just as much of a cup out as
650720	656640	completely dismissing a priori what these systems might be capable of without doing the
