start	end	text
0	5120	to copy or not to copy. That is the question from chimpanzees to the foundation of human
5120	13200	technological culture, recently appeared in physics of life reviews. Let me see if this works. Yeah,
13200	20960	sorry. So it all starts with a jigsaw puzzle. And the puzzle is why a highly innovative species
20960	27040	like chimpanzees do not live in a complex technological world. So we know chimpanzees are
27040	32400	very inventive. They are very creative. They are insightful. They can learn socially.
33440	41120	But what we don't see in the same extent or similar extent we see in humans is the accumulation
41120	46720	of complexity across generations. So you can see here in these images, we have one of the more
46720	52800	complex and demanding tasks that chimpanzees perform, cracking nuts open, and they can combine
52800	57920	different tools. They can use it in the appropriate order. So this means they are very insightful.
58560	64400	And yet, if we compare it with a rocket that can bring civilization to Mars,
65840	70960	it is clear that the accumulation of technology across generation works very differently in humans
70960	79520	and other non-human species. So the basic question or the one million dollar question is why does
79600	84720	innovation fail to translate into technological cumulative complexity in chimpanzees?
85840	91040	Does it owe to a limited capacity to copy with fidelity? Or what we referred
91840	97040	as true imitation, which means reproducing not only the end result that would be emulating
97040	102720	or emulation, but also the steps that lead to that end result. So according to this view,
103360	109680	further to copy innovation with faithful accuracy, hampers their intra and intergenerational spread,
109680	115680	and any ensuing ratcheting up effects. So possibly when copying with fidelity is impeded,
115680	121040	innovative performances are unlikely to lift their protagonist. And this brings us back to the
121040	126800	discussion we had the other day in The Snakes and Others paper where we said that after two
126800	134960	million years ago, Iriomo produced these almond-shamed bifacili flaked stones. But these
136160	142880	kind of artifacts that we don't even dare to call them tools were not copied by
142880	148240	conspecific observers because perhaps they were not attributing to them any kind of functional
148240	156240	use. So perhaps they were not seen as tools and were the result of manual inactions.
156880	166080	So to ratchet up complexity, it is important that inventions, that is tools, are copied with
166080	170800	sufficient fidelity so that they retain the fundamental features or attributes that make
170800	175920	them functional. So following the steps of demonstrated tool manufactured by an expert
175920	182320	model to the letter is the simplest, fastest and cheapest way to make sure that copies of the
182320	190640	original artifact are accurate. And here cheapest we refer to in terms of expenditure of energy.
191600	197680	So if the copies are functional, hence useful, they keep circulating in the group community
197680	203760	longer. And these skills increase the opportunities for one or more individuals different from the
203760	210160	original inventor to add in complexity. So for example, one individual invents a wooden spur
210240	217200	and 100 years later the smelting of copper is discovered and another individual adds to it
217200	220480	to this spur a sharp copper point and so on.
223360	230640	So here is an interesting concept of ratchet effect that would explain in part why humans
230640	236880	have built such complex cultural and technological work. So the idea of the ratchet effect is that
236880	242480	no generation starts from scratch. Instead, inventions and cultural products created by
242480	248480	one generation are kept in mind and transmitted to the next generation. This way, every generation
248480	254560	is better off supposedly than the one that preceded it. So here we can think of books,
254560	262480	books are a wonderful way of keeping information, sharing it across generations and among the same
262480	269120	generation also. So thus technological complexity and success in humans is not dependent solely
269120	274960	on the geniality of one or few individuals. It is a joint endeavor where many individuals
274960	280400	contributed specific expertise and skills to produce increasingly complex artifacts.
280960	288080	And again, we can think in establishing a colony in Mars, no single human alive could achieve that
288080	293760	alone or we have the required expertise to achieve that alone, but all together we can
293760	300640	perhaps manage that. So we need this kind of shared knowledge and accumulated accretion of course.
303440	311120	So why it is some behaviors or innovation are copied or not can be explained at the level of
311120	317120	social dynamics but also at the level of the brain or giving a more mechanistic explanation.
317200	321520	So explanation of why coping of certain behavior in chimpanzees does not occur with frequency
321520	326880	have been often kept at the level of social dynamics where factors such as social prestige,
326880	333040	dominance, etc. are said to be key to explaining whether or not an invention is adopted by observers.
333920	338480	And this is a problem against the brain to a subsidiary role. Here, Michael and I will
338480	344000	be attempting to identify what the minimum cognitive requirements are that can give rise
344000	350720	to innovations and their horizontal and vertical transmission. And we also attempted to differentiate
350720	356960	the cognitive ingredients necessary for innovation from those that need to be in place for the adoption
356960	362080	of an innovation. So we wanted to establish a clear demarcation between the brains of the
363120	367840	ones that innovate and the brains of those who observe an innovation because we think this
367920	375760	is important to be analyzed separately. So in order to see which are the mechanisms
376640	381680	at the level of the brain that would allow for one innovation to be copied, we invoked
381680	388480	the lens of the free energy principle. According to active inference under the free energy principle,
388480	394000	it is through there being limited to a certain number of states that is the attracting set
394000	400080	that organisms minimize the variational free energy of the internal states and resist entropic
400080	406320	dissipation. Minimizing variation of free energy reduces prediction sensation discrepancies,
407040	412240	prediction errors that can be corrected by active sampling of predicted sensory inputs
412240	417760	and perceptive modification of predictions. This is sometimes expressed in terms of perceptual
417760	424320	inference that is changing predictions to mad sensations and active inference reactively
424320	434480	changing sensations to match predictions. So innovation in a way might represent a potential
434480	439680	misfireings from a Darwinian perspective. So minimizing variational free energy can be achieved
439680	444560	through action, sending creatures can act, active inference in order to fulfill their predictions
444560	448480	and thereby reduce discrepancy between the latter and sample reality.
449600	454960	Being limited to a certain number of states, what we could refer to as the attracting set,
454960	461200	is therefore synonymous with minimizing variational free energy and hence maximizing adaptive fitness.
462640	468080	Here innovation represents an anomaly and innovators are unorthodox actors or protagonists
468080	474000	who entertain new courses of action or plans. New phenotypical responses that have not been
474000	479760	previously entertained and according to this interpretation of the free energy principle,
479760	483680	it is at the level of policy selection where innovators stand apart from the crowd.
484480	490000	Their policy selection is in a sense faulty insofar as their ensuing behavioral outcomes are
490000	496080	in more contrast to those of their fellow actors who deploy orthodox responses that reduce discrepancies
496080	501600	between predictions and sensations thereby reducing the prediction error. Here when we talk
501600	507120	of misfireings, we don't do it in a kind of negative sense, it's just to express that
507840	512800	these new behaviors, these innovations necessarily will produce more surprise.
515920	523360	Okay, seeing surprising things, with this phrase I am kind of paraphrasing Andy Clark
523360	529360	in a paper in Behavioral and Brain Sciences. He referred to seeing surprising things to being
529360	535040	able to lend credibility to the sensory information that is not in accordance to prior beliefs.
536160	541520	So the family of priority density is entertained by an individual irrestricted to the systems,
541520	547200	the brains prior by some beliefs. Equivalent, roughly speaking, to its phenotypical repertoire.
