start	end	text
0	13200	Okay, and we're away. Welcome, everybody, to the third episode of Active Inference Insights,
13200	18840	brought to you by the Active Inference Institute. I'm your host, Darius Parveezy-Wayne, and
18840	24920	today I am absolutely thrilled to be able to speak to John Viveke. John is an award-winning
24920	28600	professor of psychology, cognitive science, and Buddhist philosophy at the University
28600	32680	of Toronto. He is also the presenter of the renowned YouTube series Awakening from the
32680	37880	Meaning Crisis, as well as the newer After Socrates. His work focuses on 4e cognitive
37880	42520	science, which holds that cognition is embodied, embedded, enacted, and extended beyond the
42520	48000	brain. In particular, John explores relevance realisation, our adaptive ability to zero
48000	53720	in on salient information in a world of near-infinite complexity. Last year, he, Mark Miller, and
53720	58000	Brett Anderson wrote the paper Predictive Processing and Relevance Realisation, exploring
58000	62960	convergent solutions to the frame problem, which proposes that trade-offs in precision
62960	67840	weighting, a key second order dynamic in predictive processing hierarchies, are at the heart of
67840	72320	our ability to be intelligently ignorant. And that alignment of predictive processing
72320	76600	and relevance realisation is exactly what we're going to be talking about today. John,
76600	81060	welcome to the show. Thank you so much for joining us. It's an absolute treat.
81060	88180	Thank you, there is a great pleasure. I'm hoping that Mark does make it on in December.
88180	93180	That'll be great. Yeah, absolutely. But in his absence, because Mark was meant to be
93180	99060	here today, but it's unfortunate, he's not unfortunately able to make it. Perhaps, so
99060	105020	this podcast is acting as a kind of primer and introduction for our audience to the critical
105020	110380	themes in cognitive science and psychology and biology, as well as maths and physics,
110380	118260	as they are right now. So I think it would be a worthwhile place to start if you could
118260	123380	just unpick what relevance realisation is, and then we'll come to how it aligns with
123380	133900	predictive processing. Sure. So relevance realisation is sort of inverts the way common
133900	140260	sense works. Common sense is there's a lot that is obvious to us. And you know what it's
140260	144740	obvious what you should pay attention to. We're sometimes mistaken. But it's obvious
144740	149580	what we should be remembering and what we should be doing. And that's all obvious. And
149580	155980	we just run from that. Our job as cognitive scientists is to explain how the brain generates
155980	163500	that obviousness, that salience landscapes that makes the right things stand out as relevant
163500	169980	to us so that we can do what is astonishing, solve a wide variety of problems and a wide
169980	176060	variety of domains. You're a general problem solver, which is just astonishing. I mean,
176060	180460	you can learn Albanian history, you could learn about swimming or rock climbing, you
180460	186780	can take up the study of dinosaurs in the Jurassic period. Like it's just, you know,
186780	192020	it's just amazing and astonishing. And there's good empirical evidence you have something
192060	196020	like a general intelligence. There seems to be a general capacity. There's individual
196020	201140	variation in talent. Some people are better at learning this domain than other domains.
201140	206180	But they're way back from Spearman. We know there's some sort of general ability. I'm
206180	210900	going to propose that the general ability are two interlocking things, the anticipation
210900	215300	and relevance realisation. What I mean by a general ability is these are kind of meta
215300	218840	problems. These are the two big problems you have to solve when you're doing any other
218920	225560	specific problem solving. And what makes relevance realisation so hard, generating that obviousness
225560	231240	so mysterious, actually. And that's what Scott Atrin says. He says that what science does
231240	236280	is it makes what's common sense to take, takes to be obvious, mysterious. Here's a table
236280	240760	in front of me, but physics says, well, what is that really? And they're mysterious and
240760	244920	it's made out of quarks and all this sort of stuff. It's the same sort of thing here.
244920	250680	Because when you think about it outside of common sense, you realise that there's just
250680	255240	an overwhelming amount of information that's constantly, as you said, dynamically changing
255240	259320	in the environment. There's an overwhelming amount of information in your long-term memory
259320	265160	that's constantly changing and being readjusted to the reconstructive nature of memory. There
265160	270840	is an overwhelming number of combinations of actions you can perform, sequences of action.
270840	277080	And yet, you ignore that overwhelming, almost all of that overwhelming information
277080	282760	and zero in on the relevant information so that you are oriented right in the world,
282760	289000	finding things obvious, salient, standing out. And it's not just a single thing. There's
289000	293000	like a salient's landscape. Some things stand out more than others. Some things are more
293000	298440	foreground, background. You have all this happening so that you are capable of solving
298440	305160	so many problems in a messy, complex world in which there's constant novelty because of an
305160	310600	emergent phenomena. And trying to give this ability to machines has been overwhelmingly
311400	316600	difficult and one of the hard, hard problems. We're actually bumping up right into it now
316600	321400	as we finally taken up the AGI project, the project of trying to create artificial general
321400	327720	intelligence. Excellent. It may be worth digging a little bit deeper into that
327800	334840	exposition because people might be thinking, well, don't we just have a module for relevance
334840	341400	or salience? Don't we just kind of, we're born and we know, oh, I should not fall off cliffs and I
341400	346520	should, but actually what happened yesterday might be quite irrelevant. You have a wonderful
348040	353560	explanation in your sort of keynote paper, Explicating Relevance Realization, where you say
354280	361560	that leads to an infinite regress. Perhaps you could explain that argument.
362440	366680	So the magic module, not to be confused with predictive processing's
367400	371800	reported problem of the magic modulators. So let's keep those two distinct from each other.
371800	377400	But the magic module is, well, I have a relevance realization thing in my head that just does it.
377400	384040	And then that just, and then I can just say, well, how does it do it? Then the mistake people can
384040	389320	make is, well, evolution made it. And that's right. Evolution tells me how it got here.
389320	393720	That's not telling me how it functions. Evolution tells me how my eye got here and
393720	398760	how my ear got here. And that's not telling me how my eye and my ear function. I'm trying to
398760	403640	take what's called the design stance. How could, tell me what I need to do to give that module
403640	408920	the ability to realize relevance? All you've done is said it has that ability,
408920	413960	but it faces the problem of, okay, now it has to know what to pay attention to,
414840	419320	and so on and so forth. Now, what you might say is, well, evolution totally prepared us for it.
419320	425000	The problem with that is that doesn't work. Evolution can only pick up on things that are
425000	433320	long-term invariant and that make an ongoing continuous difference to your reproductive
433320	440600	status. And that's not how relevance works. Relevance is really fast and changing. If I say
440600	445000	left big toe, it suddenly becomes relevant to you, and it wasn't relevant a minute ago,
445000	449640	and what's the Darwinian difference there? And there's nothing that's intrinsically relevant.
449640	454040	Well, my own life is intrinsically relevant, is it? You'll sacrifice your life for your kids.
454040	459480	Well, my life and my kids, under all circumstances, saving your kid
459480	463800	means that 10 million people, oh, well, and so on, and we get into all these philosophical
463800	471640	arguments because we realize, no, no, there isn't any hard, fast thing that is always relevant.
471640	477560	Relevance is not something for which we can generate a scientific theory. It's not stable.
477560	483960	It's not intrinsic to the phenomenon. And there's nothing, other than being relevant,
483960	490440	there's nothing that all the events or objects or feelings have in common. What is it that,
490440	494440	what do they all have that makes them, other than saying, well, you'll give me synonyms,
494440	499560	they're important to me, or they help me solve my problems? Yes, that's exactly it. But how?
500040	510520	Exactly. Perfect. And it's so nice to see how the apparently disparate strands of cognitive
510520	515560	science, so Gibsonian affordances for a cognitive science, predictive processing and
515560	521160	processing and active inference, align at this path, which is that everything is dynamical.
521160	526760	Everything is about this mutual unfolding. There is no rarefied static
527480	532840	existence. It's what's relevant to you might not be relevant to me, and there are these dynamic
532840	539640	relationships which govern that. Yeah, so that's a great place to start. I think
540360	546440	let's now go into the solution, if there is such a solution. And let's start with
546440	554600	opponent processing. So this is a term that you use frequently. To a layman audience,
554680	559080	it's not clear exactly what it means. So what is opponent processing, and how does it help
559080	565160	shed light on this complex problem? Sure. And maybe along the way, I can point out how
565880	571800	relevance realization really gives some specific teeth to claims of embodiment from 4-Ecox-I.
572360	576040	Because I'd like the point you made, and maybe we don't have to do it right now,
576040	579720	but I'd like to come back to it, how relevance realization is kind of a glue,
579720	586040	they glue together predictive processing and 4-Ecox-I in a powerful way and makes them all,
586040	591480	including itself, mutually stronger from that integration. But yeah, the opponent processing,
591480	597240	so let's just note something. At many different levels of analysis in your biology,
597240	602120	you will find opponent processing at work. I'll take one that's very easy to explain,
602120	609160	and people have a ready experience of it. So we are all constantly, mostly unconsciously,
609240	613560	although it's affected by conscious factors, we're constantly recalibrating and adjusting,
