start	end	text
0	1440	Hello, and welcome to Factually.
1440	2320	I'm Adam Conover.
2320	4080	Thank you so much for joining me on the show again.
4080	5560	You know, it's giving season,
5560	7240	and if you're like me, you might be wondering,
7240	9640	where the hell should I give my money?
9640	11840	I mean, you want to make the world a better place, right?
11840	14240	But it's difficult to know what charity
14240	15960	or organization to donate to
15960	17600	that's actually going to make a difference,
17600	18840	especially because, you know,
18840	20400	we've got a world full of billionaires
20400	21960	donating money all the time,
21960	24400	and the world doesn't actually seem to be getting better, right?
24400	28200	So how do we actually make an improvement with our money?
28200	29520	Well, a couple years ago,
29520	31800	a savior emerged in the form of a movement
31800	33920	called effective altruism.
33920	37360	This was a group of scientists, philosophers, and researchers
37360	39400	who pledged to use their huge brains
39400	43040	to figure out what the most effective forms of charity were.
43040	46000	They did rigorous research, they conducted studies,
46000	47320	they held conferences,
47320	49920	and they convinced a lot of very rich people
49920	51840	to donate huge amounts of money
51840	53640	for the betterment of humanity.
53640	56200	It seemed like a really great thing
56200	57720	until a couple years later
57720	59880	when the entire movement collapsed.
59880	62760	It turns out they got into bed with the crypto fraudsters
62760	64160	like Sam Bankman Freed,
64160	66560	and now the entire philosophical movement
66560	70640	behind effective altruism has been largely discredited.
70640	71720	How did this happen?
71720	73160	How did a group of people
73160	74920	dedicated to figuring out the best
74920	77560	and most selfless ways to better humanity
77560	80200	get embroiled in one of the largest financial frauds
80200	81360	of all time?
81360	83680	Is it even possible for philanthropy
83680	86560	to do good in the world when things like this happen?
86560	89840	And how can average people like you or me
89840	92720	donate money to actually make the world
92720	95000	a better place this giving season?
95000	96720	Well, to answer these questions,
96720	99360	we have an incredible guest on the show.
99360	100960	But before we get to that, I wanna remind you
100960	102280	that if you wanna support this show,
102280	104240	you can do so on Patreon.
104240	106480	Head to patreon.com slash Adam Conover.
106480	107480	Just five bucks a month
107480	109680	gets you every episode of the show ad free
109680	111240	and helps keep the podcast free
111240	113680	for everyone else who wants to listen to it.
113680	114680	I also wanna remind you,
114680	116160	I am a touring standup comedian.
116160	117800	If you wanna come see me in a city near you,
117800	120120	I just announced a whole new set of tour dates.
120120	123080	I'm going to New York, Philly, Atlanta, Boston,
123080	125760	Nashville, DC, and a whole bunch more.
125760	128920	Head to adamconover.net for tickets and tour dates.
128920	130920	And now let's get to today's guest.
130920	132440	Her name is Amy Schiller.
132440	133960	She's a writer and academic
133960	136320	who worked in the world of philanthropy for years.
136320	138000	But now she has a new book out
138000	139600	called The Price of Humanity,
139600	142840	How Philanthropy Went Wrong and How to Fix It.
142840	145520	It is such a smart and entertaining take
145520	148080	on this entire industry and everything that plagues it
148080	150800	and how you can actually make the world a better place.
150800	151920	So without further ado,
151920	154120	let's get to this interview with Amy Schiller.
156680	158320	Amy, thank you so much for being on the show.
158320	159680	It's such a pleasure to be here.
159680	161520	I'm so excited to meet you.
161520	162360	Oh, that's really nice.
162360	164160	I'm very excited to meet you.
164160	168200	Because I've been covering for a long time
168200	169400	the problems with philanthropy.
169400	172760	Philanthropy is proposed to us as this wonderful thing.
172760	174440	It's how the rich change the world.
174440	175400	You can do it yourself.
175400	176360	You can contribute.
176360	179880	What could possibly be bad about giving money away?
179880	181720	You have written an entire book
181720	185320	called The Price of Humanity, How Philanthropy Went Wrong.
185320	186680	The entire thing.
186680	188320	How did philanthropy go wrong?
188320	189440	What is the problem with it?
189440	191520	I'll tell you how I think philanthropy went wrong
191520	194080	because you have very ably covered many ways
194080	194920	that it's gone wrong.
194920	196760	But here's what I think has gone wrong.
196760	201760	It's drifted from the actual meaning of the word philanthropy.
202360	204240	So for me, the entry point is
204240	207440	philanthropy means love of humanity.
207440	211040	And my concern is that I saw a lot of philanthropic
211040	215080	movements and trends moving towards a definition
215080	218960	of humanity that to me felt very narrow and reductive.
218960	222640	So this all comes down to how we define humanity.
222640	226920	Is humanity sustenance merely surviving?
226920	229360	Or is humanity really about thriving
229360	232120	and our full human capabilities to flourish
232160	235640	and to create new things in common with one another?
235640	237640	So my feeling is philanthropy went wrong
237640	240800	when it started to become a utilitarian practice
240800	243880	and not an enabler of human flourishing.
243880	245560	And I think the word utilitarian
245560	247960	is gonna come up a couple of times in this conversation.
247960	252240	But what's an example of somebody getting that wrong
252240	253920	so I can understand more better what you mean?
253920	255040	Absolutely.
255040	259000	Well, I'll jump into the sort of hot button version of it
259000	262240	which is effective altruism embodied
262240	266000	by now disgraced fraudster Sam Bankman-Freed
266000	268760	but having a long trajectory before that,
268760	271360	beginning as a philosophy that basically said,
272440	276600	we can rank the moral worth of giving
276600	280280	based on how many lives per dollar we save.
