start	end	text
0	5600	Hello and welcome to Factually. I'm Adam Conover. Thank you so much for joining me on the show again.
5600	10160	This week, we're talking once again about climate change. See, a couple weeks ago,
10160	14800	I had Dr. Hannah Ritchie on the show, and she made the case that if you look at all these different
14800	20880	indices, emissions per capita, the price of renewable energy, deforestation, a lot of things are
20880	26320	moving in the right direction, and that that is cause for hope. Now, I expressed some skepticism
26320	30400	about this and a lot of you did as well in the comments below the episode. And that's because,
30400	34800	you know, we have made some progress, but the progress we have made is clearly insufficient.
34800	38640	And even though we've made progress on some solutions that have leveraged the power of
38640	43120	capitalism to say, make one kind of energy cheaper than another, sell electric cars and stuff like
43120	48640	that, well, that's kind of the easy solution, isn't it? To sell clean energy when it's just as cheap
48640	54960	as fossil fuels. But getting people, or God forbid, massive corporations to give up fossil fuels is
54960	60800	hard. So how do we push powerful interest in governments to overlook short-term profit for
60800	66800	the long-term benefits of having a planet that's, you know, habitable? I ask how, because clearly,
66800	73200	we haven't done it yet. Climate change is only partially a problem of technology. Primarily,
73200	79280	it's a social problem that our entire society caused. And it's an open question whether our
79280	84080	collective decision-making institutions are advanced enough to deal with that problem.
84080	88560	I mean, it's much easier to make a cheaper solar cell than it is to get all world governments to
88560	94640	agree to decarbonize, but mass decarbonization is what we actually need, right? So if we want to
94640	99840	look at how society can change, we need to look at more than just technological fixes. We have to
99840	106000	look at the science behind what causes social change in institutional transformation that is a huge
106000	110800	and hard problem. And you can't figure it out just by looking at the atmosphere or brand new
110880	116320	awesome clean technologies. You need to talk to a sociologist. Well, guess what? On the show this
116320	121520	week, we in fact have a sociologist who has written an incredible new book about how we can
121520	126800	actually create the massive social change we need to fight climate change in the face of
126800	131200	corporate opposition to that change. I know you are going to love this interview, but before we
131200	135280	get to it, I just want to remind you that if you want to support this show and all the conversations
135280	140320	we bring you every single week, you can do so on Patreon. Please head to patreon.com slash
140320	145040	Adam Conover. Five bucks a month gets you every episode of the show ad free. We got a bunch of
145040	149680	other great community features. We'd love to see you there. And of course, if you like stand-up comedy
149680	155120	and you want to see me perform in a city near you, head to adamconover.net for my tickets and tour dates.
155120	160560	And now let's get to today's guest. I am so excited to introduce you to Dr. Dana Fisher.
160560	165040	She's a sociologist and she's the director of the Center for Environment, Community and Equity
165040	168800	and a professor in the School of International Service at American University.
