start	end	text
0	5360	Hello, and welcome to Factually. I'm Adam Conover. Thank you so much for joining me once again as
5360	10160	I talk to an incredible expert about all the amazing things that they know that I don't know
10160	14400	and that you might not know. Both of our minds are going to get blown together. We're going to have
14400	19360	so much fun. This week, we're talking about language. You know, people are constantly
19360	24480	arguing about what the right and wrong ways to use language are as though the rules of language
24480	30960	were encoded by some grammar god from on high. But they're not. Language isn't a set of objective
30960	37600	rules like math. No, language is created, changed, and used by people. And that means it will always
37600	41760	resist our attempts to control it. There was actually a funny example of this the other year in the
41760	49040	UK. A London primary school made a bold attempt to ban slang. And by bold, I mean pointless and
49040	54800	stupid. I mean, how are you going to stop teens from beginning sentences with because, like, or
54800	60720	basically this school even tried to ban phrases like he cut his eyes at me, which I mean, come on,
60720	66160	that's not just slang. That's poetry. That sounds like Shakespeare, man. And it's a phrase, along
66160	71440	with many others that were banned that originated among marginalized people. Controlling language
71440	76000	like this seems to be more about limiting the influence of certain people rather than the words
76000	82880	themselves. And at the end of the day, it won't work. Because again, language is created by people
82880	87920	and people are irrepressible. If you set up a linguistic rule, you would better believe some
87920	92560	enterprise and kid is going to come along and break it. And when they do, they are going to use that
92560	98000	new word phrase or sentence structure to mean something new, because that is what language
98000	104000	fucking does, bro. Now, none of that stops language from being a constant culture war target from the
104000	110400	battles over ebonics in the 1990s to conflicts today over the use of supposed woke language.
110400	115920	But those battles ignore something fundamental. The way people use language reveals something
115920	121120	about them, about who they are and where they come from and what is happening in their world.
121120	126000	So instead of telling people not to use language a certain way, what if we took the opportunity
126000	131520	to learn from how they actually do use it? Well, fortunately for us, there is an entire field of
131520	136000	study that looks at the relationship between culture and language called sociolinguistics.
136000	141680	And on the show today, we, in fact, have a sociolinguist who has written a fascinating new book
141680	146080	on this very topic. Her name is Valerie Friedland, and she's a professor at the University of Nevada,
146080	150640	Reno, and the author of a new book called Like Literally Dude, arguing for the good
150640	154800	in bad English. And you are going to love this interview with her. But before we get to it,
154800	159040	I want to remind you that if you want to support this show, you can do so on Patreon.
159040	162720	Head to patreon.com slash Adam Conover. For just five bucks a month,
162720	166960	you get every episode of this show ad-free. You can join our community Discord.
166960	171680	We even do a live book club over Zoom. It is so much fun. Hope to see you there.
171680	176880	And if you love stand-up comedy, please remember I am on tour this year. If you live in Illinois,
176880	180960	Maryland, Missouri, or Rhode Island, come see me. I got a brand new hour of stand-up.
180960	183520	I'd love to see you. I do a meet and greet after every show.
183520	188000	Adam Conover dot net slash tour dates to get those tickets. And without further ado,
188000	192720	let's get to my interview with Valerie Friedland. Valerie, thank you so much for being on the show.
192720	195120	Absolutely. I'm excited to be here to talk with you.
195120	198800	So you're a sociolinguist. Tell me very briefly, what does that mean?
198800	202720	Well, first of all, I am impressed with how well you pronounce that. That trips a lot of people
202720	207840	up, which is part of the reason I went for that is my title. I love language. That's how I knew,
207840	209680	that's how I know how to pronounce everything. I love it.
209680	211440	Because I know the English language front to back.
211440	214480	I love it. All right. Well, we're going to test that as we go today.
214480	216080	Okay. I would love to.
216080	220480	I'm a linguist, a theoretical linguist, which means that I study the underlying structure of
220480	226160	language, how languages form in the brain, how your articulatory structure helps get language out.
226160	231200	But my particular interest is how social triggers and these underlying linguistic
231200	237840	tendencies interact and become language changes and evolve over time. So that's why I'm a sociolinguist.
237840	242880	And so give me an example of that. Like I'm sure your book is full of them, but give me an example
242880	246320	of how that social world will affect how language evolves.
246320	250560	Oh, absolutely. So I think a really seminal example is just looking at how
251200	255120	English has come to be the modern English we speak today versus being German
256320	261440	or something more like Icelandic, which hasn't changed much since its proto-Germanic days,
261440	267120	because we all started as a different language. But its social forces that came into the history
267120	273520	of English's development that changed it from a Germanic language, almost 100% Germanic word
273520	279280	stock to a language that has only about 30% Germanic word stock, because we had wars, we had
279280	285200	invasions, we had Vikings, we had all sorts of fun stuff. But we also had class and class plays
285200	290880	a huge role in shaping language. And during the middle English period, class was seminal
290880	295120	in forming the English that we speak today. So the lower class spoke English and the upper
295120	300480	class spoke French. And whenever you have unregulated language change going on without a lot
300480	306640	of upward pressure on keeping it standard or codifying it, natural evolutionary processes
306640	311120	in language, natural cognitive processes in language take place. And they meet with that
311120	316480	social trigger of social class and social standing. And that's really what formed the modern English
316480	321040	of today. So that's a really good example of how language triggers that are always there and social
321040	325760	triggers that come into play at certain times and places, interact and create something new and
325760	330560	novel. You know, an example of this interaction with a class that I heard, and I hesitate to
330560	334080	repeat it because I worry it's like a just so story that I heard, but maybe you can correct me
334080	339120	and tell me if it's real or not, is that the reason we have different words in English for or in
339120	344640	modern American English, at least, for the animal versus the meat that comes from the animal is
344640	348800	because of that class distinction that other languages, they use the same word or many others
348800	356960	they do. But in English cow versus beef, beef is French because it was the cow is the English
356960	361840	because it was the peasants who were dealing with the animal and the lords and ladies who
361840	366640	actually ate the meat. And so we ended up with this French descended word. That's a story I
366640	370720	heard many decades ago. Is that true? It seems to match the front line that you're talking about.
370720	375840	It is true. That's a great story. Actually, you can even read about it in Ivanhoe when they talk
375840	381840	about the peasants and what they called the food and the nobility and what they called the food.
381840	388880	It was very different because English had the words for the animal. So cow and swine, for example,
388880	393920	are the English words. But French was the language of nobility and it was the language of the upper
393920	399520	class at the time. And so the words that were used when you actually served as a servant, when you
399520	406160	served that animal, you used the French word. So cow became labouf. And that is exactly why we have
406160	413280	that two faced way to call animals and meat in English today. Well, now you mentioned the idea
413280	421120	that in the absence of a pressure to standardize the language, these evolutionary things will happen.
421120	427440	But that's also a big feature of languages, especially English. I grew up being told there's
427440	432400	a right way to speak and a wrong way to speak. I used to say, I'm doing good. And my friends would
432400	437840	say, Adam, Superman does good. You're doing well. And I was like, fuck off. You're being an asshole.
440320	447200	We're used to these sort of battles in English. And so in your view, very broadly, what role does
447200	453360	that those standardization forces play? I mean, is that a beneficial effect on languages? Is it
453360	456960	something that we should leave behind? It seems like a battle that never ends.
457520	461920	Well, I think it's actually a fairly new battle, which most people don't realize. What you're talking
461920	467520	about is prescriptivism. And we seem to think prescriptivism has been around forever because
467520	472080	we learned it. And we remember our parents saying, no, it's not him and you that went to the party.
472080	480720	It's he and you that went to the party or he and I went to the party. But reality is that language
480720	485680	has evolved so much since the old English period precisely because there weren't a lot of
485680	490880	codification and standardizations that existed in the Middle English period to tell us how to speak.
490880	496800	And so it was natural evolutionary processes, natural trickulatory forces that led language to
496800	502080	where it is today. And it really wasn't until about the 18th century that we had people that were
502080	506240	like, wow, you know, I like the way I say this better than the way you say it. So let me write it
506240	510640	down. And now everybody's going to say it this way. So these prescriptivist tendencies, these
510640	516400	grammar books, these dictionaries really didn't start being written until about 1700. And that's
516400	522640	where we get this really strong complaint tradition. It's starting about that era where you don't do
522640	527280	it right, but I do it right. And you should do it like me. I think the big question is not whether
527280	533520	one opinion is right and one is wrong, but can they coexist? And we understand where these two
533520	538800	different beliefs about language stem from and what their purpose might be. So a prescriptivist
538800	544800	might say, you should say it this way, because first of all, that's how people in power say it.
544800	549600	And if you want to achieve that kind of economic or political power, you should say it this way
549600	556640	because that will get you in the door. They might also say that this is tradition and tradition
556640	562880	is valuable. So there is some benefit to that kind of speech. A descriptivist or someone who just
563440	568560	language naturally evolved might say, well, almost everything you say that you think is correct today
568560	574560	was wrong at some point in time and is an evolution from some previous point. And if we didn't allow
574560	579280	language to proceed naturally, then we would still have case markers in English. We would still have
579280	583680	grammatical gender in English. We would still have plural marking on every word in English.
583680	588240	We would have strong and weak verb classes, none of which do we have today. And our language is no
588320	594320	less for for for it. In fact, we are as expressive and creative and inventive as ever,
594320	598160	so that there's nothing wrong with natural evolutionary processes. And they're more
598160	604400	authentic to speakers personalities. My answer would be, I think both are right. There are times
604400	608960	in places where prescriptivism might fit. So for example, in writing, it's probably important to
608960	614480	have codification standardization. And even in more formal speaking contexts where I'm giving a
614480	619440	talk or I'm a CEO of a company and I am in a leadership position and I want to make sure
619440	625520	everybody understands me and that I'm a model in some way, that might be an appropriate place
625520	632320	for for prescriptivist notions. But if it's a teenager or somebody talking on the street or
632320	636720	my friend or my neighbor, then if they start using that kind of language, I actually think they're
636720	643600	an asshole. So it doesn't really serve. Yeah, if you're lecturing someone in person,
643680	647120	you're lecturing someone in person on the proper use of the semicolon and they're like,
647120	651360	dude, I was just fucking talking to you. Like I don't, I wasn't using semicolons. Like, well,
651360	655760	you actually raised a really good point that I didn't even think of because I often think of
655760	660640	prescriptivism as being simply wrong, that, you know, people claim that there's a right way to use
660640	665440	language and a wrong way to use language. And I think that's incorrect. I think that languages,
665440	670240	as you say, it's socially determined. And when someone says there's a right and way wrong way,
670240	676320	they're really making a statement about the about society, about, you know, people about the
676320	680480	I'm the right kind of person, and you are the wrong kind of person, and you should be more
680480	686880	like me, I'm standard, I'm normative, I'm dominant, I'm the I'm the rule, and you're the exception.
687760	694880	However, you do make a point that writing is very different from speech, that there are rules that
694880	700960	I do sort of believe are rules in, in writing about, I don't know, I think you need to close
700960	706080	the parentheses, you know, very basic stuff, punctuation marks and things like that. And,
706080	710880	and that made me just you saying that made me realize, oh, wow, yeah, writing just English
710880	717840	writing for someone else to read is far more rule bound than speeches and is actually a completely
717840	721760	different way of using language. They don't, they barely, if you were to write down what I'm
721760	727360	saying to you right now, it would be incoherent because I'm interrupting myself, I'm like inserting
727360	731440	clauses in the middle of sentences and then trailing off, they're completely different ways of using
731440	737040	language. And yet I understand every word that you said because in real speak context where we're
737040	743120	face to face or, you know, television screen to television screen, we, we have context and we
743120	748800	have background knowledge, we also can read other signs from our bodies, eye gaze, various things
748800	752960	like that that allow us to fill in those holes, but in writing, you're absolutely right, we don't
752960	759360	have that contextual information, and it wouldn't make sense. So we need more conventions in writing
759360	764480	than we need in speech. But I want to clarify that speech has a lot of rules. So I think a lot of
764480	769440	times people misconstrued what I'm saying to mean, okay, we don't have to have rules when we talk,
769440	774160	it's not important, because I absolutely agree with you that when we are judging someone on their
774160	779040	speech, because it's different from a prescriptive norm, we're just being prescriptive as assholes
779040	784720	who think we're right and they're not. And that's not an appropriate way to frame someone else's
784720	790880	speech. You can say, I don't like your speech, it's not my preference. But saying something is
790880	795520	disliked is very different than saying something is bad, which makes a moral judgment. And when
795520	800000	I'm telling you that you're not good enough, because of the way your speech, your speeches,
800000	804560	I'm telling you that I'm morally judging you on the basis of something that's just different than
804560	810640	my own views and beliefs. But that doesn't mean that speech is not governed by rules. If we didn't
810640	815520	have rules governing speech, we wouldn't be able to understand each other. We have lots of rules
815520	820320	that govern speech. They're just not the type that appear in a grammar book or a dictionary.
820320	825440	They're the type that we know in here that we learn as babies, that we understand whenever we
825440	830160	have a conversation, no matter who we are and whether we're literate or not. So for example,
830160	837920	if I tell you, Ted thinks that John knows himself well. Well, who does the himself there refer to?
838560	844560	You know, it has to be John. It can't be Ted. Because of the rules that I understand as a
844560	849360	speaker of human language and a two year old, if you give them like two different puppets to
850080	856480	play with and to pick out, you say, Ted knows that John knows himself, and you name one puppet Ted
856480	861280	and the other puppet John, they will always pick the right puppet to refer to himself, because
861280	865920	that's an underlying rule of language that allows them to find the right antecedent. But these are
865920	870400	unspoken rules that we don't need someone to put in a dictionary. And if we did, we'd have to wait
870400	875280	till a kid could read, which would be way too late for language. So language is fundamentally a
875280	878880	different skill than writing, and we shouldn't expect the same rules to apply.
878880	884880	Wow, that is so cool. And my mind is blown whenever I encounter a rule like that one that I learned
884880	889280	a couple of years ago, and you'll tell me the proper version of it. This will be my dumb dumb
889280	894640	recitation of it. But it's that there's a particular order of modifiers or adjectives in
894640	903280	English that if I were to say, you know, the big red scaly British dragon, right, those words all
903280	908960	come in a particular order. If I were to say the scaly red British big dragon, that immediately
908960	914400	sounds wrong to me, and it sounds wrong to you too. And there's like an order of, there's like
914400	920080	quantity, size, where it comes from, what its demeanor is, and those all come in a particular
920080	925440	order that I intuitively know, despite the fact I was never taught this in school. No one ever
925440	929280	sat me down and said, Hey, if you're going to apply eight modifiers in a row to a particular
929280	934320	noun, here's the order they have to come in. And yet I know it. So where do rules like that,
934320	940880	or the himself one that you described, where do they come from? Are they socially determined?
940880	945920	Are they specific to languages or what? Well, you just walked into a big controversy in
945920	951520	logistics. Oh, no. Oh, actually, not, not, oh, no, that's exactly what I love to wander into.
951520	955520	It's an academic controversy. Break it down for us. What is the controversy? Well, if you're a
955520	960800	Chomsky, and meaning someone that follows the syntactic theories of Noam Chomsky, which is,
960800	965600	has been a very influential field of thought in modern American linguistics, you would say,
965600	969600	well, the baby is born with that. It's part of our innate grammar that we're born with. We are
969600	974720	born talking so that we're not not physically talking, but we're born talking in our brain that
974720	979280	we have a specific area of the brain that's devoted to linguistic processing and syntactic
979280	984960	structures. And all it needs is sort of activation or triggering by input from the environment. And
984960	990240	once it hits those triggers, certain, you know, little boxes are checked and it develops language,
990240	996480	this it being the baby. Others are functionalists. And this has become a little more prevalent in
996480	1002720	American thinking, I think, in modern eras versus maybe 20 years ago when Chomsky and philosophy
1002720	1007280	was really the, the only way you would think. And this says that, okay, we are, you know,
1007280	1012320	born with some capacity for language, there do seem to be some fundamental structures that help
1012320	1017680	guide the way that baby's brains process for language. But it's not language exclusive,
1017680	1023920	it's learning exclusive that brains are made to learn in certain ways. And those ways that it
1023920	1030880	learns interacting with the way the world is certain facts about the world, create a knowledge
1030880	1038160	form that that is universal. And so I think a good example of this would be when we,
1038240	1046240	when we have case in the language. So for example, I in English is object K is sorry, subject case,
1046240	1052640	and him is an object case pronoun, right? So you see that there's changes in the same or I and me
1052640	1059280	or he and him. What we find is in languages that are subject verb object, like English,
1059280	1063920	where the subject goes first, and then you have a verb, and then you have an object like I saw him.
1063920	1071520	Yeah, those languages often don't have case or can lose case without too much difficulty because
1071520	1076480	the subject and the object are widely separated. And there's a marker in the middle saying, okay,
1076480	1082160	I'm the verb that acts back on the subject and forward on the the object. So it has a clear
1082160	1087200	separation between that subject and the object. So it's easy for your brain to process who did
1087200	1091680	what to whom without case marking, right? That's just a functional fact of the way that that
1091680	1095680	sentence is structured. But what we find in languages that have the subject and the object
1095680	1100800	close together like a subject object verb language, I think Japanese is a good example of this.
1100800	1108000	German is like this, I learned it in college. German is like, you're like, I, him, blah, blah,
1108000	1112320	blah, blah, blah, blah, blah, blah, blah, on Tuesday met. And then you have to wait all the
1112320	1115520	way into the end of the sentence a lot of the time to find out what the verb is. And to see who
1115520	1120320	is doing what to whom. Right, exactly. So exactly like German, what you find is if you have the two
1120320	1126160	subjects and the objects right beside each other, it would be very hard if you didn't mark with case
1126160	1130400	to understand which was the subject and which was the object because they both precede the verb.
1130400	1135040	And so we just find as a natural functional tendency languages that have that kind of structure
1135600	1141760	have case languages that don't have that kind of structure don't have to have case. So these are
