start	end	text
0	4480	Hello and welcome to Factually. I'm Adam Conover. Thank you so much for joining me again. You know,
4480	9520	if you're like me, you like to eat. In fact, you have to eat or you'll die. And you might have
9520	14960	noticed that food has been getting a lot more expensive. Although inflation for food has slowed
14960	20240	relative to 2022, you have to remember that the effects of inflation are cumulative. And recent
20240	25440	numbers showed increased prices for everything from frozen juice to ground beef. Eating out is
25520	31280	more expensive than last year. And even vending machine prices are up. It sucks. Again, we all
31280	35760	have to eat. And for most of us, living off the grid and growing our own meat and potatoes is not
35760	41440	an option. So ideally, we'd have a world where different food companies compete to get us the
41440	48080	lowest price, right? Well, unfortunately, just as with industries like newspapers, internet advertising,
48080	54080	airlines and athletic shoes, that competition doesn't exist anymore at all. Instead, our food
54080	59600	system is run by monopolies. And those monopolies have the power to screw us, whether we're their
59600	64800	customers, their workers or citizens living in places where they exert unfair and undemocratic
64800	70160	influence over our lives. I mean, I can't believe I have to say this, but food is simply one of the
70160	76320	necessities of life, which means it's a bad thing that only a few people in this country have control
76320	82480	over that necessity. You simply cannot explain how we get our beef, pork, grain, how grocery stores
82480	87840	work, why prices are higher than ever without understanding the influence of these massive
87840	93200	and manipulative companies. And luckily on the show today, we have a guest who knows everything
93200	98800	about it. And not only that is from one of the very regions that produces our essential food
98800	104000	stuffs. He not only knows about this, he has lived it himself. And I cannot wait for you to hear this
104000	107600	interview. But before we get to it, I just want to remind you that if you want to support this show
107600	111680	and all of the fascinating, challenging and intelligent conversations we bring you every
111760	116480	single week, you can support us on Patreon. Head to patreon.com slash Adam Conover.
116480	120560	Five bucks a month gets you every one of these episodes ad free. You can join our community
120560	124320	as well. We would love to have you there. And if you want to come see me do stand-up comedy,
124320	128240	head to adamconover.net for tickets and tour dates. Soon I'm headed to Phoenix, Arizona,
128240	132560	Toronto, Canada. I'm going to have a lot of other dates up there soon. Head to adamconover.net to
132560	138960	check them out. And now my guest today is Austin Frarick. He's an expert on agriculture and antitrust
138960	144720	policy. He's a fellow at Yale and he is born and currently lives in Iowa right here in the United
144720	150160	States. His fantastic new book is called Barons, Money, Power, and the Corruption of America's
150160	156880	Food Industry. Please welcome Austin Frarick. Austin, thank you so much for being on the show,
156880	161920	man. Thanks for having me on, Adam. Okay, so tell me, what is so fucked up about America's Food System?
162480	167120	How radical it's become. You have one man in Iowa as the most powerful political person in the state
167120	173440	and he does five million hogs a year. I mean, not alone. He does five million hogs a year.
173440	177760	What do you mean by he does them? That could mean a lot of things, some of which I don't want a picture.
177760	182800	Yes, so he owns, so he has about 7,000 workers and employees at this point. A lot of them are
182800	186800	contractors. You got to be careful with the word workers, but he owns five million hogs. He has
186800	191280	other people grow them, but he maintains the ownership as they grow them out. But his operation
191280	196560	produces five million hogs a year. And how much of the American pork supply is that?
196560	200000	So he's the fourth largest pork producer in America. Basically in my lifetime,
200000	203760	you've seen the hog family farmer die, where you have the 10 largest entities
203760	207600	do about 70% of the hog market, control it, including the largest owner of hogs is actually
207600	211680	Chinese multinational, Smithfield. Is there a reason you're saying, by the way, hogs and not pigs?
211680	213760	I'm just very curious. Oh, no, I use them interchangeably.
214400	220880	Okay, I was like, is pigs wrong? Should I not be saying pigs? Do I look like city folk if I'm
220880	227120	saying pigs? Okay. Well, and so why is that a problem to have that be so monopolized in
227120	231360	so few hands that one person is doing, you know, is doing so many hogs?
231360	235120	So let's just take hogs and I, so I open my book opens with a hog Baron, this hog guy.
236880	241440	I know, isn't that first of all, it's not so. I'm sorry. The hog Baron is just, what a great
241440	244960	image. It sounds like an anime character or something like that. I imagine a guy with like a
244960	249520	top hat and there's like a little snout on the front. He's got some goggles and he's like,
249520	253760	hello, I'm the hog Baron oink oink. Like that's, what a great guy.
