start	end	text
0	4480	We have assumed in science for hundreds of years that spacetime is fundamental reality.
4480	9280	In the last 10 years, for the first time, scientists have taken off the spacetime headset.
9280	10720	What are we going to find?
10720	12320	So I should be very, very clear on this point.
12320	13760	Now, I'm a cognitive neuroscientist.
13760	17120	And when I say that spacetime isn't fundamental, objects and spacetime are fundamental,
17120	20400	that means neurons don't exist when they're not perceived.
20400	24320	What I'm saying is very, very uncomfortable that we don't see reality as it is.
24320	28480	This theory of conscious agents is really the first layer of software
28560	30320	outside of our spacetime headset.
30320	34560	Once you know the software, you can change the game pretty much any way you want to.
34560	38000	So you believe we're living in a simulation of sorts?
38000	40160	I think that we just have to bite the bullet and say,
40160	43440	no matter how smart and mathematically precise you are,
43440	45760	it's going to be trivial compared to the reality beyond.
45760	50240	I think as a scientist, it's critical for me to actually spend time in utter silence.
50240	52960	That's where the true new creativity comes from.
52960	57200	What we know is one perspective out of an infinite number of perspectives.
57200	58160	But that's who you are.
58160	61200	What you are transcends any description.
61200	63760	And that's how the infinite comes to know itself.
70800	72720	Don, so good to have you back.
72720	74480	Thank you, Andre. Thanks for having me back.
74480	78160	I thought we could start with giving maybe a 10-minute overview,
78160	80640	kind of a high-level view of both your work,
80640	84640	our conversation last time, which I absolutely loved and our audience loved.
84640	88320	And then we can dive deeper into some new terrain here on this conversation today,
88320	90240	which I'm very much looking forward to.
90240	98080	So starting with how fitness beats truth and how the chance that evolution has shaped
98080	102720	sensory systems to see objective reality is precisely zero in the work that you share.
103280	107200	Could you elaborate on that a little bit in terms of how evolution shapes our
107200	111120	sensory systems to be able to navigate it effectively for survival purposes,
111120	115120	but not to see reality as it is objectively?
116000	121040	Right. So Darwin's theory is very clear that evolution shapes sensory systems to guide
121040	128240	adaptive behavior. And that's true. According to Darwin's theory, that is in fact true.
129200	135200	Most of us think intuitively that to do that, evolution must shape us to see the truth because
135200	139680	clearly if you see the truth, that will be much more adaptive than if you don't see the truth.
139680	143760	So to guide adaptive behavior, evolution must also shape us to see the truth.
143760	147040	And it turns out that that extra assumption, which isn't in Darwin's theory,
148560	153520	shouldn't be in Darwin's theory. Now, the mathematics of it is very, very simple.
153520	158960	The payoff functions that guide evolution. Like if you play a game, you have payoffs. If you
159600	165280	make certain moves on the board game or in a video game, you get a certain number of points.
165280	168160	And if you get enough points, you can get to the next level of the game. If you don't get enough
168160	173200	points in time, you die and so forth. Same thing like an evolution. There's the evolutionary game
173200	183920	theory. You have payoffs that guide adaptive evolution. And what happens with those payoffs,
183920	188240	they're basically not telling you whether you go to the next level of the game, but whether
188240	192800	your genes, your offspring go to the next level of the game. So when you analyze those fitness
192800	199600	payoffs and ask, do those fitness payoffs contain information about the true structure of objective
199600	204640	reality? If they're going to shape you, if the payoff functions that guide evolution
204640	209040	are going to shape your sensory systems for you to see the truth, then they have to know a little
209040	213680	bit about the truth themselves or they can't shape you. And what we've proven, and this is,
213680	221280	again, work with not just me, but Chetan Prakash and Manish Singh, Robert Prentner and Brian
221280	227520	Marion and Justin Marks, a number of other people, not just me. But what we've shown is in a number
227520	231840	of ways that the payoff functions basically don't have the information, almost surely don't
232640	236560	have the information about the structure of the world. So you can actually prove the probability
236560	242320	is precisely zero that any payoff function has that information and therefore is precisely
242320	247120	zero probability that we've been shaped to see reality as it is. Now, I should mention
247120	254240	just two quick objections that people have about this. One is, I've shot myself on the foot,
254240	261280	logically. I've used evolutionary game theory, which is supposed to capture Darwin's theory of
261280	267040	evolution. It's the mathematics of Darwin's theory. And I've used it to actually show that certain
267040	273280	basic concepts in Darwin's theory like real physical animals competing for real physical
273280	278400	resources in a real space and time. I'm saying that all of that is, you know, space and time
278400	283280	aren't fundamental. We're not seeing reality as it is. Objects and space, time are just an illusion
283280	290480	or a headset. So the argument from philosophers, some philosophers have been, well, Hoffman,
290480	294720	unfortunately, shot himself on the foot, logically. He's used evolutionary game theory
294720	299440	mathematics to show that the very concepts that were gave rise to evolutionary game theory
300240	307360	aren't true. So either the math faithfully represents Darwin's ideas and captures it
307360	312320	and is a good representation of those ideas, or it's not. If it's not,
312320	316800	Hoffman couldn't use it for what he's using it for. And if it does, if it is a good faithful
316800	320320	representation of Darwin's central ideas, then it couldn't possibly contradict them.
320320	325920	So in either way, Hoffman is messed up and his team. And the answer is this,
326320	332720	fundamentally misunderstands the nature of scientific theories. Every theory makes assumptions.
334480	337840	They're the miracles of the theory. And then it says, if you grant me those assumptions,
338720	342800	I'll show, I'll then prove all this or explain all this other wonderful stuff.
342800	346720	But it never explains its assumptions. And you can get a new theory, a deeper theory,
346720	350800	that explains those assumptions, but it'll have its own new assumptions add infinitum.
350880	357040	So every theory has, if it's good enough, has a scope. But every theory,
357840	363280	no matter how good it is, has its limits. If none else, its assumptions are showing you
363280	367600	what its limits are. So the only question is, when you have a mathematical representation
367600	372400	of the theory, is the mathematics, if it's a good theory, the mathematics will help you explore
372400	378320	the scope. That's new. And, but if it's a great theory, the mathematics will actually show you
378320	382560	precisely what the limits are. And in case of Einstein's theory of spacetime, for example,
383360	388720	his mathematics is of course fantastic and GPS and everything else is based on Einstein's math.
388720	394800	So wonderful scope. But his theory also, the same mathematics that captures his theory and shows
394800	401040	its scope also tells us its limits. And the limits are, in Einstein's case, 10 to the minus 33
401040	406560	centimeters. Space time ceases to have any operational meaning, 10 to the minus 33 centimeters,
406560	412320	10 to the minus 43 seconds. And so here we have the case where the mathematics that Einstein came
412320	418640	up with is the very mathematics that comes back and says your fundamental concept of space and time
419280	425120	fail at 10 to the minus 33 centimeters and 10 to the minus 43 seconds. So that's how science,
425120	432640	good science, really works. The mathematics that's intended to capture the fundamental concepts of
432640	437040	your theory. If it's great mathematics and a great theory, we'll come back and show you
437040	441600	exactly what the limits are of those fundamental concepts. So that's not self-refutation.
442400	449600	In fact, that's why science is so powerful when we just use informal discussion and, you know,
450560	453840	talking about ideas over beer and so forth. That's one thing.
455600	460640	But you can never find out the limit of your ideas and the limits of your theories
460640	465040	when you have just an informal theory. And as a result, it's easy to become dogmatic and to
465040	469520	think that you're getting close to the theory of everything that I know the truth and you don't and
469520	475680	so forth. What science does is it puts a big dose of humility on there. Even a big theory
475680	481600	like Einstein's theory of space time, it tells you that theory is great and it stops at 10 to the
481600	487200	minus 33 centimeters game over. So you need a new concept. So that's, so it's an anti-dogmatic kind
487200	493360	of thing. So that's sort of just a little kind of pushback I've gotten on this and you can see why
493360	500080	would be some strong pushback because what I'm saying is very, very uncomfortable that we don't see
500080	505760	reality as it is. Yeah. And we'll circle back to the value of discovering the limits of different
505760	513440	theories because I'm excited to dive into that to continue to, you know, put a bow on the high
513520	518400	level overview of this work. That understanding that you just shared in conjunction with local
518400	525360	realism being proof false leads us to explore the headset analogy. And so, you know, the Nobel
525360	532320	Prize for local realism being proved false explains how objects in space time cease to exist when
532320	536960	they're not perceived. Like they get rendered on the fly when they're perceived. Why does that become
536960	541840	an important reflection when we start to dismantle this notion that reality is as it seems?
542400	549360	Well, again, I should say that your local realism is false. The Nobel Prize was a
549360	554720	granted for it for that experimental verification. There are some who still want to maintain some
554720	560160	kind of realism through multiverse kinds of explanations and so forth. I think that we just
560160	565360	have to bite the bullet and say space and time aren't fundamental. And the properties of objects
565360	571040	in space and time aren't fundamental. So that's the direction I'm going by. I just want to
571040	578160	point out that there are very, very bright physicists who would disagree. Now, the theory of
578160	584240	evolution of natural selection and my work on that is in some sense, it suggests that space
584240	590240	time is an interface, right? So it does, it strongly suggests that what evolution gave us was not
590240	597120	a window on the truth, but a headset that lets us play the game of life. And so that's why I think
597200	603760	it does fit in with the modern results in physics. I think it's a very reasonable interpretation
603760	610560	of modern quantum theory. And it's actually part of, for example, a big interpretation,
610560	619600	the so-called cubism interpretation of quantum theory that Chris Fuchs and others are espousing,
619600	626720	that the quantum state is just the observer's statement of the degrees of belief of what
626720	632720	they will experience if they make certain kinds of observations. And it's not, you know, quantum
632720	638880	states are not descriptions of objective reality. They're descriptions of your degrees of subjective
638880	646320	belief. So I think that that fits very, very well with the work I'm saying. So here's a case where
646320	651520	physics, this interpretation of physics, the Cubist interpretation of physics, the non-local realist
651520	659680	interpretation of quantum physics works very, very well with what evolution is suggesting,
659680	666160	that we evolve not to see the truth, but to have a headset. So yeah, I think the two actually
666160	670960	dovetail quite well. The truth to be hidden, but allowing us to control it in a way that we need.
671760	677840	That's exactly right. And I should mention that since the last time we talked,
677840	683280	there's been a big push by the European Research Council, the ERC. They have a 10 million euro
683280	688320	new initiative for finding that there are these new structures outside of spacetime.
688880	690080	Like the Amplituhedron?
690080	693440	Like the Amplituhedron, right. Yeah, that's right. So they're called positive geometries,
693440	698720	but and so they, it's just started. Is it a cosmological polytope? Is that correct?
698720	703280	That's right. That's right, an associahedron and so forth. So there are these positive
703280	709680	geometries and they could have billions of dimensions. Spacetime has four, maybe 11 in
709680	712720	string theory or something like that, but they could have billions of dimensions. In other words,
713840	720000	our headset is pretty cheap. It's a really, really low dimensional, we got the cheap model.
720960	728720	The high energy theoretical physicists are now looking at structures like the Amplituhedron,
728720	734160	in which one of the parameters is the dimension of your spacetime. So in our case, M equals four.
734160	738800	M is the parameter, and ours is four, but they could have a billion. M could be any number,
739680	744640	M is one of the, four is one of the smaller numbers you could have. So that's already a
744640	749200	parameter in the positive geometries that your headset, your spacetime could be
749200	754880	as many dimensions as you want. And we have about as cheap of one as you could get away with.
