start	end	text
0	2000	My heart is breaking.
2000	4000	Thank you! We got one!
4000	10000	I love public transit because it's great for the environment, it's good for communities and for public health.
10000	12000	And not because I suck at driving.
12000	14000	But not everybody feels that way.
14000	19000	And even if people do support public transit, even if they have access to it, they still might not choose to use it.
19000	21000	And I want to figure out why.
21000	25000	So I spent the last few weeks looking at maps, talking to people,
25000	29000	and exploring one of Canada's most cursed public transit projects to figure it out.
29000	32000	This place is so empty, it's like something from a zombie film.
32000	34000	It's a long story, let me explain.
34000	37000	Thank you to our supporters on Patreon for supporting the channel,
37000	40000	and to No Brainers for sponsoring this portion of the video.
40000	45000	Just like us, the team at No Brainers are a group of non-experts asking questions big and small,
45000	47000	and sharing the fun along the way.
47000	52000	Produced in partnership with TVO, they explore things like beauty brainwashing to endless scrolling.
52000	55000	Are we really in control of how makeup makes us feel?
55000	59000	What happens when you overstimulate your brain with a full day of mindless scrolling,
59000	62000	and then hit the brakes by jumping into a sensory deprivation tank?
62000	65000	All of it is available right now for free on YouTube.
65000	67000	If you like us, then you'll like them.
67000	69000	Their channel is linked in the description. Check them out.
69000	70000	Now back to the video.
70000	72000	I have always been a fan of public transit.
72000	76000	For all of the frustrations and faults, I think that it's a good thing.
76000	82000	Which is why it's so strange to me that Canada and America seem so different from our global peers.
82000	87000	Like, you look at the girl group of seven and you can't help but notice that we are just so far behind
87000	91000	in terms of infrastructure, but also user interest.
91000	97000	If we compare the amount of passenger cars per capita, Canadians and Americans just seem to prefer driving.
97000	98000	And I want to know why.
98000	101000	So to start, I think I need to find the facts in my feelings
101000	104000	and figure out if public transit is actually a good thing.
104000	107000	Is it something nice to have, or do we even need it?
108000	109000	Yes, we do.
109000	113000	So I tried to make a public transit pros and cons list for society.
113000	117000	And it was really hard because there are, like, no cons.
117000	118000	You know that TikTok audio?
118000	122000	Cosy economy benefits everybody, hurts nobody.
122000	124000	Yes, that is public transit.
124000	128000	It is safer and less fatal for riders and other street users than cars.
128000	130000	It encourages regular exercise.
130000	132000	It is way better for the environment.
132000	138000	It is also a way more efficient use of space because cars suck at maximizing the amount of people getting from point A to point B
138000	141000	and storing them is a nightmare.
141000	146000	It is also essential for people who do not have access to a car and need to get places.
146000	152000	But if you don't care about any of that and you just care about money, public transit is a good investment.
152000	159000	So if public transit is this great for society, why doesn't Canada and America have more of it?
159000	161000	Have you heard about the highway lobby?
161000	162000	Good job!
162000	164000	Now we weren't always bad at public transit.
164000	170000	In the early 1900s, vast rail networks connected the continent and streetcar systems weaved through cities
170000	173000	that you wouldn't traditionally consider hubs, like LA.
173000	175000	So what happened?
175000	179000	Well, it starts with the concept of a street which has surprisingly many uses.
179000	182000	A path, a playground, a potential profit.
182000	187000	That's because when a street belongs to everyone, everyone is free to imagine how they can use it.
187000	189000	It asks a question.
189000	190000	What am I for?
190000	194000	Believe it or not, in the early 1900s, we didn't have a clear answer.
194000	199000	But the rising popularity of cars was making it pretty obvious that we needed to find one.
199000	203000	Cars brought congestion, which made a lot of public transit impractical.
203000	206000	They also brought danger because they kept hitting people.
206000	211000	Cars also brought together enough collective interest and influence to finally answer the question.
211000	214000	Streets are for cars.
214000	218000	Now, the highway lobby did do a lot of things to literally pave the way for an auto-centric future.
218000	223000	They purchased streetcar networks that were failing because of car traffic and they tore up the tracks.
223000	227000	They established toll-free highways funded largely by federal taxes,
227000	232000	and they benefited from racism and classism by promising an urban renewal
232000	235000	by replacing marginalized communities with highways.
235000	239000	But I think the most significant thing that the highway lobby might have pulled off
239000	241000	was that they got us to stop imagining.
241000	243000	What are streets for?
243000	246000	Through flashy exhibits and promises of modernity and freedom,
246000	250000	we allowed cars to take over the street, and in doing so,
250000	253000	changed the way we approach everything.
253000	256000	Solving congestion went from moving people to moving cars.
256000	261000	Reducing traffic accidents went from saving lives to getting pedestrians out of the way.
261000	266000	Cities went from dense hubs of community and trade to parking lots,
266000	271000	and people left to spend too much of their life in rush hour traffic.
271000	276000	But to say that cars have just won forever would be a disservice to the many public transit projects
276000	278000	happening in Canada and North America.
278000	282000	Like Toronto, the city that I'm from, has some of the most public transit projects in North America.
282000	286000	Except the only time that I hear about them is when things go wrong.
286000	289000	And after learning what we've learned, I can't help but wonder,
289000	291000	is this the highway lobby?
291000	293000	Are they doing something behind the scenes?
293000	297000	So I read a few articles, talked to some people, and it turns out, probably not sabotage.
297000	302000	But mostly, it's just a miracle that any public transit works.
302000	306000	I'm Reese. I'm, I guess, primarily a YouTuber at RM Transit,
306000	312000	and it's the same on Twitter, Instagram, all the socials that I also do transportation consulting.
312000	319000	So in general, there are a variety of steps to planning a new big infrastructure transit project like this.
319000	324000	You start with a good reason to build such a project, and then you move on to sort of planning.
324000	327000	And with planning, you're looking at all kinds of different things.
327000	330000	You know, you might have kind of a map of your city.
330000	335000	Then you start trying to say, like, oh, how can we connect these things up and hit the necessary destinations?
335000	339000	There's all kinds of different geographical dependencies as well.
339000	343000	There might be a sewer line here, and you might have to figure out a way to go under it.
343000	349000	Once you go through the planning process, you're probably going to start going into engineering.
349000	353000	You're going to look at the actual physical built environment.
353000	356000	So maybe there's a mall and you got to send the train under the mall.
356000	360000	Now you got to look at the foundations of the mall to make sure that you can actually dig a tunnel there
360000	362000	and that you're not going to cause the mall to collapse.
362000	364000	Once you have that, you're going to cost it out.
364000	368000	How many years is it probably going to take to build the thing?
368000	370000	What materials do we need?
370000	374000	What equipment do we need to buy so that we can now go and build this thing?
374000	378000	And once we have the costing, then we can go to government.
378000	381000	Everyone's favorite. And ask, please give me money.
381000	386000	If a project gets funded, then it moves to procurement, where different companies bid for contracts
386000	388000	to actually dig the holes and lay down lines.
388000	392000	Once you figure out who's built and what, you actually have to build it, which means...
392000	395000	You close down streets. You reroute buses.
