start	end	text
0	12240	I'm talking today about phenomenology. Now, today in my professional life, I spend a lot
12240	19040	of time doing formal ontology, which is very closely related to a non-phenomenological kind
19040	25200	of philosophy called the analytic philosophy, logical philosophy. For a long time in my life,
25200	30640	I work on phenomenology. And this is what this is about. And so it has a kind of,
31920	38720	I wouldn't say oldy-worldy flavor, although it does go back 50 years. But it does deal with some
38720	46240	of the reasons why my life progressed phenomenologically as it did. So it started with the very first
46240	50880	philosophy book that I had in my hands in school, which was Wittgenstein's Traptators.
51600	57520	I was about to go to university to study mathematics. Wittgenstein's Traptators convinced
57520	63040	me that I should study mathematics and philosophy. And I did this in Oxford for three years. So
64080	68960	I was at Jesus College, which is somewhere at the back there. I was there for three years as an
68960	74960	undergraduate. And the one person who really influenced me was Michael Dumit, who is a specialist
74960	82480	on Frege and on a view of analytic philosophy, as rooted not just in Frege's ideas, but in
82480	89040	the idea that studying language could be the key tool to unlock philosophical problems.
89040	97280	And during my stay in Oxford, I had dreams of writing a PhD. My goal was to write a PhD on
98320	104000	the aesthetics of mathematics. So the idea would be that mathematical theorems
104000	109600	or chess games or musical works can have aesthetic properties. I did end up writing
109600	117040	a PhD thesis, but it was about something quite different. And my change came about by accident.
117040	123120	Roman Ingaarden was the key and this book changed my plans. All right, then I moved to the University
123120	128320	of Manchester, which is where I lived, and which was the only place in England at that time where
128400	134480	you could study phenomenology. I was a student working, well, on my thesis, which is called
135600	141600	I used a typewriter. If I made any mistakes, I had to write out top copy and the carbon copy.
142320	148960	It's 600 and something pages long. I didn't know what hellish waste of time I was going through
148960	156000	because we didn't have computers in those days. And it's about Hossel, Frege, Dumit and Mino.
156640	162560	But it's about ontology in the classical philosophical sense. It's about how these people
162560	171040	study beings, entities formally. And during that time, I met two philosophers, philosophy students
171920	177920	who were also doing a PhD in Manchester at the same time. Peter Simons became quite famous
178560	185840	in various universities. He finished in Trinity College, Dublin. And Kevin finished and hasn't
186240	192800	quite finished yet in the University of Geneva. So all right, this is Manchester. After my PhD,
192800	199280	I moved to a postdoc in another Northern English University. And then I moved back to Manchester
199280	206960	as a faculty member. I inherited the position of my PhD supervisor who retired. So I was responsible
206960	212960	for phenomenology in the philosophy department in Manchester, which was very much dominated
212960	219520	by what we might call American. Americans are of two types. On the one hand, there are Americans
220080	224320	who do American philosophy. And then on the other hand, there are English people who do
224320	231840	American philosophy. I was the only person doing philosophy in a European sense. So Peter and
231840	236400	Kevin and I published a lot together. We worked a lot together. We organized many meetings together
236400	242320	and we changed the world. This was one of the papers which was quite successful and still
242320	250160	successful that there's a whole industry of truth making, which we more or less initiated in 1984.
250160	257280	And on my door in the philosophy department in Manchester, I had this sign that to indicate that
257280	261680	you were now going into the world of European philosophy. This comes from the Berlin Wall.
261680	267280	I guess you all know what the Berlin Wall is. Checkpoints, Darley and all that. The centre
267360	273040	of all of this work with Peter and Kevin was not in Garden, but in Garden's teacher,
273040	280880	Husser, who was the founder of phenomenology and who was born in Austria, Hungary. And a lot of the
280880	290640	work I did subsequently between 1990 and 2000 or 1918, 2000, was it about Austro-Hungarian philosophy,
291360	297120	including Husser. Normally counted as a German philosophy because he spent his mature life in
297120	302880	Germany, but he was born in Austria-Hungary and like many of the other people I'm going to talk
302880	307920	about, even the Poles I'm going to talk about, they were born in Austria too and they were certainly
307920	315920	not part of Poland because Poland didn't exist. All right, so formal ontology. The term comes from
315920	321600	Husser's logical investigations and both Peter and Kevin and I thought that Husser's logical
321600	328080	investigations and specifically the logical investigation number three on the theory of
328080	333040	holes and parts was the key to doing good philosophy. So we thought that many of the
333600	341040	targets of analytic philosophy were important to work on, but the proper method was to be found
341040	349040	in Husser. So this is the first formal theory of myriology, theory of parts and parts. And more
349040	355200	generally, it presents something called formal ontology, which is the theory of ontological
355200	362160	structures, which are formal in the sense that they are domain neutral, not material in the
362160	369200	sense of being related to matter, but material in the sense of being domain, non-neutral, domain
369200	378560	specific. And relations like part whole, instance of, and so forth, are formal relations. All right,
378560	384000	so these are the main parts of Husser's formal ontology. He was very keen on the idea of a theory
384000	392400	of dependence relations and theories of boundaries and continuities, topology, and then theories of
392400	398000	instantiation of species and lowest specific differences and so forth. So this is pretty
398000	404480	old fashioned in the sense that most of it is found in some form in Aristotle. But Husser
405840	411520	saw, and Husser was originally a mathematician, saw that you could treat these kinds of issues
412080	419520	in a formal way in the sense of that mathematics also is formed. So formal logic, formal ontology,
420080	425360	and formal axiology, which Husser also dealt with, are all very much related to mathematics.
428320	438880	30 years later, probably in Italy, but that's neither here nor there, I created something
438880	445600	called basic formal ontology. And this has become very important. This is what I work on
445600	452240	all the time now. And this includes all of the things that Husser thought were important parts
452240	460960	of formal ontology, together with a much more specific treatment of spacetime of processes
460960	465920	and of what we call realizable entities, which means dispositions, powers, functions, roles,
465920	471680	and so forth. So basic formal ontology is very much rooted in Husser's logical investigations,
472320	478080	and it adds these particular ingredients. The idea is to create a top level ontology,
478080	486000	which will not merely be domain neutral, but will be domain all encompassing. In other words,
486000	496160	every formal ontological need of any ontology will be met by BFO. I don't claim that is the case yet,
496160	504080	but it will be the case maybe in 50 years. So it's hard work. All right, so we have formal ontology,
504080	509120	which deals with the interconnections of things, and we have formal logic, which deals with the
509120	514800	interconnections of truths. And that too corresponds broadly with Husser's account of the relation.
514800	521760	He was not always clear when he was using the word formal to distinguish formal ontology and
521760	531200	formal logic. But this corresponds to the view, the general view, who is presenting in the logical
531200	538720	investigations. And so these are ontological structures. So that's John and that's Mary,
538720	543200	and they are independent entities. So they're not dependent on anything else,
