start	end	text
0	23600	We all know something about fermentation.
23600	29440	It's a process used countless times each day to make a variety of dairy products, baked
29440	31520	goods, and beverages.
31520	36960	We sometimes think of it as letting foods go bad, but in a controlled way.
36960	45160	With a little help, milk becomes yogurt, bread rises, and grains decompose, creating
45160	48920	alcoholic beverages and alternative fuels.
48920	54160	But looking at these examples only gives us a clue as to what's really happening, and
54160	60480	how we can use the power of fermentation to cost-effectively create a broad array of biological
60480	62800	products.
62800	66120	So what is fermentation?
66120	69880	A cell can be thought of as a micro-factory.
69880	77000	These cells can be bacteria, fungi, or specific cells from mammals, plants, or insects.
77000	85520	In biotechnology, these cells are used to manufacture a product in a process called fermentation.
85520	90480	For yogurt, buttermilk, and cheese, we use bacteria.
90480	96200	To make breads and alcoholic beverages, we use yeast, a fungus.
96200	101440	And the production of some vaccines require the growth of mammalian cells that are infected
101440	104080	with a specific virus.
104080	110160	The product the cells manufacture is usually a chemical the cells contain naturally, or
110160	116440	a substance that the cells have been genetically altered to create, or even a metabolic waste
116440	122040	product of the organism's growth, like one of our examples, alcohol.
122040	127800	There are too many everyday products created by commercial-scale fermentation to even list,
127800	136480	but some common ones include amino acids, biopharmaceuticals, dyes, enzymes, food products,
136480	146400	lipids, steroids, and vitamins.
146400	149480	Fermentation is a reasonably simple process.
149480	154960	A cell is selected based on its ability to produce the desired product.
154960	159720	A seedstock of cells is put into a small amount of media.
159720	165200	Media provides the nutritional products the cell needs to grow.
165200	170400	When the population of cells has grown and consumed most of the nutrients, it's moved
170400	177040	into a larger vessel with more growth media, and the process repeats.
177040	182760	This scaling up is complete when the quantity of cells is large and healthy enough to transfer
182760	189180	into a production vessel, often referred to as a bioreactor or fermenter.
189180	194440	With plenty of fresh media now available and under tightly controlled conditions, the cells
194440	197400	grow and manufacture product.
197400	203000	When the fermentation is complete, the product is harvested.
203000	207080	Fermentation is known as an upstream biotechnology process.
207080	213960	It occurs early in the production flow before recovery, purification, formulation, filling,
213960	216520	and packaging.
216520	221680	To better understand the fermentation process, we should first find out a little bit about
221680	228080	the cells we use and what they may require to reproduce and stay healthy.
