start	end	text
0	3600	Hey brother. Hey man, good to see you again. Good to see you again.
3600	7920	I feel like we do this all the time. Yeah. Last time was in Chicago maybe?
7920	12640	Yes, yeah and rooftop in LA and lots of cool places. Love it.
12640	18480	What's your mind today? As we, I guess it was yesterday that we met to talk about what we're
18480	23680	going to talk about and one of the things you brought up that I found to be very interesting was
24640	32800	this idea that there have been three key white papers in the past well I guess since 2008
33680	39600	that have really changed the world. The first one's pretty obvious. It is the Bitcoin white paper.
39600	44320	There you go. But perhaps you have kind of some unique views on the Bitcoin white paper before
44320	49360	we get into the other two. Sure. So I think one of the things that for me is having a background
49440	54000	in mathematics and physics about the Bitcoin white paper is if you think about Bitcoin as digital
54000	62320	gold, what is gold? Gold is actually mathematically a wave in a substrate called a vector bundle.
62960	70720	And the idea that you've solved the double spin problem translates in physics to a conservation
70720	76480	law, right? That the idea is that something is destroyed here to be created over here and you
76480	84000	don't have this ability to in some sense increase it. The issue is, is that all of these conservation
84000	88400	laws come from symmetry principles. So one thing I would challenge the community is that Satoshi
88400	93760	must have created a symmetry principle in order to create a conservation law. And does it stop
93760	100720	there? Is it possible to port all of the features of the physical world into the digital layer as
100720	105840	Satoshi did for this kind of conserved wave? You have a token and you may have a series,
105920	112880	a wave of claims against it from the private keys that are held. And in some sense, try to think
112880	120080	about gold and Bitcoin in a single framework where effectively you've created some substrate and some
120080	124720	wave for it to be digital gold. And I think that there's a lot of unexplored territory here,
124720	130000	but absolutely one of the most brilliant things that's happened in our lifetime. Just forget the
130000	137600	money aspect. It's simply an incredible intellectual innovation in decentralized computing that
137600	142880	happens to work great as money or you guys wouldn't be here all these years later with all the attacks
142880	148960	against you. So, you know, call it a vote. All the honor to you. Thank you. Thanks. Yeah, I like
149520	154720	a description you've shared before. It's like a bridge between the logical and the physical
154800	161040	domain. And that's pretty important for a society that's moving into the digital age, clearly.
161040	166240	Yeah, one advertisement, I wrote an essay on Bitcoin when I didn't buy it in 2010 called
167360	172960	Go Virtual Young Man. And we were trying to get prime brokerage and nobody would do prime brokerage
172960	177040	for Bitcoin then, so we gave up on the project. Definitely one of the dumbest things I've ever
177040	183440	done. But you can see the hope that was inspired because that was the hope back in 2010.
184720	194480	Now, the second white paper is one you told me about titled Attention is All You Need from 2017.
194480	200240	I'd never heard of this, but apparently it was instrumental in the AI revolution that we are
200240	204320	perhaps moving into today. Can you tell us a little bit about that white paper? It's hard.
204320	208560	It's hard. But isn't it interesting that you're all talking about chat GPT
209280	216320	and how suddenly computers can seemingly do so much of what we thought was intrinsically human?
217600	223600	And yet, can I have an honest show of hands? How many of you have never heard of Attention
223600	231520	is All You Need? Just be honest. Isn't that remarkable that we're not sharing what caused
231600	239600	that explosion? You're sort of on the retail end of this. And we Jews have a horrible joke.
239600	245280	Why did God create the non-Jews? Well, somebody had to pay retail. We can't be in the...
247920	252800	Can't believe I told that in a mixed audience. The thing is, I don't want any of you
254640	260800	thinking about this from a retail perspective. Come to the wholesaler, which is reading what
260800	265920	changed in the architecture. So this has to do with something called transformers. And there
265920	270080	were certain kinds of neural networks that were pretty inefficient and difficult to train.
270640	274880	And Attention has something to do. If you think about a very long sentence, there are different
274880	280320	regions of the sentence. How do those regions fit together? And how can you sort of parallelize
280320	286880	the training of this artificial mind? The Attention is All You Need paper came up with a
286960	292480	hyper-efficient way of making sure that the different regions got the attention that they
292480	297120	needed so that you didn't have a trailing off of interest. And that new architecture
298080	302640	started to show us something which I think we haven't really digested, which is very disturbing.
302640	307600	We keep talking about AGI, artificial general intelligence. The idea is that we are supposedly
307600	312400	generally intelligent. The computers are not actually intelligent because you can see all
312400	317840	they're doing is some linear algebra followed by a little bit of nonlinear function theory.
318400	322800	So we know what they're doing. We can't figure out why it looks like us exactly. In other words,
322800	326400	we can't go into the neural net and say, oh, well, this part of it is doing this and that
326400	334320	is doing that. Well, what's going on is it turns out that most of what we do is not very intelligent.
335040	340080	So we had a conceit about ourselves that we're thinking all the time, we're being creative all
340080	347760	the time. And in fact, mostly you can finish each other's, right? And so the whole idea is,
347760	352560	thank you guys for that. I really appreciate it. What's going on is that for the most part,
352560	356960	we're just doing the same thing we did yesterday. We have the same conversational patterns. And
356960	362720	when somebody says something new, we tend to call them a grifter. We tell them that they're
362720	368560	an attention hog or they're whoring for clicks, all of these things. And mostly what we want to
368560	375360	do is repetitive activity. And what this is doing is it's eating our lunch. It's correctly figured
375360	379920	out that most of what we do is not generally intelligent. It's just repetitive. And so when
