start	end	text
0	1560	All right.
1560	3560	Well, this is CS50 Tech Talk.
3560	4920	Thank you all so much for coming.
4920	6960	So about a week ago, we circulated the Google Form,
6960	9660	as you might have seen, at 10.52 AM.
9660	12600	And by, like, 11.52 AM, we had 100 RSVPs,
12600	14680	which I think is sort of testament to just how much interest
14680	18100	there is in this world of AI, and open AI, and GPT, chat
18100	19200	GPT, and the like.
19200	21840	And in fact, if you're sort of generally familiar with what
21840	24320	everyone's talking about, but you haven't tried it yourself,
24320	26680	this is the URL, which you can try out this tool
26680	29120	that you've probably heard about, chat GPT.
29120	30680	You can sign up for a free account there
30680	32800	and start tinkering with what everyone else has been
32800	33640	tinkering with.
33640	36400	And then if you're more of the app-minded type, which you probably
36400	39720	are if you are here with us today, open AI in particular
39720	43240	has its own low-level APIs via which you can integrate AI
43240	44560	into your own software.
44560	46920	But of course, as is the case in computer science,
46920	49040	there's all the more abstractions and services
49040	51200	that have been built on top of these technologies.
51200	53840	And we're so happy today to be joined by our friends
53840	56280	from McGill University and Steamship,
56320	58720	Sill and Ted, from whom you'll hear in just a moment,
58720	62160	to speak to us about how they are making it easier to build,
62160	64680	to deploy, to share applications using some
64680	65960	of these very same technologies.
65960	68240	So our thanks to them for hosting today.
68240	70080	Our friends at Plimpton, Jenny Lee and alumna,
70080	72120	who's here with us today, but without further ado,
72120	73840	allow me to turn things over to Ted and Sill.
73840	78000	And pizza will be served shortly after 1 PM outside.
78000	79760	All right, over to you, Ted.
79760	81400	Thanks a lot.
81400	83280	Hey, everybody, it's great to be here.
83280	85800	I think we've got a really good talk for you today.
85800	88080	Sill's gonna provide some research grounding
88080	90920	into how it all works, what's going inside,
90920	94120	the brain of GPT as well as other language models.
94120	96000	And then I'll show you some examples that we're seeing
96000	98240	on the ground of how people are building apps
98240	100380	and what apps tend to work in the real world.
100380	103480	So our perspective is we're building AWS for AI apps.
103480	105160	So we get to talk to a lot of the makers
105160	106600	who are building and deploying their apps.
106600	108920	And through that, see both the experimental end
108920	111800	of the spectrum and also see what kinds of apps
111800	113720	are getting pushed out there and turned into companies,
113720	115520	turned into side projects.
115560	119200	We did a cool hackathon yesterday.
119200	122000	Many thanks to Neiman, to David Malin and CS50
122000	123400	for helping us put all of this together,
123400	124760	to Harvard for hosting it.
124760	127920	And there were two sessions, lots of folks built things.
127920	131100	If you go to steamship.com slash hackathon,
131100	132400	you'll find a lot of guides,
132400	133840	a lot of projects that people built.
133840	136560	And you can follow along, we have a text guide as well,
136560	138440	just as a quick plug for that,
138440	141240	if you want to do it remotely or on your own.
141240	143880	So to tee up Sill, we're gonna talk about
143880	147160	basically two things today that I hope you'll walk away with
147160	149840	and really know how to then use as you develop
149840	150680	and as you tinker.
150680	153160	One is what is GPT and how is it working?
153160	155240	Get a good sense of what's going on inside of it
155240	158280	other than as just this magical machine that predicts things.
158280	160720	And then two is how are people building with it?
160720	162800	And then importantly, how can I build with it too
162800	163680	if you're a developer?
163680	165800	And if you have CS50 background,
165800	167160	you should be able to pick things up
167160	168160	and start building some great apps.
168160	170080	I've already met some of the CS50 grads yesterday
170080	171800	and the things that they were doing were pretty amazing.
171800	173000	So hope this is useful.
173000	174320	I'm gonna kick it over to Sill
174320	179280	and talk about some of the theoretical background of GPT.
179280	181160	Yeah, so thank you, Ted.
181160	182000	My name is Sill.
182000	184560	I'm a graduate student of Digital Humanities at McGill.
184560	186560	I study literature and computer science
186560	188480	and linguistics in the same breath.
188480	190520	And I've published some research over the last couple of years
190520	193800	exploring what is possible with language models
193800	195640	and culture in particular.
195640	199760	And my half or whatever of the presentation
199760	201880	is to describe to you what is GPT.
201880	204240	That's really difficult to explain in 15 minutes.
204240	206720	And there are even a lot of things that we don't know,
206720	208040	but a good way to approach that
208040	210200	is to first consider all the things
210200	213320	that people call GPT by or descriptors.
213320	215680	So you can call them large language models.
215680	218000	You can call them universal approximators
218000	219040	from computer science.
219040	222440	You can say that it is a generative AI.
222440	224040	We know that they are neural networks.
224040	226440	We know that it is an artificial intelligence.
226440	228160	To some, it's a simulator of culture.
228160	230280	To others, it just predicts text.
230320	231480	It's also a writing assistant.
231480	232840	If you've ever used ChatGPT,
232840	235000	you can plug in a bit of your essay, get some feedback.
235000	236520	It's amazing for that.
236520	237560	It's a content generator.
237560	240760	People use it to do copywriting, Jasper.AI,
240760	242200	pseudo-write, et cetera.
242200	243640	It's an agent.
243640	245160	So the really hot thing right now,
245160	248480	if you might have seen it on Twitter, auto-GPT, baby-AGI,
248480	250560	people are giving these things tools
250560	253160	and letting them run a little bit free in the wild
253160	256120	to interact with the world computers, et cetera.
256120	258160	We use them as chatbots, obviously.
258160	261840	And the actual architecture is a transformer.
261840	264480	So there's lots of ways to describe GPT.
264480	267760	And any of them is a really perfectly adequate way
267760	269640	to begin the conversation.
269640	271320	But for our purposes, we can think of it
271320	272480	as a large language model,
272480	274920	and more specifically, a language model.
274920	279080	And a language model is a model of language,
279080	280360	if you allow me the tautology,
280360	281960	but really what it does is it produces
281960	284760	a probability distribution over some vocabulary.
284760	287520	So let us imagine that we had the task
288040	291000	of predicting the next word of the sequence I am.
291000	295360	So if I give a neural network the words I am,
295360	297880	what of all words in English
297880	300000	is the next most likely word to follow?
300000	304680	That, at its very core, is what GPT is trained to answer.
304680	308680	And how it does it is it has a vocabulary of 50,000 words,
308680	312040	and it knows, roughly, given the entire internet,
312040	314840	which words are likely to follow other words
315840	317960	of those 50,000 in some sequence,
317960	321200	up to 2,000 words, up to 4,000, up to 8,000,
321200	323640	and now up to 32,000 GPT4.
323640	326200	So you give it a sequence, here I am,
326200	329120	and over the vocabulary of 50,000 words,
329120	332480	it gives you the likelihood of every single word that follows.
332480	336920	So here it's I am, perhaps the word happy is fairly frequent,
336920	338360	so we'll get that high probability
338360	341480	if we look at all words, all utterances of English.
341480	344800	It might be I am sad, maybe that's a little bit less probable,
345000	346880	I am school, that really should be at the end
346880	348800	because I don't think anybody would ever say that,
348800	351760	I am Bjork, that's a little bit, it's not very probable,
351760	353720	but it's less probable than happy sad,
353720	355800	but there's still some probability attached to it.
355800	358280	And when we say it's probable, that's literally a percentage,
358280	363280	that's like happy follows I am maybe like 5% of the time,
363400	366960	sad follows I am maybe 2% of the time, or whatever.
366960	371520	So for every word that we give GPT,
371520	373920	it tries to predict what the next word is
373920	376920	across 50,000 words, and it gives every single one
376920	381920	of those 50,000 words a number that reflects how probable it is.
383160	385360	And the really magical thing that happens
385360	390280	is you can generate new text, so if you give GPT I am,
390280	394240	and it predicts happy as being the most probable word
394240	397880	over 50,000, you can then append it to I am,
397880	401360	so now you say I am happy, and you feed it into the model again,
401480	403680	you sample another word, you feed it into the model again,
403680	405240	and again, and again, and again,
405240	407720	and there's lots of different ways that I am happy,
407720	410920	I am sad, can go, and you add a little bit of randomness,
410920	412520	and all of a sudden you have a language model
412520	414840	that can write essays, that can talk,
414840	417760	and a whole lot of things, which is really unexpected,
417760	419120	and something that we didn't predict
419120	421880	even five years ago, so this is all relevant.
421880	426880	And if we move on, as we scale up the model,
427520	430680	and we give it more compute, in 2012 AlexNet came out,
430680	435280	and we figured out we can run the model on GPUs,
435280	436920	so we can speed up the process,
436920	438960	we can give the model lots of information
438960	440320	downloaded from the internet,
440320	441840	and it learns more and more and more,
441840	444520	and the probabilities that it gives you
444520	446120	get better as it sees more examples
446120	447600	of English on the internet,
447600	450160	so we have to train the model to be really large,
450160	453000	really wide, and we have to train it for a really long time,
453000	455840	and as we do that, the model gets more and more better,
455840	457720	and expressive and capable,
457720	459760	and it also gets a little bit intelligent,
459760	462200	and for reasons we don't understand.
462200	465880	So, but the issue is that because it learns
465880	467600	to replicate the internet,
467600	471000	it knows how to speak in a lot of different genres of text,
471000	472520	and a lot of different registers.
472520	475120	If you begin the conversation like, chat GPT,
475120	476760	can you explain the moon landing to a six year old
476760	478760	in a few sentences, GPT three,
478760	481080	this is an example drawn from the Instruct GPT paper
481080	485640	from OpenAI, GPT three would have just been like,
485640	487640	okay, so you're giving me an example,
487640	489640	like explain the moon landing to a six year old,
489640	491480	I'm gonna give you a whole bunch of similar things
491480	493640	because those seem very likely to come in a sequence.
493640	495520	It doesn't necessarily understand that it's being asked
495520	498320	that question has to respond with an answer.
498320	501560	GPT three did not have that apparatus,
501560	504000	that interface for responding to questions,
504000	509000	and the scientist at OpenAI came up with the solution,
509280	511640	and that's, let's give it a whole bunch of examples
511640	513240	of question and answers,
513240	515640	such that we first train it on the internet,
515640	517640	and then we train it with a whole bunch of questions
517640	521320	and answers such that it has the knowledge of the internet,
521320	524200	but really knows that it has to be answering questions,
524200	527640	and that is when chat GPT was born,
527640	530520	and that's when it gained 100 million users in one month,
530520	533360	I think it beat TikTok's record at 20 million in one month,
533360	536560	it was a huge thing, and for a lot of people,
536560	538720	they went, oh, this thing is intelligent,
538720	541400	I can answer, I can ask it questions, it answers back,
541400	543600	we can work together to come to a solution,
543600	546400	and that's because it's still predicting words,
546400	548120	it's still a language model,
548120	551440	but it knows to predict words in the framework
551440	554560	of a question and answer, so that's what a prompt is,
554560	557560	that's what instruction tuning is, that's a key word,
557560	561920	that's what RLHF is, if you've ever seen that acronym,
561920	564760	Reinforcement Alignment with Human Feedback,
564760	567840	and all those combined means that the models
567840	568920	that are coming out today,
568920	570600	the types of language predictors
570600	571840	that are coming out today,
571840	574000	work to operate in a Q and A form.
574000	578400	GPT-4 exclusively only has the aligned model available,
578400	582920	and this is a really great, solid foundation to build on,
582920	584360	because you can do all sorts of things,
584360	586440	you can ask chat GPT, can you do this for me,
586440	587480	can you do that for me?
587480	588680	You might have seen that OpenAI
588680	591020	has allowed plugin access to chat GPT,
591020	593800	so it can access Wolfram, it can search the web,
593800	596280	it can search, it can do Instacart for you,
596280	600520	it can look up recipes, once the model knows
600520	602640	that not only it has to predict language,
602640	605000	but that it has to solve a problem,
605920	607640	and the problem here being,
607640	609560	give me a good answer to my question,
609560	611560	it's suddenly able to interface with the world
611560	613000	in a really solid way,
613000	615720	and from there on, there's been all sorts of tools
615720	619600	that it build on this Q and A form that chat GPT uses,
619600	622800	you have auto GPT, you have Langchain,
622800	626840	you have React, there was a React paper
626840	628140	where a lot of these come from,
628140	630880	and turning the model into an agent
631480	634560	which to achieve any ambiguous goal
634560	636080	is where the future is going,
636080	638360	and this is all thanks to instruction tuning,
638360	641720	and with that, I think I will hand it off to Ted,
641720	643320	who will be giving a demo,
643320	644560	or something along those lines,
644560	649360	for how to use GPT as an agent, so.
651920	654640	All right, so I'm a super applied guy,
654640	656800	I kinda look at things and think,
656800	660080	okay, how can I add this Lego, add that Lego,
660120	662520	and clip them together and build something with it,
662520	666760	and right now, if you look back in computer science history,
666760	668200	when you look at the kinds of things
668200	670240	that were being done in 1970,
670240	671980	right after computing was invented,
671980	674080	the microprocessors were invented,
674080	675240	people were doing research like,
675240	677120	how do I sort a list of numbers,
677120	678360	and that was meaningful work,
678360	680760	and importantly, it was work that's accessible to everybody,
680760	682960	because nobody knows what we can build
682960	685760	with this new kind of oil, this new kind of electricity,
685760	688840	this new kind of unit of computation we've created,
688880	690160	and anything was game,
690160	692240	and anybody could participate in that game
692240	693080	to figure it out,
693080	694440	and I think one of the really exciting things
694440	697240	about GPT right now is, yes,
697240	698920	in and of itself, it's amazing,
698920	701520	but then, what could we do with it
701520	703160	if we call it over and over again,
703160	704900	if we build it into our algorithms,
704900	706520	and start to build it into broader software,
706520	707960	so the world really is yours
707960	710080	to figure out those fundamental questions
710080	712600	about what could you do if you could script
712600	715280	computation itself over and over again
715280	716940	in the way that computers can do,
716940	719540	not just talk with it, but build things atop it,
719540	722100	so we're a hosting company, we host apps,
722100	724520	and these are just some of the things that we see,
724520	726260	I'm gonna show you demos of this with code
726260	728740	and try to explain some of the thought process,
728740	730740	but I wanted to give you a high level overview of,
730740	732740	you've probably seen these on Twitter,
732740	734660	but when it all sorts out to the top,
734660	736260	these are some of the things that we're seeing
736260	739540	built and deployed with language models today,
739540	742500	companionship, that's everything from I need a friend,
742500	743820	to I need a friend with a purpose,
