start	end	text
0	7000	Welcome, everybody, to the last Garrad seminar here in Cambridge of the McLemors term.
7000	10000	Thank you for attending.
10000	29000	And just looking forward, continue pleased to watch this space because we have a very full programming built for our Garrads for January to March, where the theme will be decolonization, and we'll have a series of exciting speakers and panels and such like to which to look forward.
30000	38000	Those of you who are members of staff here in the department will know that our departmental meeting ended about one to two minutes ago.
38000	48000	Can't very wisely parachute it out about 10 minutes to get to get us off ready. I was unable to because I was chairing it. And that means that the vital 10 minutes produced a usual flowery
48000	62000	Incomium on the speaker that I would expect to produce didn't quite happen. So my, my apologies for that. And I hope whatever this introduction laps in flouriness will be made up for in terms of sincerity.
62000	78000	As you all know, one of the most exciting things about this department over the last few years has been the ability to appoint a series of outstanding new generation appointments in many fields, but particularly focusing in biological anthropology and in human evolution.
78000	90000	And if a previous speech we've heard two of those speakers present on their work. And today we have one further star appointment in the form of catcoops.
91000	96000	Who will be speaking us today on her research.
96000	109000	What I would like to just emphasize is cat is another of these globetrotting international stars she began in Utrecht came to Cambridge to do her doctoral work.
109000	123000	She then took up a position, a research position in Zurich, and we were again fortunate, very grateful to be able to entice the back to our advertised you to ship in primatology here at Cambridge.
123000	131000	The subject she's offering us is of apes and tools insights into the evolution of technology.
131000	138000	A marvelous subject about which we look forward to hearing from you can't over to you and thank you.
138000	149000	Thank you very much, Cyprian, and happy Thanksgiving to all. It's my great pleasure to be speaking to you today in the Department of archaeology is Garrett seminar series.
149000	162000	And I'm going to take this opportunity to talk about my research of apes and tools. And I hope to convince you that by studying a to use, we can in turn shed light on the evolution of technology.
162000	166000	First, I will talk about my research on chimpanzees.
166000	172000	Then we will dive into my comparative work on chimpanzees and bonobos.
172000	181000	And lastly, I will introduce you to ongoing and upcoming research across all the African apes and humans.
181000	184000	But first, how did it all begin?
184000	193000	The oldest known hominid stone tool dates to about 3.3 million years ago and was found in Western Canada and Kenya.
193000	205000	Over millions of years, technology evolves from these simple stone tools to more elaborate by faces, spear points, bows and arrows, needles and pottery.
205000	213000	That's the way to the complex technology we have today, which includes things like spaceships.
213000	220000	Across the globe, we see an amazing spectrum of cultural diversity with different people using different technologies.
220000	231000	And these technologies have helped humans spread all over the world into places ranging from the Arctic to the desert to the rainforest.
231000	234000	This is a defining feature of our species.
234000	238000	Humans are the only species dependent on technology for their survival.
238000	248000	And the question what makes humans such unique technological beings is akin to asking the fundamental question what makes us human.
248000	255000	My central research question therefore is what drives the evolution of technology.
255000	266000	Unfortunately, we don't have a time machine to study the use of tools by our hominin ancestors, but we do have the next best thing, our closest living relatives, the great apes.
266000	280000	So workplaces are silent, studies of living apes are essential for understanding how and why hominin behavior changed since our lineage split from that of the other apes.
280000	290000	The African apes are genetically most closely related to us, and chimpanzees and bonobos are our closest living relatives.
290000	297000	So by studying them, we can discover what distinguishes humanity from its ape-like ancestors.
297000	309000	Chimpanzees are especially informative with regards to the evolution of technology, since they use a wide variety of tools across a range of contexts, just like we do.
309000	314000	For example, some chimpanzee groups crack nuts.
314000	324000	Here you see Zhezhe, an adult male, and he's using a stone, hammer, and an ember to crack open oil palm nuts.
324000	328000	Other chimpanzee groups dip for army ants.
328000	341000	Here we see Guy, an adult female, and she's using a long stick to harvest these aggressive ants from their underground nest.
341000	348000	So what we see is that different chimpanzee groups, called communities, use different types of tools.
