start	end	text
0	25440	Buenos días y bienvenidos a el canal Blender. Muy bien, vamos a seguir con este segundo
25440	30600	vídeo tutorial en el cual os explicamos cómo programar scripts en Blender. En esta ocasión
30600	34560	lo que vamos a hacer es incorporar un botón que cree una esfera geodesica. ¿Por qué?
34560	38640	¿Por qué creamos un botón? Bueno pues para que empecéis a entender que no solo basta con
38640	44800	que creéis scripts que al ejecutarles hagan cosas sino que por supuesto necesitáis que haya
44800	52800	elementos como por ejemplo estos botones, botones que hagan cosas. Necesitáis botones. También
52800	60000	necesitamos otro tipo de dispositivos y sistemas de entrada, por supuesto de datos, pero vamos a
60000	65520	centrarnos hoy en un botón. Vamos a crear un botón. Para crear un botón lo primero que tenemos que
65520	71440	hacer como siempre es pasar al modo scripting, crear un script nuevo. Vamos a ampliar un poquito esto
71440	80360	y vamos a trabajar con ese botón que va a crear una esfera geodesica concretamente situada en el
80400	86440	visor 3D y en la barra de herramientas en la parte inferior. Bueno, vamos a ello.
89160	95280	No voy a teclear, lo voy a copiar el programa que he hecho ya al principio, así que y directamente
95280	100360	os explico qué es lo que ocurre en cada lugar. Lo primero que hay que tenéis que hacer es meter
100360	105920	este comando import VPI. ¿Qué hace import VPI? Bueno pues import VPI lo que hace es que importa la
105960	113720	librería de Blender en Python. Aquí es donde está todas las capacidades, las definiciones,
113720	121280	los procedimientos, las clases que va a os va a permitir manejar los scripts en Blender y ahora
121280	129280	lo que tenemos que hacer es entregarle, entregarle una clase o crear una clase. Vamos a crear esta
129280	136360	clase, vamos a poner esto y os vamos a explicar qué quiere decir, qué quiere decir todo esto que hay
136360	144320	aquí. Bien, esto lo que quiere decir es que esa clase que hemos creado, las clases para que lo
144320	148800	sepáis, son una especie de plantillas, una plantilla, plantillas genéricas de un objeto,
148800	153920	una plantilla, una plantilla es fácil de entender, ¿sabes lo que es? Y entonces dentro de esa plantilla
153920	160760	hay una serie de etiquetas, quetándoles un nombre concreto, adquieren unas características y que por
160760	167400	supuesto podéis utilizar para aquello que estáis creando. En este caso y dentro de esta plantilla
167400	174600	cogemos concretamente la parte ubicada en el panel. Dentro de existen estas etiquetas,
174600	182760	la BEL es la etiqueta con la que vamos a definir el nombre de ese botón y aquí se le va a entregar
183960	189440	el lugar o la ubicación donde se va a encontrar ese botón en la visión 3D, se llama BIO 3D,
189440	195000	cada parte tiene su, por ejemplo, esta parte tendría su nombre distinto, ¿sabéis que es
195000	200640	el editor de propiedades? Y dentro, por ejemplo, el de propiedades de objeto, pues aquí dentro de
200640	207720	lo que es el visor 3D y está una de los puntos, se llaman las tools, las herramientas. Y le decimos
207720	213200	que dentro del espacio del visor 3D lo queremos poner en las tools, en la región de las tools,
213200	220760	que es estar aquí. Una vez que hemos creado esto, lo que tenemos que hacer es incluir una definición,
220760	228200	una definición. Una definición forma parte de esa plantilla internamente en la que, por supuesto,
228200	237040	nosotros vamos a incorporar todos esos datos que nosotros necesitamos. La definición, ¿tienes
237040	241760	que observar bien? Porque las tabulaciones son importantes, las tabulaciones las va a crear
241840	247680	automáticamente, los crea automáticamente, cuando vosotros pusáis intro dentro de lo que es una
247680	257480	clase, un bucle, una bifurcación, una definición, etcétera, etcétera. Y lo que necesita el Python
257480	262200	es que todo esté perfectamente colocado para poder entender dónde tiene que hacer las cosas.
262200	269200	Bien, esta definición necesita un operador, operador, operator, quiere decir botón, quiere decir
