start	end	text
30000	53280	Some people call this a war, war or not, one thing is sure, a daily battle is being waged
53280	65200	in supermarkets all over this country, a battle for the customer's dollar.
65200	69520	If a store is to make a profit in the face of today's stiff competition, everyone in
69520	77080	it must give his full effort.
77080	91280	But like any battle, victory in this conflict is finally won or lost on the front line.
91280	98880	With literally millions of dollars at stake, success is measured in pennies.
98880	108000	The checker plays a key role in this daily struggle.
108000	112400	Methods of handling groceries and customers may vary from store to store, but the basic
112400	114760	objectives are the same.
114760	119620	Check the customer's purchases accurately, ring them up correctly and collect the money
119620	121120	for the store.
121120	123760	And there's more, much more.
123760	129000	Only no job in a supermarket affects the store's success more than that of a checker.
129000	133200	Her every action reflects on the store and its entire staff.
133200	138120	She is a shopper's last and often only personal contact with the store.
138120	141640	To the customer, the checker is very important.
141640	147040	Her responsibilities are great and varied, but with all of them, one of a checker's primary
147040	149960	obligation is to keep the traffic moving.
150560	154720	Sometimes a checkout lane begins to resemble a crowded thoroughfare.
154720	157720	When jams up form, they're hard to get rid of.
157720	160200	And the analogy goes much deeper.
160200	165640	The colors of traffic control, red, yellow and green, have a real relationship to the
165640	167680	science of good checking.
167680	171720	Naturally, the idea is to keep things moving, to keep that green light glowing.
179960	187400	Good checking really boils down to the same essentials, no matter what type of equipment
187400	189120	your store uses.
189120	194080	To demonstrate these essentials, here are three outstanding checkers, all former queens
194080	196920	in the Checker of the Year competition.
196920	200800	Meet Ruth Bussey at the B&B Supermarkets in Tampa, Florida.
200800	206200	A checker for 10 years now, Ruth was chosen International Checker of the Year in 1964.
210960	216240	Next to Ruth is Pat Hilton of the Alpha Beta Supermarkets in La Habra, California.
216240	221440	Pat has 18 years experience and was International Checker of the Year in 1962.
225120	227240	And this is Rose Scolovino.
227240	232200	Rose has four years experience and works for Star Market in Cambridge, Massachusetts.
232200	236280	Rose was Checker of the Year in 1963.
236280	238800	And here's another checker you should meet.
238800	243360	Miss Jones is not a checker of the year, but she hopes to be someday.
243360	249040	She's an intelligent, hard-working, charming young lady, still a little new to her job,
249040	251040	but learning fast.
251040	255440	Like most of us, she could learn a lot just by watching experts perform.
260040	266800	The first thing I do when I start the day is get my cash from the head checker.
266800	271160	In a busy week, $5,000 or more may pass through my register.
271160	275720	Handling it accurately is one of my biggest responsibilities.
275720	281800	Once I've got my money counted out and correct, I put my register through a daily inspection.
281800	283200	Is there enough tape?
283200	285360	Is it dated correctly?
285360	287480	Is the register plugged in?
287480	289560	Is it zeroed?
289560	294440	I always check supplies now when there's time to replace needed items.
294440	296360	Are there enough bags to last?
296400	299200	I don't want to run out later.
299200	303040	I always try to remember that I'm dealing with food.
303040	306000	That means that my stand has to be spotless.
306000	310960	My merchandise racks must also be in good order before the day begins.
310960	315560	The last thing I check is the most important, myself.
315560	318840	Appearance means a lot on this job.
318840	323000	Thorough preparation is a mark of every good checker.
323000	326840	When the day begins, Ms. Jones is ready.
326840	330800	The idea is to keep that green light on, to keep the lane moving.
330800	334800	But that's not as easy as it may sound.
334800	337800	There are times when caution is necessary.
337800	362800	And sometimes, sometimes you must stop altogether, the important things knowing the difference.
362800	376000	But so long as you observe the basics, things will keep moving smoothly.
376000	383000	Watch an expert.
383000	387160	The first order of business is to greet the customer.
387160	389560	Then comes an important moment of caution.
389560	391680	Is the bottom of the cart empty?
391680	396040	I always make certain there are no missed items that might get through unchecked.
396040	400280	And ring this up is a signal to myself that I've checked the cart.
400280	404280	And most importantly, I keep it pleasant in matter of fact.
404280	408320	No customer likes to think she is suspected of shoplifting.
408320	412480	Ring up the right price and press the right department key.
412480	416240	These keys are important to the store's records and planning.
416240	418840	Checkers are bookkeepers, too.
418840	422040	Multiple priced items should be checked together.
422040	429200	Try to hold the first items in this group until they can all be checked through at once.
429200	431480	Multiple pricing used to frighten me.
431480	433680	I'm not much on fractions.
433680	440560	Now when I see an incomplete group like this, I just slow down a second to be sure I've got the price right.
440560	444600	This is what the fraction chart is for, and I use it.
444600	448720	There's no such thing as an almost right in this business.
448720	451880	If I overcharge, I cheat the customer.
451880	455040	If I undercharge, I'm unfair to the store.
455040	458400	Fractions mean you charge the next penny.
458400	460920	Dropping the fraction can be costly.
