start	end	text
0	2880	We're on the brink of war with China for various reasons.
2880	4800	I hope we make it to 2050.
4800	7120	The demographics is as I describe it.
7120	10320	And by the way, them losing doesn't make us winning.
10320	12800	So I think you're in the part of the cycle
12800	14880	where you've had the tightening
14880	17760	and the dominoes are beginning to fall.
17760	20640	And I think that that's going to produce more problems.
20640	22800	The most important thing is to have
22800	26320	this basic, well-diversified portfolio as important.
26320	32000	Two years ago, you made some predictions
32000	35280	about the future for America and the global economy.
35840	37040	How accurate do you think you've been?
38320	41280	Uncomfortably accurate, given the whole picture.
43040	46400	It's like watching the movie over and over again.
47360	48560	Maybe I should explain.
51600	55200	For about 55 years, I've been a global macro investor
55200	59040	and I learned that many of the things that surprised me
59040	61520	never happened in my lifetime before.
61520	66640	So when I would see certain things happen that were like that,
66640	71280	I would go back in history and study prior periods.
71280	74320	And studying, for example, the Great Depression
74320	77840	allowed us to anticipate the financial crisis in 2008.
77840	82880	Anyway, there are three big things that I observed happening
82880	86560	that didn't happen in our lifetimes,
86560	90320	but happened during the 1930 to 45 period.
90320	94560	And they are the creation of enormous amounts of debt
95120	98800	and the printing of money to pay for those debts
98800	103680	and it having its economic effects on inflation and growth.
104560	107920	The second is internal conflicts
108800	114400	over the largest wealth gaps we had since then, values gaps.
115680	120320	And the rise of populism of the right and the left,
121760	127200	those conflicts, again, largest since that 1930 to 45 period.
127920	132720	And then the rise of a great power,
133680	137680	producing a great powers conflict internationally
138880	141280	with the rise of China as a great power,
142080	145200	challenging the United States and with Russia.
145200	149440	So the great power conflict, that also is the most
149440	152960	that that's happened since the Great Depression.
152960	157280	So because those three things are happening now,
158000	163040	and I didn't study them, I went back and I needed to study
163040	166800	the cycles, what's happened over longer periods of time.
166800	171040	So I studied the last 500 years because these big cycles
172080	176800	take about 75 years and give or take about 50.
178480	182000	And like the rise and decline of the British Empire,
182000	183280	the rise and decline of the debt.
184240	189920	And that dynamic I shared in the book, and I also shared it
189920	195520	in an animated video, which is called The Changing World Order.
196880	199600	And that creates a path.
199600	202880	Now, it's not just because they repeat in this way,
203440	206240	but one can see the cause-effect relationships
206880	208080	that are happening.
208080	214400	And so that has pretty much transpired according to script.
214960	219680	We can get into those pieces, but I'd say those are the three main ones.
219680	222880	There were two others that had big effect
222880	226400	that I paid more attention to that I'll mention.
226400	232000	One was acts of nature in the form of droughts, floods and pandemics.
232880	235840	They were very disruptive when they happened, killed more people
235840	240960	and toppled more empires or waters than others.
241520	244400	And then also, of course, over a period of time,
244400	247280	there's learning and producing new technologies
247280	249440	that raises living standards.
249440	252880	You know, it's raised per capita income life expectancy and so on.
252880	259760	And so, but those five factors transpire in ways that we've seen before
259760	261600	to create this big cycle.
262160	265840	And if we can look at the cause-effect relationships,
267440	269280	that's what I want to pass along.
269280	272960	Because I'm 74 years old and I'm in a phase in my life
272960	275520	that I want to pass along the things that are of value.
275520	277120	And I think this is an important thing.
277120	279760	But yes, it's transpiring according to script.
280560	282960	Cassandra, yet again, unfortunately.
283520	287040	What do you think is the likelihood of the meltdown of the dollar?
287040	289040	Is America going to be wiped out at some point soon?
289600	296480	I don't want, histrionics, you know, just, I don't want to overdo it.
296480	300800	And I also don't want to just jump to conclusions.
301600	307680	My goal here is to show people how the machine works,
307680	309280	the cause-effect relationship.
309280	312480	So I'm going to answer your question by explaining certain things.
312480	322560	The dollar is held by countries in the form of debt.
322560	324880	In other words, when you say, I'm holding the dollar,
326160	327920	you're holding a debt instrument.
328880	332960	And when we have a problem with the debt instrument,
333520	337040	a few problems with it holding the debt instruments.
337760	340800	And those problems are that, first of all,
341520	346880	as a result of what the United States was in the world,
346880	351920	the largest trading country, the dominant empire, and so on,
351920	359840	there's been a huge accumulation of dollar denominated debt and dollars, therefore.
360480	366640	And there's also been a lot of deficits that had to be funded,
366640	370480	which happens by selling dollar denominated debt,
370480	374080	which a lot of foreigners and banks and others bought.
374800	378000	And so they have a lot of dollar denominated debt.
378800	384640	Now, if you're a creditor, meaning an owner of dollar denominated debt,
385360	392720	you need to have an interest rate that is high enough to more than compensate you for inflation.
393520	400720	And so the production now of a lot more debt and them having a lot of debt,
401360	404640	and then also sanctions internationally,
404640	408160	which means freezing dollar denominated debt,
408960	414960	all have created a reduction in the demand for dollar denominated debt.
415600	421440	There's also concerns in the world about some of the things that are going on in the United States,
421440	424960	and that's reduced that. As a result of that,
426400	431120	you're seeing more transactions take place in other currencies.
431840	439920	And if they take place in other currencies, then others want to save in those other currencies
441120	444800	because that's how they pay for it. So if you want to save in what you pay for,
444800	451600	you save more in it and less in dollars. And so that's the dynamic that is reducing
