start	end	text
0	16680	Wisdom is not algorithmic and cannot be made algorithmic you can't have a if this than that algorithm that actually equals wisdom and if you can then we're just a intermediate bootloader for the a is there better creatures in us right.
16680	37400	Daniel I I'm very impressed that we finally managed to get this recording sorted not only between time difference challenges or me needing to rearrange or a global pandemic were finally here we finally got each other on the line.
38360	63740	Yeah the global pandemics fuck up our schedule sometimes it's very inconvenient yeah it's incredibly inconvenient you know I'm so as you're aware we talk a lot on this podcast about self development and you help people to make sense of the world sense making preventing global catastrophic risks so in light of the way that the world is at the moment.
64580	78140	What are your thoughts about how people can develop themselves whilst still ensuring that we have a functioning world that isn't isn't risky.
78140	88580	We can go like a million places with that question and so we'll just start and see what happens.
91080	93700	Even the topic of personal development.
94460	104100	What that means is pretty ambiguous the idea of development means that something can progress to some stage of more refinement or more capacity.
105100	121460	And so we know what that means in mathematics or in playing classical piano or weightlifting right there's some sense of progressive development but what does it mean for a person to develop beyond early adulthood we also have a very clear sense that children go through developmental stages.
122300	130140	Of increasing their cognitive and social and linguistic and motor and all these types of capacities but then when does that stop.
131140	142740	Does it have to stop there's a development of more skills but what does becoming a more developed human being fundamentally mean is a philosophic is spiritual religious existential question.
144380	148820	And so the question of what is a meaningful human life is underneath that.
149660	158820	And then how do I effectively develop myself aligned with what is most meaningful.
160340	177900	And when I'm asking what is a meaningful human life there's not just my own experience but how do I relate to the whole of life how does the meaningfulness of life relate to both what I experience and also what I contribute to the experience of others.
179780	194020	And so when we think about the current world situation does the world situation we're in create a context for what kinds of human development are relevant within the general parameters of some universal truths and.
195260	207060	It certainly does because what the world needs if we want to really effectively serve to protect against unnecessary harm and to increase the quality of life it needs different skills that it needed a thousand years ago.
208060	215060	And it needs different it actually needs totally different kinds of minds and sense making in many ways.
216740	223060	And then some aspects of it are obviously going to be the same across lots of contexts like the refinement of our clarity in our own motivation.
225420	229260	And our own emotional resilience and things like that.
230260	243260	I think the motivation is an interesting one to start on which is as soon as you have a concept of human development and there's some concept of more developed and you can conceptually understand that to try and orient yourself.
245260	246260	Then.
247260	254260	There becomes an inherent comparison with other people of are they comprehensively more developed human than I am.
255260	262260	And or am I more than they are and is my thinking that I'm more than they are some sign of ego which is actually a sign of low development.
