start	end	text
0	5000	You just came back from your first holiday in quite a while.
5000	10000	Well, my first holiday of, let's say, three weeks or more in quite a while.
10000	11000	How was that?
11000	13000	Astounding.
13000	21000	Really very good to see what's going on in the rest of the world at this particular moment.
21000	26000	We had previously gone to India in the year to visit family.
26000	32000	This was to go back to Turkey and to go to Portugal, but also to the Azores Islands.
32000	39000	I can't tell you how meaningful it was for me to be back traveling.
39000	40000	Why?
40000	44000	Well, I mean, partially it's reacquaint.
44000	48000	When you have children and children change your game for about two decades,
48000	51000	you have to realize that that's a transient period.
51000	54000	It felt like it was going to go on forever.
54000	59000	This was sort of trying to figure out what is it like to go from traveling in your 20s and 30s with that kids
59000	65000	to traveling with your kids at the last moment that you still have them at home.
65000	68000	Now you're going to have the rest of your life without them again,
68000	72000	but you can't go back to backpacking and doing certain other things that were easy for you.
72000	77000	You have to figure out how to rejoin your previous life that has been in progress without you actually.
77000	78000	Ending for a long time.
78000	79000	Exactly.
79000	81000	That's sabbatical from life almost.
81000	84000	Another thing is that you forget about parts of yourself.
84000	94000	I forgot that I spoke Turkish not well, but I spoke rudimentary Tarzan Turkish 30 years ago.
94000	101000	To be back in Istanbul and suddenly have words and phrases and things come back
101000	106000	and be talking to cab drivers and just people in the street seeing the change.
106000	110000	Obviously, there's been an enormous amount of change in Turkey.
110000	115000	Portugal is fascinating seeing certain things at the end of their life cycle.
115000	120000	We were at a synagogue in Bursa where the home of the Ottoman Empire,
120000	125000	where they were down to their last 50 people, which is a common enough thing
125000	131000	when we visit diaspora Jewish communities at the tail end with the embers still glowing hot
131000	134000	but no chance for a rebirth.
134000	143000	Then in the Azores, I was not prepared for the level of beauty that we encountered.
143000	149000	There is a level of beauty that I've only experienced two, maybe three times in my life
149000	154000	that sort of leaves you physically sick, like ill.
154000	158000	It's so beautiful that your body is the weak link.
158000	162000	You might think that sugar is tasty, but if you were to eat a bag of sugar,
162000	164000	you'd probably be sick to your stomach.
164000	171000	I would say this was so much beauty that it was at an almost pathological level
171000	176000	and more than I think my family could really take in.
176000	177000	We're just so moving.
177000	181000	I've heard you say before about how a lot of the time you don't realize
181000	184000	the last time you're going to do a thing with a person.
184000	188000	A lot of friends, especially ones that are fathers, have told me the same thing.
188000	190000	The last time that you'll bounce your daughter on your knee.
190000	192000	You don't know when it's going to happen, but it's going to happen.
192000	196000	There's also a really strange realization when you get deeper into adulthood
196000	199000	and work out that probably by the age of 18 or 20,
199000	204000	you've spent 97 or 98% of the time you're going to spend with your parents.
204000	207000	All that you wanted for the last four years was to be away from them
207000	211000	and now all that you want is to have a little bit more time and it's all gone
211000	212000	and you squandered it while it was there.
212000	214000	I'm on the ethnic program.
214000	216000	We don't believe in this stuff.
217000	220000	My children don't become adults at the age of 18.
220000	224000	I don't care about the laws of the United States or the state of California.
224000	227000	I think we do family wrong in the States.
227000	231000	You send them off to college and then you tell them,
231000	236000	go follow your dream and they bounce into some locality that you aren't in
236000	239000	and you don't get the benefit of these very strong families
239000	243000	because the market has been so strong in the US for so long.
243000	247000	And the market more or less took over all sorts of duties
247000	249000	that were assigned to families historically.
249000	251000	And so the reason that people always say,
251000	255000	oh, your families are weak was because our markets were strong, right?
255000	258000	And so insurance and opportunity,
258000	264000	all of these things that could be handed over to the market were.
264000	268000	And as a result, when we find out that the markets are not safe,
268000	272000	we realize that we've abandoned the structures that we needed to retreat to
272000	276000	that our families are quite small, below replacement rate very often.
276000	278000	And we don't live in the same place.
278000	280000	And so, you know, I married a woman from India
280000	284000	and I basically carry a lot of Eastern European norms.
284000	287000	And so my feeling is that my children are my children forever.
287000	289000	And I'm not letting go of them.
289000	293000	And this idea that it's your life and you can do what you want
293000	295000	is only true up to a point.
295000	297000	You also have a continuity issue.
297000	299000	And this is normal, by the way.
299000	303000	And it may sound weird in an American context,
303000	306000	but I think that the world recognizes that we're links in a chain
306000	309000	and there's a certain amount that you get to do that's just yours
309000	313000	because it's your life, but never go full Billy Joel.
313000	314000	Yeah.
314000	317000	Pan-generational housing is something being in Austin,
317000	320000	people getting ranches, starting even commune,
320000	323000	you know, 10 family mini villages with a bunch of other people.
323000	324000	Yeah.
324000	327000	It's something that I'm seeing occur more and more.
327000	332000	And, you know, in an atomized, like mass solipsism,
332000	335000	mass individualism society, this doesn't sound like a bad redress.
335000	336000	We got to the end of it.
336000	338000	We got to the end of that dream.
338000	341000	And it didn't work.
341000	344000	You've been around a lot of very powerful, very rich people
344000	345000	throughout your career.
345000	346000	No, no, that's not true.
346000	349000	Only relatively recently, only in the last decade and a half.
349000	352000	That's quite a while in many people's lives.
352000	360000	What do you think that most normal people would be surprised to know
360000	366000	about the powerful and the rich individuals, world views,
366000	369000	the way that they hold themselves, what is and isn't true?
369000	373000	They feel powerless.
373000	379000	That's one of the craziest things is that very often you're at a table
