start	end	text
0	2000	Korea had no future.
2000	4000	At their current fertility rate right now,
4000	8000	for every 100 Koreans, there will be 5.9 great grandchildren.
8000	12000	We are looking at a 94% population collapse over the next century.
14000	17000	Why have you been in the news so much recently?
18000	23000	Because I am calling out that the emperor has no clothes right now,
23000	28000	and I think a lot of people have mentioned collapsing fertility rates before,
28000	34000	but I think that no one has really so consistently
34000	40000	brought it up in a way that the people who want to ignore it
40000	42000	have to look at the problem.
42000	44000	When I point it out, because I think a lot of people,
44000	46000	especially on the more progressive side of the spectrum,
46000	48000	they just want to dismiss it.
48000	50000	Oh, the planet's better without humans or whatever.
50000	55000	But when you point out that not a single society on Earth today,
55000	58000	except for maybe Israel, we can talk about that later in the conversation,
58000	63000	has figured out how to have prosperity, gender equality,
63000	67000	and high levels of education, and anywhere close to a stable population,
67000	71000	considering we are trying our best, and I think rightfully so,
71000	73000	to spread those things across the world,
73000	75000	that should be like a note.
75000	79000	That should be like, oh, this system that we think is so great
79000	83000	and we want to be the future of human civilization doesn't seem to work
83000	86000	at the most basic level.
86000	90000	That seems like quite a scary proselytization for the future,
90000	92000	or prediction for the future.
92000	97000	If you're to say that we need to get rid of one from education, equality,
97000	101000	prosperity, or birth rate,
101000	104000	we just need to concede the fact that birth rate.
104000	108000	What we need to do is we need to find new cultural solutions.
108000	112000	We need to find a way to maintain fertility rates
112000	116000	while having education, while having gender equality,
116000	119000	and while having a high level of prosperity.
119000	122000	There are many places we can look in the world today
122000	125000	to begin to get inspiration for how we might do that.
125000	128000	I think to understand the scale of the threat right now,
128000	132000	one of the things I always start people with is when I started caring about this.
132000	135000	A lot of people are like, why is it that people in Silicon Valley
135000	137000	seem to care about this so much?
137000	139000	It's because there's a lot of VCs in Silicon Valley,
139000	143000	VCs need to chart the economy 50-100 years in the future
143000	145000	in the way that Wall Street people really don't.
145000	148000	They're looking at the economy 5-10 years out or whatever.
148000	150000	Because of that, when I was working as a VC,
150000	153000	I happened to be working in Korea when I was working in a VC,
153000	156000	and I kept trying to chart the future of the economy,
156000	158000	and I kept coming to the same answer.
158000	161000	Is it Korea had no future?
161000	163000	At their current fertility rate right now,
163000	167000	for every 100 Koreans, there will be 5.9 great-grandchildren.
167000	171000	We are looking at a 94% population collapse over the next century.
171000	174000	When I brought this up with the other partners at my firm,
174000	177000	and I was like, hey, it just doesn't seem like
177000	180000	there is any feasible economic future for this country.
180000	183000	They're like, yeah, but we pretend that's not the case in our investments.
183000	186000	Everybody knows this, but if we accepted it,
186000	190000	then the economy stops working, society stops working.
190000	192000	We're just going to ignore it basically.
192000	196000	When I came back to the US, it was like going back in time 20 years.
196000	198000	I was in some sort of a sci-fi movie,
198000	202000	and getting to be this one person who saw where the future was going to go,
202000	205000	and having to be that crazy person on the streets.
205000	207000	No, no, no, you guys don't understand.
207000	210000	There's countries further ahead than us on this spectrum right now,
210000	213000	and we know a few things. We know there is no floor.
213000	216000	No country has hit a fertility collapse floor yet.
216000	220000	We know that there is no level of advanced fertility collapse where people freak out,
220000	223000	or at least not until it's too late, because you look at Korea right now,
223000	227000	60% of Korean citizens are over the age of 40.
227000	232000	It's likely already too late for them to turn this problem around.
232000	235000	We need to turn this around before we hit that level,
235000	237000	but the truth is we probably won't,
237000	241000	and we've got to think of solutions for when we don't turn this around,
241000	243000	but that's a different topic for later in the interview.
243000	246000	One of the most common questions I imagine that people ask is,
246000	251000	why should anyone care about how many children another person has?
251000	253000	This is my choice.
253000	257000	You can't impose me to have kids if I don't want to have them.
257000	261000	Why should two guys sat on the Internet be telling the world
261000	263000	about the dangers of not having children?
263000	266000	People can go and do other things with their lives now.
266000	268000	Women are allowed to be in the workplace.
268000	271000	Men can go their own way and play video games
271000	274000	and be a Sigma male as much as they want.
274000	277000	Why should anyone care about how many children another person has?
277000	280000	So I think that that's a really good point.
280000	283000	In our foundation, I think one of the things that people most often get wrong about us
283000	286000	is that we are trying to increase the world's population
286000	292000	or that we are trying to proselytize broadly to increase fertility rates.
292000	294000	And neither one of those things is true.
294000	296000	If we are on the Titanic right now,
296000	298000	no matter what the Titanic hits the iceberg,
298000	303000	we are trying to, one, make people aware that the Titanic is about to hit an iceberg,
303000	308000	get them in lines by the rafts, the ones who want to survive,
308000	313000	start getting the rafts in the water in a common orderly fashion before people start panicking
313000	315000	because that's what's going to happen.
315000	319000	And so what we promote is trying to get,
319000	321000	I mean, I know my family is going to be okay.
321000	324000	You know, I know that my cultural group is going to be okay.
324000	327000	Broadly speaking, so one, I know that my family,
327000	329000	you know, I have eight kids and they have eight kids
329000	330000	and you do that for 11 generations.
330000	333000	That's more descendants than exists in the world today, I often say.
333000	335000	So I don't need to worry about people like me.
335000	340000	The reason I'm so loud about this is because I'm worried about the massive collapse
340000	345000	in cultural and ethnic diversity the world is about to see.
345000	349000	And it will be astonishing for people.
349000	354000	I think in the far future, there were more than like three ethnic groups
354000	357000	and three cultural groups or something like that if we don't solve this.
357000	359000	And so what we're trying to do is just make people aware of this
359000	363000	because so much of the propaganda that people are consuming is telling them,
363000	368000	things are fine, have less kids, you're a good person if you have less kids.
368000	372000	And I know you've talked about this before on the show and it is, it is astonishing.
372000	379000	And I think when we look at this urban monoculture that is erasing all of the genuine diversity in our society,
379000	382000	one of its core messages is negative utilitarianism.
382000	387000	That the core evil thing in the world is human suffering
387000	389000	and that human happiness just doesn't really matter
389000	391000	or it is largely outweighed by human suffering.
391000	394000	And therefore it's better if humans don't exist.
394000	396000	And that's the end goal for the urban monoculture.
396000	398000	I think for a lot of people.
398000	400000	What do you mean when you say urban monoculture?
400000	405000	Well, okay, so this sort of gets down to like my personal politics to some extent.
405000	408000	But I think that if you look at society right now,
408000	411000	it's largely becoming divided into two factions
411000	416000	and there has been a major political shift around what conservative and progressive means.
417000	420000	The progressive is a party of this urban monoculture,
420000	426000	which is a single sort of cultural group or virus that infects other cultural institutions
426000	431000	and erases whatever makes them unique and aligns all of their goals.
431000	436000	So if I talk with a progressive Muslim or a progressive Jew or a progressive Catholic
436000	440000	or a progressive Unitarian Universalist and I scratch beneath the surface,
440000	443000	often their morals, their views on gender,
443000	447000	their views on what future they want for the world are all very, very similar.
447000	450000	If I look at conservatives from each of those factions,
450000	452000	their worldviews are very different.
452000	455000	And what the conservative party seems optimizing around,
455000	457000	so where the liberal party is optimizing on the goals of this monoculture,
457000	461000	so spreading the monoculture and reducing in the moment human suffering,
461000	463000	that's why they promote things like haze,
463000	466000	you know, like don't tell somebody that it's unhealthy to be fat
466000	467000	because that could hurt their feelings in the moment,
467000	470000	even though like obviously it's bad for them in the long term.
470000	477000	But the conservative movements all have very distinct cultural histories
477000	479000	which they are trying to preserve.
479000	482000	And that is often, if I look at the conservative movement today,
482000	488000	it's an alliance of these older traditions and newer but deviant and distinct traditions
488000	494000	that are trying to maintain cultural fidelity and exist 100, 200 years from now.
494000	497000	And so when I talk about the monoculture, that's what I'm talking about.
497000	500000	This thing that wants to, when my kids go to school, say,
500000	503000	this is what correct morality is, this is the way you should see the world.
503000	506000	And if your parents are telling you anything else, they're deplorable and wrong.
506000	511000	Is that not the case with some factions from a conservative side as well, though?
511000	514000	Yeah, yeah, no, and I call them sleeper progressives.
514000	518000	They just want to erase all other cultures the moment they gave power.
518000	522000	But I think that right now I can form an alliance with them because our goals are aligned.
522000	525000	I think one of the really cool things that we've seen with the conservative party
525000	528000	is you saw something like when Andrew Tate converted to Islam.
528000	531000	In the past, a conservative icon converting to Islam,
531000	533000	a lot of people would have been wringing their hands about that,
533000	534000	but a lot of people were like, you go.
534000	537000	At least you found some faith, at least you found some tradition.
537000	541000	And so I think what we're seeing there is more of a realization
541000	547000	that the big bad these days is this culture that's trying to homogenize the world.
547000	548000	Interesting.
548000	551000	What would you say to the well-meaning people from the progressive movement
551000	556000	to say it feels a little bit bad to be tarnished with the brush as a super virus?
556000	559000	I think that I'm just somebody that holds liberal values.
559000	563000	I don't believe that I'm part of some destructive force within the world.
563000	568000	And I think that there are people who genuinely, like within any movement,
568000	572000	when the Catholic Church used to be the iteration of this in European society
572000	574000	and they were trying to convert everyone to their ways.
574000	578000	And the Protestant Church during their own time had a period like that in some countries.
579000	582000	The vast majority of Protestants, their Catholics in those countries,
582000	584000	were just decent, well-meaning people trying to live their lives.
584000	587000	But the ones who controlled the cultural institutions
587000	592000	and were burning people at the stake and trying to ensure that everybody fit
592000	596000	this very narrow definition of morality set by their culture,
596000	600000	to me they were the evil ones within those institutions.
600000	604000	And today, when I talk about this monoculture,
604000	607000	I think that the vast majority of people who are members of it
607000	611000	were the vast majority of Catholics and Protestants during periods
611000	615000	when those cultural groups were dominant in specific regions.
615000	618000	Why is this culture so effective?
618000	619000	Very interesting.
619000	623000	Okay, so it's evolved a lot of new tactics that had never been tried before.
623000	625000	So in our book, The Pragmatist Guide to Crafting Religion,
625000	628000	what we essentially do is we argue that humanity can be thought of
628000	633000	as sort of an evolving firmware, which is like our biology, our genes.
633000	636000	But on top of that firmware, there's evolving sets of software.
636000	639000	And this software, today we often talk about memes
639000	642000	as like things that infect somebody and then cause them to just turn around
642000	643000	and infect other people.
643000	647000	But historically, most romantic clusters actually augmented a person's
647000	651000	sort of biological fitness, the number of surviving offspring they had,
651000	652000	and that's how they survived.
652000	655000	That's how, I mean, if you look at things with a secular mindset,
655000	659000	why things like Islam and Judaism figured out stuff like handwashing
659000	663000	literally centuries before science figured out handwashing.
664000	666000	And you see this across these traditions.
666000	668000	For example, if you look at all of the old traditions,
668000	671000	almost all of them have some arbitrary self-denial holiday,
671000	675000	like Lent or Ramadan or Feast of the First Burner, whatever, right?
675000	679000	And just now, after throwing out all of those rituals over the past,
679000	682000	you know, 50, 100 years, secular society is like,
682000	684000	oh, now we got to have our juice cleanses.
684000	687000	Now we got to have our, you know, they're realizing of fasting
687000	688000	and stuff like that, right?
688000	690000	It has positive mental effects.
690000	693000	And so I think that if you see these as different,
693000	695000	like evolving cultural groups,
695000	700000	this super virus evolved some very unique tactics,
700000	703000	and it is not the same thing as a historic progressive movement.
703000	706000	What it is is something, so the reason I call it a super virus is
706000	709000	that it is very much so when you talk about a super bacteria
709000	712000	or a super bug, they typically come up in things like hospitals
712000	715000	where you have a ton of people with a weakened immune system
715000	719000	all in a similar environment with lots of sort of viruses or bacteria
719000	723000	that can intermingle alongside antibiotics and stuff like that.
723000	725000	This is what was created by the internet.
725000	729000	This is why all of this stuff started when social media happened.
729000	736000	Essentially, you had a super spreader environment where pneumatic ideas
736000	740000	were able to test themselves against all of the world's traditions
740000	743000	at the same time, optimize and react very quickly
743000	749000	and become incredibly virulent while evolving strategies
749000	751000	that had never been tried before.
751000	753000	So one of the most effective strategies that it uses
753000	755000	is if you look historically,
755000	758000	if you look at cultural groups as sort of like nodal clouds
758000	760000	that sort of overlap with each other,
760000	763000	when you had a corrupted node within a nodal cloud
763000	765000	or a node that looked like it was flipping,
765000	767000	what you would do if you were a majority Protestant country
767000	769000	or majority Catholic country and like a Catholic came in
769000	771000	and started preaching or a Protestant came in and started preaching,
771000	772000	you'd burn them.
772000	774000	You'd burn them at the stake often, right?
774000	778000	Or if somebody just had like random cultural mutation
778000	780000	in the same way you have like random genetic mutation
780000	782000	and they believe something weird like they were a witch
782000	783000	and you burn them, right?
783000	786000	That's how you maintain this level of cultural fidelity.
786000	789000	What the virus does, which is very interesting,
789000	795000	is it organically determines when a node looks like it might be flipping
795000	798000	and then it essentially shadow bands the node.
798000	802000	It begins to de-connect that node's links
802000	805000	to all of the rest of the network's power structures.
805000	808000	And this is really powerful because what it means
808000	811000	is the other nodes that might be allied with that node,
811000	814000	they don't react the way they would have historically
814000	816000	when somebody was being like burned at the stake or something like that,
816000	819000	which is actually why cancellation is a fairly ineffective tactic
819000	821000	and genuinely not use that much
821000	824000	when contrasted with just a shadow banding process
