start	end	text
0	4880	What do you make of the last few months of fallout from Yale and Harvard and such?
4880	11600	I mean, yeah, we saw that big testimonial from the presidents. Yeah, it was Harvard, MIT, Penn.
13120	16640	I mean, I wasn't surprised by it. I mean, a lot of people, I think, are finally fully
16640	19360	realizing they're coming to their senses. People have been saying this for a while now.
20000	24640	Oh, you know, eventually the pendulum will swing back and people will finally figure out what's
24640	29760	really going on in these institutions and this sort of ideology that's been spilling out of the
29840	35280	universities. And now I think they finally are actually truly realizing it. But yeah, I saw the
35840	41200	it's kind of the birth of what a lot of people call wokeness in 2015 when I arrived on campus at
41200	46400	Yale. And that was my first semester. I saw what was happening there. And yeah, I mean,
46400	51200	I think you can draw a straight line from some of those events in 2015 to what we're seeing now.
51200	56080	And yeah, it's been really ugly, but, you know, kind of kind of amusing, you know, from my perspective,
56080	59360	because I, you know, I was one of the, I'd like to think that I was one of the sort of
59920	64640	early observers and people who could recognize what was occurring. And then later on, you know,
64640	70320	so Jordan Peterson was another and there have been other critics of higher ed and especially
70320	76960	these elite universities. But yeah, it's been really, really amusing and also sort of disheartening
77760	87040	It's this sort of odd blend of fatalism, shard and Freud, nihilism, sort of pleasure,
87040	93040	displeasure, like, ick, pity. It's a real concatenation of things. And obviously,
93040	97920	we've got a couple of mutual friends that have either been directly or tangentially involved,
97920	102640	Vincent, our mutual friend, I managed to get removed from a higher education institution
103280	108080	because of him appearing on this podcast, Carol Hoeven, who is, you know, a really good
108080	113280	mutual friend, has kind of been thrust into the middle of this. She told me that she basically
113280	118880	felt like she'd been used like a football. And for the people who know who Carol is,
118880	123280	she went on Rogan, I think she cried like six times on Joe's show, she cried at least three
123280	127280	times on mine. We went for breakfast, I'm pretty sure she cried like three times at breakfast.
127360	132720	She's just a very sort of emotional person. She is, she's really sort of feeling this.
133600	142320	Yeah, you realize in a sort of proxy fucking battle like this, the people that are useful
142320	146240	political footballs to be kicked around often end up paying a pretty high price and no one ever
146240	150400	thinks about them because you're like, oh, no, but you're, you know, you're a flaming warrior
150400	154160	for free speech or whatever. And you go, well, yeah, but I didn't ask to be.
154240	159280	Yeah, very few people want to be fired. I mean, a lot of people may not be familiar with just
159280	163760	how difficult it is to get an academic job in the first place. I mean, I'm friends with Vincent,
163760	169840	I saw, I mean, he was hustling hard. And he had a very impressive academic record. And no one
169840	174880	wants to be in that position. I think their critics or their detractors say, like, oh,
174880	179040	you know, oh, pour me with your cancel culture. And now look at you going on all these podcasts
