start	end	text
0	10000	Hyperbolic space is so cool, but if you've ever seen any kind of visualization, odds are it was this, or this, or oh god the worst one, please stop using this one.
10000	18000	But none of these really gave me a feeling of what it's like to live in a curved space, and that was the reason I started Hyperbolic-a.
18000	23000	So I've come up with what I think is the easiest way to understand Hyperbolic space.
24000	31000	Let's start off with Euclidean in spherical spaces in two dimensions, and then Hyperbolic space in three dimensions come naturally later.
31000	38000	So here's just a regular flatland 2D Euclidean plane that goes on in every direction and has no curvature.
38000	43000	But if we add some positive curvature, we get a spherical shell.
43000	49000	This is not a solid ball, there's no inside or outside, just an infinitely thin two-dimensional shell.
49000	55000	We're only looking at it in 3D because we are higher-dimensional beings looking down at the flatlanders.
55000	63000	You might think this is really similar to us living on the surface of Earth, but there's actually a big difference, and it has to do with light and lines.
63000	67000	Think about light bending around the curved space of a black hole.
67000	73000	Light always travels in the shortest path in a straight line, it's just that the space itself is curved.
73000	82000	So if the Earth actually had a spherical spacetime, then looking out at the horizon, the light you see would actually travel all the way around the Earth.
82000	86000	In fact, there wouldn't be a horizon anymore. Things would be a lot weirder.
86000	89000	Another way to think about curvature is with tiling.
89000	93000	There's only three ways to tile the Euclidean plane with regular polygons.
93000	99000	Four squares at a vertex, six triangles at a vertex, or three hexagons at a vertex.
99000	107000	If you were to say, try pentagons, you'd find that there's not enough space for four and too much gap for three.
107000	113000	But those gaps could get filled with spherical curvature, and you have the familiar dodecahedron.
116000	119000	We can also do three squares around each vertex.
123000	125000	Three triangles.
129000	131000	Four triangles.
134000	136000	Or five triangles.
139000	143000	And just a reminder, all these edges are straight lines.
143000	147000	Everything lives on that two-dimensional shell, and there's no third dimension to curve into.
147000	150000	We're only using it to help visualize the space.
150000	153000	So now let's move on to hyperbolic space.
153000	158000	The theme you'll see for the rest of the video is that for everything weird about spherical geometry,
158000	161000	the opposite is true for hyperbolic geometry.
161000	167000	For example, you just saw that we could have fewer squares around each vertex compared to Euclidean space.
167000	170000	So in hyperbolic space, we can have more.
170000	173000	But how could you cram in another square?
173000	178000	Well, maybe we can do the same trick as the sphere and just bring it out into the third dimension.
178000	181000	We can, and here's how it looks.
181000	185000	This is hyperbolic crochet, courtesy of Mrs. Parade.
185000	188000	You can see how five squares meet at every vertex now.
188000	192000	But it's still hard to visualize everything even with a 3D model,
192000	197000	because if you try to flatten it in one area, everywhere else starts curving.
197000	204000	It's impossible to see it all at once, and it gets even worse as we look at bigger and bigger pieces of the hyperbolic plane.
