start	end	text
0	5520	I find it very easy for me and it's easy to empathize with the developers who are just like,
5520	9360	man, this is so incredible and it's so awesome. How could we not want to continue?
9360	10880	This is the coolest thing anyone's ever done.
10880	20000	It is genuinely, right? I'm very with that, but it could change quickly in a world where
20720	24640	it is genuinely better at us than everything, and that is their stated goal.
24960	32240	I have found Sam Altman's public statements to generally be pretty accurate and a pretty good
32240	38720	guide to what the future will hold. Their stated goal, very plainly, is to make something that is
38720	45440	more capable than humans at basically everything. I just don't feel like the control measures are
45440	51840	anywhere close to being in place for that to be a prudent move. What would I like to see them do
51840	56560	differently? I think the biggest picture thing would be just continue to question that what I
56560	60480	think could easily become an assumption and basically has become an assumption. If it's
60480	64080	a core value at this point for the company, then it doesn't seem like the kind of thing that's
64080	69680	going to be questioned all that much, but I hope they do continue to question the wisdom of pursuing
69680	76160	this AGI vision. Hello and welcome to The Cognitive Revolution, where we interview visionary
76160	80960	researchers, entrepreneurs, and builders working on the frontier of artificial intelligence.
81680	86000	Each week, we'll explore their revolutionary ideas, and together we'll build a picture of
86000	92640	how AI technology will transform work, life, and society in the coming years. I'm Nathan Lebenz,
92640	98560	joined by my co-host Eric Torenberg. Hi listeners, and welcome back to The Cognitive Revolution.
99360	104480	Today, I'm excited to share an episode of the 80,000 Hours podcast that I recently did with Rob
104480	110080	Wiblin. The 80,000 Hours podcast, if you're not already familiar, presents in-depth conversations
110080	115520	about the world's most pressing problems and what you can do to solve them. I've been a listener
115520	120880	for years and found many of their episodes genuinely inspiring. But one that stands out
120880	126240	above all the rest, for me, is a two-part interview that Rob did with Chris Ola, who's now best known
126240	131520	as a co-founder and the interpretability research lead at Anthropic back in August of 2021.
131520	137680	I was just starting to work seriously with GPT-3 at the time, and while I found the application
137680	142560	and study of AI endlessly fascinating, the possibility that I could personally add something
142560	148240	to the field seemed, frankly, quite remote. What I learned from Chris's episode, however,
148240	153520	was just how new and underdeveloped so many machine learning subfields still were,
153520	157680	and how much opportunity that creates for people to quickly catch up with and begin to contribute
157680	163920	to the frontier of the field. Chris, for example, does not have a PhD, but had nevertheless already
163920	168800	established himself as a leader in the nascent space of mechanistic interpretability, working
168800	173920	primarily with computer vision models at the time. I've thought of that conversation and also asked
173920	179120	myself Rob's classic opening question, what are you working on and why do you think it's important?
