start	end	text
0	2320	This video is brought to you by Aura.
2320	5440	Hi, welcome to another episode of Cold Fusion.
5440	10240	In 1770, Hungarian author and inventor Wolfgang von Kemplen
10240	15360	built an unveiled a self-operating chess-playing machine called the Mechanical Turk.
15360	21440	In demonstrations around Europe, his chess-playing invention won most of its games against actual human chess players
21440	26240	and it's even said that it went on to beat players like Napoleon and Benjamin Franklin.
26320	30160	Naturally, the invention was extremely popular, a marvel of its day.
30160	35040	However, it was actually just some guy under the table secretly operating the machine.
35040	36800	In other words, it was a hoax.
37680	42320	Some 250 years later, in 2016, Amazon pulled a similar stunt.
42320	47920	Their checkout system, called Just Walk Out, allowed customers to simply grab items from the store and leave.
48720	53120	Under this system, customers didn't have to manually scan their items at the checkout.
53120	58240	The transactions and logistics were automatically taken care of behind the scenes by AI.
58240	62800	An elegant combination of computer vision, sense of fusion, and deep learning.
62800	63440	Or was it?
64000	67440	Just like the Mechanical Turk, all was not as it seemed.
67440	72560	Amazon's so-called AI technology was actually powered by a thousand people in India
72560	75760	watching and labeling videos to ensure accurate checkouts.
75760	81040	Now, human's labeling data is often how AI models are first trained and that's fine.
81040	83680	But the point is, the advertising was misleading.
84320	90880	Even by 2022, these 1,000 people were still manually reviewing 70% of transactions
90880	96400	in 20 Amazon Go stores, 40 Amazon Fresh Grocery stores, and two Whole Foods stores.
98480	103040	Although some saw it as dystopian, Amazon promoted their Just Walk Out technology
103040	106240	as a utopian magical solution powered by AI.
106240	107920	And herein lies the problem.
107920	111280	Companies often leave out critical information in the fine print.
111280	116400	It wasn't until 2023 that Amazon mentioned the use of the 1,000 people in India.
116400	117600	And it gets worse.
117600	121680	According to a report by the information, other companies were swindled too.
121680	127600	Quote, 30 stores operated by other companies in the US, sports stadiums, 12 airports,
127600	131040	and one university all used Amazon's Walk Out technology.
132080	134080	And this is where things become murky.
134080	138000	When companies promise revolutionary technology, but don't follow up on them,
138000	143200	it creates distrust, but it can even spoil it for those who are doing legitimate work in the field.
143200	146400	With the AI revolution that we've seen over the past couple of years,
146400	149680	there needs to be a more critical look at what's happening with AI.
149680	153840	In this episode, we'll see the reasons for the AI hype and its consequences.
153840	158480	We'll look at if there is indeed an AI bubble and what real-world impact that might be having.
158480	161440	This includes companies releasing half-baked AI products,
161440	165120	but also simultaneously replacing actual humans with AI.
165120	169200	It's a dichotomy of an industry, so sit back and relax as we make sense of it all.
177360	180960	One use of AI technology that absolutely nobody is thrilled about
180960	183520	is the fact that it can make scammers' lives easier.
183520	187920	AI can help generate convincing texts that try to trick you into clicking a phishing link.
187920	190640	And then there's the spam emails and robocalls.
190640	193120	You've all experienced it, but why does it happen?
193120	195840	It's because your information has been sold to data brokers.
195840	199920	They're making a fortune from selling your information to robocallers and scammers.
199920	204320	They can know a lot about you, including your name, phone number, and address.
204320	208480	But there's a simple way to stop this. That's where today's sponsor, Aura, comes in.
208480	213040	They can identify data brokers and submit opt-out requests on your behalf.
213040	216640	Brokers are legally required to remove your information if you ask them to,
216640	218640	but they make it super hard to do.
218640	220080	Let Aura handle that for you.
220080	224880	Aura also does so much more to protect you and your family from online threats that you can't see.
224880	228480	It's really easy to set up, so you don't have to download several different apps
228480	233520	to get things like parental controls, antivirus, a VPN, password management,
233520	235520	identity theft insurance, and more.
235520	237760	And you get everything at one affordable price.
237760	242480	Visit aura.com slash coldfusion to get started on a two-week free trial.
242480	244800	Offer only available in the United States.
244800	245920	Okay, so let's continue.
249200	250880	No, it's not just you.
250880	254080	The term AI is really being thrown around everywhere.
254080	259040	For older Cold Fusion viewers, you'd know that I've been covering AI for the good part of a decade now.
259040	265520	Before 2022, the word artificial intelligence was limited to industry verbiage and obscure research papers.
265520	268240	The general public didn't know or care.
268240	274640	And even as late as 2021 when I covered GPT-3, there was a lot of people that thought I was just making it up.
274640	277360	How could a computer possibly talk like that?
277360	282640	Well, as you all know, after 2022, especially following the launch of chat GPT,
282640	283760	it was a different story.
284320	288080	From your smartphone to LinkedIn to your local government site,
288080	291760	a lot of organizations today will boast the term powered by AI.
293120	296800	While in a lot of cases it makes sense, the overuse of the term
296800	301520	and it being thrown around so casually is a symptom of something called AI washing.
301920	307200	AI washing, simply put, is when companies create a fake buzz and mislead investors by
307200	313280	providing manipulative information about the capabilities, limitations, or risks of their AI products,
313280	316960	or simply wholesale lie about how and when they're using AI.
316960	324640	According to Goldman Sachs, a record 36% of S&P 500 companies mentioned AI in their Q4 earnings reports.
324640	329840	If the biggest companies in the world are hyping it up, there's no doubt that smaller companies are following suit
330800	333680	and some without tangible results backing up their claims.
334240	336160	And the investments are there to match too.
336160	341680	From 2015 to 2022, global corporate AI investments have increased seven times.
