start	end	text
0	5360	So we looked at clip embeddings and we've talked a lot about using generative AI to produce new
5360	10160	sentences to produce new images and so on and so to understand images all these kind of different
10160	17840	things and the idea was that if we look at enough pairs of images and text we will learn to distill
17840	22400	what it is in an image into that kind of language. So the idea is you have an image, you have some
22400	26800	text and you can find a representation where they're both the same. The argument has gone that
26800	31520	it's only a matter of time before we have so many images that we train this on and such a big
31520	35680	network and all this kind of business that we get this kind of general intelligence or we get some
35680	42160	kind of extremely effective AI that works across all domains. That's the implication. The argument
42160	48000	is and you see a lot in the sort of tech sector from some of these sort of big tech companies
48000	54720	who, to be fair, want to sell products, that if you just keep adding more and more data or bigger
54720	59840	and bigger models or a combination of both, ultimately you will move beyond just recognizing
59840	64240	cats and you'll be able to do anything. That's the idea. You show enough cats and dogs and eventually
64240	71920	the elephant just is implied. As someone who works in science we don't hypothesize about what happens,
71920	78480	we experimentally justify it. So I would say if you're going to say to me that the only upward
78480	84640	trajectory is going to be amazing, I would say go on and prove it and do it and then we'll
84720	88160	see. We'll sit here for a couple of years and we'll see what happens. But in the meantime,
88160	93840	let's look at this paper which came out just recently. This paper is saying that that is not
93840	99840	true. This paper is saying that the amount of data you will need to get that kind of general
99840	106160	zero-shot performance, that is to say performance on new tasks that you've never seen, is going to be
106160	111680	astronomically vast to the point where we cannot do it. That's the idea. So it basically is arguing
111680	119280	against the idea that we can just add more data and more models and we'll solve it. Now this is
119280	124240	only one paper and of course your mileage may vary if you have a bigger GPU than these people and so
124240	129200	on. But I think that this is actual numbers which is what I like because I want to see tables of
129200	133520	data that show a trend actually happening or not happening. I think that's much more interesting
133520	138560	than someone's blog post that says I think this is going to what's going to happen. So let's talk
138560	143360	about what this paper does and why it's interesting. We have clip embeddings. So we have an image,
143360	149040	we have a big vision transformer and we have a big text encoder which is another transformer,
149040	152720	bit like the sort of thing you would see in a large language model which takes text strings,
152720	157760	my text string today, and we have some shared embedded space and that embedded space is just
157760	162800	a numerical fingerprint for the meaning in these two items and they're trained remember across many,
162800	167520	many images such that when you put the same image and the text that describes that image in,
167520	171840	you get something in the middle that matches. And the idea then is you can use that for other tasks
171840	175840	like you can use that for classification, you can use it for image recall. If you use a streaming
175840	181280	service like Spotify or Netflix, they have this thing called a recommender system. A recommender
181280	185520	system is where you've watched this program, this program and this program, what should you watch
185520	190800	next. And you might have noticed that your mileage may vary on how effective that is but actually I
190800	195040	think they're pretty impressive for what they have to do. But you could use this for a recommender
195040	198800	system because you could say basically what programs have I got that embed into the same
198800	203680	space of all the things I just watched and recommend them that way. So there are downstream tasks
203680	207920	like classification and recommendations that we could use based on a system like this.
207920	214800	What this paper is showing is that you cannot apply effectively these downstream tasks for
214800	221520	difficult problems without massive amounts of data to back it up. And the idea that you can apply
222480	227920	this kind of classification on hard things. So not just cats and dogs but specific cats and
227920	234560	specific dogs or subspecies of tree. Or difficult problems where the answer is more difficult than
234560	239600	just the broad category that there isn't enough data on those things to train these models in an
239600	244480	effective way. I've got one of those apps that tells you what specific species a tree is. So
