start	end	text
0	15000	Yes. Thank you, Marcelo. I want to thank the organizer for inviting me to give this talk at this night conference. This is one of my favorite conferences where we can meet with friends and discuss in a pleasant atmosphere.
15000	20000	I would also like to thank the organization of this edition of the event.
20000	30000	Again, in this context of pandemic, and I hope that we can meet in a face-to-face meeting next time.
30000	44000	I'm going to talk on an entropic characterization of quantum state with maximum evolution. This world was done in collaboration with Andrea Vandesa-Mandes, Cesar Maglione, and Angel Platino.
44000	59000	And to begin with, I will try to motivate the introduction of a measure of the amount of evolution, which is the measure that we maximize in order to obtain these optimal states.
59000	71000	There are several questions one can ask when analyzing the implementation associated with quantum evolution. An important question is, for how long does one have to wait in order to see something happening?
71000	79000	And another question, which is related to this question, is how fast can a quantum system evolve to an orthogonal state?
79000	85000	And this is the basic question addressed by studies on the quantum speed limit.
85000	102000	But with alternative and complementary question is how much happened during a certain period of time? This second question is a question I will address in this talk, but let me first comment briefly some ideas behind the quantum speed limit.
102000	118000	The problem of optimal evolution has attracted a lot of interest. That is because besides intrinsic interest as a fundamental question, the time limitation associated with quantum evolution also have practical implications.
119000	132000	So we are all focused on the limits imposed by the basic laws of quantum mechanics in the speed of information processing and information transmission.
132000	154000	This is the basic scheme. We have here the initial state, Psi0, which evolves unitary to an orthogonal state in a time tau. This is the orthogonality time, and this time can be regarded in the context of quantum computation in the computational state
154000	170000	needed to perform some quantum process. This orthogonality time is connected with several fundamental aspects of quantum physics with important quantum implications in the field of quantum information.
170000	186000	And the concept of distinguishability, because it's the time to evolve from between two distinguishable states, the concept of distinguishability appear here, and this concept will have a central role in the talk.
186000	207000	So the first answer to the question, to this first question, came with this war in 1945. The war by Leonid Mandelstein, who died before the article was published, and his student, Igor Time, they derive a kind of uncertainty relation between energy and time,
207000	216000	and that bound the time of the speed of evolution in terms of the spread of energy.
216000	226000	Several years later, indeed 53 years later, a second answer came with this war by Norman Margolis and Levitin.
226000	246000	They derive another bound, which is independent from the Mandelstein bound, in the sense that the Mandelstein bound cannot be obtained in terms of this other bound, and they bound the speed of evolution in terms of the mean energy of the system relative to the ground state.
246000	262000	So the Mandelstein limit was introduced, as I said before, as an uncertainty relation between energy and time, and even it is not crucial for this talk, I prefer to distinguish here between bounds and uncertainty relations.
262000	290000	For completeness, I want to mention this war, also in the 90s by Yananda and Aharonov, they rewrite the Mandelstein limit on geometric foundations, and according this war by Yananda and Aharonov, the Mandelstein limit can be interpreted as a comparison between the past follow in the state of space with the show the sixth and point of that evolution.
290000	311000	The two bounds, and more recently, in 2009, Levitin and Tafoli introduced a unified version of the bound that take this form and this bound is tight, and this expression is one usually used in problems in this field.
311000	322000	So to address the second question, I will try to explain why we think this is an interesting question, an even more unnecessary question to be answered.
322000	338000	So when studying problems related to the speed of quantum evolution and measured by the orthogonality time and system evolving continuously in time, there are at least two points or two observations that we need to be in mind.
338000	346000	One is that most of the initial state never evolved into an orthogonal state.
346000	358000	In fact, the subset of the initial state that do evolve into an orthogonal state is a subset of measure zero in the state of fourth space.
358000	371000	And even for those states that do evolve from an orthogonal state, the number of times that the system reaches a state of orthogonal to the initial one in an interval of finite duration is itself finite.
371000	386000	So from these two observations, we can conclude that tau, despite its great conceptual value, is not directly applicable in many relevant physical situations.
