start	end	text
0	9440	Okay. Okay, welcome to the second part of the conference of this day. The first talk of this
9440	17200	session is in charge of Michael Jensen from the University of Minnesota. The title of the talk is
17760	24880	quantum kinematics. A new framework for handling probabilities. Go on, Michael.
25600	33360	Okay. Thank you very much for the invitation. Everybody can see my screen. I hope you had
33360	40000	a chance to read my abstract. So what I'll be doing for the most part is to talk about the
40000	47920	correlations you can get with the proverbial Alice and Bob performing measurements on two spin half
47920	53280	particles entangled in the singlet state. And I'll represent the class of correlations that you can
53280	58800	get in that kind of, like I should say, in a setup that was suggested by David Merman,
58800	64160	where Alice and Bob both choose from the same three observables that they're going to measure.
64160	68000	And I'm going to be looking at the kind of correlations that are allowed in that setup,
68000	72880	if you just restrict it to like anything that's non-signaling, anything that can be
72880	77520	done quantum mechanically, and anything that can be done like with local hidden variable theories.
77520	83760	And I'll show you that there is a nice three-dimensional graphical representation of that.
84480	91680	So the work is based on a book that I wrote with Michael Janus and Michael Faro.
92400	100000	So here is the three of us, like in Minneapolis a few years ago. And since the names of the three of
100000	105120	us are sort of variations on Michael, like this has become known in certain circles already as
105120	113120	the three mics manifesto. The book will come out in January. It's in the series Boston Studies in
113120	118480	the Philosophy and History of Science. And its official title is Understanding Quantum Raffles.
119680	127200	Now the book was inspired, and this is the banana that you'll be seeing as my background image
127200	133280	throughout the talk, by this book by Jeff Boop, Banana World, Quantum Mechanics for Primates.
133840	140080	And here you see a picture of me and Jeff at a conference in 2019, like in Santiago,
140800	147360	like following actually right this conference in Cordoba in 2019, where I also gave the talk and
147360	152960	had a great time. So I should also like put in a plug for like the sequel to Banana World,
153680	159600	which is one of my favorite books. It's a serious comic on entanglement by Jeff and his daughter
159600	167760	Tanya, a graphic artist called like Totally, Totally Random. So here's the set up I want to
167760	174320	talk about. And so instead of talking about spin half particles, I'm going to be talking about
174320	181200	like entangled bananas, like I said, in honor of Jeff's book. And so what we have, we start out
181200	187440	with like a pair of entangled bananas, right? So they are described by the usual, you know,
187440	194480	singlet state. And then like Alice and Bob, you know, the side like on one of three ways to
194480	199760	peel the banana. And so this is basically just window dressing for like, you know, they have,
199760	205520	they have like a Dubois magnet with which they measure spin in a certain direction. And now
205520	210240	they're going to hold their banana in a particular direction, you know, while peeling it. And then
210240	216160	they take a bite out of the banana and determine whether the banana tastes yasta, tastes yummy,
216240	223520	or nasty, right? So and the results are we're going to, we're going to put like in a correlation
223520	229280	array, which is really the workhorse of Jeff's book, Banana World. And so here you see like,
229280	234080	you know, Alice can measure A, B and C, Bob can measure A, B and C, they can only find,
234080	240320	you know, plus or minus corresponding to yummy and nasty. And what you see is that if they happen,
240320	246000	all the runs in which they happen to peel the same way, they find like a perfect impact correlation,
246000	254400	and in all the runs in which they peel different ways, they find like an imperfect, like positive
254400	260960	correlation, right? So look at A, B. So there is like, you know, like a three fourth chance of them
260960	267520	finding the same 75% chance of finding the same, and only a 25% chance of them finding opposite.
268160	273360	And the question is like, you know, like, what's how to, how to account for this? Now, so this is
273440	279600	like what you get in this Merman setup, if the angles between like the peeling directions are
279600	286960	like 120 degrees. Now, you can consider like a more general correlation array of this sort.
