start	end	text
0	3200	Hi, my name is Dave Farley and welcome to The Engineering Room.
3200	7760	If you haven't been here before, do hit subscribe and if you enjoy the content today,
7760	13520	hit like as well. Do join in the conversation too and let us know your thoughts and ideas in the
13520	18640	comments below. The Engineering Room is an occasional series and is meant as an addition
18640	23840	to the more usual content on the Continuous Delivery channel. These are longer form conversations
23840	29280	with some influential and thoughtful people from our industry. Today I'm joined by my
29280	35040	friend Kevlin Henney. I first came across Kevlin at a conference in Australia many years ago,
35040	40880	although we're both English. He gave several talks at that conference, including a keynote,
40880	47600	which was funny, unexpected, educational and brilliantly well presented. Over the years,
47600	52960	I've come to expect nothing less than that from Kevlin. That's his norm. As I started talking
52960	57440	more frequently at conferences, our paths crossed more often and we became friends.
57440	62160	Kevlin is an independent software development consultant, trainer, speaker and writer.
62160	68320	The people who work with Kevlin always speak very highly of his services. He's witty, nerdy, sorry,
68320	74560	Kevlin, and smart. He also has a Google unique name. Try it. You'll only get Kevlin.
75280	81840	And rather strangely, among the cognizanty, if you ever see an obvious public software failure,
81840	86640	a screen in an airport showing a command line or an advert in a stall showing the blue screen of
86640	93040	death, it's called a Kevlin Henney. But no doubt we'll get to that. Welcome, Kevlin. Did I miss
93040	98800	anything important? No, thank you very much, Tim. That's the perfect introduction. I'm going to copy
98800	106160	and paste that. Great. Thanks. Well, I've been looking forward to this talk for a little while.
106160	113600	The last time we met was in Copenhagen at a go-to conference. And my wife and family
114560	117520	took the mickey out of me for the rest of the conference, because you and I, every time we
117520	124000	crossed, we spent all of the time talking rapidly in great detail because we hadn't seen each other
124000	128560	for a while. But the funny thing is, the way that coincidences worked out is that
129280	134560	pretty much the moment I arrived in the hotel, you and family were there, and I bumped into
134560	140000	everybody, including your son and daughter-in-law at the airport when I left. It's crossed quite a
140000	148080	lot there. So yeah, plenty to talk about, plenty to catch up on. Cool. So let's start with that
148080	152720	production failure being called a Kevlin Henney. I think I know the answer to this, but tell us how
152720	159680	that happens. Yeah, well, so it's one of the things. I guess if you're in software or there's
159680	163920	something that you really into, you become sensitive to things. You start spotting things.
163920	169920	And I was always fascinated by the fact that, you know, see occasional failures in places,
169920	176400	you occasionally see a cash machine booting up and stuff like that. You kind of notice this stuff,
176400	181360	it makes you ask questions about it. But then we hit the, then we hit the kind of like,
182800	188160	cameras on phones era. And at that point, suddenly, it's like, I'm walking, everywhere I'm walking,
188160	192080	I have a camera. And, you know, the amount of software that we actually have everywhere
192080	196480	is huge. So I'm starting to take pictures of these things. I'm also taking screenshots
