start	end	text
0	10000	For a long time, most people whose opinion I respected were somewhat skeptical of metrics and in particular of metrics used to measure software development performance.
10000	16000	Martin Fowler wrote an excellent piece called Cannot Measure Productivity some years ago.
16000	25000	Then some smart people came up with a better way and discovered all sorts of interesting and useful things based on their metrics.
25000	34000	These were not necessarily new ideas, but the combination was, and the model that they built from them was certainly new.
34000	38000	And is, in my opinion, an important step forward for our discipline.
38000	46000	So, how do you measure software delivery and what are the important lessons that we can learn from it when we do?
46000	59000	Hi, I'm Dave Farley of Continuous Delivery. Welcome to my channel.
59000	62000	And if you haven't been here before, please do hit subscribe.
62000	66000	And if you enjoy the content today, hit like as well.
66000	72000	I'd like to begin by thanking our sponsors, Equal Experts, Octopus and Speckflow.
72000	78000	They're great supporters of our channel, so please support them in turn by checking their links in the description below.
78000	87000	If you'd like to learn more about the engineering approach that I describe a little later in this video, check out my new book, Modern Software Engineering,
87000	95000	which is currently a bestseller in several categories on Amazon and also at the time of recording on sale.
95000	99000	In 2010, the book that I wrote with Jess Humble was published.
99000	104000	It introduced lots of ideas to people who hadn't seen this way of working before.
104000	108000	Its popularity surprised both of us.
108000	112000	We certainly believe that the ideas in it were important and valuable.
112000	116000	We'd already seen them work in every place that we'd tried them over several years.
116000	122000	But Continuous Delivery came to be seen as a significant book, and we didn't really anticipate that.
122000	127000	As we gained more experience with the practices in a wider variety of settings though,
127000	130000	our understanding of this approach grew significantly.
130000	135000	So now, I no longer feel embarrassed to say things like,
135000	139000	this is the current state of the art in software development.
139000	145000	And this represents a genuine engineering discipline for software in that if you practice it,
145000	151000	you will substantially increase your chances of success, whatever it is that you're trying to build.
151000	158000	One of the reasons that I feel confident to make such claims is because we have the best data on software delivery practice
158000	165000	that's been collected so far, and it tells us that this stuff works better than anything else that we know of.
165000	171000	A few years after our book was published, Jess met Dr. Nicole Fosgren,
171000	178000	and together with some sponsors, they started work on something called the State of DevOps Report.
178000	183000	Nicole brought an academic approach to the collection and interpretation of the data.
183000	188000	It's scientifically justifiable in terms of how that works.
188000	195000	The results are, as far as I can tell, the most thorough examination of software development practice
195000	198000	than our industry's seen so far.
198000	205000	Later, Jess, Nicole and Jean Kim formed Dora and released the Accelerate book,
205000	211000	which describes some of their findings over the years and the science behind their approach.
211000	221000	This is sociology, not physics, so research like this is complex and always open to interpretation and question to some degree.
221000	225000	Human beings are messy things compared to atoms and electrons.
225000	230000	Nevertheless, their findings are profound. They can make predictions.
230000	234000	These predictions have been born out in thousands of organizations now.
234000	239000	They say things like, there's no trade-off between speed and quality.
239000	245000	Excellence in software delivery and operational performance drives organizational performance.
245000	254000	And the data also tells us that continuous delivery is being successfully adopted by more and more teams year on year.
254000	260000	At the heart of the State of DevOps research and the approach are a collection of metrics,
260000	264000	now commonly referred to as the Dora metrics.
264000	269000	For decades, people had been trying to figure out how to measure software development performance.
269000	275000	They counted lines of code, man hours and later velocity in the form of story points.
