start	end	text
0	3920	Continuous delivery is the most effective way that we know of to create software.
4560	8720	According to the data over many years from the State of DevOps report,
8720	14240	collected by the Dora Group inside Google, continuous delivery literally enables us to
14240	20960	build better software faster. This just works. One of the most common pushbacks that I get,
20960	25520	whether I'm explaining continuous delivery in general or specific practices within it that
25600	31840	help us to achieve it, this is all very well for the geniuses at Google, Netflix, Spotify,
31840	38720	Amazon, Tesla, SpaceX, filling your favorite unicorn here, but our devs aren't as good as them.
39440	45280	This stuff only works for geniuses. As far as I can tell, this is completely and totally wrong.
46160	52080	So what do you do if you only work with human beings rather than teams of geniuses?
55840	64560	Hi, I'm Dave Farley of Continuous Delivery. Welcome to my channel. If you haven't been
64560	68720	here before, please do hit subscribe. And if you enjoy the content today, hit like as well.
68720	72320	I think that this blame game of assuming that our team isn't good enough
72320	76880	is a common human failing, a kind of institutionally imposter syndrome.
77600	81280	Those other people do better than us because they are better people than us.
81920	86800	Well, actually, I think what's much more true is that those people do better than us because
86800	92400	they work in better ways than we do. It is usually the case that when a team is under-performing,
92400	97200	that it's more about the system that they're working in rather than the people in the team.
98320	106240	The idea of the Rockstar developer is alluring but wrong. So poorly performing teams are much more
106240	112240	about a lack of adequate training, tools, organisational culture and often a sign of too
112240	117520	much management direction interference rather than a fault of the team members themselves.
118560	124160	Unfortunately, this becomes a nasty downward spiral. The worse things get,
124160	128800	the more managers feel the need to manage, introducing new reporting requirements,
128800	134880	more action plans and so on. The result is that the team have less time to do their work
134960	138720	and so lose confidence and trust in themselves and each other.
138720	143760	My wife has done some work helping under-performing teams, not in the IT world as it happens.
144320	149040	Usually she starts work like this with a directive to shake things up,
149760	153760	to replace ineffective managers and maybe bring in new talent.
153760	159520	But her mantra is always that the people out there are just as crap or just as great as the
159520	165120	people already here. So it's better to work with the people that you have and already know
165920	171360	than to bring in some people that you don't. Her approach is usually to start by reducing
171360	177280	outside interference, stop unnecessary reporting and to give decision making back to the team.
178400	183360	In one such contract she was asked to work with the team responsible for collecting payments.
183360	186800	This team were one of the worst performers in the whole of London.
187520	191760	She introduced ways of working that sound a lot like Agile to us.
192320	197200	They didn't build a big service improvement plan with targets and deadlines,
197200	202800	instead they started making small changes. Changes that they could measure the impact of
202800	208400	in under a week. Small changes like these don't need senior management or board approval,
208400	212480	so the team could just act on what they agreed sounded like a good idea
212480	217440	and that they hoped would steer them towards their goal. This is very different to simply
217440	223680	following procedures or completing tasks set by somebody else. The team chose what they could
223680	229120	improve and brought their own ideas about how they could improve things. To check whether what
229120	233920	they were doing was improving things or not they collected their own monitoring data about their
233920	241280	performance. Instead of just reporting generic KPIs upwards they picked the measurements that
241280	247600	suited the improvement. All together they spoke trust and confidence in themselves and in each
247600	254000	other. Within a few months the team were transformed into a much happier and more cohesive team.
254720	260080	They moved quickly up the rankings to become one of the top performers in collecting payments in
260080	266720	their field in London. So much so that the same people who had been seen as a failing team were
266720	272960	now much sought after in other parts of the business to help them to improve. Good job they
272960	279760	weren't fired then really. This may sound risky to people that aren't used to working this way,
279760	284720	but it works and it works pretty much everywhere. Let me pause there to thank our sponsors.
