start	end	text
0	3600	Well, today we're going to be talking about Karnab's paper,
3600	5700	empiricism, semantics, and ontology.
5700	10920	Some people consider this the last gasp of logical empiricism.
10920	15300	Even its opponents tend to treat it as an extremely important paper,
15300	20160	and there is a fundamental distinction that it introduces that has become part of,
20160	23600	you might say, common currency philosophically.
23600	29480	And so it's a useful thing to be exposed to and to think through,
29480	32480	even if in the end you think Karnab is wrong.
32480	34080	Now, there are a lot of people, on the other hand,
34080	37880	who think Karnab is actually getting at something deep and important here.
37880	41380	And there is a philosophical strategy that emerges in this paper
41380	47180	that I think is really important independently of the way that he in particular replies it.
47180	49080	One way of putting it is this.
49080	52980	Suppose we're interested in a certain concept or set of concepts,
52980	57380	and we're trying to analyze what that's all about philosophically.
57380	63280	Karnab's point, in a way, is just that we should approach it in the following fashion.
63280	67280	Think about language, which did not have that set of terms
67280	70380	or the ability to express those concepts.
70380	74980	And think what would have to be added to give that language the ability
74980	78580	to include those terms or express those concepts.
78580	82680	And so the way of thinking about it isn't exactly analysis
82680	86780	in the more traditional sense in which the early writers in this tradition,
86880	91980	like Bertrand Russell or G. E. Moore or even Wittgenstein,
91980	94380	were thinking instead it's something like,
94380	97980	think about what would be like not to speak a language,
97980	100480	in which we could talk about propositions, for example,
100480	102580	or in which we could talk about mental entities,
102580	105680	or in which we could discuss abstract entities
105680	110280	and think what resources would we have to add to that language to be able to do that.
110280	113980	So he's not approaching this from the point of view of X is a number,
113980	116880	if and only if we translate that into something else.
116880	121280	He's instead saying, imagine a language where we have no way of expressing numbers.
121280	126080	What would we have to add to the language in order to be able to express numbers?
126080	128780	Now you might say, well, numbers, okay?
128780	133780	And so you might think this has a very dumb sort of answer to it.
133780	137980	And so to make it interesting, you could say, well, what's the smallest set
137980	141180	or what are the smallest sets of resources we could add
141180	143580	that would actually allow us to accomplish this?
143580	148880	Also, another way of thinking about this is to say, well, yes, in some sense,
148880	151780	obviously, we could just add and talk about numbers.
151780	158080	But what we're interested in, in a sense, is what kind of move is made
158080	159680	when we make that transition?
159680	162580	If you make the jump to number, what exactly are you doing?
162580	166380	And sometimes it surprises how little has to be added.
166380	171980	So we've been discussing this idea of frameworks.
171980	177880	And this is the paper which really starts thinking about things in terms of frameworks,
177880	182580	a framework in which we can discuss propositions, for example, or mental states,
182580	187980	or numbers, or other abstract objects such as properties and relations.
187980	192080	And we think, what does it take to add such a framework?
192080	195280	Cardapp starts out with a pretty bold claim.
195280	197080	He says, here's what it takes.
197180	202680	It takes something that is a term that talks about the things of this general category.
202680	210880	So if we say, you know, yeah, actually, let me write down what I was saying just a moment ago.
210880	219880	Think about a language or a framework if you want to keep it more general,
219880	231580	in which we can't discuss x, whatever that is, and then ask the question,
231580	249780	what would we have to add to have that capacity to obtain the ability to discuss things of this kind?
250180	252080	And his answer is twofold.
252080	259980	He basically says, first of all, we would have to add some term that covers things of the relevant kind.
259980	268580	So a term like, for example, proposition, or property, or number, or whatever.
268580	271280	So just a term covering the general category.
271280	274480	Because after all, if we can't do this, presumably we can't actually.
274480	277780	We don't already have such a term and we're going to need one.
277780	279180	But then what else?
279180	281280	Well, this is the surprising part.
281280	290180	We just have to add variables for such things.
290180	296380	Or propositions for properties, for relations, for numbers, for mental states, or something like that.
296380	298680	And that's really all we have to do.
298680	302780	So it turns out that introducing a framework for discussing a kind of entity, he says,
302780	304580	is actually a pretty simple thing.
304580	308780	Okay, just introduce a term and some variables for that kind of thing.
308780	310880	Now let's start with something dumb.
310880	314480	We don't tend to talk about witches anymore.
314480	317680	But suppose we were to start doing that again.
317680	325380	And said, okay, what would it take to introduce into our current framework a framework where there are witches?
325380	331880	Or maybe if that's, since that used to be, maybe a better example would be something from the Harry Potter world.
331880	337280	Okay, where it's really just, what's something that's distinctive to Harry Potter?
338280	338780	Muggles?
338780	340280	Well, yeah, but you and I are muggles.
340280	342780	I mean, muggles is just sort of an ordinary person, right?
342780	344680	So that's easy to translate.
344680	348080	But, de-mentors, right?
348080	350480	Okay, there isn't just sort of this old view about de-mentors.
350480	353780	It's like that's specifically introduced by J.K. Rowling.
353780	362080	So, okay, we might be puzzled about how to actually do an analysis of de-mentor.
362080	367280	If we're thinking in terms of reducing that to something else, X is a de-mentor if and only if, what?
367280	369380	You might say, yeah, I don't know how to do it that way.
369380	375480	But what is it to introduce into a conceptual framework this concept, this ability to talk about de-mentors?
375480	381080	Well, you need the term de-mentor and variables that will include de-mentors.
381080	382980	The end, okay?
382980	384580	They might be, oh, wait a minute, that's all?
