start	end	text
0	9840	I want to talk in this video about David Hume's ethical thinking.
9840	14960	Hume here is not only developing a line of thinking about ethics that has been very influential
14960	19680	and very important in its own right, but also really defines a problem.
19680	25440	A problem that philosophers now call the problem of normativity that I take to be fundamental.
25440	29320	It's a fundamental problem not only in philosophy, but in our culture.
29320	35000	I teach an entire course called Ideas of the 20th Century, which takes this as its starting point.
35000	43040	And I see the 20th Century as driven, maybe more than any other single issue, by the problem of normativity.
43040	49120	Not only in philosophy, but in art, in literature, in music, and in politics.
49120	56960	It's something that it seems to me our culture is still grappling with, and our civilization has not yet solved.
56960	60320	So we need to understand what this problem is supposed to be.
60320	65720	More important than Hume's ultimate ethical theory, I think, is actually his definition of the problem,
65720	70560	and his phrasing it in terms that have made it something that, ever since the Enlightenment,
70560	74000	has been an absolutely central intellectual problem.
74000	79320	Not only a central problem in ethics, but a problem in every intellectual field.
79320	82120	Well, what is that problem? What's the issue?
82120	90960	Before I get to his version of it, I want to think more generally about a kind of problem we face in making decisions.
90960	100200	I've sketched out here for another video a general problem of, well, practical action that we might face.
100200	104960	And here I am. I survey my options for my decision.
104960	108960	I think about the various goals I have and the motives those give me.
108960	111640	And then I have to make a decision.
111640	115520	Well, that decision is going to issue in an intention to act in a certain way.
115520	120400	If all goes well, I will act in that way, then that action will have certain consequences.
120400	127600	Of course, I'm framing this decision in a certain kind of setting, in a certain kind of context in the world,
127600	134600	given my character and my own character traits, my virtues and vices, the things I know, the things I don't know.
134600	141160	I do it in a framework that includes institutions, that includes an entire civilization that I'm part of.
141160	144720	I end up ranking those options from better to worse, perhaps.
144720	150200	But whatever I do, I'm doing that and making a judgment of evaluation.
150200	153840	However, what am I doing when I describe these various options?
153840	155600	I am describing them.
155600	159160	And yet what I want to come out of this is a prescription.
159160	161240	I should do this.
161240	164600	I am coming up with something that is an evaluation.
164640	165520	This is better.
165520	173320	This is worse on the basis of a description of the various possible actions open to me.
173320	180000	And so I'm somehow going from a pure description of the world to something that is an evaluation of the world.
180000	185560	Philosophers have talked about the distinction between description and prescription,
185560	192600	between description and evaluation, roughly speaking, between is and ought.
192600	197000	And the question is really how you could possibly get from one to the other.
197000	202480	How can you make room in a world that we think is fully described, for example, by science,
202480	206920	but even if you don't think necessarily by science, by science, by history,
206920	213880	by our common sense experience of the world, by whatever it is, right, we describe what the world is like.
213880	220960	But then we try to draw conclusions for action about what we ought to do, about what the world ought to be like,
220960	226040	about what consequence would be better than what other possible consequence.
226040	227760	We're making evaluations.
227760	232080	We're going to ought or right or wrong or better or worse.
232080	235400	How on earth can we get there if all we have is description?
235400	237480	That's the problem of normativity.
237480	240320	Normativity because we're dealing with norms.
240320	245080	Norms for action, norms for character, norms of all sorts of kinds,
245080	247960	where we're saying this is right, this is wrong.
247960	249880	This is correct, this is incorrect.
249880	252120	You ought to do this, you shouldn't do that.
252120	254680	This is permissible, this is not permissible.
254680	256360	This is better than that.
256360	262280	All of those are making evaluative judgments, stemming from or relating to some kind of norm,
262280	266800	some kind of standard for evaluating things for making such judgments.
266800	270800	But where do those norms, those standards of evaluation come from?
270800	276040	If all we've got in descriptions of the world, on whatever basis, are pure descriptions.
276040	278520	It looks like we're describing the world.
278520	279800	Then we evaluate it.
279800	281720	Where's that evaluation coming from?
281720	287080	It doesn't look like it's coming from anything in our description of the world.
287080	291240	Well, that in a nutshell is not just the problem of normativity.
291240	294080	It is the problem that Hume is pointing out.
294080	298680	It is the key to what we're going to look at.
298680	303760	Hume tells us that morality is not a matter of reason.
303760	306160	And here's his argument in a nutshell.
306240	310240	Morals, he says, have an influence on actions and affections.
310240	314960	Morals are the kind of thing that does evaluate things as better or worse,
314960	319120	that tells me to do or not do something, that draws me towards something,
319120	321320	or that pushes me away from something.
321320	324960	Okay, so morality is supposed to have an influence on my actions.
324960	330600	The whole reason I'm interested in evaluating when I'm deliberating is that I wanted to affect my action.
330600	332440	I'm thinking, what should I do?
332440	335600	And so I evaluate certain options as better or worse options.
335600	336720	I choose one.
336720	342640	The whole point of going through that exercise and doing the evaluation is to affect my action.
342640	345720	It also affects my feelings, my affections, as he puts it.
345720	348920	If I think this is better, I'm going to prefer that one.
348920	351240	I'm not going to like this one as well.
351240	354320	I'm going to think, yes, I approve of that action.
354320	355640	I don't approve of this one.
355640	357480	That's going to get me into trouble.
357480	362680	And so it is something that is done as, well, its main point, you might say.
362680	366320	It's not incidental to morality and to thinking about norms,
366320	368800	that it has an influence on actions and affections.
368800	370280	That's the whole point of it.
370280	376240	They're norms for action or norms for feeling or norms for thinking or norms for speaking.
376240	382400	But the whole point is to govern action and to have some effect on what we do.
382400	387440	Well, he says reason alone can have no such influence.
387440	392560	Reason can just take me from descriptions of the world to more descriptions of the world.
392560	394440	It can't draw me toward anything.
394440	396280	It can't push me away from anything.
396280	398760	It can't give me a reason to act.
398760	400720	It can't affect my feelings.
400720	402480	It's just a description.
402480	406800	And so he says morality is not a conclusion of reason.
406800	410760	Reason cannot affect my actions, can't affect my affections.
410760	412000	But morality does.
412000	413760	Norms do.
413760	416600	So morality cannot be a matter of reason.
416600	419120	It consists of no matter of fact.
419120	423960	If it were a matter of fact that this is wrong, for example, or that this is better than this,
423960	426920	I could do some research and discover that fact.
426920	434880	But in fact, when I take out my options, describe them, and then try to choose and decide what's better than what,
434880	437160	I'm not merely describing anymore.
437160	440000	I'm not finding some additional matter of fact.
440000	448720	Instead, what I'm doing is making an evaluation that is not ultimately based on reason.
448720	452800	Here is how Hume puts it, very famously and most dramatically.
452800	457680	In every system of morality I've met with, I've noticed that the author proceeds for some time,
457680	463800	reasoning in the ordinary way to establish the existence of a god or making points about human affairs,
463800	469880	and then he suddenly surprises me by moving from propositions with the usual copula, is or is not,
469880	473640	to ones that are connected by ought or ought not.
473640	477120	This seems like a very small change, but it's highly important,
477120	481560	for as this ought or ought not expresses some new relation or affirmation,
481560	483960	it needs to be pointed out and explained,
483960	489720	and a reason should be given for how this new relation can be inconceivably a deduction from others
489720	492400	that are entirely different from it.
492400	496360	From merely is, I can never get to ought, okay?
496360	500280	So he says moral, well, reasoning, quote unquote,
500280	505800	what people call moral reasoning seems to go from is and is not to ought and ought not.
505800	510520	It goes from this is this and that's that, to this is better than this.
510520	514360	Where is it getting that? How could we possibly go from is to ought?
514360	516520	How could we go from is not to ought not?
516520	521560	How could we go from this is this and that is that, to this is better than that?
521560	524800	Reason doesn't do that, reason supplies no connection.
524800	529000	So he's saying, look, we can describe the world and do that in rational terms.
529000	532960	Good, good thing that we do that, important to understand matters of fact.
532960	535720	We can relate ideas, that's important too.
535720	538040	That's the other main way in which we obtain knowledge.
538040	542320	We relate ideas, we gain knowledge of matters of fact through experience.
542320	547000	But now, we come with conclusions like you ought to do this,
547000	551080	or this is better than that, or that's virtuous, that's vicious.
551080	552960	Where is that coming from?
552960	555920	It's not in our description, there's no matter of fact.
555920	561120	If somebody says, yeah, look, he killed that guy, that's wrong, murder is wrong.
561120	564000	I can't go out and say, well, let me go back to the crime scene.
564000	568440	I found the blood stains and I found the murder weapon, but I didn't find this wrongness.
568440	571840	Let me go do another search of the crime scene.
571840	573200	That's not going to help, right?
573200	576320	It's not like there's some additional matter of fact I need to discover.
576320	580120	It's not something else about the crime scene that's going to tell me that it's wrong.
580120	584280	And so, neither is it some additional matter of reasoning.
584280	588160	He's saying, look, it's not like you can take the existing facts and say, well, all right,
588160	593120	let me analyze those more carefully and try to see what rational and deductive conclusions
593120	595320	I can get out of those matters of fact.
595320	597160	You're never going to get to the is or is not.
597160	602080	You're never going to get to the murder is wrong or this murder is wrong from any of that.
602080	607000	And so, it's not a question of an additional matter of fact or some new deduction from
607000	609320	some set of matters of fact.
609320	610520	That's not what's going on.
610520	613320	Something of a very different kind is happening.
613320	618160	When I invoke norms and move to an is or is not, ought, ought not.
618160	622960	When I move from, sorry, an is or is not to an ought or ought not, this is better than that.
622960	627360	This is virtuous, this is vicious, and so on.
627360	629680	Here, in short, assumes problem.
629680	632880	Once again, I appeal to the underpants gnomes.
632880	634480	I've got a description.
634480	635640	This is this way.
635640	638120	The world is like this.
638120	639680	It's all in terms of is.
639680	641200	I've described things.
641320	645440	And now, phase two, oh, hocus pocus.
645440	648600	And now, phase three, something that involves norms.
648600	656240	Now I get normativity, ought, ought not, good, bad, evil, better than that, worse than that.
656240	657720	Where did any of that come from?
657720	661360	How could I possibly go from those descriptions to an evaluation?
661360	665400	How could I go from those prescriptions to a prescriptions?
665400	666920	There is no way to do it.
666920	670000	It looks like it's completely mysterious.
670040	672160	I'm going from that to profits.
672160	673600	How do I do that?
673600	675200	Where's phase two?
675200	676760	That, in effect, assumes problem.
676760	680280	I don't see how it's possible for anyone to go from is to ought.
680280	682600	So what on earth is going on here?
682600	686920	Whatever it is, I'm pretty sure it's not a matter of reason.
686920	689200	Well, Hume says, let's take a couple of cases.
689200	691120	We think that cruelty is wrong.
691120	693480	We think that generosity is good.
693480	694400	But why?
694400	696120	Why is cruelty wrong?
696120	698040	Why is generosity good?
698080	701200	There's no fact of the matter to be found in them, he says.
701200	707160	It's not as if you take a case of cruelty and you say, OK, I see what happened here.
707160	711240	In this, there are two, let's take two really similar cases.
711240	715320	In both of these cases, there are two children playing in the park.
715320	721880	And the first child pushes the second one into the pond.
721880	726640	And you think, well, OK, huh, I describe this.
726680	730440	Child A pushes child B into the pond.
730440	733080	Looks like same description in both cases.
733080	735440	But now in the first case, here's what was going on.
735440	737000	It was a case of cruelty.
737000	742040	That child was just saying, oh, man, look at this.
742040	743600	Beautiful pond, isn't it?
743600	745840	And the other one says, yeah, look at the duck swimming.
745840	748880	That kid says, you know, I wish I could swim out there with the ducks,
748880	750440	but I'm really afraid of water.
750440	752000	I'm afraid of swimming.
752000	755080	And so that's when the other child says, you're afraid of swimming, huh?
755080	755800	Can't swim?
755800	756880	Afraid of the water?
756880	758200	Boom!
