start	end	text
0	8800	Today, we're going to talk about pragmatism.
8800	13600	Pragmatism is one philosophical view that is thoroughly American in its orientation.
13600	18240	In fact, most people think of American philosophy and immediately think of pragmatism.
18240	22800	And there was a period in the late 19th century and early 20th century when the pragmatists
22800	25400	really dominated American philosophy.
25400	27280	There were other groups to be sure.
27280	28280	There were some realists.
28280	30640	There were some personalists, some monists, and so on.
30640	37480	But the pragmatists had a strong lock on most very good American philosophy departments.
37480	41000	And that really became a symbol of American philosophy.
41000	45680	These days, pragmatism is in a little bit of a retreat in the sense that figures like
45680	50400	Perse, James, and Dewey, who were the key figures in that early movement, no longer
50400	52960	have quite the same level of respect.
52960	59120	But nevertheless, their attitudes and their perspective continues to be highly influential,
59120	63680	not just in the United States, but throughout the English-speaking world at least, and increasingly
63680	66840	has an impact on French and German philosophy, too.
66840	74200	So pragmatism remains a very appealing philosophy to many people, a very powerful philosophy
74200	79240	that whatever one ends up thinking about it needs to be addressed and dealt with.
79240	84400	In the United States, it was formulated, at first, by Charles Sandler's Perse.
84400	86660	Perse had an odd academic career.
86660	91200	He hung around Harvard for much of his academic life, though he never really was hired there
91200	92200	as a professor.
92200	94440	He had various subsidiary positions.
94440	99720	He was himself trained as a scientist at Johns Hopkins and ended up living most of his life
99720	105280	in a large house in rural Pennsylvania, not too far from the Delaware River, and in other
105280	107960	words, just across the river from New Jersey.
108640	113120	Well, he developed something known as the Pragmatic Theory of Truth.
113120	118400	He didn't like the fact that his principle of pragmatism became so popular that other
118400	122160	thinkers began to use it, and actually, in his view, misuse it.
122160	126680	He changed the name of his view to pragmatism because he thought it was ugly enough that
126680	128480	no one would try to copy it.
128480	133960	Luckily for us, that did not really stick, and so his view is still known as pragmatism.
133960	135640	Here is the key idea behind it.
135640	140240	The principle of pragmatism says there is no difference in meaning without a difference
140240	141720	in practice.
141720	145040	So what really matters is what difference it makes.
145040	149600	Indeed, we sometimes talk about things and think about a discussion that somebody's having
149600	152200	and say, well, what difference does it make?
152200	154320	And that's exactly Perse's question.
154320	157480	He says we should be asking that about everything.
157480	162380	Let's say two people are debating a question in theology about the nature of God.
162380	165220	One person says, I think God is absolutely simple.
165220	167780	All the properties of God end up being identical.
167780	169980	The other person says, I don't think that's true.
169980	174100	I don't think this idea of the simplicity of God makes any sense.
174100	176980	Perse says, what difference does it make?
176980	179900	What difference does it make to your actual practice?
179900	183620	In this case, the way you live your life or the way you live your religious life, does
183620	185260	it make a difference in how you worship?
185260	190140	Does it make a difference in what you do in any respect?
190140	192580	If not, there's no difference.
192580	193580	Ignore it.
193580	195140	It's a meaningless dispute.
195140	196820	Don't waste your time.
196820	201140	And some pragmatists put it in a very strong form, saying, look, then there is no difference
201140	202780	in meaning.
202780	204140	The issue is utterly meaningless.
204140	206100	You're not talking about anything at all.
206100	208260	Others say, well, maybe you are.
208260	209540	You're wasting your time, though.
209540	210900	There's no point in discussing it.
210900	212900	It makes no difference.
212900	216060	And so as he means it, it really is the stronger version.
216060	217300	There is no difference in meaning.
217460	219220	Of course, it doesn't just happen in theology.
219220	222300	It can happen all over the place in philosophy and politics.
222300	224820	You can say, well, in the end, what does it matter?
224820	226460	What do we do differently if this is true?
226460	229820	And if the answer is nothing, stop fighting about it.
229820	231780	This dispute doesn't really mean anything.
231780	234020	It's not really about anything.
234020	237980	So his idea is that meaning depends entirely on practice.
237980	241980	And pragmatists are fond of using the phrase, the cash value of something.
241980	246660	What he means by talking about the cash value of a view or the cash value of a proposition
246660	249860	is simply this, the difference it would make in practice.
249860	253220	To get clear about the meanings of our terms and our thoughts,
253220	257620	we need to be clear about the practical antecedents and their practical effects.
257620	261460	What would, practically speaking, make somebody say that?
261460	263940	And what difference would it make if they were true?
263940	266260	What would the effect of that view be?
266260	268900	All too often, he says, we look around and we find out nothing.
268900	270500	People are fighting about nothing.
270500	272020	They're arguing about an issue.
272020	275820	And in the end, you say, I don't understand why it makes a difference.
275820	282940	Now, we've got to be careful here because sometimes it makes a difference of a kind,
282940	284740	but no difference to what we might do now.
284740	288380	Suppose two people are historians and they're fighting about the details
288380	290660	of what happened during the 14th century.
290660	293900	Well, are they really involved in a meaningless discussion?
