start	end	text
0	6120	Well, today I want to return to our discussion of the debate between Karnap and why.
6120	11400	Two people whose views are closely aligned, but who nevertheless disagree about some fundamental
11400	17720	questions about logical truth, about conventionalism, about ontology, and about the nature of philosophy
17720	18720	in general.
18720	23000	So let's begin by going back to what we introduced right at the end of last time.
23000	27640	We were talking about the idea of a framework, and indeed that's something fundamental to
27640	28640	Karnap.
28640	33760	The thought that we introduced frameworks, linguistic frameworks ultimately, but I think
33760	38760	we could also refer to them as conceptual frameworks if that didn't in some sense make
38760	42960	a question that Karnap is interested in avoiding.
42960	47480	But in that case, we talked about some of these last time, and we focused on the distinction
47480	54960	between logic, mathematics, and then natural science, state physics.
54960	57920	We're going to talk about other frameworks today too.
57920	61920	But let's start with that distinction.
61920	65880	Quoting thinks it's tempting with respect to the first two.
65880	70080	When he sees the logical empiricism by Karnap as in general saying about the first two,
70080	72240	these things are true by conventional.
72240	77440	We adopt certain linguistic conventions, and things in logic and mathematics are true.
77440	81920	By virtue of the meanings of the terms, those meanings are determined by those conventions.
82360	85960	Physics is something that isn't a question of convention, that's something that's actually
85960	88360	talking about the real world.
88360	96840	Well, as I see it, Quine is basically saying, with respect to this idea of truth by convention,
96840	101200	that it makes sense only for one of these three.
101200	110200	Which one could we legitimately argue about, whether or not that thing is true by convention?
110480	111480	Logic?
111480	114280	Well, you'd think logic.
114280	118280	That is what, in a sense, quite a card game, Karnap, we're arguing about, except that
118280	122400	actually there, Quine disagrees with Karnap and thinks that the question is ultimately
122400	123400	unintelligible.
123400	127000	It's not so much that he thinks, oh, Karnap thinks it is true by convention.
127000	128000	I think it's not.
128000	130360	And there's a well-defined question we can debate.
130360	135400	He thinks, he says, look, my objection here isn't so much to question the truth of this
135400	136400	point as it's set.
136400	137400	Yeah.
137400	138400	I would say physics.
138600	145600	Physics, there, we might argue, somebody might say there's certain conventions that are established
145600	146600	in physics.
146600	150880	Others might say, oh, it's purely an empirical question.
150880	155280	Actually as we'll see there, too, Quine thinks there's a huge amount of arbitrarians.
155280	159240	And so that it's not clear that there's any real sense to the question of whether anything
159240	160880	in physics is true by convention.
160880	164000	Well, that leaves only one more possibility, right?
164000	165000	Math.
165000	170080	And there he thinks it is actually a legitimate question whether this is true by convention.
170080	172520	Now why is there that difference?
