start	end	text
0	6000	It's very hard to talk about what I want to talk about today without any logic.
6000	10000	So we're going to have to actually introduce a little bit of logical terminology.
10000	12000	We've been using it to some extent.
12000	18000	And sometimes I think the best way to actually be introduced to logic as a philosopher is really just to see it appear
18000	23000	and start picking it up as a word without formal introduction.
23000	27000	I remember telling my advisors and undergraduates that I was interested in logic.
27000	29000	I thought I should take a course in logic.
29000	31000	And he said, don't do it. A complete waste of time.
31000	33000	If you can think or you can't.
33000	35000	If you can already think, you don't need logic.
35000	39000	And if you can't think, logic isn't going to help you.
39000	46000	However, it seems to me that actually logic can help you a lot in thinking about certain philosophical issues.
46000	50000	And so today we're going to have to actually encounter a little bit of logic
50000	54000	because Quine introduces in this paper that we're going to be discussing today
54000	58000	his famous thought that to be is to be a value of a variable.
58000	61000	And at first glance, that sounds absurd, right?
61000	65000	And so you have to think, well, what does he mean to be a value of a variable?
65000	66000	What is a variable anyway?
66000	68000	And how does it function in a logical system?
68000	73000	And so we're going to be led very quickly from questions about metaphysics to questions about logic.
73000	76000	And there's no avoiding that in a sense.
76000	79000	So I'm not going to do it in a very formal way,
79000	83000	in a way that I would do it if I were introducing logic as logic.
83000	87000	But nevertheless, we're going to have to actually confront that at certain points.
87000	93000	So this paper itself, as I found out over the weekend, is really hard to track down.
93000	100000	It was slated to appear in volume 9 of Her Ketnes, a journal of unified science in 1939.
100000	106000	Due to the outbreak of World War II, they moved the operations of the journal to Holland
106000	108000	and then the Nazis invaded Holland.
108000	111000	And so this journal issue never appeared.
111000	116000	Hence when I said, well, yes, I forgot to scan it in from the book and it's not in quintessence.
116000	118000	But hey, no problem.
118000	120000	I'm sure I can find a copy online.
120000	125000	It turned out to be impossible to do that because, well, it never appeared.
125000	131000	So even though it became a famous paper in this formulation that to be is to be a value of a variable,
131000	133000	it became a very famous idea.
133000	137000	It turns out that the paper in which it was actually articulated was not published
137000	141000	until 1966 when this collection of essays came out.
141000	144000	It was circulated more informally before that.
144000	150000	So let's start by taking a look at what Klein says here.
150000	152000	As you can see, this is a well-loved book.
152000	155000	The cover came off years ago.
155000	158000	I won't defile it with tapes of tape that can't go on.
158000	160000	So I just keep carefully in place.
160000	163000	Anyway, what does it mean to ask?
163000	167000	For example, whether there is such an entity as roundness?
167000	173000	Well, we've got here thrown out a major ontological, a major metaphysical question from the medieval era,
173000	181000	at least whether we ought to recognize as components of the world things like roundness.
181000	186000	Well, we can't even go back before the medieval era to Plato and think,
186000	188000	what is the ontological status of the forms?
188000	191000	Do the forms have some separate existence,
191000	196000	apart from the objects that might exemplify them or might participate in them?
196000	198000	So we can ask about roundness.
198000	200000	When we think about the ultimate constituents of the world,
200000	202000	what do we do with roundness?
202000	205000	Is that one of the things that these Russell's phrase would have to count
205000	208000	as part of the furniture of the world?
208000	210000	Well, before we go into the question in some detail
210000	213000	and what Klein would have to say about it,
213000	215000	let's think about that question all by itself.
215000	221000	First glance, just intuitively, if I ask you what's in this room,
221000	227000	would you say, among the various things you might say, roundness?
227000	228000	No.
228000	229000	Okay, no.
229000	230000	Klein agrees.
230000	232000	It's like, yeah, I would start saying,
232000	236000	well, it's actually puzzling, there are two trash cans by the door.
