start	end	text
0	3800	I don't even know where to begin with this episode.
3800	5680	The following guest, Dr. Hillman,
5680	8800	has a master's degree in bacteriology,
8800	10160	a master's degree in classics,
10160	12680	as well as a PhD in classics,
12680	15880	until he was eventually investigated
15880	18600	by the Catholic Church for demon possession,
18600	22120	which led to him being ejected by his university.
22120	24680	Now, although I did read his book,
24680	26920	The Chemical Muse, before we recorded this podcast,
26920	29520	it quickly became clear that I was not prepared
29520	30440	for what was coming.
32000	34160	And I'm still trying to process this conversation
34160	35800	weeks after we recorded it.
35800	38360	Due to the provocative and unsettling nature
38360	39320	of this episode,
39320	43120	it has been heavily censored with parts redacted.
43120	45800	However, we posted the full uncensored version
45800	48480	in its entirety on Patreon if you want it.
48480	50680	You better buckle up, folks.
50680	53040	Please hammer that subscribe button below
53040	54120	and enjoy the show.
54120	59120	All right, Mr. Ommon Hillman,
63720	68720	you are a quite the controversial figure
68760	73760	when it comes to religion, classics, ancient texts.
74360	77280	You're a linguist, you're a classicist.
77280	81080	What is your official title?
82320	83840	Hail Satan, Danny.
84360	86520	It's nice to be here, by the way.
86520	87680	Thank you so much for your invitation.
87680	89160	Are you a Satanist?
89160	90640	Am I a Satanist?
90640	92720	Oh, God.
92720	95040	Those people bother me so much.
95040	97840	No, I can't be a Satanist, I'm sorry.
97840	99000	They bother you.
99000	100640	What bothers you about them?
100640	103160	The whole religious side of things.
104480	106080	Yeah, no, no, no.
106080	107080	What am I?
107080	108840	Well, you are a religious scholar, right?
108840	110680	No, I'm a classicist.
110680	113960	Religious scholars, no, we eat those for breakfast.
114360	116800	No, no, I'm a classicist.
116800	118280	What I do is...
118280	119200	What is a classicist?
119200	122960	It's somebody who is a specialist
122960	126240	in the translation of ancient Greek.
126240	127880	Some people do Latin, too,
127880	132480	but Latin was for hot dwelling Romans, you know what I mean?
132480	135640	It's just not to the level that the Greek is.
137000	140600	The unique word, can alone, is off the chart for Greek.
140600	145600	It is a superior language, devoured languages in antiquity.
145680	147920	It just ate them up, boom, boom.
147920	152920	And this is normal in any language over time.
153320	155560	Any language over time, right?
155560	157680	Some become strong and they become dominant,
157680	159520	others die out.
159520	162080	The Greek was the behemoth.
162080	164360	It was the dragon of antiquity.
164360	166240	Modern Greek is nothing like it.
166240	168960	How long have you been studying and reading
168960	170200	and translating Greek?
171040	174280	For 30 years now, for 30 years now.
174280	179280	And every classicist knows it's our honor and duty
180840	185840	to guard the muse and to keep those ancient documents
187280	191360	within the flow, within time itself.
191360	193440	So we're dragons, man.
193440	195360	That's what classicists were there.
195360	198160	Unfortunately, most classicists today,
199160	204160	they're focused on things that are more to build careers
204920	206800	and garbage, essentially.
206800	210160	So a lot of texts, a lot of these ancient texts
210160	213360	that we've got, they aren't translated even.
213360	217440	I've got an entire book that I brought to show to you
217440	221360	that is from the 1800s, it's Galen.
221360	223400	And these things are untranslated.
223400	224320	It's all in Greek.
224320	227160	I have the physical copies sitting in my bag.
227880	231040	So what pushed you in the direction
231040	233240	to be interested in this stuff?
233240	236360	Did you have a religious childhood
236360	238080	or a religious upbringing?
238080	240840	Or what got you into this?
240840	243360	Jesus got me into this.
243360	244680	Yeah, I actually-
244680	246080	When you were how old?
246080	248480	Oh, God, when I was like 13.
248480	249320	When you were 13.
249320	250160	Yeah, no.
250160	251280	So you were religious when you were a child.
251280	253320	Oh, yes, I was born again.
253320	254760	Love Jesus Christ.
254760	256080	Oh, Jesus.
256080	257880	Yeah, yeah.
257880	259480	I used to teach you to mission.
259480	260320	Are you kidding me?
260320	262080	I used to convert people.
262080	265840	I used to have mostly drunks, mostly drunks.
265840	268480	And I don't know, we were like a place for them to go
268480	272880	and to sober up, but they had to listen to my crap.
272880	273720	Oh, excuse me.
273720	278440	They had to listen to my sermon in order to get that meal.
278440	280440	Cause that's how we spread, brother.
280440	281800	Do you understand?
282320	284680	I converted souls into mission.
286160	290560	You converted souls to Christianity when you were 13?
290560	294560	No, I started doing that when I was like 17.
296760	297960	When you were 17.
297960	299200	Yeah.
299200	300880	I was teaching Sunday school class too,
300880	303040	cause their Sunday school teachers sucked.
305040	305880	Really?
305880	306720	Yeah.
306720	310200	How does a 17 year old get to start teaching Sunday school?
310200	312440	Did your parents get you into this stuff?
312440	314680	Oh, of course, you know, you know,
314680	317520	through the family and through some very intelligent teachers
317520	320160	like Dr. J. Vernon McKee.
320160	324240	Oh God, beloved Dallas theologian.
324240	325080	You know what I mean?
325080	326560	Dallas Theological Seminary.
326560	328560	I went there for three months
328560	331120	and their Greek program was so bad.
331120	333400	I said, I went to the president of the university.
333400	336160	I said, hey, it's not up to stuff.
336160	338440	His name was Walbert, John Walbert.
338440	341960	I said, your program isn't up to snuff.
341960	346200	What's the, your Greek program is terrible, right?
346200	350640	So I went on to university to get a PhD and...
350640	353160	So going back to the early childhood stuff.
353160	354000	Yeah.
354000	355160	When you were in your teens,
355160	357240	you said you were teaching Sunday school.
357240	358080	Yeah.
359320	362480	What particularly were you teaching
362480	364920	and was there some point in your life
364920	367120	that led you to question?
368560	371480	The teachings of the Bible
371480	373040	and the teachings of the church
373040	375160	and everything you knew when you were young?
376760	379680	I got there through Aristotle.
379680	381080	So I saw, here's what happened.
381080	384280	I saw how bad the standards were
384280	387680	on the Christian side for ancient Greek.
389200	393000	And I said, I've got to follow a track
393000	396080	to be able to get there.
396080	399560	And it went through the sciences.
399560	401040	It went through the sciences.
402200	405320	And I think what happened was
405320	407560	when I was 21, I just cracked.
407560	409800	I was reading Aristotle.
409800	414800	And the pure, unadulterated glory of his reason.
415640	417720	And you're talking about Greek, you're reading Greek?
417720	418560	Yeah.
418560	419400	What?
419400	420240	Yeah.
420240	422280	So how did you learn Greek at 21?
423280	427680	Because I went to a special high school, first of all.
427680	428520	Okay.
428520	431600	Shout out to the people from special projects.
431600	433480	Special projects?
433480	435640	That was its first name.
435640	440160	Everybody, you had a test to get into it, right?
440160	441320	Uh-huh.
441320	445880	Everybody that I was around is somehow involved
445880	450880	in military, government, stuff like that.
451040	455720	We won the chess championship two years in a row.
455720	457800	National chess championship, right?
457800	459800	Bunch of nerds, right?
459800	460920	Total nerds.
461840	466840	So I knew I would be going to learn about Jesus
467440	470360	at a seminary someday, because that was my bent.
470360	472200	I saved people, you know?
473400	474840	And you said when you were saving people,
474840	477320	you were saving alcoholics, drunks, rather?
477320	479280	They were the easy peckins.
480120	480960	So what did they do?
480960	481800	They just came to you?
481800	483120	They said, my life is terrible?
483120	484240	No, it's a mission.
484240	486440	So they check in for the evening.
486440	488960	They're gonna sit and listen to us preach.
488960	490280	Then they give them dinner.
490280	492000	They're mostly there to get fed, you know?
492000	492960	Right.
492960	495240	You know, charity, so to speak.
495240	498760	But I was the one who was saving souls.
498760	501200	That was my thing.
501200	502160	It was delicious.
502160	503800	Have you never saved a soul?
505640	506720	Probably not, no.
506720	507720	No?
507720	509200	Oh, you should try.
509480	510320	Well, I'll have to learn.
510320	511160	It's yummy.
512280	516240	Okay, so you're doing this in your early teens,
516240	519880	saving souls in a mission, it's called a mission.
519880	521320	Okay.
521320	524080	And then you decide in your early 20s,
524080	527840	you're gonna learn Greek at the high school you're at.
527840	530720	No, I started, that was my high school.
530720	533720	Right after that, I went to the University of Arizona.
533720	534560	Okay.
534560	537400	And started their classics program there.
537400	541840	And I went through in three years and ate it up
541840	544200	and went to Tel Megiddo at the time
544200	546880	and did a dig at Tel Megiddo in Israel.
547840	550600	So, okay, so you said you did a classics program
550600	551820	at the University of Arizona.
551820	556000	When you first went into that program in college,
556000	558920	what was your goal?
