start	end	text
0	12000	Hello, everybody. Welcome.
12000	25000	It is, perhaps May 3rd. Time has been a little strange for me lately because I've been laid up.
25000	38000	After having a salad a couple days ago, my body freaked out.
38000	45000	So I've mostly been in bed and doing a whole bunch of sweating.
45000	56000	I'm not sure what I have in mind to share today. There's no organized colloquium,
56000	73000	but it's been a little while since I made a recording, so I thought I'd have a go at it and just see where it goes.
73000	88000	You know, a lot of our experience is structured by a broad array of expectations that are instilled in us
88000	94000	by the cultures we grew up in and the places where we live.
94000	103000	And we should be willing to imagine that what it would mean to be human would be radically different
103000	113000	if we were growing up in a different context.
113000	127000	Oh, yes. The calla lilies and their predilection to attract, at least around here, crab spiders, which I love.
127000	135000	They're really awesome. There's a male. You can see a male in this one.
135000	140000	I was speaking with a friend and she was talking about her daughter's education in Italy
140000	147000	and how radically different it is from what would happen to her here.
147000	155000	And notice I say happen to her because there's a huge difference between being subjected to something
155000	160000	that effectively ruins your mind and perhaps your heart
160000	181000	and being drawn into a rich developmental conversation that nourishes and supports your development.
181000	188000	When she brought her daughter to Italy, the educational system there, they were doing things
188000	198000	when she was 10 and 11 that we wouldn't do here, if ever, until college.
198000	215000	And I've heard this story so many times, so many times before.
215000	224000	Although it's possible to acquire a well-rounded and rich education in the United States,
224000	233000	it's profoundly difficult, add or expensive.
233000	245000	And if there's one thing I want to be absolutely clear about, it's that in nations as sophisticated and wealthy as ours,
245000	250000	there are at least two things for which there should be no charge whatsoever,
250000	254000	and those are education and healthcare.
254000	260000	If we can afford $23 trillion to support the military,
260000	265000	we could take one of those trillions and educate our people and their children.
265000	275000	And we could take another of those trillions and give them healthcare that was actually profound, advanced,
275000	283000	sophisticated, and effective.
283000	291000	In any country where healthcare is a business, you have a fundamental conflict of interest,
291000	297000	and the same is true of education.
297000	302000	If people want to argue, like, we should all pull ourselves up by our own bootstraps,
302000	307000	my argument is go make a country where you do that and leave us alone.
307000	314000	Just get the hell out of here.
314000	322000	I remember I often have complex conversations with cabbies.
322000	329000	Cab drivers are a particularly interesting kind of human,
329000	341000	and I would argue that they were much more interesting before the advent of GPS and electronic navigation,
341000	347000	because they had to have a map.
347000	352000	Their minds were maps.
352000	357000	And I had a couple of close friends who were cabbies in the 90s.
357000	360000	One of them was a poet. I wonder if I can recall his name.
360000	363000	It's been so long since I thought of him.
363000	369000	But what a brilliant and sensitive human being he was.
369000	374000	Ken Wainio was his name.
374000	383000	And I think I published one of his stories in my magazine, Cyanosis.
383000	391000	Oh, by the way, if any of you want a copy of that magazine, you can make a comment,
391000	399000	and you can have a copy for about ten bucks.
399000	410000	It's more of a book. It's a large book rather than a magazine.
410000	422000	In the 90s, I was publishing this art and literary journal because I saw the Republicans going after arts and education
422000	435000	with the obvious agenda of creating a situation where the general American populace
435000	443000	was ignorant enough to just be directly manipulable by propaganda,
443000	459000	which you can see is an agenda which has largely, if not completely, succeeded a very short time later.
459000	461000	Tragically.
461000	475000	But I remember not too long ago, I was in a cab with a driver from Pakistan,
475000	481000	and he was talking about their educational system and the education that he received there,
481000	488000	and what happened when he came to the United States in an attempt to continue it.
488000	502000	And basically, when he was like ten, eight, nine, ten, they were teaching the children advanced calculus, right?
502000	511000	Or was here, and when he came here, he had to go through some of the, you know,
511000	521000	in order to get a degree, he had to go through some of the American education stuff for which he had no records in the U.S.
521000	533000	And the education that he received at eight, nine, or ten in Pakistan was superior to the understanding of the teacher
533000	546000	at the college he was going to here to the degree that he was constantly correcting the teacher.
546000	553000	You know, I myself left school when I was twelve,
553000	560000	and I recall a situation last week where,
569000	574000	you know, I was on Facebook, unfortunately, probably for everyone,
574000	584000	and there was a picture meme of some guy, and it said something to the effect of,
584000	593000	you know, we've gone from teaching Latin and Greek in high school to teaching remedial English in college,
593000	610000	and some para-feministic females were yelling about the fact that, you know,
610000	615000	this guy was some kind of right-wing idiot, and we shouldn't listen to him.
616000	627000	And I said, you know, I don't think it's a good idea to dismiss the truth based on your evaluation of someone's character.
627000	637000	That's a formal example of the ad hominem rhetorical fallacy, which is to fail to address the subject,
638000	644000	and to instead concern yourself with character assault.
644000	654000	And a number of women, some of them quite intelligent, piled onto my comment and just started telling me what an idiot I am
654000	658000	and how the ad hominem fallacy doesn't even matter.
658000	661000	It's not really a thing.
661000	669000	And I was like, yeah, if we're going to start dismissing knowledge and truth based on the character of someone who says something,
669000	676000	you can, like, it's the end of rational intelligence. It's over with.
676000	685000	You know, it's not untrue that they were, you know, making accusations of patriarchy and colonialism and blah blah.
685000	694000	You know, the general, the common left-wing, these days largely bullshit arguments.
694000	700000	And what I mean by bullshit is it's not bullshit that there's been patriarchy.
700000	702000	It's not bullshit that that's caused harm.
702000	706000	It's not bullshit that there's been colonialism all over the place
706000	716000	and the catastrophic devastation of cultures and peoples and women and children and men and all these things.
716000	718000	All of that's true.
721000	730000	But it's possible to weaponize this concern into something that makes us dumber every time we make a move.
730000	733000	And that's what I mean by bullshit.
734000	739000	The weaponization of the possibility of virtue.
739000	748000	We should be very cautious about prosecutorial historicity.
748000	755000	Because once we become very concerned with prosecution and indictment,
756000	765000	most of our intelligence is going to be subject to the costs of those behaviors.
765000	769000	And those costs are not sustainable.
769000	775000	You have to be really careful with what you do with a mind and what you choose to do with it.
777000	782000	Suspicion, indictment, prosecution.
782000	786000	They maybe have their place in certain circumstances,
786000	791000	but if that becomes the primary intellectual agenda, it's over for human intelligence.
791000	805000	Like that whole prospect of insight or intelligence collapses into war mind, righteous indignation.
805000	816000	I was very surprised to see a couple of women who were clearly quite articulate and intelligent and well-read
816000	825000	dismissing the ad hominem argument that I made, which was not only valid,
825000	829000	you know, apparently there's no such thing as facts anymore.
829000	832000	And I get the whole idea that facts are relative.
832000	835000	I'm a fucking, I study semantics.
835000	837000	I'm not an idiot.
837000	844000	In fact, I realized that facts are relative a long time ago, more than 20 years ago.
844000	851000	But there are domains in which we must rely on,
