start	end	text
0	1760	Hello, everybody. Welcome.
4880	9200	I'm going to just straight up. I don't usually go in for this kind of thing.
10160	12080	But I'm going to straight up.
15440	21200	I'm going to warn you that the topics I'm about to explore here
21280	31760	are so profoundly controversial, so provocative,
34880	43520	that if you're not up for some serious provocation,
46240	47360	feel free to turn aside.
48320	53040	And I know my audience well enough to know that that will have no effect on nearly all of you.
54240	56320	But for those people who haven't listened to me before,
56320	59440	and I'm also going to say that I'm going to be holding back.
60720	67840	In fact, that's normally what I do, because if I were to talk openly about what I have seen
67920	70240	and come to know as a human being,
73680	81760	yeah, people would not probably, it would not be allowed for one thing. I would be shut down
81760	89680	very quickly. And, you know, other collectives or whatever might actually hunt me down.
90640	94960	I don't talk about what I've seen and what I've known, what I've come to know.
95760	101760	I talk about the wrapping paper around the surface of that stuff that I can get away with
101760	111040	speaking about in public. Even in private, if there's even such a thing anymore,
111760	127840	I would be extremely hesitant to delve directly into the incredibly shocking implications
129840	138320	of what I've been shown by non-human intelligences that are not demonic. I'm pretty damn sure.
139280	143440	What I've seen and what I've experienced and what I've come to understand in my own
144160	149120	walk as a human being, and as not merely human being.
152320	160000	So, over the past couple weeks, I've been listening to Amon Hillman.
160400	172560	And, you know, I would argue that Amon himself doesn't understand what he has clearly discovered
174080	181920	in ancient texts about religion, magic, and knowledge.
182080	192880	I was listening to him today talk on a podcast, I think it's number 63, interesting number,
195280	207840	of The Sacred Speaks. And, he's talking about before the stories of Odysseus and Achilles
207840	213520	and so forth, there was a woman named Medea, who is essentially the origin of magic.
214800	223600	And, the origin of magic has to do with a mixture of basically, okay, this is going to go way out
223600	231920	there, people, but get ready for this. So, the idea of Christos is a medicine that is put in
231920	239840	people's eyes. It's not Jesus, and whatever Jesus might have been up to, it's probably
239840	243680	nothing like what we are trained to think, if Jesus actually existed.
246720	251200	And, in fact, most people will literally go out of their minds and say,
252160	257200	if they even try to understand some of the things that Amon
259360	266480	is saying exist in the primary sources, what does he mean by this? He said, you know,
266480	271200	I had a great advisor in my early education, this guy has a PhD in classicism,
272160	278320	he reads Greek like pretty much no one on earth can. There might be a few people that are close
278320	289440	to his skill level, from what I understand. I'm going to wait till this monstrosity ceases its
290240	297760	overhead, fundamental disturbance of all beings.
298080	309120	You know, in antiquity, if something like a helicopter went over and just disturbed everything,
309120	313920	people would think that was a God, because how could you have such universal effect? You'd have
313920	320160	to be a mountain or, you know, thunder or something like, there's no way, how could you project such
320160	326800	incredibly generalized and universal effect from on high, if you weren't a God.
328080	331840	And this is part of why I say that the humans essentially invent demons,
332640	336160	and they think these are conveniences or powerful.
336160	355040	Yeah, here it comes again, maybe, utterly disturbing.
360480	364560	They don't understand that the dog is disturbed by the helicopter, but it is.
366880	369920	Their dogs just stopped moving when the helicopter flew over.
370720	374720	And it's the same principle I was trying to explain, and I'll bet now that it's, yep,
374720	380160	now that it's gone, the dog is totally fine. And the humans were confused, they couldn't
380160	384640	figure out what was frightening the dog, even though something in the sky was dominating
384640	394640	everything around it universally. And the dog naturally felt unsafe to move. It would not move,
394640	403280	they tried to drag it, it wouldn't move. And let me be really clear, what I'm talking about right
403280	410480	now, and much of what I talk about, is forbidden knowledge. You're not supposed to be able to
410480	419440	know these things. And this is part of what Amon Hillman's game is, except that Amon himself
420080	427520	doesn't actually understand, I think. If he does, he gives little evidence of it,
430960	439840	because he presents his perspective as opposed to what he has learned about the ancients,
439840	449360	the topics of magic, medicine, visionary experience, the non-ordinary, all of these things.
450480	458880	This man has seen a universe that moderns know nothing of, and it has blown his mind.
459600	468320	You know, what he actually said was, I thought, kind of hilarious. He wrote a dissertation
470320	484400	on what was going on in Roman Athens. And, oh my god, the poor. Every naive human is subject
484400	488800	at some point to this kind of catastrophe. I'm going to get back to the whole thing I was talking
488800	497760	about with Medea. Yeah, this is going to go way, way into outer space. So,
500880	506400	he wrote a dissertation, and his advisor said, he wants you to remove all references
507200	516720	to anything that we could imagine to meet recreational drug use by the ancients,
517680	522720	which was probably, you know, I don't know, wild guess here, 70% of the material,
523840	529440	except that they didn't have the idea of recreation related to drugs at all. It was
530160	536640	it was pharmacopia, right, was the use of poisons. You need to understand this, this pharma,
537280	547440	it doesn't mean medicine in the way we imagine. It means the titration of poisons.
548800	555920	And there are two primary sources of poison, maybe three, if the human body is the third.
556880	566160	The first is plants. The second is animals. The third is humans, and the fourth is
569040	575600	just take those first three and put a make a concentric rings around them, and then take that
575600	581840	and put a plus symbol next to it. It's that plus. It's anything that's beyond those first three.
581840	593280	And the whole history of medicine is the titration of poisons, right, meaning the dosage,
594000	601280	and not just the curing, not the idea of curing, but actually of rebalancing,
602560	609360	right, of rebalancing the body. So what the ancients were doing in many cases is,
609600	619040	you know, something incredible to our minds. They are going to the edge of death while embodied.
619680	628080	They die, and then they are resurrected from this state by the administration of an antidote.
628320	636400	Do these people actually not even know that I exist? It's so funny.
640480	646080	Some moderns, particularly younger people, they have no concept of personal space.
647360	652400	They'll walk right within, you know, like a half an inch of my body as if I'm not even there.
653280	657360	And not just when they're looking at their phones, but I want to be really clear about something.
657360	662800	Anyone who is walking around in the world with a phone in their hand is disoriented.
662800	667360	And if they're looking at that phone, they are completely disoriented. They might as well be
667360	673840	unconscious. Okay, no, it's not possible to pay attention to their environment or their body
673840	680160	or anything when they're looking at that phone. That thing is an energetic and attentional black hole.
682560	687040	And people say, well, I've seen you, you know, walking. Yes, how do you think I figured it out?
687840	693920	I had to first resist what they did for many years and then eventually give in and try it myself.
694880	703120	It's terrifyingly dissociative. You might as well just take like a shot of ketamine right to the brain.
704240	709440	It's totally dissociative, except it's worse because at least with the ketamine, you might have
709440	714000	something like a dream or a vision, but with the phone, you just have game empty.
717280	725600	It's like a cartoon where your brain just starts producing square waves like a synthesizer with
725600	736080	a bad LFO or something. Yeah, a bad oscillator is just nothing in there. The whole brain activity
736080	745440	goes to poop, zip-o, this is nothing. Or it goes to like the opposite of anything resembling
745440	756240	attentional or relational coherence. In any case, all right, so the thing with Ammon is that he,
756400	763440	he, okay, I'll put this, people have the wrong idea about him. They think he's,
766320	774000	they think he's demonic, right? And weird things happen all around him very regularly,
774800	784000	which that is not surprising at all. Also, if you look at the guy, he's basically like a walking
784000	791840	psychedelic. So that's a third problem, right, is that ordinary people are going to freak out
791840	796480	in his presence for nine different kinds of reasons that he himself probably can't even
796480	803840	understand. He probably thinks there's some. I mean, I think he has an idea about it.
806240	809840	I don't know what those ideas are. Perhaps I may reach out to this guy and see.
809840	815520	Okay, what the hell is going on here?
818480	823200	The geese are gathered. There's a bunch of feathers on the ground. Have they pulled them out themselves?
827680	828720	This is so weird.
831760	836080	That's a huge lot of feathers, but there's no blood on them, which implies that
836080	841840	the geese pulled the feathers themselves in their preening behavior, which they're doing very
843680	845120	attentively at the moment.
