start	end	text
0	10200	Hello everybody. Welcome. I have just
10200	15160	reattached my wind buffer to my wired
15160	22560	Apple headset, microphones, or
22560	27240	microphone. It's not particularly windy,
27240	30880	but I'm sort of pleased with the simple
30880	34120	solution of wrapping a cotton ball
34120	41360	around the mic and securing it with a
41360	44440	... there's probably a formal name for
44440	48120	these objects, but a bread wire. Right?
48120	63760	Those little wires that sometimes close
63760	70680	the bread package. Hmm. A lot of contrails
70680	77400	in the sky today. I suppose there are
77400	80220	people who suspect that every time they
80220	85480	see a contrail, they're seeing what
85480	93240	chemtrails. Pretty sure most of those
93240	96720	contrails are just vapor caused by vapor.
96720	102600	The engines heat the air, makes a vapor
102600	107200	trail. There might be occasionally, and
107200	111440	some places, some things that aren't
111440	116560	contrails, but I strongly suspect that
116560	118960	people who spent their lives watching
118960	124400	aircraft and contrails would alert us.
124400	130880	I know this is a very controversial
130880	134640	topic that borders on the conspiratorial
134640	139200	but there are other strange problems
139200	145920	like, I guess, maybe my objection isn't as
145920	147440	strong as I once thought. This often
147440	149280	turns out to be the case, but one of my
149280	152840	simple objections was if somebody's
152840	154600	spreading some kind of chemistry in the
154600	157480	atmosphere itself and they're doing that
157480	159200	on purpose, it's going to affect them
159200	160640	and their children and their children's
160640	163200	children and so forth. I suppose it could
163280	165800	be that they don't have any children and
165800	168480	they don't care. This is strange. This is
168480	172400	the second bit of a carcass that I've
172400	176520	seen today and it's interesting because
176520	178920	I almost never see bits of carcass and I
178920	181440	walk here every day. Is it just that
181440	184520	today I'm noticing what I don't notice?
184520	189080	Or is today a bit of carcass day? I just
189080	191960	don't know. They're rather disgusting.
191960	197560	Little chunks of fleshy, bloody, gristle
197560	202920	and fur and things. Certainly
202920	209640	unappetizing. I don't necessarily have
209640	215040	a plan for this talk today. We'll see
215040	218240	where it goes. I was thinking about
218400	224200	some things. Various kinds of magical
224200	231320	intent. The transactional kind where you
231320	237160	trade something often or sometimes this
237160	239600	is apparently whatever is referred to
239600	244640	by one's soul for some boon or benefit
244640	247280	in the short term. It seems like a
247280	250200	wildly stupid idea to me. Hopefully I
250200	252160	haven't accidentally done that myself.
252160	264320	And the kind where you employ. Wow, what is that sound?
264320	271760	Oh, it's a bird. Oh, it's a baby bird. It's a
271760	278120	feed me sound. Oh, okay. There are two
278120	284040	fundamental principles of something
284040	288720	resembling our idea of magic, which
288720	293840	let's face it. It's get or accomplish
293840	297240	something without physically having to
297240	301200	do the thing or, you know, chase the
301200	305400	thing or something. Something like this.
306960	316760	So in traditional Blackfoot knowledge,
317960	321280	the language is problematical because
321280	325520	what magic means in English is a broad
325520	329280	array of things. Or actually, magic doesn't
329280	332280	mean anything in any language. It's just
332280	335440	a word. What actually happens with words
335440	338040	is that we use them to mean things to
338040	340720	each other in actual conversations,
340720	345320	unless we're not having conversations
345320	349560	and we're just saying things. And this
349560	351560	becomes very confusing very quickly
351560	356080	because then the presumption that words
356080	361040	have meanings begins to pervade. We have
361040	364360	to interpret the gap. What gap? The gap of
364360	367920	no relationship, no no pre-existing
367920	371560	context, random context, and so forth.
371560	375520	There are ways in which that situation
375520	378920	can become useful for us, but only if we
378920	381720	deal with it very insightfully,
382000	384720	intelligently.
387280	390800	And what do I mean? I mean,
394400	399800	the randomization of language is a kind
399800	403200	of a paramagical substrate.
404200	408400	What am I trying to mean by magic? Well,
408400	412080	I'm not trying to mean illusionist's
412080	416680	tricks. Fascinating though they are.
416680	422200	And I'm not trying to mean the mere
422200	425920	manipulation of the vulnerabilities
425920	429920	in human thought and consciousness.
432480	437720	I'm trying to mean something more like
437720	441560	perhaps what people usually very naively
441560	445120	mean with the word manifesting.
445120	449200	An idea that I fundamentally mistrust,
449200	451920	or maybe it's just the language that I mistrust,
451920	455960	or maybe I'm ill-informed, which isn't
455960	460680	as rare as I might like to be.
460680	465160	Yes, I'm not, as my listeners know,
465160	470800	a big fan of the secret, or the various cults
470800	474920	that derive their central premises
474920	478040	from such ideas.
478040	484360	At the same time, there is something to
484360	488360	a kind of envisioning or dreaming of the future
488360	491160	that is very powerful.
492160	497160	The question is, is it as trivially silly?
497160	501160	Like what happens when you make that idea
501160	506160	explicit is one of the questions. Because
510160	514160	there's a fundamental difference
514160	518160	between peripheral vision and foveal vision.
518160	523160	Between explicit identity
523160	528160	and potential identities.
528160	533160	And in that blur, there's something transcendentally
533160	536160	momentous and powerful.
536160	541160	But if we make the blur explicit,
541160	545160	irony often results.
545160	549160	Meaning direct contradiction with
549160	555160	stated purposes, goals, hopes, desires, intentions,
555160	559160	cautions, and so forth.
559160	564160	And so perhaps what actually bothers me about
564160	569160	the manifesting cults is that they're taking something
569160	574160	that I suspect properly belongs to the peripheral
574160	578160	and making it foveal.
578160	582160	Your foveal vision is the center vision.
582160	586160	It's what you use when you look at something.
586160	590160	It's your peripherals what you use when you spread your gaze
590160	594160	and take in the whole.
594160	598160	And as some of you know, that if you gaze at the night sky
598160	603160	when you look at stars you can see the stars visible to your foveal vision.
604160	608160	When you look toward them,
611160	615160	I'm getting a little wet there.
615160	619160	If you spread your gaze you will see stars
619160	624160	that will literally disappear if you look at them.
624160	628160	And this is kind of what my concern is
628160	633160	as well as a sort of ideological trivialization
633160	638160	of destiny, dreaming, visioneering.
645160	648160	Yes, yes, yes.
648160	652160	Ascent of the herbs. Beautiful.
652160	657160	So yeah I'm getting somewhere near
657160	661160	what sticks in my craw.
661160	665160	And the weird thing about this problem for me
665160	669160	is that by explicitly pointing
669160	673160	at what sticks in my craw,
673160	677160	this is part of the problem with thinking and part of the problem with language.
677160	681160	Once I think I have a sense of what might be going on
681160	685160	I tend to become kind of clingy about that.
685160	689160	And in that clinginess,
689160	693160	well, you know, it's not always
693160	697160	conflicted but it's often produces
697160	701160	significant conflict.
701160	705160	Sage flower, scent, yum.
709160	713160	In Blackfoot the two principles are
713160	717160	similitude and contagion.
717160	721160	And they mix together, they mate, they bond,
721160	725160	they form very powerful abilities
725160	729160	you might call them, as well as faculties.
737160	741160	I'm not going to lecture about that today.
743160	747160	These two principles are also
747160	751160	found in other magical traditions
751160	755160	such as
755160	759160	voodoo, hoodoo,
759160	763160	various
763160	767160	witching ways.
773160	777160	And perhaps also
777160	781160	shamanism. Resemblance
781160	785160	is a way to understand similitude.
785160	789160	And similitude is a very sophisticated word
789160	793160	that my friend Ryan First Diver uses.
793160	797160	Contagion is fairly obvious.
803160	807160	In a way,
807160	811160	to refer to something
811160	815160	directly in consciousness
815160	819160	can often be a bit of a trap for us.
819160	823160	Whereas to suggest it
823160	827160	is much more powerful and in a sense magical
827160	831160	by which I mean transcendentally potent
831160	835160	historically
835160	839160	women, females,
839160	843160	are masters of
843160	847160	indirect communication.
847160	851160	Suggestion,
851160	855160	entranced
855160	859160	which places consciousness into a sort of
859160	863160	a flow state that can then be
863160	867160	directed
879160	883160	or shaped, or both, redirected
883160	887160	so forth.
887160	891160	Yesterday at this spot there was a young woman
891160	895160	sitting on a log up above me
895160	899160	and she was practicing
