start	end	text
0	6000	Great to see you again, Lee. I'm so happy.
6000	10000	Great to see you again, Darren.
10000	13000	I'm really excited. There's so much to cover.
13000	20000	We'll probably, we'll be sort of continuing along the lines that we established in our previous conversation.
20000	21000	Yeah.
21000	26000	And let's see here. So,
26000	33000	sort of where we left off, we were talking a little bit about
33000	37000	how it's possible.
37000	49000	A process that resembles the caterpillar going into a priceless right where, where, where you can sort of liquefy the structure of history and the self.
49000	54000	And then reforge it, maybe without some of the impediments.
54000	55000	Right.
55000	58000	But it was
58000	62000	perhaps carrying historically and struggling with.
62000	63000	Yeah.
63000	66000	And we can return to therapy.
66000	71000	I just want to sort of bookmark that idea.
71000	82000	But there's a, so there's a, there's a span in your story previously that I'd like to revisit, which is the span between your walk.
82000	86000	And when you begin to
86000	89000	enter
89000	104000	the learning process that I think starts with NLP goes to hypnosis goes to mesmerism and then circles back maybe to the walk and the events during it.
104000	105000	Right. Okay.
105000	106000	Yeah.
106000	116000	Okay. So maybe if you can help prompt me, because I'll be coming up with a lot of a lot of things here, which will be quite free form, but
116000	125000	so we spoke about in the previous interview or conversation, I prefer to put it really that we did.
125000	135000	There was the coast to coast walk that I mentioned and the particular section called the like wake walk, which I, which was particularly important.
135000	148000	That's where I had my, what I'll call my Milky Way experience, where I had the experience of connecting the heavens and the earth through my through my physical body.
148000	154000	It was a very visceral experience.
154000	162000	And after this walk, as I mentioned, returning back to London where I was living at the time.
162000	166000	So like I say, this was around 1990.
166000	178000	I ended up having, I was catapulted into a, into a kind of what they would call in the alchemical tradition kind of like a niggerado state.
178000	191000	So I felt a bit a little bit like everything was disintegrating like, like I've been ripped open and my psychic skin was really raw and bare.
191000	201000	I was able to sense everything around me, the vibrations of all of the people around me.
201000	207000	But in an uncomfortable way, when I returned from doing that walk, which was a very joyous experience.
207000	212000	It was, you know, an incredibly joyous experience doing that walk.
212000	218000	Like I say, returning to the city, returning to London at that time, very, very difficult.
218000	229000	The important thing is, is that during, during that time, like I say, it was almost like entering into a type of depressive state.
229000	239000	But it also felt like I had terrible flu. So it was all, it was almost like a physical state as well.
239000	247000	But as I was coming out of this, I started to come out of this, due to a series of dreams that I started to have.
247000	254000	This is where dreams become really important in this whole scenario we're speaking about.
254000	266000	So I started to have lots of dreams and in, in this, in these dreams, I think I touched on this in the previous part, but I didn't go into great detail.
266000	275000	In these dreams, I, there was a specific hill that was in these dreams.
275000	283000	It was very, very characteristic. So it was the kind of thing that stuck in my head and it was a recurring dream as well.
283000	296000	And from the top of the hill, I looked down the hill and there was some cornfields and there was a river flowing through the cornfields.
296000	308000	And I even could see, because of the dreams, because my encounters with a particular figure in these dreams that I found, there was a boat.
308000	320000	And it was on a river. And this river was within the cornfield that I could see down in the sloping valley in the veil seen from this particular hill.
320000	327000	And inside this boat was a goddess-like figure, a feminine figure.
327000	333000	And every time I got into the boat with her, we would go for a ride.
333000	337000	And every night, we would go a little further.
337000	351000	And this ride down the river was going from the vision of the hill, from the view of the hill looking down, the river flowed left to the left.
351000	361000	So I got into the boat with her and every time I woke up, I felt an immense surge of healing energy.
361000	366000	So this dream, I noticed, was beginning to act as a kind of medicine.
366000	370000	It was healing me every single night, every night that I had the dream.
370000	374000	I was looking forwards to actually being back there again.
374000	378000	And sure enough, every now and again, it kept coming back.
378000	382000	And this dream would just heal me a little bit more.
382000	388000	And this is what got me out of whatever it was I was in at the time.
389000	399000	Do you have any impression about, how did you think about the woman, the boat and the river, but particularly the woman about her identity?
399000	403000	Was it a matter of concern to you?
403000	404000	Weirdly no.
404000	417000	I just knew that she represented some kind of divine feminine force, that she was somehow a personification of nature that I was meeting in this boat.
417000	426000	And that's all that really concerned me.
426000	430000	Can you describe her from your recollection?
430000	435000	I mean, maybe she doesn't have a specific appearance, but what do you recall?
435000	438000	Well, I do recall that she had long hair.
438000	441000	I do recall that she had a long dress.
441000	443000	I think it was white.
443000	450000	If I remember, I don't have full recollection of that.
450000	454000	The Dreaming Mind is a wooden rowing boat, I remember that.
454000	464000	Yeah, the Dreaming Mind isn't as concerned with what we might think of as particulars.
464000	471000	But it was a cornfield, that I find significant, the fact that it was a cornfield.
471000	478000	And this takes place looking down from Nap Hill.
478000	482000	That's right, that's right, but I didn't know it was called Nap Hill.
482000	483000	I see.
483000	493000	Now, I've mentioned this to you obviously in private, but the thing is, is I had no idea who this person was.
493000	497000	I had no idea where this place was.
497000	500000	It was a dream.
500000	510000	But you see, in 1994, in the summer, I think it was the summer of 1994, there was a couple of friends of mine.
510000	515000	I used to work on markets in London.
515000	525000	I used to sell old 50s rock and roll collectible records and 60s psychedelic stuff and things like that.
525000	537000	A couple of my friends there, I got chatting with them on the stall and they just said to me,
537000	542000	they knew I had a van and we had similar interests, we discovered.
542000	548000	And they said, should we take a trip out to the West Country, would you take us?
548000	550000	I said, sure, you know, I'd love to do that.
550000	555000	So we got in the van and went looking for crop circles.
555000	558000	So this is in the summer of 1994.
558000	562000	And whereabouts are you when you're on this journey?
562000	566000	Yeah, you mean in terms of geography?
566000	567000	Where are you going?
567000	577000	Right, OK, so we got in the car in the van and we drove out of London and went over to the area of Avebury,
577000	583000	which is, you know, a really amazing place for those who've never been there.
583000	585000	Look it up.
585000	590000	It's in Wiltshire, which is in the West Country.
590000	597000	And we were looking around for all of these crop circles.
597000	608000	And we found one or two that day around Avebury, around sort of in that vicinity in the fields around.
608000	615000	Drive out of London to Avebury and you find crop circles just out there without even knowing where you're going.
615000	618000	There's no internet, right?
618000	620000	No, there was no internet.
620000	624000	Just venturing out in your van and you come across crop circles.
624000	628000	And I find that kind of surprising, but I'm listening, please continue.
628000	638000	Well, as the story actually goes, is the fact that we actually basically all three of us agreed that all of the crop circles we found that day.
638000	645000	I think it was two or three we saw were kind of just fake.
645000	650000	And it was kind of crop circle season.
650000	652000	Right. OK, I follow.
652000	664000	Yeah, so there were supposedly some around or so they'd heard, which is what spurred them on to want to go and do the, you know, do the trip.
664000	670000	So we went out there and all day we were looking for these things.
670000	676000	We found two or three, like I say, and but we weren't convinced.
676000	687000	They seemed a bit scrappy and a bit kind of, you know, like maybe some teenagers had knocked it up overnight, you know, sort of thing.
687000	690000	So we sort of were everyone was a bit disappointed.
690000	695000	We'd had a great trip out, but everyone was really tired and it was the end of the day.
695000	701000	We'd been traipsing around all day through these fields and cornfields and stuff.
701000	710000	And I just got this thought as a driver thought, oh, how about taking a different route?
710000	718000	Let's let's go just take a random route off and go up through another through another route another way.
718000	722000	Instead of going the main roads home, let's go off some some other way.
722000	731000	So we did this and I didn't really know the area apart from maybe a couple of the main routes around there.
731000	740000	And all of a sudden, like as we were going through all of these open planes.
740000	746000	I suddenly saw the way the road swooped up to the right.
746000	751000	There was a there was a track path coming away from the road.
751000	760000	And as soon as I saw this, I had this immense impetus, this impulse to just stop the car and get out and walk up that track.
760000	762000	So I did.
762000	767000	And of course they were really, really tired and they were they were complaining.
767000	771000	It's like, oh, we've not found anything you've been walking all day.
771000	774000	We're really, really tired.
774000	777000	And we were supposed to be on the way home.
777000	784000	So I said, you can wait here.
784000	787000	And so they did they waited in the van.
787000	790000	And I traipsed on up the track.
790000	798000	And so I got out got out of the van traipsed up the track and went to the top of this track, the top of the hill.
798000	807000	So when I got when I got to the top, I stood there and looked down across the hill.
807000	821000	Lo and behold, I was absolutely transfixed by the fact that what I had in front of me was exactly what I'd seen in my dreams.
821000	825000	At least five years earlier.
825000	830000	So back in, like I say, coming from the coast to coast back in 1990.
830000	836000	So about four or five years earlier, I'd seen this very, very place in my dreams.
836000	839000	You can't ignore that when that happens.
839000	845000	You're there looking at the scene and lo and behold, there is the there is the valley.
845000	854000	There is the river snaking through exactly the same place.
854000	862000	And while this is in my mind right now, I must mention this just in case it's not completed.
862000	869000	It's only about a month ago, I think just before our interview, the last interview we had.
869000	876000	That I met a lady through a mutual friend around here where I live.
877000	888000	And she actually revealed what I understand to be the actual name of this particular goddess that I'd come across.
888000	892000	Okay, this is the thing I was having for a pastime, right?
892000	896000	I sensed to like, she is someone who is she I'm listening at least.
896000	897000	Right.
897000	902000	Now, I feel it's maybe not the right circumstance to reveal that name.
902000	903000	Okay, I understand that.
903000	904000	Yeah.
904000	909000	And such things, there are some things that is important to keep private.
909000	910000	Yeah.
910000	912000	And also to not speak about.
912000	913000	That's right.
913000	914000	And I honor.
914000	918000	And you can feel that viscerally, you can feel, don't speak of it.
918000	919000	Yes, yes, good.
919000	921000	Yes, I honor this and understand.
921000	922000	Yeah.
922000	923000	But please continue.
923000	924000	I'm with you.
924000	933000	In actual fact, all I've mentioned up till this point, including the fact that there was this feminine figure, it was a goddess figure, it was there in the boat.
933000	935000	It was revealed in a dream.
935000	942000	These parts until very recently, I've had, I've had a do not speak about it.
942000	943000	Oh, wow.
943000	944000	Okay.
944000	946000	So what is only now I'm beginning to speak about it.
946000	947000	Wow.
947000	954000	So do you have any sense of what the change what changed that made you feel more comfortable to speak of it?
954000	958000	That's an interesting question.
958000	965000	In my physical body, my body is telling me it's okay to mention it.
965000	967000	It's a visceral sensation.
967000	973000	There's a stop feeling when you know that something is not the time to speak about it.
973000	987000	Yes, it's funny that you say that because, you know, we have this colloquialism in English, what we call the still small voice.
987000	988000	Right.
988000	989000	Right.
989000	996000	And also, I think, though I'm not an expert on this topic, Socrates is Daimon.
996000	997000	Yeah.
997000	1001000	What it primarily did was just say no.
1001000	1002000	Yeah.
1002000	1004000	Didn't tell him what to do.
1004000	1009000	It didn't have, they didn't have conversations, at least not in the records that we have.
1009000	1018000	And one thing that we know about it is it tells him just don't, this is, don't do this, or it might say, you made a mistake.
1018000	1019000	Yeah.
1019000	1020000	Yeah.
1020000	1026000	And so there's this interesting in my own experience with this a couple of times in my life.
1026000	1031000	I heard it tell me it, whatever it is, right.
1031000	1033000	Don't.
1033000	1037000	Just like, no.
1037000	1055000	And not, I've had other experiences of, you know, sort of a Daimonic intelligence or whatever, but I honor that. And I want to just mention that I have a close friend who works with neurodivergent people.
1055000	1056000	Yeah.
1056000	1062000	And her prime, one of her primary areas of expertise is a process called positive disintegration.
1062000	1063000	Okay.
1063000	1068000	And when you were talking about what took place when you returned to London.
1068000	1071000	It has the earmarks of this process.
1071000	1072000	Right.
1072000	1078000	And she talks about it as in, in a variety of senses, but it's, it's, it's quite fascinating.
1079000	1086000	Because she says that it's, it's a, it's a somatic array. It's an array of somatic intelligences.
1086000	1094000	And you talk about feeling that you had the flu, but you also talk about having these extra sensitivities where you can feel people's energy and things like this, right?
1094000	1095000	Yeah, yeah.
1095000	1104000	But it sort of has the earmarks of this process. I recognize from my recent discussion with her a similarity there.
1104000	1108000	Okay. So you've, you've met a woman somewhat recently.
