start	end	text
0	12320	Hello, everybody.
12320	18400	Welcome.
18400	27920	It's sometime on a Gregorian Monday afternoon in March of 2024.
27920	41920	This is the weirdest year in the history of my life.
41920	50920	I'm out for a wander.
50920	58920	I'm by tracks on the path.
58920	64920	I don't know if any of my ancestors were skillful trackers,
64920	72920	but there is a kind of a genetic predisposition I suspect.
72920	80920	I suspect this from knowing members of my family
80920	98920	and watching them in various situational contexts.
98920	108920	My mother used to have an annoying habit,
108920	118920	and I recently discovered some letters from him to my mother in his teenage, late teens.
118920	130920	I think they were 17 or something.
130920	134920	There were some letters from him that I haven't actually read.
134920	138920	I've only seen the beginning of one of them.
138920	152920	He was about to launch into a dissertation on a system that he had stumbled on in his observational mind.
152920	166920	A system for getting a perspective on people and situations that might be understood as preternatural.
166920	182920	He implies that in the following letters he will encode a system.
182920	184920	A system of seeing.
184920	192920	He never spoke of this during my life,
192920	200920	but he did seem to have an uncanny influence among humans,
200920	204920	and sometimes with dogs.
204920	214920	But the annoying habit that he had was he understood the language of film,
214920	224920	and he could see very quickly from the observation of subtle cues what was about to take place,
224920	228920	and I thought to myself, I remember thinking to myself as a kid,
228920	232920	of course my mother would become very angry with this.
232920	234920	You're ruining it.
234920	238920	My dad would sort of chuckle.
238920	242920	It's obvious, but I thought this was very peculiar.
242920	248920	I didn't know anyone else at the time, had no experience of others with this skill,
248920	250920	and sometimes his predictions would be uncanny, right?
250920	260920	He was a bit of a detective.
260920	270920	Similarly, other members of my family, particularly my sister,
270920	282920	display an almost dangerous awareness of tiny details that others cannot see,
282920	290920	or do not notice.
290920	296920	With most of my male friends, I can quickly predict where they're going to go conversationally,
296920	302920	and this is perhaps part of the experience of being intimate as human beings.
302920	318920	In a sense, we form a kind of a shared mind space that includes both of us, but is beyond ourselves.
318920	324920	An in-between mind.
324920	335920	Last night I had a very strong experience of the texting equivalent of telephone telepathy.
335920	340920	A picture of my friend whose name begins with J came into my mind,
340920	348920	and immediately I then was doing something on my phone after that,
348920	351920	and he had just sent me a text.
351920	365920	I don't use notifications on my phone, and I've had a number of situations like that.
365920	380920	A long time ago, I'd had a very enthusiastic and profound conversation with a friend in Morocco.
380920	387920	This is one of the most peculiar examples of it.
387920	399920	When we closed the call, a few minutes later I got an effusive text from her about how wonderful our conversation was,
399920	409920	and how it makes her feel really happy.
409920	417920	It was quite, this is actually so blatant as to seem ridiculous.
417920	422920	She described tasting a peach flavor in her mouth that was so delicious,
422920	431920	and all these went on for two or three sentences effusively.
431920	446920	After the call, I was eating a piece of peach gum, a very strongly flavored peach gum from Japan.
447920	454920	Naturally, if we don't find a good reason to form up against one another,
454920	460920	to object or to play domination games,
460920	467920	then I think we as humans generally, and I'll speak only from my own experience,
467920	469920	but I've watched other people doing it.
469920	472920	We get into a situation where we can complete other sentences,
472920	478920	and there are circumstances under which non-ordinary communication takes place.
478920	483920	I wouldn't argue that the cell phone is separate from that communication.
483920	493920	In fact, though it's not the kind I want, it provides a physical link.
493920	500920	There's a physical link that extends to many, many humans in that phone.
500920	511920	And like many of our technologies, I don't think the humans have reflected carefully enough
511920	514920	upon what that actually turns out to mean.
514920	519920	Because it means that if human minds naturally form networks,
519920	533920	they're now going to form networks in spite of or as a result of technologies
533920	540920	that restructure our networks according to mechanical principles.
540920	545920	For organisms, that doesn't usually go well.
545920	561920	For disembodied humans imagining some kind of eternal life in the body of a robot or something,
561920	567920	maybe it goes well, but it tends to end organismal development on living planets.
567920	575920	As we can see from our own behavior, we don't even need a second example yet.
575920	583920	So the smartphones do, our technologies, affect what I call the Cognizium.
583920	596920	And what I mean by this is a topology that isn't merely physical and is like an environment
596920	603920	in that certain kinds of things can undergo developmental, quote, competition,
603920	607920	unquote, within that environment and be transmitted.
607920	613920	This is a bit, this resembles slightly, or perhaps more than slightly,
613920	616920	Sheldrake's theories of morphic resonance.
616920	618920	Excuse me, resonance.
