start	end	text
0	4000	Hello, everybody. Welcome.
4000	8000	I've been listening to
8000	12000	Danny Jones
12000	16000	interviewing Neil from
16000	20000	Nossom Performance. I can't recall his last name at the moment.
20000	24000	It's like, Sendiac. Sendlak.
24000	28000	Something like this. Fairly interesting.
28000	32000	And this is obviously one of the things
32000	36000	that's going on with Danny's podcast at the moment, Concrete,
36000	40000	is that clearly he's exploring the
40000	44000	world around Amen
44000	48000	Hillman.
48000	52000	And
52000	56000	Neil has a lot of interesting historical
56000	60000	perspective and information. Neil is an
60000	64000	autodidact. He was not educated like me.
64000	68000	He's a self-educating person. He follows his passions
68000	72000	and his interests. And he became interested in these
72000	76000	topics through what he called
76000	80000	studying his way out of Christianity, which is a very interesting
80000	84000	thing to say.
84000	88000	There's a lot of good information.
88000	92000	Neil is very supportive of Amen's
92000	96000	classicism,
96000	100000	his Greek scholarship.
100000	104000	One of the things that Neil says is that most of the people that are attacking
104000	108000	Amen's
108000	112000	perspectives, I will call them.
112000	116000	Just basically attack it from the place of, we'll know
116000	120000	the agreed upon knowledge,
120000	124000	right? The, let's call it,
124000	128000	consensus.
128000	132000	By the way, that's basically just like saying with
132000	136000	the numbers, with the census.
136000	140000	And this is the adpopulus,
140000	144000	historical fallacy. Well, most people think, who gives a flying
144000	148000	poop storm what most people think?
148000	152000	Let's be really clear. If we go with generalities
152000	156000	and generalizations, we're only going to miss
156000	160000	everything important.
160000	164000	Because what will be overlooked is everything that
164000	168000	opposes popular consensus.
168000	172000	And in our situation with the moderns,
172000	176000	the educational level of the common people,
176000	180000	if we,
180000	184000	how would I put this? If we adulterate
184000	188000	the pool with
188000	192000	the entire scope
192000	196000	of the numbers, we're going to find
196000	200000	and we got to include people who are so old their memory doesn't
200000	204000	work yet. We also have to include children and stuff who have
204000	208000	no formal education speak of or not much
208000	212000	yet. So if we
212000	216000	dilute the numbers with the common
216000	220000	people, what you get is basically just stupidity.
220000	224000	Like bald
224000	228000	inveterate ignorance.
228000	232000	Which you can see very commonly in the United States
232000	236000	in our political situation. You have two species
236000	240000	of catastrophic stupidity, you know,
240000	244000	assembling golems in public to war against each other
244000	248000	for the sake of what? Who has nothing to do with running a country,
248000	252000	I'll put it that way. It has a lot to do with lining pockets
252000	256000	and
256000	260000	sustaining lineages of socio-political
260000	264000	economic war, prison,
264000	268000	you know, power, back room power
268000	272000	exchanges.
272000	276000	The currying of favor and favor trading
276000	280000	and so on, which is the opposite of what a democracy
280000	284000	should be about.
284000	288000	In any case, one of the things that was bothering me is that
288000	292000	both Neil and Danny
296000	300000	with all due respect, Danny is
300000	304000	catastrophically naive about anything relating
304000	308000	to spirituality. I'm pretty sure
308000	312000	he's an atheist and
312000	316000	it's, you know, Danny asks
316000	320000	Neil if he's religious and he just says anything but.
320000	324000	So Neil is also
324000	328000	hopefully my wind buffer is going to work here. I did test it a bit.
328000	332000	So Neil is also
332000	336000	what? I'm not going to say he's an atheist.
336000	340000	As far as I can tell, he's anti-metaphysical.
340000	344000	He doesn't believe there's anything like souls or spirits or gods
344000	348000	or diamonds or angels or anything.
348000	352000	And, you know, I'm reminded
352000	356000	of experts on fishing
356000	360000	who've never held a rod.
360000	364000	And this analogy turns out to be really important here in all kinds of ways.
364000	368000	They've never seen a fish. They live in the
368000	372000	desert. They don't believe in fishes. Fishes are a
372000	376000	story that crazy people tell.
376000	380000	And the crazy people are so insane
380000	384000	that these desert dwellers, and these aren't like the
384000	388000	Bedouins who actually have wisdom and stuff. These are idiots.
388000	392000	These are people who live in a world of their own suppositions.
392000	396000	No experience of the things that they speak of. This is what I was talking about in my
396000	400000	recording about knowledge and writing and the problem that
400000	404000	that produces. It also produces amazing
404000	408000	possibilities of learning and the exchange of
408000	412000	the transfer of knowledge on a broader scope than person to person
412000	416000	by song and oral tradition and transfer. That's true.
416000	420000	It does do that, but it comes with very lethal dangers.
420000	424000	Historically the humans tend to ignore the dangers of their new technologies
424000	428000	and then what happens is
428000	432000	the structures of power,
432000	436000	the under structure,
436000	440000	the sort of malignant under structures
440000	444000	of power and wealth
444000	448000	and rape and torture and lying and
448000	452000	not the good kind of lying, not the aurea.
452000	456000	No, no, the kind
456000	460000	of lying that leads to the immiseration of
460000	464000	thousands or millions of people over epochs of time, that kind
464000	468000	of lying. This all gets supported by this process.
468000	472000	What we have here are people, I can't really speak much about
472000	476000	Danny Jones, and it's not my intent to insult him
476000	480000	or to be disrespectful
480000	484000	but it's clear just from listening to him
484000	488000	he sounds like an 11 year old kid
488000	492000	knowing absolutely nothing about the topic
492000	496000	and look, he's interviewed a good, I don't know what his numbers are
496000	500000	but a good probably 500 or 1000 people
500000	504000	very deep minds, very rich
504000	508000	in intelligence. Strangely
508000	512000	his own intellect appears
512000	516000	largely immune to these intelligences
516000	520000	and I find it tragic
520000	524000	this is the problem with the claim
524000	528000	of knowledge, these people are talking
528000	532000	I don't care what they believe and they're welcome to believe
532000	536000	whatever they like or disbelieve whatever they like
536000	540000	they're talking about things they have no experience of
540000	544000	just like people in the desert who make up stories and say
544000	548000	there's these people in the west
548000	552000	and they say that you can go to the end of the world and if you go there you will see the great water
552000	556000	that fills the whole horizon, those people are insane
556000	560000	it's not possible for there to be great waters like that
560000	564000	there's no chance of it being true
564000	568000	water as far as you can see to the horizon
568000	572000	all the way around you, those people are doing, those are drunkards
572000	576000	and silly people, they're just making shit up
576000	580000	which is effectively what they're saying
580000	584000	they're saying Neil studies
584000	588000	the origins of religion
588000	592000	and he's an interesting cat
592000	596000	and he has a lot of name based
596000	600000	date based, place based, he's got this sort of
600000	604000	like you see on those detective shows where you, there's a wall
604000	608000	where all of the sort of major players and situations
608000	612000	and the timeline is there and there's a web of red threads
612000	616000	between all the stuff, Neil's mind is a bit like this
616000	620000	which is super cool, I mean for all it's worth
620000	624000	in terms of trying to understand
624000	628000	classicism
628000	632000	what happened in the ancient world, how did, where did we get
632000	636000	did the Masoretic text come before the Greek
636000	640000	Septuagint or vice versa and why and so forth
640000	644000	and
644000	648000	Neil's defending Amin primarily by saying that
648000	652000	his detractors cite
652000	656000	consensus, well the consensus is obviously that
656000	660000	Masoretic text precedes the Greek, but when you look at the actual numbers
660000	664000	at least
664000	668000	from some of the people that Neil has been interviewing, some of whom are
668000	672000	lifelong scholars of these matters, so not trivial
672000	676000	idiots, you know, who, these aren't political theorists
676000	680000	who, I think, you know, nope, it's nothing like that
680000	684000	these are people who have spent their entire lifetime studying
684000	688000	in the archives and in universities and all around the world
688000	692000	some of them are probably even in the Vatican libraries
692000	696000	which must be catastrophically astonishing
696000	700000	um
700000	704000	many of these people think
704000	708000	that we should ask questions
708000	712000	about the texts
712000	716000	and their origins, so he's defending some of what
716000	720000	Amin is saying and also by saying
720000	724000	that the people who are trying, you know, by saying that the people who are trying to
724000	728000	refute Amin are not citing much
728000	732000	they're really just saying well the consensus has long been
732000	736000	particularly if you see on YouTube some ridiculously
736000	740000	titled video, Amin Hillman debunked
740000	744000	well what a load of bullshit that is, there's no debunking of Amin
744000	748000	first of all you can't debunk a human being, let's just be really clear, Amin Hillman exists
748000	752000	so, you know, the text is already
752000	756000	stupidifyingly
756000	760000	pitifully titled, just insane
760000	764000	you can't debunk a human being, Amin Hillman debunked
764000	768000	what are you debunking, you're debunking your own intelligence in language
780000	784000	so what you can debunk is a claim
784000	788000	not a human being, let's be really clear about that
788000	792000	that little 10 minute video, can't recall
792000	796000	don't even care to recall, the name of the guy who
796000	800000	obviously a friend of Dan McClellands who
800000	804000	has his panties in a bunch about Hillman
804000	808000	and I would argue doesn't even understand, has no chance of understanding
808000	812000	what Hillman is doing because what Hillman is doing
812000	816000	isn't history of religion
816000	820000	it's related, it's related
820000	824000	and it has an influence in that domain
824000	828000	but what Hillman is doing is
828000	832000	magical, it's not scholarly
832000	836000	there's features of it that are academic and scholarly, he's drawing on his
836000	840000	education as a classicist and his fascinations
840000	844000	particularly with ancient Greek
844000	848000	Galen, known as others
852000	856000	everywhere there's these machines
856000	860000	even in the park, the gardens
860000	864000	driving machines around, in any case
870000	874000	what Hillman is doing
874000	878000	is initiatory
878000	882000	he's time traveling, it's like he's opening up
882000	886000	a window to a lost world
886000	890000	inside himself, he's opening up this window, this portal
890000	894000	if you will, and he's transporting us back
894000	898000	he's giving us a
898000	902000	there must be a word for this where
902000	906000	where you are in time is flipped around
906000	910000	in exchange for another place in time
910000	914000	that's what Hillman is up to
914000	918000	in his
918000	922000	paramaniacal
922000	926000	dissertations
926000	930000	and the actual origins
930000	934000	of what's in the Bible, particularly the New Testament
934000	938000	but not merely that
938000	942000	and
942000	946000	you know
946000	950000	Hillman's been accused of various kinds of nefarious activities
950000	954000	I don't know
954000	958000	what the verity of those activities might be
958000	962000	basically
962000	966000	he was specifically accused apparently by some
966000	970000	feature of the Catholic church
970000	974000	of summoning demons
974000	978000	opening portals
978000	982000	he's definitely opening portals
982000	986000	he's trying to understand
986000	990000	he's trying to understand
990000	994000	he's trying to understand
994000	998000	what the origins of the often absurdly
998000	1002000	ridiculous things we believe in modernity
1002000	1006000	he's trying to understand
1006000	1010000	the history of these situations
1010000	1014000	and when he uses the word history
1014000	1018000	he doesn't mean a record of what happened
1018000	1022000	he means to inquire of those with actual knowledge
1022000	1026000	intimate knowledge
1026000	1030000	the kind of knowledge you have of your lover's mouth when you kiss them
1030000	1034000	that kind of knowledge
1034000	1038000	the kind of knowledge you have of a fruit when you eat it
1038000	1042000	direct, somatic, visceral
1042000	1046000	spiritual, originary experience
1046000	1050000	not thinking, not opinions
1050000	1054000	not ideas
1054000	1058000	and he doesn't give a flying fuck about consensus
1058000	1062000	nothing does not care
1062000	1066000	in fact he will blatantly declare
1066000	1070000	that this consensus thing
1070000	1074000	is completely delusional
1074000	1078000	nothing there at all
1078000	1082000	he often yells, he will yell out
1082000	1086000	everything you think
1086000	1090000	all those thoughts you have, all those ideas, all those stuff you've been taught
1090000	1094000	all of that nonsense
1094000	1098000	and then he'll go off camera and you'll hear spanking sounds
1098000	1102000	at least
1102000	1106000	now look
1106000	1110000	nobody has to authorize
1110000	1114000	Hillman, right? you don't have to bow to him
1114000	1118000	he's not running around saying worship me, I am the truth and the light
1118000	1122000	what he's saying is if you want a taste
1122000	1126000	of the ancient world that's much more like
1126000	1130000	what was almost certainly going on than what you've been told
1130000	1134000	we will go together
1134000	1138000	using the ancient greek as a vehicle of travel
1138000	1142000	travel in what? travel
1142000	1146000	in pneumaticon
1146000	1150000	in the freens
1150000	1154000	in the strands
