start	end	text
0	5880	And I think one of the reasons that chat GPT and stuff have been so hyped recently is because most people don't know what it is.
5880	11880	And so when you see it doing what it does, you think this thing must basically be a person, right?
11880	13240	Because it's acting like one.
13240	18000	And I should carry out this by saying I'm not selling short these incredible technologies.
18000	22400	I'm just saying that it would be very silly to just completely use them blind and never check what they do, right?
22400	24560	Because we know they just make stuff up a lot of the time.
24560	26080	I'm glad you mentioned computer science.
26160	34960	Do you think it's time for more of us to learn computer science-type stuff because of AI, like maths and all these computer science stuff and not really?
40760	44040	I've been saying that you need to learn artificial intelligence or AI.
44040	48040	Question that a lot of you have been asking me is, OK, so how do I learn that?
48040	49480	So let's ask another friend.
51680	52120	David.
52120	52720	Yes.
52720	58560	You've mentioned this before, but remind me which place do you recommend that I learn and others learn AI?
58560	60120	I really like Brilliant.
60120	70200	It's one of those places where you can go and a visual gamified way to learn concepts and mathematics behind AI and machine learning.
70200	72560	You've recommended this a few times to me.
72560	78640	The way you said it was, David, if you want to learn AI, I need to learn like statistics and stuff like that, right?
78640	89280	Yes, they've got these roadmaps that actually helps you with calculus and learning statistics and linear algebra, all the stuff that you need to know for AI.
89280	89840	I'll say this.
89840	92200	David is on my team, really glad that he is.
92200	96160	David has strengths that I don't have, and I think that's what's really important in life.
96160	97840	You need to learn from others.
97840	99880	David, well, tell us, you've done a lot of maths.
99880	101360	You've done a lot of computer science.
101360	103080	You've actually worked with AI stuff, right?
103080	107520	I worked in the medical field for data science stuff.
108400	120440	I really think you need to know all the statistics and calculus and linear algebra and the discrete mathematics that you need to learn, which actually makes a lot of coding a lot easier for you.
120440	120960	That's brilliant.
120960	122880	So I'm looking on their website now.
122880	127400	The one that you've recommended that I go through is the Data Science Foundations, right?
127400	134320	That's like probability, applied probability, statistics, fundamentals, and then an introduction to neural networks.
134320	136480	And obviously, me being me, I just skipped all of that.
136480	138240	They went straight to learning neural networks.
138240	142000	But as David said, what I really like about this website is it's gamified, as he said.
142000	143840	So really great way to get started.
143840	146080	Really want to thank Brilliant for sponsoring this video.
146080	147560	Brilliant, as they say in the UK.
147560	148080	Thanks.
148080	151560	Everyone, it's David Bombal back with Dr. Mike Pound.
151560	152280	Mike, welcome.
152280	154160	Thanks for having me back again.
154160	157000	Mike, it feels like the sky's falling again.
157000	163840	You know, we had this interview previously and it was all this hype about AI, but it seems to just be getting hotter and hotter.
163880	165160	So tell me, is the sky falling?
165160	166080	Am I going to lose my job?
166080	166960	Is the future bleak?
166960	168440	I think I think it'll be all right.
168440	170440	Just relax.
170440	172240	Relax.
172240	175360	Um, just bring me into calm everything down a bit.
175360	182480	That's, that's, you know, I think that the last six months particularly have been, you know, both unbelievable in terms of genuine hype,
182480	190200	like things that are really exciting appearing and also obviously totally overboard hype that's just getting really quite silly and everyone needs to calm down.
190200	190480	Right.
190480	193000	So I think there's a bit of everything going on.
193000	197600	Chat and GPT is an incredibly impressive tool that works very, very well.
197600	202160	I've done some really fun tests of it where I push to see what it will do.
202160	205480	And some of the things it will do are quite amazing, right?
205480	209240	On the other hand, there are lots of things it doesn't do very well.
209240	214000	And one of the big problems we have at the moment is it won't always tell you it's one of those things.
214000	217000	And that's, I think, where we have something that needs addressing.
217000	220760	I've done some tests and I mean, a lot of people I know have done tests.
220760	224560	And it's amazing what it seems to be able to produce.
224560	229760	I think the concern a lot of people have is like, Mike, I'm 18 years old or let's say I'm older.
229760	237000	I want to switch careers to become a programmer or I want to get into cybersecurity or I want to be a network engineer, whatever, some technical role.
237000	242240	And it feels like I'm just going to waste my time because Chat GPT is just going to obliterate jobs.
242240	250240	The first thing I would observe is that it's very nice for some of these big tech companies, if that's the perception, because it makes them look very, very impressive, right?
250240	256760	And so I think that the cynic in me a little bit is like, this is, you know, no PR is bad PR kind of a situation.
256760	263400	They like to drop, you know, these tools get dropped as incredibly impressive tech demos and I'm not selling them short, right?
263400	269000	Very impressive, but maybe not quite as impressive as they first appear on a service when you start to dig in.
269000	270480	And I think that's what's really important.
270480	275520	You know, in science, we spend a lot of time checking things and rechecking them, at least that's what we're supposed to do, right?
275560	281520	So I, you know, a PhD student comes to my office with some results and they say, oh, we've got 95% accuracy on some task.
