start	end	text
0	2920	So should we just jump in?
2920	4320	Raja, are we ready to go?
4320	5320	Yeah, go for it.
5320	6320	All right.
6320	11840	So we've got an hour and 15 minutes together.
11840	16000	We're going to make this as interactive as possible.
16000	19600	I consider this a relatively small size group,
19600	21480	so I think this is manageable.
21480	23440	Less than 50 people on Zoom.
23440	26080	I can see all your faces on one screen on my big monitor,
27040	30560	and I'm looking forward to doing a couple things.
30560	32080	Number one, I'm going to provide you
32080	35560	a little bit of background upfront
35560	37040	on the Stagan Leadership Academy,
37040	39920	which we found it 25 years ago this year.
39920	45720	And then I'm going to share with you a piece of content
45720	49520	that we call the pursuit of higher ground,
49520	54840	that is our most recent expression
54840	58720	of how to translate developmental theory,
58720	63360	integral theory, spiral dynamics, and complexity theory,
63360	65360	for all intents and purposes, how
65360	71080	to translate that into the listening of a broad audience
71080	75040	from traditionalists to progressives.
75040	81840	So this content can be delivered in as short as a 18-minute
81840	84680	keynote speech in front of 1,000 people.
85560	87840	I do this in large groups all the time.
87840	92320	And the feedback that I have gotten in the last two years
92320	94920	of let's just I'm still in the experimental phase
94920	99280	with this material is incredibly positive across the board.
99280	102800	And so rather than just share the content
102800	105240	and treat you like a normal audience,
105240	108560	I'm going to treat you as you are, your fellow travelers,
108560	111920	where we're all students of integral theory,
111920	114480	developmental theory, and I see this more
115160	117160	as a peer group than anything else.
117160	120200	So I'll present the material.
120200	121920	I just have a handful of slides.
121920	124680	And that'll be a little didactic, little presentation mode.
124680	126800	And then we'll come out of that.
126800	130080	And instead of waiting until the end of the call for Q&A,
130080	134680	we'll actually start with the Q&A right after I clear the slides
134680	137240	so that I can use your questions to continue
137240	139200	sharing and presenting.
139200	141840	I am not an academic.
141840	143240	I am not a theorist.
143240	147000	We've got the big brains on this call.
147000	148720	Salisman is here and others.
148720	152280	And we're practitioners, as Steve knows.
152280	155360	Bert and I, Bert Parley, who was with Ken Wilbur,
155360	159520	who I met through Ken Wilbur almost 22 years ago,
159520	164280	we are in the arena working with leaders
164280	168040	on a daily basis that are running organizations.
168040	172120	We primarily work with privately held businesses
172120	175240	and executives within those enterprises.
175240	178600	And our sweet spot is the mid-market.
178600	180520	And for people, what does that mean?
180520	183520	That means companies with a couple hundred employees
183520	186840	to a couple thousand employees, that sort of range.
186840	189120	The reason that we don't work by design
189120	191320	with large public companies
191320	194600	is we will only work with an organization
194600	197840	if the CEO of that organization
197840	201240	is engaged in their own deep inner work.
201280	204440	If they're not willing to actually look at themselves
204440	205920	and work on themselves,
205920	209080	we will not go into the organization
209080	210400	to work with their people.
210400	214520	So yes, we do work with some public companies.
214520	216480	Many years of working with Whole Foods
216480	219680	and working with John Mackey and his top 300 leaders
219680	222800	were their partner for the sort of executive development there.
222800	225600	But that is one of the few big known companies
225600	229080	we work with because John is someone who's willing
229080	232720	to walk the talk and actually work on himself.
232720	234920	But that unfortunately is really rare
234920	239680	with CEOs of typically large, 41,000 businesses.
239680	242280	So that's a little context on who we are,
242280	246680	what we're about, as Ken referred to us,
246680	249760	had to have been almost maybe 17 or 18 years ago.
249760	252480	They're the little experiment in Dallas,
252480	254520	like what's going on in Dallas.
254520	256920	And people will often say,
257840	259720	you guys work with,
259720	263160	we have a physical brick and mortar facility,
263160	264880	a leadership academy in Dallas.
264880	266320	We have our team,
266320	269160	Bert and I just came out of our annual team retreat.
269160	272400	We had 72, not the whole team, but 72 attendees there
272400	275120	just to give you a sense of our size, our faculty.
275120	278440	And as Rajeal said, we work with several thousand leaders
278440	281080	each year across the country that either come to Dallas
281080	283120	or we go to their organizations.
283120	288120	And we are, people will say, why are you in Dallas?
288520	290040	Like it makes no sense.
290040	291480	You're working with Wilbur,
291480	292880	you're working with Bob Keegan,
292880	294200	you're working with Bill Torberts,
294200	296920	who's on Cochlorida, cutting edge, integral theory.
296920	300120	Like what are you doing in Dallas, Texas?
300120	304640	And the answer is, this is where the work is, right?
304640	307560	This is where the work is, this is where the need is.
307560	310160	So we are in the heartland.
310160	315160	We work extensively in Dallas, San Antonio, Austin.
316440	319680	We work in Oklahoma, Louisiana.
319680	322440	We work really deeply in Kansas.
322440	324800	We work in Ohio, in Illinois.
324800	326360	We go down into Georgia.
326360	329920	We really are in sort of the middle of the country
329920	332440	and a little bit down into the Southeast.
332440	336520	We are not heavily penetrated by design on the coast.
336520	338800	Yes, we have clients in Seattle and New York
339200	343440	and in California, but the mass focus for us
343440	345840	has been heartland and I'll explain that
345840	347520	after I clear the slides.
347520	351480	So that's background context, a segmentation where we focus
351480	353760	and we're not in the entertainment business.
353760	357840	So we don't do any event-based training.
357840	361760	Our shortest program for a new client is a 52 week
361760	364480	practice-based, integrally informed program
364480	366640	where they come to Dallas one day per quarter
366640	368600	in a cohort of 20 liters.
368600	370160	From anywhere in the country
370160	374640	and we will only work with a client if the CEO goes first.
374640	378800	So now let's get to the juicy part, get to the content.
378800	382960	So I have been, along with my team,
383920	386680	trying to figure out how to crack the code
386680	391680	on a skillful means, on a translation of spiral dynamics.
391680	396680	We started teaching our leaders, our clients, the spiral.
396760	400040	And we basically did it as a developmental progression
400040	405040	as it is laid out by Don Beck and by Claire Graves' research.
406160	410880	And what would happen is the world views,
410880	414440	the traditional world view, lower down,
414440	418280	was very threatened by the hierarchical nature of the model.
418280	422800	The achievers, the strive-drive kind of orange world view
423760	426680	would look to figure out how they could
426680	428880	sort of game and climb the ladder.
428880	431840	So they just wanted us to click the slides faster
431840	434400	so they could kind of move through the progression.
434400	437240	The pluralists, the progressives,
437240	441560	were incredibly offended by the hierarchical nature
441560	443440	of what we were laying out.
443440	445800	So after about five or six years,
445800	450080	we moved from a vertical rendering
450080	454720	and we presented picking four of the colors,
454720	457280	red, blue, orange and green.
457280	459800	And for those that don't know spiral dynamics,
459800	462760	this sort of power mindset or power worldview,
462760	466320	red, the more traditional worldview, blue,
466320	468880	the more achiever worldview, orange,
468880	472000	and the more progressive pluralistic worldview, green.
472000	473880	And we basically laid them out
473880	477120	as we're still doing today in our curriculum
477120	480960	as a little bit more of a horizontal
480960	485080	and saying that there's not one that's better than the other
485080	488080	because in reality, one isn't better than the other.
488080	491840	They all are appropriate in the appropriate context.
491840	494360	And so what's the context is what's best?
494360	498320	And so that has been, for some people in the integral community,
498320	499800	that was blasphemy.
499800	501440	Like how could you do that?
501440	505360	How could you make this appear to be almost a type system?
505360	508360	And the answer is we're meeting people where they are.
508360	511480	We're not demanding that they meet us where we are
511480	515480	because we're up in the ivory tower from their perspective.
515480	517680	And so it's been an incredibly powerful
517680	521160	and potent strategy, communication strategy
521160	524160	because it works and it's getting people into the game
524160	527480	of understanding the nuances of development.
527480	532480	And then in 2021 with Steve as really a guide to me,
532480	536480	he introduced in an article, this idea,
536480	538480	it was just a sentence, right Steve?
538480	540480	It was just a simple sentence saying,
540480	544480	I no longer, I'm no longer believing that common ground
544480	546480	is going to be the fullness of what we need.
546480	547480	We need higher ground.
547480	549480	We need more than just common ground.
549480	552480	And I grabbed on that term and said,
552480	555480	there's something really magical about this idea
555480	559480	of higher ground and ultimately was able to build
559480	562480	a new expression, which I'm about to share with you
562480	566480	in the form of what is now a keynote presentation.
566480	570480	I'm going to send Rigel the slides.
570480	575480	It's a small, email-able PowerPoint file.
