start	end	text
0	2000	Okay, shh, no more.
6000	11000	Hello and welcome to the first session of 2024.
11000	14000	This is sightly out of sequence.
14000	19000	It's part of our doctoral consortium series from last semester.
19000	22000	Our final session had to be cancelled the last minute,
22000	26000	but we're delighted to have a follow-up session
26000	30000	to complete the series on the theme of AI apocalypse,
30000	33000	the series that was called the dark side of AI.
33000	36000	And all of the previous sessions are uploaded
36000	43000	onto our digitalfutures.international YouTube channel.
43000	47000	And I would say that from that, the first five in the series,
47000	50000	that we became a bit more, I guess, lenient in some way.
50000	54000	I started off by saying, well, actually we do need to worry about AI.
54000	56000	And over this course of the series,
56000	58000	which is actually fascinating because we had a series
58000	61000	on questions such as copyright and so on and so on.
61000	63000	I think people softened up a bit and said,
63000	65000	no, we don't have to worry about AI.
65000	70000	Today I'm really delighted to have Eric Kessel here with us.
70000	74000	Eric is a designer, educator, writer,
74000	79000	and host disaster expert, professor disaster, I guess.
79000	88000	And Eric takes a rather more kind of concerned attitude towards AI.
88000	92000	He was formerly the director of the Sustainable Environment Design
92000	99000	major at the College of Environmental Design at UC Berkeley.
99000	101000	He's currently a special program instructor
101000	103000	at Harvard Extension School.
103000	105000	And Eric really has made a name for himself
105000	109000	because using the kind of lens, shall we say,
109000	112000	of disaster theory, disaster studies to look at things.
112000	118000	He recently published what I think was an extraordinary article
118000	122000	in Design Intelligence, looking at the question
122000	127000	of what the impact of AI would be on the profession.
127000	130000	Today then, Eric is going to make a presentation.
130000	134000	We are going to have, I will have a short discussion with him.
134000	137000	And then we'll open up to questions from,
137000	142000	not only on the Zoom audience itself, but also from YouTube.
142000	146000	So feel free to put in some of these questions.
146000	149000	Probably not as long a session as sometimes some of our sessions,
149000	152000	but this is, I think, going to pick up as we go
152000	155000	because I think this is an absolutely fascinating topic.
155000	159000	So Eric, welcome.
159000	161000	It's great to see you.
161000	165000	And it's a great way to kick off the new year
165000	167000	with a bang, shall we say.
167000	171000	AI Apocalypse.
171000	173000	Yeah, well, thank you for having me.
173000	176000	I appreciate the chance to talk about it.
