start	end	text
0	5000	Hello, I'm Douglas Murray and welcome to Uncancelled History.
5000	8000	Today, colonialism.
8000	11000	I'm joined by Professor Bruce Gilley.
11000	17000	Bruce Gilley is Professor of Political Science at Portland State University.
17000	22000	His research focuses on topics including colonialism and Asian politics.
22000	26000	In 2018, he published an article, The Case for Colonialism,
26000	29000	which was first published in the Third World Quarterly.
29000	34000	It sparked enormous protests and nearly half of the journal's editorial board
34000	36000	resigned in protest.
36000	42000	The author of numerous articles and books, in 2021,
42000	46000	Gilley published his biography of Sir Alan Burns,
46000	49000	a 20th century British colonial officer.
49000	54000	Today on Uncancelled History, Colonialism.
59000	64000	The Case for Colonialism
64000	67000	First of all, thank you so much, Bruce, for joining me.
67000	72000	In recent years, colonialism has been shown to be portrayed as
72000	76000	one of the absolutely foundational sins of the West,
76000	79000	perhaps along with slavery, racism.
79000	83000	Colonialism is one that has been most zoomed in on.
83000	86000	What is colonialism, first of all?
86000	91000	Well, I think if we take the biggest view, colonialism or imperialism,
91000	94000	as it used to be called before that became a dirty word too,
94000	100000	is simply where one group of people with an established form of government
100000	106000	travels to a part of the world where their government doesn't currently rule
106000	108000	and establishes its rule there.
108000	114000	And by that definition, all of world history is a history of imperialism and colonialism.
114000	119000	There is no people or no country today that has not at some point
119000	122000	been involved in imperialism and colonialism.
122000	125000	So nothing specifically unique or different about Europeans
125000	128000	doing exactly what everyone else did.
128000	131000	When people hear the term colonialism now,
131000	139000	they zoom in on a very specific and small portion of the world of colonialism,
139000	144000	which is basically 19th century and early 20th century European colonialism
144000	146000	in what we now call the Third World.
146000	149000	Certainly in modern academia and perhaps the wider culture,
149000	155000	18th and 19th century European colonialism is now seen as being a sort of shorthand
155000	161000	for something that is unadulteratedly cruel, entirely racist.
161000	165000	What about this analysis in your view, full short?
165000	172000	Well, in part because it's either true by definition or it's patently false.
172000	177000	True by definition because every group, up until very recently,
177000	179000	was inherently racist towards other groups.
179000	183000	The Cherokees of the Americas were racist towards other Native Americans.
183000	188000	The Bantu were racist towards all of the Black African tribes they conquered
188000	191000	as they imperialized Southern Africa.
191000	195000	The Maori were racist towards other Pacific Asian tribes.
195000	200000	I mean, everyone was a racist if by that term we mean the assumptions by group A
200000	206000	that the members of group B are inferior and deserve to be conquered if they can be.
206000	210000	That's a universal human phenomena and it arises from evolutionary needs
210000	212000	for basically in group solidarity.
212000	217000	So racism is the standard default position for all peoples.
217000	221000	So to say that the Europeans were racist is just to state the obvious
221000	223000	because all peoples were racist.
223000	227000	If it's not a statement of the obvious then it's patently false
227000	232000	and by that I mean that if we were to judge the racism of the Europeans
232000	237000	vis-a-vis the places they conquered, compared to the racism of other groups at the time
237000	239000	we would find the Europeans much less racist
239000	243000	and if we were going to put it on a spectrum we would say the only anti-racists
243000	246000	in the whole world at the time of European colonials and we're the Europeans
246000	251000	because they were the ones who went abroad and said these peoples have the capacity
251000	252000	to be just like us.
252000	254000	These people deserve freedom.
254000	256000	These people deserve to be freed from slavery.
256000	258000	They deserve to be developed.
258000	262000	They deserve to be civilized, which of course is seen as a sort of great racist act
262000	263000	but it's quite the opposite.
263000	267000	It's the act of saying all peoples have the potential to be self-governing,
267000	271000	to be flourishing, to have a written language, history, arts and culture.
271000	276000	This was the great anti-racist campaign that European colonialism represented.
276000	281000	So that's why I say it's either simply a statement of the obvious or it's patently false.
281000	284000	Roughly, what were other people at the time thinking?
284000	289000	You mentioned these were attitudes that Europeans held
289000	294000	but what would have been more normal attitudes at the time for the rest of the world about other groups?
294000	300000	Well, the rest of the world, and this is true well into the 20th century,
300000	308000	basically that different groups saw themselves based on their ability to spread their rule
308000	311000	and their culture and their institutions to others
311000	314000	and they were more superior the more they were able to do that.
314000	322000	So this is why the Bantu expansion into southern Africa, the Buganda expansion throughout East Africa,
322000	328000	the Fulani Slave Empire of West Africa, all of these groups saw themselves as inferior
328000	333000	and saw those they conquered as not just moral inferiors but somehow subhuman.
333000	339000	In the sense that they weren't engaged in a civilizing action, they were engaged in a simple conquest.
339000	348000	And this was real racism in the sense of denying the humanity of those who were put under the subjugation
349000	354000	which is why these empires often were slave empires or simply genocidal empires.
354000	356000	The Europeans were different, right?
356000	362000	Not entirely, they had their brutal aspects, they had their old imperialist conquest aspects
362000	368000	but the seed of the difference in the European case was this idea of civilization.
368000	373000	Civilization raises those that you conquer from the level of subhuman to being human
373000	376000	because why would you civilize farm animals?
377000	380000	You civilize people who you tick to be your moral equals.
380000	383000	Now in 2017 you caused something of an uproar.
383000	389000	You wrote a piece called The Case for Colonialism in which you made the claim that European colonialism
389000	392000	was indeed beneficial to colonized people.
392000	395000	Can you tell us something about the backlash of attacks?
395000	399000	What you said in that article, what happened as a result of it?
399000	404000	Because this was a proper firestorm in your area.
404000	409000	This was, I wrote the article of 2017, The Case for Colonialism
409000	413000	because I was starting work on my biography of Sir Alan Burns,
413000	417000	great British colonial administrator which became the last imperialist
417000	423000	and I was trying to frame the basic case for colonialism that his life represented and he articulated.
423000	428000	And it went through peer review, got a split decision, the editor decided to run it,
428000	433000	kind of thinking it might be a good debate and literally within minutes of it appearing online
433000	439000	there were two online petitions started, one by a interpretive dance instructor in Britain
439000	447000	and one by an English professor in Manitoba and a third by a professor in Syracuse University
447000	449000	who also wanted my PhD revoked.
449000	456000	So three petitions actually which eventually had about 30,000 signatures demanding the article be retracted,
456000	462000	saying that this was violence against brown and black people, saying that this was holocaust denial,
462000	468000	saying that this was a threat to the safety of my students.
468000	474000	So my university launched a diversity investigation claiming my article was an act of violence.
474000	480000	Eventually the editorial staff in London had death threats from nationalists in India.
480000	483000	They asked me could they please withdraw the article.
483000	488000	I said of course, not a big deal to me, their safety was paramount.
488000	493000	It was reprinted in Academic Questions which is the House Journal of the National Association of Scholars.
493000	499000	And I think thanks to the firestorm has attracted far more attention than it would have attracted
499000	502000	if it had simply been allowed to be read and disputed.
502000	509000	The original journal that it was published in then unpublished in just decided to pretend it hadn't happened?
509000	511000	So this is the third world quarterly.
511000	514000	No, they did things by the book.
514000	521000	They were not allowed to retract an article because of a political firestorm according to the ethics commission of the UK,
521000	525000	which actually is stronger than the ethics commission in the US for publishing.
525000	532000	So they had to ask my request to withdraw it, not retract it, which I agreed to for their physical safety.
532000	534000	So it was withdrawn, not retracted.
534000	539000	So if you go to the website today, you'll see the withdrawal notice that states very clearly that they faced death threats.
539000	547000	And the funny thing is now the third world quarterly has allowed, now that all their editorial staff has been revamped with ultra woke academics,
547000	552000	they're allowing their authors to cite the article again, but they're only citing the withdrawal notice.
552000	560000	They're not citing the actual article, but they're trying to kind of piggyback on the popularity of the article to generate metrics for their journal,
560000	562000	but you can't actually read the article on it.
563000	567000	So there are three petitions against you, including the interpretive dance lady.
567000	572000	And she didn't presumably make her objection through the form of interpretive dance, did she?
572000	577000	No, she used the method of a petition.
577000	581000	And you might say, well, okay, it's a free world.
581000	582000	And I do believe this.
582000	587000	I think if you want to set up a petition and oppose something, be my guest.
587000	602000	But what was, I think, shocking to me was how many people signed that petition who were credentialed academics holding positions in universities in the UK and Canada and Australia and the United States,
602000	607000	universities which are by their very principles committed to the principle of academic freedom.
607000	618000	And so you have, I mean, okay, people signed petitions, but academics standing up very publicly and saying, I don't think this article deserves to be written.
618000	621000	I think academic freedom has certain limitations.
621000	629000	And when people say things that I think are racist or white supremacist, academic freedom has reached its limits.
629000	635000	It seemed to me that with that article, you had undoubtedly hit a tripwire in our day.
635000	643000	And the way I sort of thought of it in a way was perhaps there would have been a time maybe 100 years ago where to write, I mean, this isn't particularly the case,
643000	651000	but to write only negative things about colonialism and everybody involved in colonial projects would have caused some kind of problem.
651000	659000	And that what had happened is that in our own day, to say actually the picture is a bit more nuanced, more rounded, is just unacceptable.
659000	669000	It has to be that colonialism is like the Holocaust, as one of your accusers said, that it's just, there is no context, it's just bad.
