start	end	text
0	11560	Alright, we are live on YouTube. Dr. Brian Keating, Dr. Eric Weinstein, how are you my
11560	13400	friend? I miss you very much.
13400	17400	And I use her. Good to be with you. Is it Cinco de Mayo?
17400	22280	Yes, Feliz Cinco de Mayo. It always comes on the 5th of May, every freaking year. It's
22280	23280	like clockwork.
23280	27080	No, I've decided to celebrate and be festive.
27080	29800	You've got five glasses of tequila like me?
29800	35520	No, I've got the Mexican hat potential on the bottom of my mug.
35520	42800	Well played, sir. Buenos dias to you, my friend. Well, we're going to get in right off the bat.
42800	47680	We're going to talk about the most exciting subjects in your universe. My audience has
47680	55320	missed you as much as I have. And we want to make sure that we kind of give the people
55400	60000	what they're interested in. And that today involves a whole host of issues. We're going
60000	64920	to talk about aliens and a possible new solution to the Fermi Paradox. We're going to talk
64920	72920	about your new and ever-evolving and a good way theories and feelings about cryptocurrencies,
72920	79120	inflation, and so forth. And then we're going to talk about some less controversial subjects
79120	84760	like abortion, Supreme Court leaks, and wherever the day takes it.
84760	86760	How exciting.
86760	95960	Yes, and I was pleased to see recently a man by the name of Musk has kind of taken a new
95960	102800	stance for which he's taking extreme attacks and hostility. And I wondered, Eric, you know,
102800	107440	if he might have a little bit of buyer's remorse right now. Do you feel like this prize, you
107440	111160	know, everyone's always the richest man in the world. That's true. He has five times this
111160	117120	amount. That's true. But, you know, if I, if I, you know, took away your family car, you
117120	120960	would feel it, you know, I would feel it. And so I feel like this is a tremendous amount
120960	125480	of money. And I want to take you back to we started pandemic podcasting together two years
125480	131560	ago, exactly. So, you know, congratulations on our anniversary. But in the in between, there
131560	134960	was this thing called Clubhouse. I don't know if you remember this thing called Clubhouse. And
134960	139000	that was the hottest ticket in the world. Everybody wanted it and get on it. I haven't
139000	143000	used it in months. I don't know about you. Like I said, I don't know, you might be on
143000	147000	there, but I'm not on there. Do you think he might be having buyer's remorse? He think
147000	151320	he might look back and say this was the clubhouse of 2022. Eventually, and I shouldn't have given
151320	155400	up a quarter of my network.
155400	163040	If there is buyer's remorse, my guess is that it hasn't set in yet. Because I believe that
163280	170440	there's a lot of low hanging fruit to improve Twitter. And, you know, Elon, I don't know
170440	178280	Elon at all. I know tons of people who know him. My impression of him from afar is very
178280	185400	confused. He does seem to be in many ways the world's most forward thinking person. At
185400	191080	least at the level of, you know, forward thinking, what can we what can we actually do? So I'm
191120	195520	pretty impressed with him intellectually as a public intellectual. Then, you know, then
195520	201920	there are layers. Then there's the idea that he has to be chaotic. So he is very Trump-like
201920	207840	in many ways in terms of how he uses Twitter and how he attempts not to be constrained.
207840	214320	Because there are going to be SEC rules and lots of lawyers and PR people telling you
214320	218840	can't say this, you can't do that. And he's decided that he wants to be free. And so there's
218880	223080	this paradox, sort of a laugh or curve, when you have no money and when you have lots of
223080	228240	money, you tend to be in a weird way less free than people with intermediate levels. And so in
228240	235200	a strange way, I sort of see him as a very rich person, choosing to put a lot of his wealth at
235200	241280	risk so that he can be free. And that too is very forward thinking. Now, what I know about
241280	248080	Twitter is that current Twitter has all sorts of obviously soluble problems in terms of you can
248120	255160	just fire a bunch of people and you can make rules about algorithmic transparency and the
255160	261440	like. And then when you get to the end of plucking all the low-hanging fruit, then you've got the
261440	269720	problem of the underlying technology allows any person to post something instantly. And you
269720	275160	know, what we've seen is we've seen first-person shooters looking like they come out of a video
275200	282880	game in the Christchurch Mosque Massacre that was, I think, streamed live on Facebook. So the
282880	290440	problem is us. It's not Twitter. It's not the technology. It's the technology hooked up. Lots
290440	300400	of people, many of whom have mental health issues, many of whom are incredibly chaotic, talking
300440	305560	to each other without common background, without an ability to, you know, to know who's going to
305560	314560	post what when. So in that world, I don't think there's a solution. So, you know, the great
314560	323960	danger is that he's bought something and he's got the first 17 fixes lined up. And I don't think
323960	328240	the problem is going to occur then. I think the problem is going to occur once you fixed all of
