start	end	text
0	14800	Okay, so I feel like I am the luckiest and happiest corpus callosum, separating and
14800	20600	reaching these two gentlemen, Ima Gilchrist and Rupert Sheldrake. I've had the honor
20600	25560	and pleasure to spend many hours in conversation with you two, and we're here at Rupert's
25560	32560	house because we've recorded a series of conversations with Rupert and also with Iain. The last
32560	36680	one covering his book The Matter With Things, and so we couldn't miss this opportunity to
36680	41800	be the three of us, and especially you two in conversation, so I'm really glad we're
41800	51080	doing this. So am I. Me too. So let's start with any curiosity back and forth, maybe
51080	56320	from Rupert about the hemisphere apothesis, and perhaps from me and Rupert about morphic
56320	62440	resonance, and then see where we go. All right. Well, I confess I haven't read the whole of
62440	68200	your book, but I've read several chats of it, and I've watched many of your talks and
68200	73640	so on, and one thing I deduced is that it's something to do with the two hemispheres of
73640	82000	the brain. That has come through quite loud and clear in every chapter, and there are
82000	89840	two things I'm curious about, about the hemispheres and your chosen central terrain. One is that
89840	97400	when people started doing these split brain operations, they were done, I think for epileptics
97400	102160	mainly, weren't they? They severed the corpus callosum that joins the two halves of the
102160	110160	brain together, and this enabled Sperry and other scientists to look at the lateralization
110160	114560	of function in the two hemispheres, and they had to do very sophisticated experiments to
114560	122280	show this, that all that leads to this idea of differentiated function. But the bit that
122280	130680	interests me is that they were doing these operations on patients who had their brain
130680	135320	split in two, or at least all down to, there were still a few connections in the basal
135320	140200	brain, but largely severed the connections between them, and the reason they were able
140200	146640	to do this and go on doing it was because when people went home, it seemed to have solved
146640	152920	the seizure problem, and they seemed perfectly normal. And for me, that's the most astonishing
152920	157640	thing of all in this research, that people who had had their brain completely cut in
157640	163240	two, not completely, but largely cut in two, worked to coordinate the movements of both
163240	171000	sides of their body, their mouth moved, coordinated as they spoke, their spouses and loved ones
171000	178120	hardly noticed any difference. And for me, that suggests either that the nervous connections
178120	186200	to the two halves of the brain are completely or largely unnecessary, which is very surprising,
186200	192440	or that the coordination between the two halves of the brain, which must be there in order
192440	198040	to walk and speak and swim and dance and do all the normal movements of life. I'm just
198080	203280	talking about motor coordination here, not just about, you know, the more sophisticated
203280	209720	cognitive functions, that then there must be still some coordination to the two halves
209720	214680	of the brain. And for me, that suggests there's a kind of resonance between the two halves
214680	220680	of the brain resonate, either electromagnetically or through something like morphic resonance,
220680	226880	that there's an overall wholeness within which these two parts are coordinated by resonance.
226880	232880	They're not coordinated by direct nervous connections, as one might otherwise have assumed.
232880	237520	So for me, it raises a completely different view of how the brain may actually work and
237520	244520	how the two hemispheres may be coordinated. What would you think about that? I mean, why
244520	250760	is it that severing the connection of corpus callosum that links the two halves has so
250760	252640	little manifest effect?
253400	257800	The first thing to say is that the corpus callosum, many people don't realize, is a
257800	264480	mammalian invention. So although reptiles, amphibians, and many other creatures lower
264480	273480	down that tree have two centers in their brain, they're not connected in this direct way.
273480	279840	Corpus callosum started with the first mammals. The second thing I think that's worth reflecting
279840	285800	on is that it's not uncommon for people to be born with what's called colossal age
285800	290240	genesis, in other words, they don't have a corpus callosum, and it's often a chance
290240	298240	finding a postmortem. So quite clearly, the finding that you can sever the connection
298240	306680	and people can lead a reasonably normal life, almost impossible really to, if casually encountered,
306680	311520	you wouldn't notice that there was a problem. These are consonant findings and they are
311520	321920	a bit mysterious, I agree. But what they think they show is that, first of all, this direct
321920	326600	connection between the hemispheres is not the only way in which the two hemispheres can
326600	333360	communicate. For example, they very obviously share a body and the eyes and the senses take
333400	338680	in both parts of the body, so they know where, if you like, they can sense outwardly as well
338680	348240	as inwardly what's going on. Mostly in these cases, the operation was done in somebody who
348240	354880	had a longish life and had got used to the coordination of the two hemispheres. They
354880	360680	communicate with one another through the endocrine system. There are all sorts of ways in which
360880	368880	they have a common internal environment. And as you say, they communicate at the level
368880	375280	of the brainstem and even a little bit above it. So there is definitely connection there
375280	383560	of a kind. I don't know quite how to understand the resonance though, because the immediate
383560	387880	question is, I mean, when you think of things resonating, you think the brain waves from
387960	393400	this hemisphere are they literally resonating with the other hemisphere? I don't know of
393400	398960	any evidence of that. So what sort of a resonance exactly is it that they might have?
398960	406280	Well, I'm not sure, but what I think of it, say that there was a field, a morphic field
406280	411640	covering the whole brain and brain activity, that included within it the activity of the
411640	417280	two hemispheres, then the way in which they're coordinated might be through this field,
417400	423520	co-ordinating the two parts within a larger hole. And the coordination wouldn't necessarily
423520	430520	mean that one echoes the other in a most literal resonance way. But the way in which, say, the
430520	436520	different organs of the body, or say, different atoms within a molecule are coordinated within
436520	444520	a larger field. Now, if you take a molecule, a very simple molecule like H2O or CO2, the
445200	452200	atoms, the carbon and the two oxygens in carbon dioxide, are bound together by bonds. But
452200	457240	the bonds that bind them together have an electron cloud that goes around the whole molecule.
457240	462240	Covalently bonded molecules have a cloud of electrons surrounding the whole molecule,
462240	466760	like a membrane around the whole molecule. And the bond between the actual individual
466760	473280	atoms is there are shared electrons that bond them. But there's a cloud, an electron cloud,
473360	478440	around the whole thing. And the vibratory patterns of carbon and oxygen within a CO2,
478440	483800	they have different vibratory patterns, but they're coordinated together by an overall
483800	490800	field which influences both through its influence on their vibratory frequencies and coordinates
490960	496480	them and is sensitive to changes in both in a way that communicates it to the other.
496480	500560	Something like that. I mean, this is a crude model and I haven't actually tried to work
500640	507640	it out in detail. But some overarching field of whatever kind, I mean, my favorite kind
508640	515640	of morphic fields, but some overarching, organizing field in which both are parts and which coordinates
515640	520640	the two, would seem to me to be one way of thinking about this.
520640	526560	Well, immediately, of course, I think of the way in which quantum field theory suggests
526560	533560	that the way we tend to think in terms of little balls or particles is at most of metaphorical
535520	541160	meaning. And that what is being referred to there is a very particular state of something
541160	548160	that is an overall field that has energy and exerts influence. So such fields are very
549160	555440	basic. And without the idea that there is some sort of coordinating field, it's difficult
555440	562320	to explain how a simple organism, a single cell organism, can detect changes and respond
562320	569320	to them in other parts of even that cell. I mean, this is something that has been puzzled
570920	577920	over by many biologists. And there seems to be some overall coordination. And of course
578440	584880	this goes much further when you come to a multicellular organism and how do the various parts of this
584960	589560	organism know that certain things need to be responded to elsewhere in the organism?
589560	594400	Look, we don't at the moment have any way of understanding how this communication takes
594400	601400	place. Yes. You see, I think it even applies to physical systems like crystals. I mean,
601920	607000	there's a longstanding problem, as you know, with snowflakes. You know, Johannes Kepler
607000	612360	wrote a monograph on the six-sided snowflake. I didn't actually know. He did. Yes, he was
612400	617600	fascinated by snowflakes. All these people have taken wonderful pictures of snowflakes.
617600	624120	You know, Bentley is one of the great ones, the classic pictures. What you see with the
624120	630360	snowflake is they all have six sides or arms. And the six arms are the same as each other.
630360	636640	But each snowflake is different. Exactly. So the thing is, how come they're coordinated?
636640	641160	Because you could say, well, the particular branches on the thing are random to do with
641200	645480	the immediate environment. But then you'd have to say to explain the whole snowflake
645480	650920	being the same. The every arm of the growing snowflake was exactly the same on that snowflake.
650920	655440	And they're all the same just because they were in exactly the same fluctuating environment,
655440	660800	fluctuating in the same way. And the next snowflake was in a completely different environment.
660800	667800	Or you could say, as intriguingly the late editor of Nature, Sir John Maddox, no friend
668360	675120	of mine in many ways, puzzling over this question of snowflakes, said there must be some kind
675120	681120	of internal resonance within the lattice structure of the snowflake that enables it to be co-ordinated.
681120	688120	It must be reading you. Possibly. But you see, there are resonances within crystal lattices,
690280	697040	there are resonant patterns and harmonics and stuff. And so say there's a co-ordination
697080	702160	between these seemingly separate arms of the snowflake, which could depend on some kind
702160	708520	of field that's over and above the individual arms. So that's the kind of model. And one
708520	715520	would expect with any holistic model of organisms that there's a field for the entire body that
715640	721200	helps coordinate the development of the body and all the organs within it. But this field
