start	end	text
0	5680	In the philosophy of science, constructivism is the perspective that, while reality may exist
5680	11360	independent of our silly little human brains, scientific knowledge is socially constructed.
11360	14720	But definitions are boring. Vibes are far more important.
14720	18960	How do scientists feel about this idea? Let's examine the data.
18960	24720	A perverse doctrine that subordinates rationality to politics and unbridled subjectivity.
24720	30240	An indefensible reduction of all claims about nature to equally contingent status.
30240	35680	A conspiracy of leftist humanists and social scientists against both science and western
35680	41200	civilization. Fascinating. I'm going to go ahead and say that most scientists, you know,
41200	45200	I could be wrong about this, but it's the impression I get from years in the field,
45200	50000	extensive study on the culture of science and, you know, being a person online.
50000	56240	Most scientists don't find constructivism that helpful an idea. But lucky for you, I'm not
56240	60720	most scientists. My doctoral research was in astrophysics, but more recently I've been
60720	66240	publishing papers and making videos about the more social and political aspects of science.
66240	70080	And the whole point that I'm trying to get across is that even the hardest of the hard
70080	75600	sciences are still affected by messy people stuff. And I get the impression that some people are
75600	79600	kind of starting to come around to that idea, especially in fields like medicine or maybe
79600	87280	even technology, but not physics, right? Physics is just the fundamental truth about the universe.
87280	92640	Particles don't care about the political climate. Radiation doesn't discriminate against women.
92640	100080	Gravity isn't a social construct, right? In this video, I'm going to use gravity,
100080	105760	dark matter and a controversial, but in my opinion, compelling theory to illustrate why even the most
105760	112880	objective, rational, definitely not made up facts about the universe are indeed socially constructed.
112880	116640	And don't worry, I'm going to explain what that even means. But it's going to be a lighthearted
116640	120720	and fun video today. I promise this isn't going to end up being about racism or something heavy
120800	126320	like that about God, maybe, but not in the way you think. Just watch it. Trust me, it's going to be a good one.
126320	151840	Before we get into it, I want to lay out a few working definitions because I feel like a lot of
151840	156080	conversations about squishy human subjects like this tend to get stuck on semantics.
156160	160880	And social constructivism is definitely the kind of term that means different things in different
160880	165360	contexts. So if you're mostly here for the physics, bear with me for just a little while I talk about
166320	173120	sociology. Social constructivism is broadly the idea that the natural world just kind of exists,
173120	178480	and then scientific knowledge is what we create in our attempt to model the natural world,
178480	184560	but it is not the same as transcendent truth about the natural world. In other words,
184560	189200	knowledge is something we construct. One way to build a stronger intuition for what this means
189200	195440	is to consider the opposite philosophy, objectivism. Not that weird like A&Rand objectivism where
195440	200720	productivity is man's most noble calling or whatever. The scientific objectivist belief
200720	204880	that us mere mortals can in fact deduce fundamental truths about the universe
204880	209840	transcendent of approximations or models. But like many things in the social sciences,
209840	214800	these philosophies exist on a spectrum. On one end of the spectrum we have objectivism,
214800	220640	and on the other end strong constructivism. The two genders. Strong constructivism is where an
