start	end	text
0	5660	Language. It's what I'm using to talk to you right now. The thoughts I have in my brain
5660	9520	are being transferred to your brain because I'm making mouth sounds that you interpret
9520	14280	as symbols of meaning. Today I'll be flipping things in on themselves and using language
14280	18920	to talk about language itself. I'm sure you're familiar with the iceberg format. I'll be
18920	23400	talking about a bunch of different topics, and as the video goes on, those topics become
23400	36640	increasingly obscure and strange. Let's go.
36640	41720	The unbearable agony of referring to octopus in the plural. I'm a firm believer that every
41720	47000	single English speaker has had a conversation like this. Yeah man, so I was at the aquarium
47000	52720	and there were a bunch of octopuses. Or is it octopi? That doesn't sound right either.
52720	59160	Who cares? It turns out that the quote-unquote correct pluralized form is indeed octopuses.
59160	63480	This is just one example of how weird and inconsistent plurals can be in the English
63480	68360	language. The reason this happens has to do with where the words come from. Octopus comes
68360	74160	from Greek rather than Latin, and in Greek they would pluralize it to octopodes. Instead
74160	79400	of doing that, English takes the Greek word and gives it a more familiar English inflection,
80400	84560	One of my favorite examples of weird English plurals is what happens when you use the plural
84560	91240	rule of one word on another. You have one ox, you have many oxen, you have one fox, so
91240	97160	you must therefore have many foxen. But no, you have many foxes. I tend to prefer foxen
97160	98440	though.
98440	113480	Ah, the French. The wine, the cheese, the baguettes, and the excessive use of silent
113480	118760	letters. Here's a particularly egregious example that a tumbler user pointed out. No language
118760	124320	should be mocked other than French. Birds is wazo in French. No letter is pronounced
124320	129200	the way it should, and there are seven of them. It's pronounced wazo, and yes, I will
129200	134640	die mad about it. Wazo hits every vowel in the French alphabet and manages to only be
134640	138600	pronounced with two goddamn syllables.
138600	145360	There's a famous poem called The Chaos by Gerard Nolst Trinité, which is basically
145360	151200	just a long rant, making fun of bizarre quirks in English spelling. Here are some passages.
151200	156800	First creature in creation. Studying English pronunciation. I will teach you in my verse.
156800	163000	Sounds like corpse, core, horse, and worse. I will keep you, Susie, busy. Make your head
163000	170400	with heat. Grow dizzy. Tear an eye. Your dress you'll tear. So shall I. O hear my prayer.
170400	177040	Pray. Consol your loving poet. Make my coat look new, dear. Sew it. Just compare heart,
177040	183760	beard, and herd. Dies and diet. Lord and word. Now I surely will not plague you with such
183760	190280	words as vague and agieu, but be careful how you speak. Say break, stake, but bleak and
190280	192560	streak.
192560	194720	Tower of Babel
194720	199760	The Hebrew Babel contains a story called the Tower of Bible. Wait, the other way around.
199760	204280	Supposedly, the story explains why people speak different languages around the world.
204280	209520	In the beginning, all of humanity was united in one language. They traveled east to Shinar
209520	214240	in South Mesopotamia, where they built a city. The city contained a tall tower stretching
214240	219400	to the top of the sky. Yahweh saw this tower and was a bit mad about it because he figured
219400	224240	that it was just a clever attempt to avoid a second flood. In retaliation, he decided
224240	228840	to discombobulate their language so they couldn't understand each other and then scattered everybody
228840	231600	around the world.
231600	233720	Duolingo
233720	239720	Duolingo, the edtech app with acute owl logo, designed to help people learn languages. Seems
239720	243560	like that's a strictly good thing, right? Well, the problem with learning languages
243560	248600	with apps like these is that their primary focus isn't actually to teach you the language.
248600	253400	As with any other tech company, the goal is to keep you on the app as long as possible.
253400	257800	It doesn't give you any lessons on grammatical rules or structures, and instead it uses a
257800	262320	system where you answer quizzes and repeat patterns until the penny drops and you eventually
262320	266800	get it. Generally, when you teach people a second language, you actually show them the
266800	271440	grammatical structures first before jumping into examples and tests so that the learner
271440	275440	doesn't have to magically figure it out through trial and error. If you really want to pick
275440	279440	up a second language, taking a proper course or studying in a more traditional way with
279440	283880	books is probably going to be a much better use of your time. Even watching a foreign
283880	288800	film with subtitles is probably better than Duolingo. I will say though that Duolingo might
288800	293680	be useful as a supplementary tool alongside real studying, or maybe you're in a situation
