start	end	text
0	15320	To support our discussions with the world's leading thinkers, please see the video description
15320	28840	or visit eism.eu forward slash support. Thank you.
28840	33400	Hello and welcome to a theory of everything. I'm Luis Rosso, the director of ASIM and host
33400	39120	of this channel. Today we're talking to Dr. Judith Curry, an American climatologist and
39120	45280	former chair of the School of Earth and Atmospheric Sciences at the Georgia Institute of Technology.
45280	50880	You'll have to forgive me for the clickbaity title, but there's actually a good reason for it.
50880	57120	On the surface, today's discussion is about climate change, and one of the fruits is the
57120	64360	challenge issued by Dr. Curry, a so-called climate denier, to climate alarmists in general,
64600	69960	and to Lawrence Krauss specifically. For those who don't know, Krauss is a prominent
69960	76040	theoretical physicist and a public intellectual. He's also a previous guest on the channel who
76040	83960	wrote a recent book on climate science. I think you'll be struck, as I was, by the combination
83960	91160	of Dr. Curry's impressive academic credentials and the confidence with which she issues her
91160	98200	challenge. In my view, her claims merit a response, and I hope we can eventually get a taker,
98200	104440	whether Lawrence Krauss or somebody else. However, the most important takeaway here is not on
104440	113800	disagreement, but rather on the agreement. Curry is abundantly clear, as is Krauss, that ultimately
113800	119480	what we're dealing with here is a political question. How are humans going to resolve our
119480	126680	different takes on science without eventually destroying ourselves? That ultimately is the
126680	133800	heart of the issue, and it's one on which the long-term survival of humanity depends. It's one
133800	140040	thing to have an opinion, and it's an entirely different thing to propose a better way to resolve
140040	147000	our differences of opinion. These two things, having an opinion and proposing a better way to
147000	152600	resolve differences of opinion, belong on completely different levels of abstraction,
153320	160600	and the second question is much, much more important. It's the difference between a group of people
160600	166200	not being able to decide what to have for lunch and the same group debating on whether to vote
166760	175320	or draw straws or play rock, paper, scissors to settle the differences. This second question
175400	180760	of how to make collective decisions is studied formally in a branch of economics
180760	187320	known as social choice theory. You'd be surprised how many otherwise very intelligent people don't
187320	193480	pay even the slightest attention to this critical science. I hope you'll reflect on this because
193480	200680	ultimately this is why this channel exists, and this is why we have these discussions. We're not
200680	207320	just another YouTube channel, and we're not here to entertain. Today's lesson is an important one,
207960	214200	but it's not primarily about climate change. Don't get it wrong. The most important lesson
214200	221800	here involves science plus social and political will, or science and management, and that's
221800	228840	where ASEM is a global pioneer. We've started with fundamental physics, and we're working our way
228840	234360	through all of the branches of knowledge. Our mission is to change the way the world
234360	240600	makes decisions before it's too late. So I hope you enjoy my exchange with Dr. Curry,
241240	247640	but I also hope you don't lose focus. As always, you'll find a timestamp and relevant
247640	253480	links in the video description. Thanks for sharing your thoughts in the comments, and thanks for your
253480	259720	continued interest and support. Hello, and welcome to A Theory of Everything. I'm Luis
259720	265960	Rosso, the director of ASEM and host of this channel. Today we're talking to Dr. Judith Curry,
265960	273720	an American climatologist and former chair of the School of Earth and Atmospheric Sciences at Georgia
273720	279560	Institute of Technology. Dr. Curry, thank you so much for taking the time to talk today.
280440	282920	Well, my pleasure. I look forward to our conversation.
284600	288760	Well, Dr, if it's okay, I'd like to start by telling listeners about your professional background.
290040	296280	So Dr. Curry graduated cum laude from Northern Illinois University with a Bachelor of Science
296280	304200	degree in Geography. She then earned a PhD in Geophysical Sciences from the University of Chicago.
305080	310200	Her research interests include hurricanes, remote sensing, atmospheric modeling,
310760	318360	polar climates, air-sea interactions, climate models, and the use of unmanned aerial vehicles
318360	324280	for atmospheric research. She was a member of the National Research Council's Climate Research
324280	330920	Committee and has published over 100 scientific papers and co-edited several major works in
330920	338200	climate science. Dr. Curry served on the NASA Advisory Council Earth Science Subcommittee,
338200	343560	whose mission was to provide advice and recommendations to NASA on issues of
343560	350120	program priorities and policy. She was also a member of the National Oceanic and Atmospheric
350120	357320	Administration Climate Working Group from 2004 to 2009. A member of the National Academies
357320	363480	of Space Studies Board from 2004 to 2007 and a member of the National Academies
363480	372440	Climate Research Group from 2003 to 2006. As you can see from this description that Dr. Curry is
372440	381000	obviously a very accomplished climate scientist. She retired from her university position in 2007
381720	386680	partly because of what she described as anti-skeptic bias, which she attributed
386680	391720	at the time to the political nature of climate science. And that's part of what we're going
391720	397480	to talk about today, the very tricky relationship between science and politics.
398840	404680	In fact, Dr. Curry, the primary focus of this channel, or one of the primary focuses of this
404680	410760	channel, is on the science of effective management, which is tricky. In your case,
410760	417560	you often talk about something that the vast majority of people will agree with and I'd like
417560	422600	to place that at the center of our discussion. And that's the idea of human flourishing.
424120	431480	Most people at any point on any political or ideological spectrum seem to agree that human
431480	436440	flourishing is the ultimate goal. And you've stated, if I've understood correctly, that human
436440	441560	flourishing is ultimately what drives your work. Can you say a little bit more about that and maybe
442360	447080	about why you think that something that everybody agrees on can become so complicated?
448920	456520	Well, I'm not sure everybody agrees on that. Some people want, you know, think that the answer is
456520	464680	fewer people and more poverty. So we use less resources and don't impact the environment. So
464680	471560	that that's sort of an environment first kind of approach. Can I take the people first approach?
472200	480520	You know, I want to see prosperity and human development for all the world's countries and
480520	485080	all the world's peoples. Now, there are a lot of things that get in the way of that.
486360	493480	You know, the environment is just one relatively small factor. And the wealthier a country is,
494520	499960	the smaller the factor of the environment is because you have enough money to figure out
499960	505160	how to cope with it. But in less developed countries, they're very vulnerable to the
505160	515640	environment. Their development is often hampered by poor governance and corrupt leaders. So it's
515640	521960	difficult to make headway. But when we're talking about the climate change problem,
521960	531800	to me, there is no way that a solution of not allowing Africa to develop its fossil fuel
531800	539080	resources can be regarded as ethical or just. I mean, that that's just something that makes no
539080	547320	sense. And you know, it's just two fundamentally different outlooks. So I'm not sure everybody
547320	554280	agrees that human thriving is really the goal. There are a lot of people that say, well, there
554280	559960	should be fewer people. And if people didn't use so many resources and whatever the world would be
560040	568200	a better place. So it's the, you know, just two different views of humans relations with their
568200	576200	environments. You know, one is that we that we rely on the higher environment for our sustenance,
576200	581240	and we have to take care of our environment. And the other one is that, you know,
583320	589160	we can survive, you know, that we can engineer our environment to make it work for us. You know,
589160	595800	we don't want to trash it. But the, you know, the earth is a vast place with many resources.
595800	600440	Let's figure out how to how we can best use this for human thriving.
602920	608440	Okay, well, to be honest, that's kind of news to me that there are a lot of people I suppose
608440	617080	we have to quantify a lot of people who think that less or that the environment is more important
617320	623320	than humans. My guess is that there's not the majority of people do not have this concern. Or
623320	630920	do you have different information than I've been able to? Well, there's very strong academic
630920	638840	heritage in philosophy and environmental science, you know, along those lines. The UN,
638840	648200	the UN policies from the environmental program. And even the Paris Agreement,
648200	654920	they do not put human development first. They're putting reducing carbon dioxide emissions first.
655560	660680	Okay, a lot of the programs that were UN, you know, World Bank and whatever to help
662840	667640	low income countries develop and reduce their vulnerability to climate change,
667640	674440	those resources are being redirected to help mitigate CO2 emissions. So I mean,
675080	681880	there are some big international worldwide policies that do not seem to be focused on
682920	692360	human thriving, at least in the near term. Okay, but if I understand these policy initiatives
692360	699720	correctly, the ultimate goal or the concern about CO2 levels is not the CO2 levels themselves,
699720	706840	but rather their impact on human flourishing. Have I gotten it wrong? Well, yeah, I mean,
706840	712840	this is the weakest part of the argument. Okay, is more CO2 in the atmosphere dangerous?
713400	721480	They haven't really made that case very well. It's tied to extreme weather events.
722360	729240	Which have always happened will always continue to happen. It's very difficult to disentangle
729880	736360	the role of natural weather and climate variability, land use, and the slow creep of
737240	741800	global warming to try to attribute any of the problems that we're having
743320	751560	to increase carbon dioxide in the atmosphere. The slope warming does produce a slow creep
751560	759480	of sea level rise, but it's slow. It's been, the sea level has been rising most recently
759480	768120	since the mid 19th century at relatively slow rates. Certain people predict that this could
768120	776040	rapidly accelerate, but it hasn't been happening. Anything catastrophic with sea level rise,
776040	781880	such as the collapse of the West Antarctic ice sheet, is more likely to be associated with
781880	788840	under ice volcanoes than it is to CO2 in the atmosphere. So this whole issue of danger
789480	795400	is the weakest part of the argument. And they try to get around that by blaming everything,
795400	802920	Pakistan floods, hurricane, and everything on climate change. Well, these severe weather events
802920	810920	would have happened independent of climate change. And if you look back to the early part
810920	816840	of the 20th century, you are always going to find worse extreme events than what we've seen in the
816840	823720	last 10 years. And if you go back even farther using paleo climate records, you see some really
823800	834840	awful extreme events. In the US, the worst weather by any standard, heat waves, fires, floods,
834840	843160	hurricanes, everything occurred in the 1930s. Nothing comparable to what happened in the 1930s
843160	849400	have we seen in the 21st century. Did the US weather in the 1930s, did that relate to
850200	861400	fossil fuel emissions? No. So that there's a very weak argument in trying to present all this is
861400	871000	dangerous. Okay, well, we recently talked to Jeffrey Sachs, a professor at Columbia University,
871000	876280	and a widely respected global authority on sustainable development, who's twice named
876280	883480	by Time Magazine as one of the top 100 most influential global leaders. So if I'm to understand,
883480	893240	if I'm to appreciate your argument today, his work and the work of his team and the people behind him
893240	900440	are ill-advised, or they're incorrect, or they're wrong, or something else that's driving them
900440	907080	and their work. Is that what you're asking us to accept? I'm not familiar in any way. I know who
907080	913320	Jeffrey Sachs is. I'm not familiar with what he's doing or his recent research. The point is, I'm
913320	920920	very familiar with the UN reports and the Paris Agreement and the conference of the parties
920920	929880	and the UN sustainability goals. Okay, the UN climate stuff is at odds with its own sustainability
