start	end	text
0	5840	Welcome. This is the tutorial for a conch. If you're not here for a tutorial on conch, you're really in the wrong room.
8160	13080	But we hope you're in the right room. Yeah, we think this room is the best actually. You made a good choice.
16760	22120	You can introduce yourself. Hi, I'm Anthony Scopatz. I work for Quonsite and according to the slide
22120	28280	I am both a madman and a poet, so I hope that this inspires you in some way today.
29240	31800	I'm Gil Forsythe, not Gorsythe.
33440	37840	I am also a madman and a poet according to the slide. I currently work for Capital One.
39480	44360	Yeah, that's why I got it. Yeah, and thanks for being here with us 8 a.m. on a Monday morning.
45080	48880	Not everybody wants to learn about new show languages at 8 a.m. on Monday morning, but
50400	52400	so we have a few bits of
53360	59120	bookkeeping and just want to get everyone kind of set up and ready to go. If you've been to a lot of, or any slide
59120	61120	part tutorials before, sort of the
62120	68080	the usual mode of presentation interaction is Jupyter Notebooks, and those are great. It works really badly
68440	71960	if what you're teaching is like a show language and prompt.
72760	76120	So we actually just do need you to install the stuff, and then we will
77400	81280	be sort of live coding and have slides at the same time, and we're, you know,
81280	85560	we'll be running around and help and stuff. But so if all of you can just take a few moments and we'll run around
86560	91760	to troubleshoot and install Conch, we highly recommend using Conva for this, but
92080	96960	there's other options. Yeah, and there's a new release as of last night at 10 p.m.
96960	100200	So if you haven't updated since then, please
101200	104200	there's a bug fix. Sorry, the code has bugs.
104280	114720	Like all code. So yeah, please grab the 0.9.8 release, and we'll go from there. So who has
115120	117120	Conch installed right now already?
118160	125720	Okay, most of you, and if you don't, like just grab it, it should take two seconds because it is pure Python, thankfully.
127040	129120	So you don't have to deal with like weird
130040	136160	Fortran rust extension interactions and stuff or read line read line. Oh, yeah, we don't have to deal with read line
136560	138560	Everyone's favorite library
139120	141120	Three three chairs for read line
141520	147360	No, no, no chairs. Okay. Wow. We got one tough crowd one one one one chair. Wow
148440	150440	Nice input RC. There you go
151680	153680	Thank you. I'll be here
153680	155680	What?
159120	164760	Alright, so oh, and we we should send out the link to the slides as well. So
167040	169040	Slides should be at
172440	177400	Conduct SH this is what's that repo called is it like conch?
182440	187160	While people are installing conch and for people just coming into the room, please install conch
189160	193880	I just want to sort of do a quick poll the room get a sense of who y'all are and why you're here
194680	198280	So who here uses bash on a regular basis?
198960	200960	Okay, any Z shell users?
201440	203440	Okay, fish
203560	209360	One, okay. Yeah, one cheer for fish one cheer for real on to you. Okay, fish got two chairs. All right. Has anybody used conch already?
210320	212320	All right
215400	218160	Okay, who here really likes bash?
220120	223120	That's okay. No, no, there's nothing to be ashamed about. There's an open question
223120	227840	We're not we're not here to know who here remembers the syntax for a for loop and bash that looking at stack overflow
228560	231080	Okay, no, no, some people can do that. That's totally cool
231240	236320	Who here remembers how to tokenize a non-whitespace string and bash without looking at stack overflow?
237200	241000	Both so I'll believe you. I'm not gonna I'm not gonna you know, call you out there. That's good. Okay
242880	248200	So while we get the slides everybody, I mean one of the things conscious for many things
248960	252600	Partially, it's the to suit our mad desires
253000	257960	But also it was a lot of these things which seem like they should be simple and easy to remember aren't
258400	262000	and a lot of us are dealing on our daily workflows with
263400	265800	Language decisions from the 70s which made a lot of sense
265800	272760	But maybe we don't like want there to be a difference between single and double quotes all the time or like maybe we don't want to have that many square brackets in a row
273560	278960	And so this is an effort to remove that pain because this should be a relatively
279560	284760	Seamless and sort of fun interaction and you should just be able to do the things you want to do without struggling through it
286560	290600	I think we probably can I don't have the slide link okay
291600	295520	Are people and mostly installed and ready to go have contra running
296880	300760	Cool, is anybody not have contra and that would be I guess the question to ask okay
301240	306000	We're still going to be talking for just a bit so and we can we can catch up as we go
308760	310760	Okay
311520	313520	Also just a quick tante check if you can run
315160	319960	Every time we say like the sound like co or something it's always gonna start with an X just a fair warning
320360	325920	So if you can run config, it's x o n f i g in your conch shell
326120	329360	That should probably not say what it says here
329360	334120	Maybe should say zero point nine point eight at the top just so we were sure we're on roughly speaking the right versions
335960	341840	I do have the link, but I don't know a good way to get it to you guys other than I'll just put it here
341840	345160	So if you want to follow along with the tutorial
346040	348040	You
349920	353640	Can go to this link so it's conch.github.io
354440	356440	sci-pi-2019-tutorial
357160	360800	Slash remote HTML. We're sorry about the URL. Yeah
362560	364560	Only a little sorry
366240	371040	But yeah, you can click along and follow so you can skip ahead in the slides or go back
371040	373520	There's some exercises and things like that and so
374280	376280	Bring that up now
378640	382000	Okay, I'll let you guys do that and then we'll
382000	384000	Do
402000	404520	Okay, that seems good. Yeah, great
405800	407200	Okay, so
407200	410440	Quickly just like an overview of just some things that you'll see us doing a lot
410440	413520	And you should also feel free to do while you're interacting with the shell
413920	417800	We don't have explicit slides about this because they're just sort of general overall
418040	420600	Like things you can do in a shell or in conch anyway
420960	426240	But if you see us do something like we obviously hit one key and something happens and you want to know what just happened
426240	431040	Please just ask us if it if it seemed like it came out of nowhere or we're not trying to make this opaque
432680	435480	So generally speaking there's tab completion. Oh, yes
438200	443520	Oh from the there's an there's an L right at the end. Yeah, so it wrapped a little
445680	450800	Yeah, I was getting well the directory doesn't have an index.html I can fix that in a moment, but
452600	454600	Yeah
455200	459600	Generally speaking this tab completion for almost everything so it'll save you time when you're typing
460720	462240	Beware of that
462240	465280	Does anyone not know what tab completion is? No, no shame
466200	468200	All right great
468800	470960	This will mean less for you at the beginning of the tutorial
470960	472640	There's a lot of history search functionality
472640	475040	You probably don't have much of a conch history at the moment
475040	478240	So that won't mean that much but there are several ways to search up
478680	483840	We'll kind of touch on those a little bit later control R as your friend that will kind of give you an anywhere
484200	487480	Line search back in your history if you start typing a command
487480	490360	You can press up and it will do a prefix search match
490360	494940	So like anything that's any line that started with that initial bit will show up in the results as you arrow up
495480	500600	And you'll see this sort of ghost text showing up if you're typing the same command this sort of a
501200	507880	History match autocomplete thing and you can just hit right arrow or I think control E to sort of expand out to that if you want
508320	512120	Don't worry about like taking all that in at once, but we'll come back to it
517320	519880	Yes for all the
520720	523440	Pythonic bits in conch and we'll find out what those are a little bit later
523680	529240	You can always append a question mark to a command and it will bring up a little help screen in the pager
529240	533920	Or you can do a double question mark for super help for even more if you've used ipython
534560	537840	Fair bit. This will maybe be a familiar pattern. Yes
541520	547800	I don't think there is one it's a UT guess and should just be an open wide open network
548400	550680	Yeah, is there another question over here?
555720	558240	I think we did discover that yeah
572160	574160	Okay
574800	580920	Yeah, okay, not gonna do that live we are gonna ask everyone about questions about that during the break so we can fix something
580920	583640	That wasn't working and that would be but that's good news awesome
585080	588000	Okay, are there any questions?
590080	592080	Okay
593480	594840	All right
594840	598240	So yeah, there's was that a question. No, all right
598240	603760	So everyone has conch working that can if you ran the sorry the config
604680	606680	Let me just go into the
612080	616440	Okay, so you should have been able to run the config command and see some output like this
616480	619800	So if is everyone kind of at that stage?
622600	625440	The cut oh, yeah, it's it's config with an X
628760	632080	You're gonna love that X key in the next four hours. All right
632920	635120	Okay, so we've got our agenda here
635120	640200	We'll be taking some breaks in between these things and we're gonna be building up to sort of greater and greater capability
640880	646000	Over the time. These are links. So if you have the slides up you can jump around if you want to
646960	650320	And there are exercises at the end of each little section. So
651880	654760	That's a gonna do the shuffle here
654880	656880	So
659160	666520	Conch is a superset of Python 3 so what that means is that all of the syntax that's in
666680	669320	Python is also valid conch, right?
669320	671320	So there's no so if you know Python
672000	676320	Pretty well or really well or extremely well everything should be familiar to you
677560	681440	And so you can do a bunch like basically everything that you would be able to do in Python, right?
681480	685040	Like to find classes functions modules etc
686200	692160	So we can go ahead and you know do these along with us like you know when they come up
692160	698320	So let's try some in the mount. Oh, these are our first exercises actually. So the the first one is to
698720	700720	compute the product of
700880	702640	two three and seven
702640	704640	the second one is to
704640	708320	Import numpy or import sys if you don't have happened to have numpy installed
709040	712800	And then also define a function you can do this all this right at the command line
712800	716760	You don't need to go anywhere else. You don't need to do this in a file. So
718280	721160	Try these out you can click on the details to get the answer
721560	725920	And we'll give you guys a couple of minutes to try this stuff out
726800	729640	And also be solving it very slowly in real time
739200	741200	I
742920	748240	Think you can go wow 42 what a what an auspicious number there
752160	760640	Can we import a module Gil yes wow that's that's pretty impressive
768320	770320	Oh
775240	777940	We're in real life we should be like yeah, yeah, sorry
785080	787080	No, I'll still in relay
788520	790520	Yeah
793360	797640	Sorry, I was in developer mode right there there we go
798960	802120	So you're saying yeah, you should see there's a lot of tab completions available
802120	805160	So if you import or I'll do sys actually too because that's one
805920	812760	You can just hit tab after the dot and those will be all of the attributes and modules that are available in sys. Yep
814760	816920	I forgot the last one the function
819760	822360	Does anyone have any problems or questions these
823360	828840	It's pretty simple right so this is just to prove to you that contrary is Python
834160	837880	Yes, yes you can well we will get to that question later
840280	845480	So Dhar Haas's question for those of you who are listening at home was can you define a function?
845480	848760	That's all a command on your system and the answer is yes
848800	852400	And we'll get to how all that resolves and works later so
853800	857960	Great question. Okay, and we'll get to it pretty soon. I think actually
858720	861440	So conscious of shell so conscious also a shell language
862240	865960	or more more precisely, it's really a scripting language that is
866880	874200	Mostly shlang compatible, which if you go back to like the 60s and 70s, you know, sh
874720	882880	Was this old or is a shell language that we all have inherited a la bash and and z shell and another and other languages like that
884000	888220	But unfortunately, it's actually impossible the syntax is
888640	893600	Collide and it's impossible to be both a Python and shlang compatible language
894360	899920	And so you have to kind of choose and in conch we have chosen that Python will always win
900520	902520	There's a couple reasons for this
902640	905440	but mostly it's that Python is the same language and
906560	910400	sh is not really sane in some ways like the splitting
911040	918520	Strings on non-whitespace characters and the machinery for how all that stuff works is kind of crazy if you dig into how the shlangs work
919560	924560	But Python always wins. So if you found a place where Python syntax isn't working
925000	927000	That is a bug
927640	929640	Please report that
929880	937440	Yeah, yes, sure. Just as an example of this this issues where so this is a command that you may be familiar with
942240	946840	But this is also a valid Python syntax if Alice and L are you know defined so
946960	948960	So
956400	960920	So the rule is is that if one of those things isn't defined it'll still function, right?
960920	964200	You can just delete the variables, but it is possible to overwrite those
964600	971680	Built-in names, and there's a way to escape that which will this is just a convenience, but that we'll get to in a bit here
973280	976440	So the purpose of the shell is to run commands obviously
977360	981880	And so we've got some commands here, right? So we just saw ls-l
982600	987360	Simple one. Yeah, please type you know type this out if you if you want just prove it to yourself
988400	991280	But this works you can do echo
991880	993880	You can make directories
994120	997160	And cd into those directories touch files
998040	1000040	Do all the kinds of normal things that you
1000680	1005520	You would you would want to do so and I think I actually have all that test code here still but
1006080	1009640	And the other thing that you can do is you can pipe, right? So if you're
1010680	1014160	Familiar with piping from other shell languages you can take the output
1015320	1022360	From one command and and make that the input to another and so that all works normally like you would expect in conscious well
1023120	1028560	So and basically under under the covers. This is a horrible abuse of the sub-process module
1028880	1034160	As you would expect with a lot of fancy features added to it. So
1036520	1041760	Okay, so the next bit of kind of basic syntax in the language is our environment variables
1041760	1046080	So these function a little differently than other sh lengths, but similarly
1046280	1052120	So you can refer to any environment variable by prefixing a name with the dollar sign character
1052120	1056680	So if you want to look up right if you want to look up a variable in the environment
1056680	1060440	You can say dollar sign that variable name and then you'll get back the result
1060680	1067560	So right so then the environment is this like special namespace that processes use to communicate with each other and
1068840	1070840	Conch gives you access to that
1072760	1075640	And you can set and delete environment variables
1076400	1079800	More like you would do in Python then you would do in other
1080320	1086480	Shell languages, right? So these are just normal variables that happen to live in a special dictionary mapping somewhere
1087120	1089760	and so because of that you
1090480	1095680	Would set them with an equal sign and then you would delete them with the Dell operator. So
1096240	1098240	Shouldn't be anything
1098320	1102240	To out of the ordinary there anyone have any questions about that
1105800	1111000	Is there any difference between this an OS environment OS dot environment and the answer is yes
1111000	1114160	There's a lot. We'll get to that in a section coming up
1120440	1122840	No export is not a feature of
1123600	1126080	Conch or so exporting
1126440	1129760	So, okay, this is a little this is getting into the weeds a bit
1129760	1134800	But I think export is a is a bad idea. You shouldn't need to explicitly export things, right?
1134800	1137240	You're already doing that with the dollar sign, right?
1137240	1143080	So shlings when when you export or when you define an exported variable actually don't put the dollar sign
1143080	1149400	So we've collapsed those seven characters export plus space into just the dollar sign
1150880	1157880	They're well, they're not they're they're process-wide. Yeah, they go into the environment for the process
1162280	1166320	Oh, so dollar zero for those so the question is what about dollar zero
1166960	1171680	Dollar zero is how you refer to arguments or you get your the command that you run
1172400	1177760	We use dollar args for that when you're running a script. It's an environment variable
1177760	1180520	It's in the docs, which we'll have a link for very shortly. So
1181560	1189160	Okay, I just realized this screen. We're standing in front of it. Yeah. Yeah, okay, but we'll maybe fix that during the break
1191640	1193640	Okay, yeah, these pretty normal
1195240	1200840	The other thing that you can do is you can do environment very or environment look up with Python expressions
1201280	1203160	using dollar sign curly brace
1203360	1205160	So if you want to
1205160	1207760	Compute an environment variable
1208920	1215200	Arbitrarily you can you can use dollar sign curly brace. So this is a little different than how other languages do it
1215600	1221320	But for example say you have an x variable that equals a string in your namespace or your user
1222360	1228960	You can do dollar sign curly brace x and then that'll look up the user environment variable. So that looks up the name
1229960	1231600	oops
1231600	1233160	Sorry, I skipped ahead
1233160	1238280	bit and or if you want to compute it with some other some other expression
1238840	1240840	You can just stick that right in there
1241200	1242640	in
1242640	1249600	Most SH links. These are actually dollar sign and dollar sign curly brace are the same have effectively the same meaning
1250320	1255320	But they have distinct meanings here effectively. They're they're subtle differences. I know
1256160	1258160	But they're very different here
1258240	1259480	Okay
1259480	1265840	The source command so is everyone is everyone familiar with source and other languages like bash and things
1266560	1270840	Okay, yeah, so so if you're not what source does is source takes of
1271480	1275000	File that's written in that language. So if you're in bash
1275400	1281800	And you sort you can source a bash file and it will run the commands as if you had typed them into that
1282160	1288160	Session, so it's just a shortcut for executing everything in a file in in your current
1289080	1290920	Interpreter session
1290920	1294840	So conch the source command does roughly this does basically the same thing
1294960	1296960	It reads in the contents of a file
1296960	1303360	And then it executes them and it brings all the variable all the global variables and everything in the environment, etc
1303520	1305520	Into the current execution context
1306760	1310400	But of course this doesn't work on bash this works on conch code
1311560	1313560	So if you have a very simple
1314200	1315800	example file
1315800	1317800	Yeah, sorry. This is
1318160	1320160	Yeah, you can do that
1321280	1326600	So here what we have is we're setting an environment but variable in this file
1327800	1330640	We are setting a password which is a terrible thing to do
1331200	1333640	And then we're defining a function. Oh
1334880	1338320	You can install VAM right now if you want go for it
1340040	1342040	See if I care go just
1342040	1347560	Can't do that to your laptop, but it seems me. How do I do this? Oh, well, I mean we're talking about sharing passwords
1347560	1350580	I'll just say my my root password out right now. Yeah, okay
1353840	1355840	Yeah, so you can
1356880	1359680	You can then use this function and it's it's good
1359680	1365440	So basically what you do to use source is you just say source and then the file name
1365480	1368600	So here source example dot xsh and then
1369240	1372280	You'll see that that those variables that we had like
1373080	1380480	Dollar sign email are available as well as the combined function has been brought into your local exit or your current
1380680	1383240	Sessions execution context and you can you can run it
1385160	1389720	You can also import at dot xsh files as well
1389800	1392640	so if you want to write python modules as
1393520	1400000	As conch files, you're totally welcome to do that and you can import them even in other normal python projects
1400200	1404480	Not going to show that here, but if you're interested that's something you can do
1405040	1408120	Okay, any questions on source?
1410080	1412080	Pretty simple alright
1413560	1419480	The thing that you can't do in a lot of other languages that you can do in conch is that we have a notion of sourcing
1420320	1424560	Files from other shell languages that we call source foreign
1425400	1427400	so imagine you have
1427560	1434160	Some bash script somewhere and you want to bring that in and execute that in conch and bring all the things into your local
1434760	1441040	Execution context you're able to do that just by saying source bash and then the bash script
1441200	1446080	So if you've got a you know a hundred thousand lines of Z shell well one. I'm sorry and two
1446280	1452760	You can still use that so this is a way to integrate to slowly integrate
1453280	1455280	with other languages
1455360	1458520	Which is pretty cool actually so
1459120	1462840	It's pretty nice any and and by default sorry
1463640	1467800	We have a so source foreign is a generic infrastructure for doing this
1468440	1474800	But we have shortcuts for doing source bash source Z shell and also source command or cmd
1474800	1480160	So if you're on Windows using the Windows batch processing language you can source that stuff too
1481040	1483040	which is
1483160	1485160	madness, but I
1488840	1494600	Mean we've got a core Windows developer for the past four years who's like it works pretty well
1494600	1499440	I mean there's I imagine there's folks here using it on Windows right so are there any Windows users in the room
1500320	1503000	Okay, let it I mean who are on Windows right now
1505440	1507440	I
1508600	1512760	Think the biggest problems are usually just that our examples are very like Unixy
1512760	1517600	And so we say like run this command and it's like what command is that that's that's often the problem
1519360	1521000	Okay
1521000	1526360	Well, so we found with that like if you're on a base Windows install and you just install get bash
1526360	1531880	Then you get all the Unix commands and everything works normally and supposedly works really well on Windows subsystem for Linux
1531880	1533880	But I have not tested that
1534800	1536800	I
1543760	1546240	Mean you can we would be very happy for you to do
1546800	1549280	We may not be able to help if it goes wrong, but we'll try I
1551520	1555400	Saw another question over here. All right. Okay, so source foreign
1556880	1560560	Really nice capability really helpful, especially if you're just getting started
1561560	1568840	The other thing like most like most shell languages. We've got a configuration file that lives in home.contra rc
1569560	1571560	And this is just a particular
1572120	1578720	Special xsh file and that's loaded before basically everything else is loaded. So this is where you can stick all of your
1579120	1580720	Customizations
1580720	1582720	Mostly a lot of people just stick
1583000	1585000	environment variables in there
1586040	1588240	If you're a condi user conda as
1589240	1593000	Activate or whatever and it will throw some stuff in there as well
1593760	1594960	and
1594960	1596960	yeah, so
1597040	1601840	But basically if you want to read about all of the customizations, they're on there in the doc
1601840	1606720	So every every environment variable that we touch has documentation associated with it
1606720	1609760	And there's a lot of like tweaks that you can do a few if you need to
1610520	1612280	all right
1612280	1614280	So here's some more exercises
1614480	1617120	So let's go ahead and take a few minutes to do these
1617480	1622840	So the first one is to just set a random integer to the environment variable dollar sign secret
1623880	1627040	The next is to print the secret value
1627720	1628960	and
1628960	1630480	then
1630480	1632480	The third is to put a
1633120	1637720	Generating just some generating code for that secret value into your contrast see
1638360	1642640	When conch starts up if a dollar sign safe variable does not exist
1643120	1646080	So we'll give you guys a couple. We'll give you all a couple moments to
1646880	1648880	to try this out
1651640	1656720	And if anyone's having problems just raise your hands right now and and Gil and I will will walk around and help
1659320	1664640	The next thing that are for problem for part two. There's actually a couple different ways to do this
1665360	1669640	The first is that you could either echo that
