start	end	text
0	21200	And capitalism isn't just there being pushed by neoliberal ideologues, it's in us as well.
22200	31200	I think nothing illustrates this more clearly than the real widespread failure of so-called left,
31200	39200	if there was any such thing anymore in parliamentary terms in Europe,
39200	47200	to have taken advantage of the most spectacular failure of a political project ever, probably,
47200	55200	which was the financial crisis and the bank bailouts of 2008.
56200	63200	Living in a contemporary global capitalistic world, one that has siphoned out any radical economic dissent,
63200	68200	the question looms, are we able to escape capitalism? Is there anything past it?
68200	75200	Is any such endeavor even possible? To an arguable majority, they understand the looming issues with capitalism,
75200	80200	even if it's something painful to admit. But this supposedly post-ideological world,
80200	85200	a world with the end of the Soviet Union, of an actual communist Chinese government,
85200	91200	is there any coherent vision past global capitalism? This is a central ethos of this book.
91200	98200	Can we escape capitalism? What is capitalism? And what is this capitalist realism that Mark Fisher talks about?
98200	103200	It should be noted before the body of the video, I have been told numerous times to read this book in its whole,
103200	109200	and I regret I have not done it sooner. After reading this, this is hands down one of my favorite works of theory,
109200	113200	and the greatest visualization of American capitalism I have ever seen.
113200	118200	It is bleak, it is depressing, but more than anything, it is beautifully relevant.
118200	125200	A relevancy from an author who fundamentally lived what he wrote, and who understood these very conditions to his core.
125200	132200	I want these core points to be accessible to all, if possible, for these ideas to work into the collective unconsciousness,
132200	136200	and to help break and understand this weird matrix that we are in.
136200	142200	There has been numerous videos on capitalist realism, but I want this one to be the absolutely most ambitious one.
142200	148200	I want it to completely encompass this book in its whole, and with an accessible form for all.
148200	155200	More than anything, I want to do capitalist realism justice. This video is capitalist realism just in video form.
155200	172200	After 1989, when capitalism loses its visible antagonists in the Soviet Empire, then capitalism doesn't have to defend itself as such.
172200	180200	It just becomes the horizon of the imaginable. It doesn't have to be named anymore.
180200	183200	It is all the more powerful because it is not named.
183200	187200	Right from the start, Mark Fisher comes out swinging with the phrase,
187200	191200	It's easier to imagine the end of the world than the end of capitalism.
191200	195200	A phrase widely attributed to Frederick Jameson and Slavo Gizek.
195200	202200	As shocking as this phrase is, it's undeniably true in almost every way that capitalism isn't a mere economic system.
202200	207200	It's an imposed psychological reality in condition that has permanently altered our being.
207200	213200	If post-mortem consciousness existed and we collectively destroyed our existence at the whims of capital,
213200	220200	the very idea of restricting capitalism would possibly scare more than a very real apocalyptic scenario.
220200	225200	In this context, capitalism is a mere system. It is us.
