start	end	text
0	4680	Hello, you found the portal. I'm your host Eric Weinstein and I think that
4680	8560	today's must be the most unusual episode yet of a podcast that has been
8560	14040	marked by almost regular unusual episodes. Now this is the first podcast that
14040	17840	I'm recording at home. I don't really have a home recording studio so we're
17840	21840	really doing this from chicken wire and masking tape. But I am sheltering in
21840	27440	place because of the worldwide COVID pandemic and what we've been asked by
27440	30720	the state of California and by the federal government is to shelter in
30720	36560	place for an upcoming month because today is April 1st. Now during a pandemic I
36560	41160	can assure you that no one is interested in April Fool's jokes. So the question is
41160	45560	what to do with the April Fool's tradition in a situation in which nobody
45560	50880	wants a prank. I thought that this was probably the best time to launch an idea
50880	55640	that I've been playing with for years and that idea is that it is dangerous to
55640	61520	have a world in which we are afraid to talk about what we think is true. When I
61520	65920	think about what happened during the beginning of the COVID pandemic I find
65920	72200	that we were in general intimidated from sharing our fears about the virus. We
72200	77040	were told that if we wore masks that we were acting in a peculiar fashion. If we
77040	81480	refused to shake hands that we were behaving in a strange and unpleasant
81840	86040	social way. We did not want to be alarmist. We did not want to be seen as
86040	90640	chicken little and in fact it was extremely important that we not be seen
90640	97160	as xenophobic given that the outbreak was originating in Wuhan China. In fact
97160	101080	perhaps the most dangerous idea was that this outbreak might have been
101080	106120	connected to some research being done in a lab perhaps a bio weapons lab. We
106120	110680	really don't know where this epidemic began. What is the etiology of something
110680	115480	that is causing the entire world economy to effectively shut down? What I
115480	120280	believe is that that silence has been deadly. We have many people who have now
120280	125360	lost their lives because we did not feel free to exchange ideas to think and to
125360	130360	talk and in fact many of the people who warned us first were the freest members
130360	134640	of society having been previously cancelled by standard mainstream
134640	139400	institutions and their associated media. So what I thought would be important
139560	144480	for in April Fool's Day that no one wants to actually participate in was to deal
144480	150720	with an idea that maybe one day a year we should all be free to share crazy
150720	155240	ideas that are going around between our ears and in our head. We're having
155240	159120	conversations with ourselves wondering is anyone else seeing the same thing that
159120	164280	I'm seeing. But we are too afraid because the social stigma for actually
164280	168200	believing in things that maybe things are possible or perhaps there's a
168200	173200	conspiracy somewhere. Perhaps we are ill-prepared. For example, I believe that
173200	178160	our current pandemic is exacerbated because our government and our readiness
178160	182600	is ours failed to stock adequate supplies and that these supplies were
182600	187200	called for in the academic literature for years. There was absolutely no excuse
187200	191080	not to have personal protective equipment stocked for doctors and
191080	194920	nurses and hospitals to say nothing of all of the people who were in the front
194920	201680	lines of treating patients sick with COVID. Now currently I don't believe that
201680	205760	you can trust the World Health Organization. Absolutely not. I don't think
205760	208880	you can trust the Surgeon General of the United States and I absolutely don't
208880	214040	think you can trust the CDC because they are all covering for our inadequacy. This
214040	218520	was a problem that we always knew was coming and we at one point had stocks
218520	222040	which apparently were depleted under a previous administration and not restocked
222080	228120	under this administration. In fact, our fear of dealing with a pervasive
228120	233480	institutional incompetence has blinded us to the degradation in our society
233480	238560	across all major institutions. As I've discussed before on the program, I believe
238560	242920	that this has a singular etiology. That is, that because of embedded growth
242920	247840	obligations coming from the previous era of unsustainable post-war growth from
247840	254160	about 1945 to 1971-73 something like that, we built in expectations to our
254160	259160	system that cannot currently be met. We will not have technology that follows
259160	265840	the same breakneck pace of innovation. As a result, we have a system whereby the
265840	270360	heads of our organizations are forced to cover for their inadequacies because
