start	end	text
0	23520	So welcome, Kevin. Thank you so, so much for coming along today. What an amazing way to
23520	29280	start the week. I really appreciate your time here. So for those who are not familiar with
29280	38640	yourself or with your work, how would you introduce yourself? Well, I am Kevin Aho. I'm a professor
38640	48960	of philosophy at Florida Gulf Coast University. I've been here in Florida since 2004 at this
48960	55840	university. And I'm also the chair of the Department of Communication and Philosophy
55840	64000	at the university right now. I did, I had kind of a convoluted journey through graduate school.
64800	70720	I started out at the new school for social research in New York City and then moved to
70720	76800	University of Utah and Salt Lake City and then finished up my PhD at the University of South
76800	85520	Florida in Tampa, where I studied with a very important figure in existential philosophy,
85520	92800	an especially Heidegger, a fellow named Charles Guillaume, who sadly passed away this past summer,
93440	101200	but had a long and influential career and taught a lot of students. And so that's that's the brief
101200	108640	condensed version of who I am. And I consider myself a specialist in existential philosophy,
109520	116960	phenomenology of the body, and areas of existential psychotherapy and phenomenological
116960	125520	psychotherapy. Now, phenomenology of the body is not something that I come across people saying
125520	134240	a lot as their specialties. Yeah, yeah, it's a it's a it's a booming field right now. It's
134240	142240	largely indebted to the renewed interest in the work of Maurice Meryl Ponte and some important
142240	151360	and seminal feminist figures, obviously, Simone de Beauvoir, one and Iris Marion Young, another
151360	159360	figure. And it's simply a recognition that the body is not something we have, and that we're
159360	167200	only contingently connected to. It's who we are, we are our bodies, we exist through our bodies,
167200	173360	we live through the vehicle of our bodies. And so it's an attempt to undermine that classic
173360	180320	Cartesian dualism that the human being is composed of two distinct substances and an immaterial mind
180320	187920	in a causally determined body. And phenomenology undoes that dualism in helpful ways.
192480	199680	So you spoke slightly about your your kind of academic journey into this amazing field of
199680	206880	philosophy and of existentialism. But what drew you to want to specialize in existentialism in
206880	214320	the first place? How did you stumble upon this, this particular? Yeah, it's a good question. I came
214320	222320	from a family of intellectuals. My father was a professor of sociology, but mostly kind of German
222320	230400	social theory and was raised, came of age during the counterculture revolution in the 60s and early
230400	239440	70s, when existentialism was all the rage and everyone was carrying around tattered copies of
239440	250480	Camus and Sartre and Beauvoir. And and my parents met in graduate school. And so I was surrounded
250480	260240	by books growing up. And I in my second semester of college, I was actually an engineering major
260240	266880	in college, believe it or not. And the second semester of college, I read Dostoevsky's The
266880	275680	Brothers Karamazov during the winter break. And the book had a transformative impact on me.
276560	283360	And it raised all of these deep existential questions about the meaning of life, the existence of
283360	293840	God, the problems of nihilism, the experiences of anxiety and the face of death. And it awakened
293840	300720	me to the fact that I've had these experiences. I feel this in my everyday life. And I changed
300720	307840	my major to philosophy and never looked back. And many other aspects of philosophy I find
308000	315440	uninteresting and boring, metaphysics and epistemology, even much of ethics, moral philosophy,
315440	329280	I find boring and turgid. But existentialism always inspired me and shaped me. And it has stayed
329280	339120	with me since I was 18 or 19 years old. And I had powerful experiences in my early adulthood and
339120	346240	late adolescence of hanging out with my high school friends, you know, getting high and having a few
346240	352240	beers under the stars, and talking about the meaning of life. And what is it all about? And who are
352240	359280	we? And why are we here? And I realized that those were the questions of the existentials, right?
359280	366400	Those are deep and important existential questions. And unfortunately, as we move into adulthood and
366400	373760	find our way into careers and family life, we oftentimes lose touch with those important
373760	380320	questions. And we kind of drift along in our existence until there's a crisis or a breakdown.
380320	388000	And suddenly we wake up again to how important existential thinking is. And so that has kind
388000	396560	of been the arc of my life. It's always been shaped and informed by an existential attitude or an
396560	406480	existential orientation. It sounds like you genuinely connected with the kind of existential
406560	412800	questions and never were able to kind of shake them away rather than stumbling across
412800	420080	a textbook in a formalized module and saying, okay, I better learn this theory. You've felt the
420080	428320	questions within you. That was a visceral experience. It wasn't about a vocation. It wasn't
428320	434560	about even getting a job as a philosophy professor. It was about a way of existing. And so I would be
434560	441520	doing existentialism if I was managing a restaurant or working in middle management somewhere for a
441520	446800	company. I would still be watching existential films, listening to existential music,
448080	456240	reading existential poetry and all of the things that move me, as you say, viscerally or in a
456240	466080	mooted way. Because they speak to the concerns at the core of our condition. These are the ultimate
466080	474640	concerns of our lives. And so yeah, they've had a powerful orienting impact on me.
478240	485200	You bring up something for me, which is the fact that you're going through that phase of life when
485200	490400	you're younger and you're chatting with your friends and you're asking these massive, massive
490400	495840	questions, these really deep questions. And then you fade into a life where you're not
495840	500320	what you're not supposed to be asking these questions. I remember for me, I don't know about
500320	507280	you, but it was kind of almost stigmatized to ask why rather than to just follow, to question
507280	512000	these deep meanings rather than to just pick a career and follow it. I don't know if you can relate
512080	520160	to that. Oh, certainly I can. And it's, you know, just because we are kind of sucked into
521040	527840	the shallows of social convention and go with the flow of everyday life, the existentialists
527840	534240	make it clear that that's not a moral failing. It's not as if you're doing something wrong. It's just
534960	541920	part of the inertia of being human, that we're always going to be, Heidegger has this
542640	549840	language of temptation, we're tempted by the they or the public world, because it's comfortable,
549840	558240	it's predictable, it's well ordered, and it covers over the anxiety, that kind of quivering
558240	566640	unease, that all human beings experience an unease that reminds us that there's something wrong
566640	574640	with us, that there's something disconnected or out of sync with us and the world. And it's
574640	578880	because we're conscious, it's because we're self aware that we're aware that we're going to die,
578880	588080	we're aware that God is dead, and there are no moral absolutes. And so I think existentialists
588080	597120	are just deeply attuned to the fragility and weakness of human beings, that we drift to religion,
597120	603200	we drift to comfort, we drift to social norms, because it shelters us and it protects us.
603840	611280	It's not a bad thing, it's just, it's structural to the human condition. But thankfully in life,
611280	617840	we have breakdown experiences, where that comfortable facade collapses and we're forced
617840	625200	to confront ourselves and face who we are. And that's why anxiety conditions, whether you call
625200	630720	it anxiety, if you're Kierkegaard or Nazia, if you're Sard, or absurdity, if you're Camus,
632080	640080	or the horror of the nothing, if you're Nietzsche, all of these experiences are edifying
640080	647440	experiences because they jolt us out of our rootinized drift and force us to face ourselves
647440	654320	and to face our existence. And so the existentialists do something counterintuitive, and that is
655600	660880	they tell us that anxiety is a good thing, it's a teacher, it's not something that should be
660880	666000	medicated necessarily, it's not something that should be controlled with cognitive behavioral
666000	671200	therapy necessarily. That's not to say that those things shouldn't be included in a treatment plan,
671840	677200	but we should listen and attend to those experiences because they're teaching us valuable lessons about
677200	687600	who we are. Because I always have heard that existentialism gets a bad rep for being too focused
687600	693680	on the negative, too focused on the dark, but I, similarly to what you've just said, have never
693680	698640	experienced like that. There's always been a sensation that it acknowledges and explores
698640	704160	the darker side that is inevitably going to be there, whether you're facing it or not.
704160	711840	And actually, if you're able to explore these different philosophies, these different perspectives
711840	717760	on the dark and really confront and really explore what that means for you, you are empowering yourself
717760	723280	in the way that nothing, no denial or no putting it to the side will ever, ever do.
724320	729040	And that's one of the recurring misconceptions about existentialism, that it's a dark,
729680	738000	brooding, navel-gazing philosophy. It's not at all. The idea is when you confront death and face death,
738880	745840	you awaken to the fact that life is not a dress rehearsal, that this is the only life you have
746560	754480	and confronting finitude, facing anxiety, injects a measure of intensity and urgency
754480	760560	and vitality into our existence that otherwise it wouldn't have. And this is why Nietzsche calls
760560	765760	his philosophy a gay science. It's a happy philosophy. It's not a morbid philosophy. It's
765760	771760	a joyful philosophy. And Kierkegaard will say the same thing, right, that when you confront death,
772720	779520	it opens us up to how precious and poignant and fragile every moment is, because it can
779520	786320	be snatched away from us at any time. And so in many ways existentialism, at least for me,
786320	791280	is the most life-affirming of all philosophies. It's not a death-focused philosophy at all. It's
