start	end	text
0	8680	I encourage you to take a seat. We will be starting almost on time because we have a
8680	22080	very rich agenda on a very big topic. We are talking about navigating existential risk.
22080	28680	Navigating what people have described as a very difficult, tortuous landscape of risks
28680	38040	that are made worse by oncoming new frontier AI. That's not just the AI that we have today,
38040	46120	but AI that we can fairly easily imagine as coming within the next year or two. Next generation
46120	54000	AI that's more powerful, more skillful, more knowledgeable, potentially more manipulative,
54040	61320	potentially more deceitful, potentially more slippery, definitely more powerful than today's AI.
61320	69480	That AI might generate existential risks in its own right. That AI is likely also to complicate
69480	77720	existing existential risks, making some of the risks we already know about more tricky to handle,
78480	86200	more wicked. We might also talk about the way in which next generation AI might be the solution
86200	93800	to some of the existential risks and dilemmas facing society. If we can apply AI wisely,
93800	103240	then perhaps we can find the narrow path through this difficult landscape. Welcome navigators in
103240	110960	the hall. Welcome to navigators watching the live stream. Welcome to people and AIs watching the
110960	120080	recording of this discussion. Let's get stuck in. We have lots of very capable, knowledgeable
120080	126880	speakers who will approach this from a diversity of points of view. Indeed, I think one of the hazards
126880	132560	in this whole topic is that some people want to be a little bit one-dimensional. They want to say
133280	138240	this is how we'll solve the problem. It's quite straightforward. In my view, there are no
138240	143560	straightforward solutions here, but you can make up your own minds as you listen to what all the
143560	148480	speakers and panelists have to say. And yes, in the audience, you'll have a chance later on to
148480	154400	raise your hand and get involved in the conversation too. The first person you're going to hear from
154400	162080	is unfortunately not able to be with us tonight, but he has recorded a short video. He is Sir Robert
162160	169280	Buckland, MP, former Lord Chancellor of the United Kingdom, which means he was responsible for the
169280	176320	entire justice system here, former Secretary of State for Wales. He is still an MP and he has a
176320	184880	side hustle as a senior fellow at the Harvard Kennedy School, where he is writing papers on
184880	191520	exactly the topics we're going to be discussing tonight, namely how does AI change key aspects of
191520	199440	society, potentially making it better, potentially making it much worse if we are unwise. So let's
200000	204160	watch Sir Robert Buckland who will appear by magic on the big screen.
205680	212160	Well, I'm very pleased to be able to join you, albeit virtually, for the Conjecture ARO Summit
212160	219360	on AI and the challenges and opportunities that it presents us. And I think my
220240	225120	pleasure at being with you is based upon not just my own experience in government,
225760	234240	but also my deep interest in the subject since my departure from government last year. Now when I
234240	241040	was in government, I had responsibility for, for many years, the legal advice that was given to
242160	247040	departments and indeed to the government in general when I was in the Law Offices Department as the
247040	253440	Solicitor General. And then responsibility for running the Ministry of Justice's Lord Chancellor
253440	260000	and Secretary of State for over two years before a brief return as Welsh Secretary last year.
260720	266000	That seven years or so experience within government as a minister gave me, I think,
266000	272160	a very deep insight into the pluses and the minuses of the way the government works, the
272640	282400	efficiencies and indeed the inefficiencies about process. And I think clearly, as in other walks of
282400	288400	life, artificial intelligence, machine learning will bring huge advantages to government processes,
288400	296320	to improve efficiency, to speed up a lot of the particular ways in which government works,
296320	301440	which will be, I think, to the benefit of citizens, whether it's citizens waiting for
301440	307840	passport applications, visa applications, or other government processes, benefits, for example.
308480	315440	However, I think that we kid ourselves if we don't accept the fact that alongside the benefits
315440	322800	come potential pitfalls. And the first and most obvious one, I think, for me is the scrutability
322800	329200	of process. In other words, the way in which we understand how decisions are made. And that's
329200	334560	very important, because understanding how decisions are made is part of democratic
334560	339920	accountability in societies like ours, where individuals or organizations wish to challenge
340560	344880	decisions made by government, perhaps through judicial review applications,
344880	351040	then the explicability of those decisions, which is accompanied by a duty of candor
351040	358400	by the government in order to disclose everything about those decisions, is part of that accountability.
358400	363280	And of course, it's sometimes very difficult to explain how the machine has come to decisions.
364080	369360	And more fundamental than that, we have to accept that if the data sets that are used in order to
369360	378320	populate the processes are not as full of integrity as they should be, and are not the product of
378320	384160	genuinely objective and carefully calibrated processes, then we are in danger of importing
384240	389920	historic biases into the system, whether it's biases against neurodiverse people making job
389920	395200	applications, or indeed biases against people of color in the criminal justice system,
395760	402560	simply because the data sets have imported those historical anomalies, those historical imbalances.
403200	409520	Now, all those questions have really got me thinking very deeply about the impact of machine
409520	416160	learning on the ethics of justice itself. And as a result of my thinking, I was delighted last
416160	421040	year to be accepted as a senior fellow at the Mosova Romani Center for Business and Government
421040	426640	at Harvard Kennedy School. And I am working currently on a number of papers relating to
427520	434800	the impact of AI and machine learning on the administration of justice and the law itself.
435760	443040	It really developed from my own experience as a law chancellor, from digitalization,
443040	450480	I should say, of the courts, when during the COVID pandemic, we had to move many, many thousands
450480	457520	of hearings online for the first time. I think we jumped from a couple of hundred phone or online
457600	466880	hearings to 20,000 a week in a very short compass. And the status quo will never be the same again.
466880	472400	In fact, it has moved on, I think, in a way that we just hadn't foreseen before the pandemic. Now,
472400	477040	I think that's a good thing. But I also think that accompanying this question about increased
477040	483280	efficiency is the use of artificial intelligence. Now, in some jurisdictions, such as China,
483280	489360	we are seeing its increased use not just to do legal research and to prepare cases,
489360	495840	but to actually decide themselves. In other words, the AI judge. Now, that's all well and good.
496400	502640	But do we actually know what populates the data sets that then forms the basis of the decisions
503360	510560	made? And I think it's that unintentional bias or indeed worse than that potential
510640	517200	intentional bias, whether that's influenced by a government or indeed a corporate that
517200	524880	might be able through their financial means to influence a procedure or indeed the way in which
524880	532480	we deal with cases, knowing as we might do more information about the way in which judges make
532480	538560	their decisions. All these questions, I think, need to be asked now before we end up in a position
538560	544560	where we've slept, walked into a completely different form of justice from the one that we know.
545600	550640	Now, underpinning all of this, I think, is the need to ask a fundamental question
550640	555840	about judgment itself. And that's what I've been doing in my first paper. You know, the essence
555840	561440	of human judgment is something that will be based not just upon an understanding of the law, but
561440	567360	on our experiences as human beings. And you can go right back, as I have done, to the judgment of
567360	575360	Solomon and his emotional response to the woman who clearly was the true mother of the child that
575360	582160	he proposed to be cut in half. Now, you know, that's an example, I think, of the human element of
582160	591440	judgment, which has to be an essential foundation of decision making, particularly when it comes to
591520	597760	the assessment of credibility of a witness, a human witness giving evidence upon which the case
598320	604400	stands or falls. And of course, for judge, that applies for juries as well in criminal trials,
604400	611360	particularly here in the UK. Now, you know, all these questions, I think, need to be asked.
612160	616480	And then we need to work out what it is that we want to retain out of all of this.
616480	620800	Now, I don't think we should make any cosy assumptions that because at the moment some
620800	632080	large learning systems are having hallucinations. I don't think we should be assuming that just
632080	638720	because of that, therefore AI will never work in a way that can achieve a greater degree of
638720	648000	certainty. I think the inevitable arc of development will result in better and better and more
648000	654800	capable machines. That's inevitable. But what we must be asking at the same time as capability
654800	660080	is ensuring there is greater security and safety when it comes to the use of AI.
660080	664880	And that really underpins, I think, the work that I'm doing in the field of justice. What
664880	671840	does this all lead to then? Well, we have the AI safety summit in the UK next month. I very much
671840	678800	hope that that summit will first of all involve those critical players in terms of international
679920	687200	organisations and key countries as well that will come together to commit to creating,
687200	692400	I think, a defined framework within which we should be using AI safely. And that framework,
692400	697360	I think, will have to take several forms. I think in the field of justice we could do with an
697360	704560	international framework of principles, which will ensure transparency and which can reassure
704560	710480	people that in cases of the liberty of the individual, criminal cases, cases where perhaps the
710480	718480	welfare of a child and the ultimate destination of a child is in issue, then the human element
718480	725360	will be the key determinant in any decisions that are made. And that the use of machines will be
725360	732960	transparent and made known to all the parties throughout the proceedings. And then other walks
732960	740080	of life, I think the AI safety summit has to then look as well at whether frameworks can be created
740080	745680	and what form they should take. I think it's tempting to try and be prescriptive. I think
745680	751360	that would be a mistake, not just for the obvious reason that AI is developing and therefore anything
751360	757840	that we write in 2023 will soon be out of date, but the very fact that AI itself does not mean an
757840	765600	alloyed harm. In fact, it means a lot of benefit and also some neutral effects as well. And where
765600	772480	you have that approach, then a principle-based system seems to me to be more sensible than
773120	778240	overly prescriptive and detailed rules as you would have, for example, to prevent a crime,
778240	785040	such as fraud. So just some preliminary thoughts there as to the impact of machine learning.
785040	792320	I don't pretend to be a technical expert. I'm not. But my years in justice, my years as a lawyer,
792320	799520	a judge and as a senior cabinet minister, I think obliged me to do some of the thinking now
800000	806720	to help ensure that countries like Britain are in the forefront of the sensible and proportionate
807360	813680	regulation of the use of machine learning and other types of artificial intelligence. If we
813680	820480	don't do it now, then I think we'll be missing an unhistoric opportunity. I wish you all well,
821040	824800	and I look forward to meeting some of you in the future and discussing these issues
825520	828080	as they develop. Thank you very much.
829920	833200	Well, thank you, Sir Robert, who may be watching the recording of this.
834560	840960	Don't be prescriptive, he said. Let's sort out some sensible proportionate regulation.
841840	847520	Is that credible? Is that feasible? You'll be hearing from other panellists who may be commenting on
847520	855440	that shortly. So Robert also said there are risks such as the inscrutability of AI. We don't
855440	861600	understand often how they reach its decisions. We don't understand the biases that might be there,
861600	867120	that might have been planted. We might lose charge. We might become so used to AI taking
867120	874240	decisions that humans end up in a very sad place. But how bad could things get? That's what we're
874240	879920	going to hear from our next speaker. So I'm going to ask Conor Lehi to come up to the stage,
879920	887440	who I briefly introduce him. Conor is the CEO of Conjecture. If you haven't heard about Conjecture,
887440	892320	I think you need to do a bit more reading. Perhaps Conor will say a little bit about it. They are
893200	900480	AI alignment solutions company, international, but with strong representation here in the UK.
900480	913440	So welcome Conor, the floor is yours. Thank you so much. It's so great to see you all today.
913440	920160	So happy to be able to talk to you here in person. And man, do we live in interesting times, to put
920160	929360	it lightly. The world has changed so much. Just in the last few years, few months even, so much
929360	935840	has happened in the world of AI and beyond. Just a mere couple of years ago, there wasn't
935840	944000	such a thing as chat GPT, or even GPT3, or 4, or 2, or any of those. It was a different world
944000	951200	not too long ago when technologists such as myself, weird little hobbyists, worried about
951200	959760	the problem of AGI and how it will affect the world. Back then, it still seems so far away.
960480	968880	It seemed like we still had time. But now, we find ourselves in a world of unrestricted,
969440	978080	uncontrolled scaling, a race towards the finish, towards the end, to scale our AI systems ever
978080	985760	more powerful, more general, more autonomous, more intelligent. And the reason I care about this
986400	992480	is very simple. If we build systems that are smarter than humans, that are more capable
992480	1000080	at manipulation, deception, politics, making money, scientific research, and everything else,
1000880	1006880	and we do not control such systems, then the future will belong to them, not to us.
1008800	1017280	And this is not the future I want. I want a future in which humanity gets to decide its destiny,
1017840	1022240	or we get to decide the future for ourselves, for our children, for our children's children,
1023520	1030320	that we like. The future where our children can live long, happy lives surrounded by beauty,
1030320	1036560	art, great technology, instead of being replaced by SOA's automata. And let me be clear,
1037760	1046240	that this is the default outcome of building an uncontrolled AGI system, the full replacement
1046240	1056240	of mankind. And what we're seeing is that AI is only exponential. There's a race.
1056800	1064560	All the top organizations, which is OpenAI, DeepMind, Anthropic, among others, are racing ahead
1065280	1073520	as fast as the VC dollars would scale up their work. And this has given us an exponential.
1073520	1080320	AI is on an exponential curve, both on hardware and on software. It's improving at incredible rates.
1081120	1087920	And when you're dealing with an exponential, there are precisely two times you can react to it,
1088880	1097840	too early or too late. There is no such thing as reacting at just the right moment on an exponential,
1097840	1103200	where you find just the perfect middle point, just in the nick of time, when everyone agrees
1103200	1109360	that the problem is here and everything has perfect consensus. If you do this, you are too late.
1110320	1119760	It will be too late. And the same thing applies to AGI. If we wait until we see the kinds of
1119760	1125920	dangerous general purpose systems that I am worried about, then it will already be too late.
1127120	1136000	By the moment such systems exist, the story of mankind is over. And so if we want to act,
1136000	1142400	we must act well, well before such things actually come into existence.
1143440	1147680	And unfortunately, we do not have much time. How the world has changed.
1149280	1156720	As frightening and as terrible the race may be, there's also good changes.
1158000	1163440	A few years ago, I could have barely imagined seeing governments, politicians, and the general
1163440	1169600	public waking up to these weird nerd issues that I cared about so much with my friends online.
1170480	1175520	But now we're looking forward to the first international AI summit convened by the UK
1176320	1182720	and the famous Dip Bletchley Park. And this is great news. The European Commission has recently
1182720	1188640	officially acknowledged the existential risks from AGI along with the risks from nuclear weapons
1188640	1195760	and pandemics. This is great progress. This is fantastic. It is good to see our governments
1195760	1200560	and our societies waking up and addressing these issues, or at least beginning to acknowledge them.
1202240	1207440	And we must use this opportunity. We have an opportunity right now, and we must prevent it
1207440	1214160	from being wasted. Because there's also bad news. But we're having this great opportunity
1214800	1218880	to start building the regulation and the coordination necessary for a good future.
1220480	1226160	The very people who are creating these risks, the very people at the heads of these labs,
1226160	1231520	these organizations, building these technologies, are the very people who are being called upon
1231520	1236480	by our governments to help regulate the very problem that they themselves are creating.
1237280	1243440	And let me be very explicit about this. The problem that we face is not AGI.
1244160	1252080	AGI doesn't exist yet. The problem we face is not a natural problem either. It is not an external
1252080	1260720	force acting upon us from nature. It comes from people, from individual people, businessmen,
1261360	1267520	politicians, technologists, athletes, large organizations, who are racing, who are scaling,
1267520	1272560	who are building these technologies, and who are creating these risks for their own benefit.
1274320	1278560	But they have offered us, these very people who are causing this problem,
1279280	1286560	have offered us a solution. Fantastic. And they are pushing it as hard as they can
1286560	1293120	towards the UK government and the upcoming summit. So what is the solution? The solution to the problem
1293120	1301840	of scaling of these labs, these acceleration labs such as Anthropic and ARC have been pushing for.
1301840	1308080	What is the solution? Well, the solution to the scaling problem is called responsible scaling.
1308880	1314800	Now, what is responsible scaling, you might ask. You see, it's like normal scaling except you put
1314800	1323040	the word responsible in front of it, and that makes it good. So of course I'm joking somewhat,
1324080	1331760	but there's a lot of truth in humor. Responsible scaling is basically the policy
1332640	1337760	and you can read this on both ARC or philanthropic's website. It's the policy proposal
1338320	1345360	that we should continue to scale uninhibited until at some future time when tests and evaluations
1345360	1350000	that do not yet exist and we do not know how to build, but the labs promise us they will build,
1351040	1357600	detect some level of dangerous capabilities that we do not yet know, and then once it gets to that
1357600	1363840	point, then they will stop, maybe, except there is a clause in the Anthropic version of the RSP
1363840	1370000	paper in which they say that if a different organization was scaling even supers unsafely,
1370000	1378240	then they can break this commitment and keep scaling anyways. So this could be sensible
1378880	1385680	if they committed to a sensible bound, a conservative point on which to stop, but unfortunately the
1386640	1392480	responsible scaling policy RSP fails to actually commit to any objective measure whatsoever.
1393120	1400800	Oops. So effectively the current policy is to just keep scaling until they feel like stopping.
1402960	1407760	This is the policy that is being suggested to our politicians and to the wider world
1407760	1415280	as the responsible option for policy makers. It is trying to, is very clear that it is trying
