start	end	text
0	10000	Welkom, everybody.
10000	18000	Great to have you all here in a fully packed packhuis de Zwijger.
18000	20000	Mijn naam is Maarten Gehem.
20000	27000	I'm director of the argumentation factory and I have the honour of hosting this evening on existential risks.
28000	37000	De late Stefan Hawken once said success in creating AI could be the biggest event in the history of our civilization.
37000	42000	But it could also be the last unless we learn to avoid the risks.
42000	45000	And that's precisely the topic of today.
45000	50000	And we're going to talk about that with none other than professor Stuart Russell.
50000	56000	I'll properly introduce him later, but first I'll hand over the floor to Otto Barton,
56000	59000	who is the director of the existential risk observatory,
59000	62000	and who is the instigator of this evening.
62000	64000	Otto, come over.
64000	69000	After Otto, Russell will give a talk, then we'll have a Q&A,
69000	73000	and then afterwards we'll have a panel with five distinguished panelists.
73000	75000	We're sitting over there, I'll also introduce you later.
75000	78000	But now, without further ado, Otto.
78000	85000	APPLAUS
85000	90000	Dank je wel, en thank you very much, Maarten, for the introduction.
90000	93000	Ja, I'm super happy that you're all here.
93000	95000	Indeed, my name is Otto Barton.
95000	98000	I'm the founder and the director of the existential risk observatory.
98000	103000	We're an organization aimed at reducing existential risk by informing the public debates.
103000	108000	I'm going to talk a little bit for a few minutes about what existential risk is
108000	110000	and what our organization is doing.
112000	116000	All right, so next slide, please.
116000	117000	Thank you.
117000	120000	So existential risks, what are they?
120000	127000	Basically, as humanity, we've had about 300,000 years now already on this earth,
127000	129000	and we have maybe about five billion to go,
129000	132000	so an enormous amount before the sun explodes.
132000	138000	So the huge majority of our time is still ahead of us,
138000	141000	and an existential risk is something that can threaten that.
141000	147000	So basically, the definition is a risk that threatens the destruction of humanity's long-term potential.
147000	151000	It has been defined by Toby Ork from the Future of Humanity Institutes
151000	154000	and his colleagues in this way.
154000	157000	So this could be in a few ways.
157000	160000	Of course, human extinction is a permanent state.
160000	166000	So human extinction is one way in which we cannot have a future left anymore.
166000	169000	So these five billion years, there won't be any value in that.
169000	173000	An unrecoverable collapse or dystopian log-in are two other ways
173000	178000	in which we could, which are contained in existential risk definition.
178000	183000	So on the graph to the right, you see a rough estimate by Toby Ork,
183000	186000	this researcher from the Future of Humanity Institute,
186000	191000	on what causes could be for existential risks.
191000	193000	So there are natural causes.
193000	196000	There might be an asteroid strike, there might be a super volcano,
196000	199000	but these are tiny and very well-known.
199000	201000	So not the most interesting ones.
201000	205000	To the left of that, you see a nuclear war and climate change,
205000	208000	which are already somewhat bigger.
208000	214000	But you can see that these are still fairly small compared to other existential risks.
214000	218000	That climate change has a small chance of leading to human extinction.
218000	220000	It doesn't mean that it's not a big problem.
